,is_installed,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,is_returning,station_status,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,True,56,56,0,True,True,active,0,14,0,2020-08-05 21:56:19+00:00,4,True,,,2020-08-05 22:50:50,2020
49,True,57,57,1,True,True,active,0,13,0,2020-08-05 22:39:03+00:00,0,True,,,2020-08-05 22:50:50,2020
50,True,58,58,0,True,True,active,0,7,0,2020-08-05 22:49:39+00:00,12,True,,,2020-08-05 22:50:50,2020
51,True,59,59,0,True,True,active,0,15,0,2020-08-05 22:24:14+00:00,4,True,,,2020-08-05 22:50:50,2020
52,True,60,60,1,False,True,active,0,9,0,2020-08-05 22:49:35+00:00,9,True,,,2020-08-05 22:50:50,2020
53,True,61,61,1,False,True,active,0,12,0,2020-08-05 22:50:14+00:00,6,True,,,2020-08-05 22:50:50,2020
54,True,63,63,0,False,True,active,0,7,0,2020-08-05 22:36:53+00:00,8,True,,,2020-08-05 22:50:50,2020
55,True,64,64,0,False,True,active,0,11,0,2020-08-05 22:39:55+00:00,8,True,,,2020-08-05 22:50:50,2020
56,True,65,65,1,False,True,active,0,17,0,2020-08-05 22:32:27+00:00,5,True,,,2020-08-05 22:50:50,2020
57,True,66,66,0,False,True,active,0,13,0,2020-08-05 22:47:48+00:00,2,True,,,2020-08-05 22:50:50,2020
58,True,67,67,0,True,True,active,0,20,0,2020-08-05 22:43:32+00:00,7,True,,,2020-08-05 22:50:50,2020
59,True,68,68,0,True,True,active,0,6,0,2020-08-05 22:48:18+00:00,13,True,,,2020-08-05 22:50:50,2020
60,True,69,69,1,True,True,active,0,6,0,2020-08-05 22:47:01+00:00,12,True,,,2020-08-05 22:50:50,2020
61,True,70,70,0,False,True,active,0,7,0,2020-08-05 22:42:37+00:00,16,True,,,2020-08-05 22:50:50,2020
62,True,71,71,0,False,True,active,0,5,0,2020-08-05 22:50:32+00:00,18,True,,,2020-08-05 22:50:50,2020
63,True,72,72,0,False,True,active,0,12,0,2020-08-05 22:43:14+00:00,11,True,,,2020-08-05 22:50:50,2020
64,True,73,73,0,False,True,active,0,0,0,2020-08-05 22:34:54+00:00,15,True,,,2020-08-05 22:50:50,2020
65,True,74,74,0,True,True,active,0,13,0,2020-08-05 22:48:48+00:00,6,True,,,2020-08-05 22:50:50,2020
66,True,75,75,0,False,True,active,0,6,0,2020-08-05 22:45:34+00:00,9,True,,,2020-08-05 22:50:50,2020
67,True,76,76,0,False,True,active,0,7,0,2020-08-05 22:49:51+00:00,10,True,,,2020-08-05 22:50:50,2020
68,True,77,77,0,False,True,active,0,9,0,2020-08-05 22:09:47+00:00,6,True,,,2020-08-05 22:50:50,2020
69,True,78,78,0,False,True,active,0,1,0,2020-08-05 22:43:18+00:00,18,True,,,2020-08-05 22:50:50,2020
70,True,79,79,0,False,True,active,0,18,0,2020-08-05 22:46:14+00:00,1,True,,,2020-08-05 22:50:50,2020
71,True,80,80,0,False,True,active,0,27,0,2020-08-05 22:50:26+00:00,8,True,,,2020-08-05 22:50:50,2020
72,True,81,81,0,False,True,active,0,8,0,2020-08-05 22:50:10+00:00,11,True,,,2020-08-05 22:50:50,2020
73,True,82,82,1,False,True,active,0,10,0,2020-08-05 22:10:00+00:00,4,True,,,2020-08-05 22:50:50,2020
74,True,84,84,1,False,True,active,0,2,0,2020-08-05 22:17:19+00:00,12,True,,,2020-08-05 22:50:50,2020
75,True,85,85,0,False,True,active,0,15,0,2020-08-05 22:46:47+00:00,4,True,,,2020-08-05 22:50:50,2020
76,True,86,86,0,False,True,active,0,10,0,2020-08-05 22:46:05+00:00,9,True,,,2020-08-05 22:50:50,2020
77,True,87,87,0,False,True,active,0,8,0,2020-08-05 22:37:09+00:00,7,True,,,2020-08-05 22:50:50,2020
78,True,89,89,0,False,True,active,0,8,0,2020-08-05 22:43:50+00:00,11,True,,,2020-08-05 22:50:50,2020
79,True,90,90,0,False,True,active,0,11,0,2020-08-05 22:34:54+00:00,8,True,,,2020-08-05 22:50:50,2020
80,True,91,91,0,False,True,active,0,17,0,2020-08-05 22:38:07+00:00,2,True,,,2020-08-05 22:50:50,2020
81,True,92,92,1,False,True,active,0,7,0,2020-08-05 21:32:15+00:00,11,True,,,2020-08-05 22:50:50,2020
82,True,93,93,1,False,True,active,0,3,0,2020-08-05 22:36:05+00:00,11,True,,,2020-08-05 22:50:50,2020
83,True,94,94,0,False,True,active,0,11,0,2020-08-05 22:47:25+00:00,0,True,,,2020-08-05 22:50:50,2020
84,True,95,95,1,False,True,active,0,7,0,2020-08-05 22:49:38+00:00,7,True,,,2020-08-05 22:50:50,2020
85,True,96,96,0,False,True,active,0,10,0,2020-08-05 22:45:02+00:00,9,True,,,2020-08-05 22:50:50,2020
86,True,97,97,0,False,True,active,0,7,0,2020-08-05 22:35:07+00:00,12,True,,,2020-08-05 22:50:50,2020
87,True,98,98,1,False,True,active,0,10,0,2020-08-05 22:50:14+00:00,12,True,,,2020-08-05 22:50:50,2020
88,True,99,99,0,False,True,active,0,7,0,2020-08-05 21:19:57+00:00,8,True,,,2020-08-05 22:50:50,2020
89,True,100,100,1,True,True,active,0,3,0,2020-08-05 22:46:59+00:00,21,True,,,2020-08-05 22:50:50,2020
90,True,101,101,0,False,True,active,0,6,0,2020-08-05 22:32:03+00:00,9,True,,,2020-08-05 22:50:50,2020
91,True,102,102,0,False,True,active,0,5,0,2020-08-05 22:43:19+00:00,10,True,,,2020-08-05 22:50:50,2020
92,True,103,103,0,False,True,active,0,13,0,2020-08-05 22:48:36+00:00,2,True,,,2020-08-05 22:50:50,2020
93,True,104,104,0,False,True,active,0,17,0,2020-08-05 22:13:14+00:00,2,True,,,2020-08-05 22:50:50,2020
94,True,105,105,2,False,True,active,0,3,0,2020-08-05 22:49:41+00:00,14,True,,,2020-08-05 22:50:50,2020
95,True,106,106,0,False,True,active,0,8,0,2020-08-05 22:09:02+00:00,7,True,,,2020-08-05 22:50:50,2020
96,True,107,107,1,False,True,active,0,18,0,2020-08-05 22:43:11+00:00,0,True,,,2020-08-05 22:50:50,2020
97,True,108,108,0,False,True,active,0,12,0,2020-08-05 22:27:12+00:00,5,True,,,2020-08-05 22:50:50,2020
98,True,109,109,1,False,True,active,0,22,0,2020-08-05 18:13:43+00:00,12,True,,,2020-08-05 22:50:50,2020
99,True,110,110,0,False,True,active,0,10,0,2020-08-05 22:50:02+00:00,5,True,,,2020-08-05 22:50:50,2020
100,True,111,111,0,False,True,active,0,13,0,2020-08-05 22:15:58+00:00,2,True,,,2020-08-05 22:50:50,2020
101,True,112,112,0,False,True,active,0,7,0,2020-08-05 22:45:10+00:00,8,True,,,2020-08-05 22:50:50,2020
102,True,113,113,1,False,True,active,0,4,0,2020-08-05 22:41:18+00:00,10,True,,,2020-08-05 22:50:50,2020
103,True,114,114,0,False,True,active,0,5,0,2020-08-05 22:38:43+00:00,10,True,,,2020-08-05 22:50:50,2020
104,True,115,115,1,False,True,active,0,0,0,2020-08-05 22:50:28+00:00,18,True,,,2020-08-05 22:50:50,2020
105,True,116,116,0,False,True,active,0,17,0,2020-08-05 22:47:09+00:00,6,True,,,2020-08-05 22:50:50,2020
106,True,117,117,0,False,True,active,0,8,0,2020-08-05 22:37:37+00:00,11,True,,,2020-08-05 22:50:50,2020
107,True,118,118,0,False,True,active,0,7,0,2020-08-05 22:41:57+00:00,12,True,,,2020-08-05 22:50:50,2020
108,True,119,119,1,False,True,active,0,2,0,2020-08-05 22:45:08+00:00,12,True,,,2020-08-05 22:50:50,2020
109,True,120,120,2,False,True,active,0,8,0,2020-08-05 22:43:02+00:00,5,True,,,2020-08-05 22:50:50,2020
110,True,121,121,0,False,True,active,0,9,0,2020-08-05 22:49:54+00:00,8,True,,,2020-08-05 22:50:50,2020
111,True,122,122,0,False,True,active,0,14,0,2020-08-05 22:24:01+00:00,1,True,,,2020-08-05 22:50:50,2020
112,True,124,124,0,False,True,active,0,9,0,2020-08-05 22:41:13+00:00,6,True,,,2020-08-05 22:50:50,2020
113,True,125,125,1,False,True,active,0,11,0,2020-08-05 22:28:42+00:00,3,True,,,2020-08-05 22:50:50,2020
114,True,126,126,0,False,True,active,0,12,0,2020-08-05 22:45:35+00:00,3,True,,,2020-08-05 22:50:50,2020
115,True,128,128,0,False,True,active,0,9,0,2020-08-05 22:49:28+00:00,10,True,,,2020-08-05 22:50:50,2020
116,True,129,129,0,False,True,active,0,1,0,2020-08-05 22:14:25+00:00,18,True,,,2020-08-05 22:50:50,2020
117,True,130,130,0,False,True,active,0,2,0,2020-08-05 22:14:20+00:00,13,True,,,2020-08-05 22:50:50,2020
118,True,131,131,1,False,True,active,0,6,0,2020-08-05 22:48:00+00:00,11,True,,,2020-08-05 22:50:50,2020
