,is_renting,is_returning,num_docks_disabled,is_installed,num_bikes_available,last_reported,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,eightd_has_available_keys,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
190,True,True,0,True,14,2020-08-08 00:14:26+00:00,active,0,218,0,False,1,218,,,2020-08-08 00:25:35,2020
191,True,True,0,True,10,2020-08-07 21:08:13+00:00,active,0,219,0,False,5,219,,,2020-08-08 00:25:35,2020
192,True,True,0,True,11,2020-08-08 00:24:02+00:00,active,0,221,0,False,8,221,,,2020-08-08 00:25:35,2020
193,True,True,0,True,5,2020-08-08 00:18:16+00:00,active,0,222,0,True,9,222,,,2020-08-08 00:25:35,2020
194,True,True,0,True,14,2020-08-07 23:58:09+00:00,active,0,224,0,False,3,224,,,2020-08-08 00:25:35,2020
195,True,True,0,True,2,2020-08-08 00:22:18+00:00,active,0,225,1,False,16,225,,,2020-08-08 00:25:35,2020
196,True,True,0,True,0,2020-08-08 00:08:46+00:00,active,0,226,0,False,15,226,,,2020-08-08 00:25:35,2020
197,True,True,0,True,10,2020-08-08 00:25:21+00:00,active,0,227,0,False,9,227,,,2020-08-08 00:25:35,2020
198,True,True,0,True,9,2020-08-07 23:49:38+00:00,active,0,228,0,False,10,228,,,2020-08-08 00:25:35,2020
199,True,True,0,True,2,2020-08-07 18:06:05+00:00,active,0,232,0,False,9,232,,,2020-08-08 00:25:35,2020
200,True,True,0,True,10,2020-08-08 00:24:38+00:00,active,0,233,0,False,5,233,,,2020-08-08 00:25:35,2020
201,True,True,0,True,9,2020-08-08 00:12:09+00:00,active,0,234,0,False,6,234,,,2020-08-08 00:25:35,2020
202,True,True,0,True,4,2020-08-07 23:38:32+00:00,active,0,235,1,False,10,235,,,2020-08-08 00:25:35,2020
203,True,True,0,True,11,2020-08-07 23:13:29+00:00,active,0,236,0,False,4,236,,,2020-08-08 00:25:35,2020
204,True,True,0,True,11,2020-08-08 00:21:17+00:00,active,0,239,0,False,4,239,,,2020-08-08 00:25:35,2020
205,True,True,0,True,11,2020-08-07 18:29:21+00:00,active,0,255,0,False,4,255,,,2020-08-08 00:25:35,2020
206,True,True,0,True,9,2020-08-07 23:34:42+00:00,active,0,258,0,False,6,258,,,2020-08-08 00:25:35,2020
207,True,True,0,True,8,2020-08-07 23:08:02+00:00,active,0,259,0,False,7,259,,,2020-08-08 00:25:35,2020
208,True,True,0,True,14,2020-08-07 23:02:01+00:00,active,0,260,1,False,0,260,,,2020-08-08 00:25:35,2020
209,True,True,0,True,5,2020-08-07 23:02:56+00:00,active,0,271,0,False,10,271,,,2020-08-08 00:25:35,2020
210,True,True,0,True,6,2020-08-08 00:09:57+00:00,active,0,272,0,False,13,272,,,2020-08-08 00:25:35,2020
211,True,True,0,True,20,2020-08-08 00:16:06+00:00,active,0,273,1,False,19,273,,,2020-08-08 00:25:35,2020
212,True,True,0,True,14,2020-08-08 00:16:57+00:00,active,0,279,0,False,5,279,,,2020-08-08 00:25:35,2020
213,True,True,0,True,8,2020-08-08 00:01:37+00:00,active,0,280,0,False,11,280,,,2020-08-08 00:25:35,2020
214,True,True,0,True,6,2020-08-07 23:39:59+00:00,active,0,282,1,False,8,282,,,2020-08-08 00:25:35,2020
215,True,True,0,True,3,2020-08-08 00:07:34+00:00,active,0,296,1,False,19,296,,,2020-08-08 00:25:35,2020
216,True,True,0,True,3,2020-08-08 00:18:28+00:00,active,0,318,1,False,15,318,,,2020-08-08 00:25:35,2020
217,True,True,0,True,8,2020-08-07 23:41:29+00:00,active,0,319,0,False,17,319,,,2020-08-08 00:25:35,2020
218,True,True,0,True,0,2020-08-07 22:28:05+00:00,active,0,327,0,False,15,327,,,2020-08-08 00:25:35,2020
219,True,True,0,True,13,2020-08-08 00:24:52+00:00,active,0,328,0,False,2,328,,,2020-08-08 00:25:35,2020
220,True,True,0,True,1,2020-08-08 00:19:26+00:00,active,0,329,1,False,13,329,,,2020-08-08 00:25:35,2020
221,True,True,0,True,9,2020-08-08 00:05:31+00:00,active,0,330,0,False,6,330,,,2020-08-08 00:25:35,2020
222,True,True,0,True,5,2020-08-08 00:17:48+00:00,active,0,331,0,False,10,331,,,2020-08-08 00:25:35,2020
223,True,True,0,True,13,2020-08-08 00:23:48+00:00,active,0,332,0,False,2,332,,,2020-08-08 00:25:35,2020
224,True,True,0,True,18,2020-08-08 00:10:55+00:00,active,0,333,0,False,7,333,,,2020-08-08 00:25:35,2020
225,True,True,0,True,7,2020-08-07 23:39:26+00:00,active,0,334,0,False,12,334,,,2020-08-08 00:25:35,2020
