,station_id,last_reported,num_docks_disabled,station_status,num_bikes_disabled,is_installed,num_ebikes_available,is_renting,is_returning,num_docks_available,legacy_id,eightd_has_available_keys,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
57,66,2020-08-06 13:45:14+00:00,0,active,0,True,0,True,True,13,66,False,2,,,2020-08-06 14:12:40,2020
58,67,2020-08-06 14:11:14+00:00,0,active,0,True,0,True,True,16,67,True,11,,,2020-08-06 14:12:40,2020
59,68,2020-08-06 14:12:37+00:00,0,active,1,True,0,True,True,0,68,True,18,,,2020-08-06 14:12:40,2020
60,69,2020-08-06 13:14:34+00:00,0,active,1,True,0,True,True,10,69,True,8,,,2020-08-06 14:12:40,2020
61,70,2020-08-06 13:58:20+00:00,0,active,0,True,0,True,True,6,70,False,17,,,2020-08-06 14:12:40,2020
62,71,2020-08-06 13:34:04+00:00,0,active,0,True,0,True,True,4,71,False,19,,,2020-08-06 14:12:40,2020
63,72,2020-08-06 14:01:13+00:00,0,active,0,True,0,True,True,16,72,False,7,,,2020-08-06 14:12:40,2020
64,73,2020-08-06 13:33:59+00:00,0,active,1,True,0,True,True,4,73,False,10,,,2020-08-06 14:12:40,2020
65,74,2020-08-06 14:04:48+00:00,0,active,1,True,0,True,True,12,74,True,6,,,2020-08-06 14:12:40,2020
66,75,2020-08-06 13:38:55+00:00,0,active,0,True,0,True,True,6,75,False,9,,,2020-08-06 14:12:40,2020
67,76,2020-08-06 14:08:56+00:00,0,active,0,True,0,True,True,3,76,False,14,,,2020-08-06 14:12:40,2020
68,77,2020-08-06 13:53:28+00:00,0,active,0,True,0,True,True,10,77,False,5,,,2020-08-06 14:12:40,2020
69,78,2020-08-06 13:59:57+00:00,0,active,0,True,0,True,True,8,78,False,11,,,2020-08-06 14:12:40,2020
70,79,2020-08-06 14:01:17+00:00,0,active,0,True,0,True,True,12,79,False,7,,,2020-08-06 14:12:40,2020
71,80,2020-08-06 14:08:32+00:00,0,active,0,True,0,True,True,10,80,False,25,,,2020-08-06 14:12:40,2020
72,81,2020-08-06 14:02:29+00:00,0,active,1,True,0,True,True,1,81,False,17,,,2020-08-06 14:12:40,2020
73,82,2020-08-06 13:35:20+00:00,0,active,0,True,0,True,True,12,82,False,3,,,2020-08-06 14:12:40,2020
74,84,2020-08-06 14:06:38+00:00,0,active,0,True,0,True,True,4,84,False,11,,,2020-08-06 14:12:40,2020
75,85,2020-08-06 13:57:38+00:00,0,active,0,True,0,True,True,5,85,False,14,,,2020-08-06 14:12:40,2020
76,86,2020-08-06 13:52:41+00:00,0,active,1,True,0,True,True,8,86,False,10,,,2020-08-06 14:12:40,2020
77,87,2020-08-06 14:05:52+00:00,0,active,0,True,0,True,True,13,87,False,2,,,2020-08-06 14:12:40,2020
78,89,2020-08-06 14:01:01+00:00,0,active,1,True,0,True,True,8,89,False,10,,,2020-08-06 14:12:40,2020
79,90,2020-08-06 14:07:59+00:00,0,active,0,True,0,True,True,9,90,False,10,,,2020-08-06 14:12:40,2020
