,num_bikes_available,eightd_has_available_keys,is_installed,is_returning,station_id,legacy_id,num_bikes_disabled,station_status,last_reported,is_renting,num_docks_available,num_docks_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,7,False,True,True,60,60,2,active,2020-08-19 01:47:12+00:00,True,10,0,0,2020-08-19 01:52:50,2020
53,10,False,True,True,61,61,0,active,2020-08-19 01:24:51+00:00,True,9,0,0,2020-08-19 01:52:50,2020
54,15,False,True,True,63,63,0,active,2020-08-19 00:24:41+00:00,True,0,0,0,2020-08-19 01:52:50,2020
55,7,False,True,True,64,64,1,active,2020-08-19 01:28:09+00:00,True,11,0,0,2020-08-19 01:52:50,2020
56,4,False,True,True,65,65,0,active,2020-08-19 01:19:59+00:00,True,19,0,0,2020-08-19 01:52:50,2020
57,14,False,True,True,66,66,1,active,2020-08-19 01:48:41+00:00,True,0,0,0,2020-08-19 01:52:50,2020
58,2,True,True,True,67,67,0,active,2020-08-19 01:41:02+00:00,True,25,0,0,2020-08-19 01:52:50,2020
59,19,True,True,True,68,68,0,active,2020-08-19 01:41:15+00:00,True,0,0,0,2020-08-19 01:52:50,2020
60,19,True,True,True,69,69,0,active,2020-08-19 01:23:21+00:00,True,0,0,0,2020-08-19 01:52:50,2020
61,4,False,True,True,70,70,0,active,2020-08-19 01:51:29+00:00,True,19,0,0,2020-08-19 01:52:50,2020
62,10,False,True,True,71,71,0,active,2020-08-19 01:47:04+00:00,True,13,0,0,2020-08-19 01:52:50,2020
63,15,False,True,True,72,72,0,active,2020-08-19 00:24:32+00:00,True,8,0,0,2020-08-19 01:52:50,2020
64,7,False,True,True,73,73,3,active,2020-08-19 01:08:26+00:00,True,5,0,0,2020-08-19 01:52:50,2020
65,10,True,True,True,74,74,1,active,2020-08-19 01:52:44+00:00,True,8,0,0,2020-08-19 01:52:50,2020
66,4,False,True,True,75,75,1,active,2020-08-19 01:50:57+00:00,True,10,0,0,2020-08-19 01:52:50,2020
67,16,False,True,True,76,76,1,active,2020-08-19 01:46:42+00:00,True,0,0,0,2020-08-19 01:52:50,2020
68,8,False,True,True,77,77,0,active,2020-08-19 00:25:17+00:00,True,7,0,0,2020-08-19 01:52:50,2020
69,9,False,True,True,78,78,0,active,2020-08-19 01:43:31+00:00,True,10,0,0,2020-08-19 01:52:50,2020
70,16,False,True,True,79,79,2,active,2020-08-19 00:49:17+00:00,True,1,0,0,2020-08-19 01:52:50,2020
71,1,False,True,True,80,80,0,active,2020-08-19 01:41:24+00:00,True,34,0,0,2020-08-19 01:52:50,2020
72,6,False,True,True,81,81,3,active,2020-08-19 01:36:12+00:00,True,10,0,0,2020-08-19 01:52:50,2020
73,9,False,True,True,82,82,1,active,2020-08-19 00:39:06+00:00,True,5,0,0,2020-08-19 01:52:50,2020
74,10,False,True,True,84,84,1,active,2020-08-19 01:24:43+00:00,True,4,0,0,2020-08-19 01:52:50,2020
75,1,False,True,True,85,85,0,active,2020-08-19 00:22:07+00:00,True,18,0,0,2020-08-19 01:52:50,2020
76,10,False,True,True,86,86,0,active,2020-08-19 01:50:14+00:00,True,9,0,0,2020-08-19 01:52:50,2020
77,14,False,True,True,87,87,1,active,2020-08-19 00:34:46+00:00,True,0,0,0,2020-08-19 01:52:50,2020
78,8,False,True,True,89,89,0,active,2020-08-19 00:39:17+00:00,True,11,0,0,2020-08-19 01:52:50,2020
79,13,False,True,True,90,90,0,active,2020-08-19 01:36:29+00:00,True,6,0,0,2020-08-19 01:52:50,2020
80,3,False,True,True,91,91,0,active,2020-08-19 01:40:27+00:00,True,16,0,0,2020-08-19 01:52:50,2020
81,18,False,True,True,92,92,1,active,2020-08-19 00:24:51+00:00,True,0,0,0,2020-08-19 01:52:50,2020
82,11,False,True,True,93,93,2,active,2020-08-19 01:20:38+00:00,True,2,0,0,2020-08-19 01:52:50,2020
83,2,False,True,True,94,94,0,active,2020-08-19 01:22:02+00:00,True,9,0,0,2020-08-19 01:52:50,2020
84,1,False,True,True,95,95,3,active,2020-08-19 01:16:16+00:00,True,11,0,0,2020-08-19 01:52:50,2020
85,8,False,True,True,96,96,0,active,2020-08-19 01:44:13+00:00,True,11,0,0,2020-08-19 01:52:50,2020
86,5,False,True,True,97,97,2,active,2020-08-19 01:52:40+00:00,True,12,0,0,2020-08-19 01:52:50,2020
87,5,False,True,True,98,98,0,active,2020-08-19 01:51:41+00:00,True,18,0,0,2020-08-19 01:52:50,2020
88,10,False,True,True,99,99,2,active,2020-08-19 01:35:46+00:00,True,3,0,0,2020-08-19 01:52:50,2020
89,8,True,True,True,100,100,0,active,2020-08-19 01:41:54+00:00,True,17,0,0,2020-08-19 01:52:50,2020
90,9,False,True,True,101,101,0,active,2020-08-19 01:22:29+00:00,True,6,0,0,2020-08-19 01:52:50,2020
91,6,False,True,True,102,102,0,active,2020-08-19 01:30:32+00:00,True,9,0,0,2020-08-19 01:52:50,2020
