,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,0,True,True,17,58,0,True,active,2,2020-07-31 05:01:29+00:00,0,58,True,,,2020-07-31 09:25:10,2020
51,0,True,True,7,59,0,True,active,12,2020-07-31 08:56:26+00:00,0,59,True,,,2020-07-31 09:25:10,2020
52,0,True,True,4,60,0,True,active,15,2020-07-31 09:22:18+00:00,0,60,False,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 63, 'off_dock_capacity': 40, 'off_dock_count': 2, 'dock_blocked_count': 0, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS'}",2020-07-31 09:25:10,2020
53,0,True,True,19,61,0,True,active,0,2020-07-31 08:37:02+00:00,0,61,False,,,2020-07-31 09:25:10,2020
54,0,True,True,4,63,0,True,active,11,2020-07-31 08:51:27+00:00,0,63,False,,,2020-07-31 09:25:10,2020
55,1,True,True,10,64,0,True,active,8,2020-07-31 08:17:26+00:00,0,64,False,,,2020-07-31 09:25:10,2020
56,1,True,True,17,65,0,True,active,5,2020-07-31 08:51:27+00:00,0,65,False,,,2020-07-31 09:25:10,2020
57,0,True,True,1,66,0,True,active,14,2020-07-31 08:50:17+00:00,0,66,False,,,2020-07-31 09:25:10,2020
58,1,True,True,23,67,0,True,active,3,2020-07-31 08:27:28+00:00,0,67,True,,,2020-07-31 09:25:10,2020
59,1,True,True,8,68,0,True,active,10,2020-07-31 09:04:10+00:00,0,68,True,,,2020-07-31 09:25:10,2020
60,2,True,True,6,69,0,True,active,11,2020-07-31 08:36:54+00:00,0,69,True,,,2020-07-31 09:25:10,2020
61,0,True,True,9,70,0,True,active,14,2020-07-31 08:06:25+00:00,0,70,False,,,2020-07-31 09:25:10,2020
62,0,True,True,0,71,0,True,active,23,2020-07-31 08:31:51+00:00,0,71,False,,,2020-07-31 09:25:10,2020
