,is_installed,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,last_reported,eightd_has_available_keys,is_renting,station_status,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,3,3,0,0,True,0,2020-08-06 02:04:58+00:00,False,True,active,15,,,2020-08-06 03:29:15,2020
1,True,13,4,4,0,0,True,0,2020-08-06 03:02:41+00:00,False,True,active,6,,,2020-08-06 03:29:15,2020
2,True,7,5,5,0,0,True,0,2020-08-06 03:05:06+00:00,False,True,active,8,,,2020-08-06 03:29:15,2020
3,True,10,6,6,0,2,True,0,2020-08-06 02:54:24+00:00,False,True,active,3,,,2020-08-06 03:29:15,2020
4,True,2,7,7,0,0,True,0,2020-08-06 03:00:25+00:00,False,True,active,13,,,2020-08-06 03:29:15,2020
5,True,10,8,8,0,0,True,0,2020-08-06 03:23:48+00:00,False,True,active,9,,,2020-08-06 03:29:15,2020
6,True,13,9,9,0,0,True,0,2020-08-06 02:37:48+00:00,False,True,active,2,,,2020-08-06 03:29:15,2020
7,True,4,10,10,0,0,True,0,2020-08-06 03:10:30+00:00,False,True,active,7,,,2020-08-06 03:29:15,2020
8,True,0,11,11,0,0,True,0,2020-08-06 02:49:15+00:00,False,True,active,15,"{'off_dock_count': 3, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'region': 'BOS', 'active': True, 'valet_revision': 79, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-06 03:29:15,2020
9,True,14,12,12,0,0,True,0,2020-08-06 03:04:35+00:00,True,True,active,4,,,2020-08-06 03:29:15,2020
10,True,5,13,13,0,0,True,0,2020-08-06 03:16:23+00:00,False,True,active,14,,,2020-08-06 03:29:15,2020
11,True,0,14,14,0,0,True,0,2020-08-06 02:38:23+00:00,False,True,active,25,,,2020-08-06 03:29:15,2020
12,True,9,15,15,0,0,True,0,2020-08-06 02:39:43+00:00,False,True,active,6,,,2020-08-06 03:29:15,2020
13,True,3,16,16,0,0,True,0,2020-08-06 03:02:36+00:00,True,True,active,16,,,2020-08-06 03:29:15,2020
14,True,3,17,17,0,0,True,0,2020-08-06 02:40:27+00:00,False,True,active,12,,,2020-08-06 03:29:15,2020
15,True,6,19,19,0,0,True,0,2020-08-06 03:22:41+00:00,False,True,active,9,,,2020-08-06 03:29:15,2020
16,True,7,20,20,0,1,True,0,2020-08-06 02:38:50+00:00,True,True,active,15,,,2020-08-06 03:29:15,2020
17,True,4,21,21,0,1,True,0,2020-08-06 02:37:58+00:00,True,True,active,13,,,2020-08-06 03:29:15,2020
18,True,7,22,22,0,2,True,0,2020-08-06 02:34:09+00:00,True,True,active,38,,,2020-08-06 03:29:15,2020
19,True,12,23,23,0,0,True,0,2020-08-06 03:21:53+00:00,True,True,active,9,,,2020-08-06 03:29:15,2020
