,is_returning,num_docks_available,is_renting,station_id,num_bikes_available,num_docks_disabled,eightd_has_available_keys,legacy_id,is_installed,station_status,num_bikes_disabled,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,True,9,True,56,8,0,False,56,True,active,1,0,2020-08-18 20:24:15+00:00,,,2020-08-18 21:06:55,2020
49,True,12,True,57,2,0,True,57,True,active,0,0,2020-08-18 21:04:38+00:00,,,2020-08-18 21:06:55,2020
50,True,9,True,58,8,0,True,58,True,active,2,0,2020-08-18 21:06:12+00:00,,,2020-08-18 21:06:55,2020
51,True,14,True,59,5,0,True,59,True,active,0,0,2020-08-18 21:04:10+00:00,,,2020-08-18 21:06:55,2020
52,True,6,True,60,12,0,False,60,True,active,1,0,2020-08-18 21:03:59+00:00,,,2020-08-18 21:06:55,2020
53,True,19,True,61,0,0,False,61,True,active,0,0,2020-08-18 20:35:43+00:00,,,2020-08-18 21:06:55,2020
54,True,4,True,63,11,0,False,63,True,active,0,0,2020-08-18 20:41:55+00:00,,,2020-08-18 21:06:55,2020
55,True,9,True,64,10,0,False,64,True,active,0,0,2020-08-18 20:53:32+00:00,,,2020-08-18 21:06:55,2020
56,True,19,True,65,4,0,False,65,True,active,0,0,2020-08-18 20:39:01+00:00,,,2020-08-18 21:06:55,2020
57,True,14,True,66,0,0,False,66,True,active,1,0,2020-08-18 21:06:34+00:00,,,2020-08-18 21:06:55,2020
58,True,9,True,67,18,0,True,67,True,active,0,0,2020-08-18 21:01:08+00:00,,,2020-08-18 21:06:55,2020
59,True,1,True,68,18,0,True,68,True,active,0,0,2020-08-18 20:59:42+00:00,,,2020-08-18 21:06:55,2020
60,True,1,True,69,18,0,True,69,True,active,0,0,2020-08-18 21:04:00+00:00,,,2020-08-18 21:06:55,2020
61,True,2,True,70,21,0,False,70,True,active,0,0,2020-08-18 20:46:09+00:00,,,2020-08-18 21:06:55,2020
62,True,14,True,71,9,0,False,71,True,active,0,0,2020-08-18 20:49:00+00:00,,,2020-08-18 21:06:55,2020
63,True,4,True,72,19,0,False,72,True,active,0,0,2020-08-18 21:02:59+00:00,,,2020-08-18 21:06:55,2020
64,True,5,True,73,8,0,False,73,True,active,2,0,2020-08-18 20:52:42+00:00,,,2020-08-18 21:06:55,2020
65,True,6,True,74,13,0,True,74,True,active,0,0,2020-08-18 20:48:50+00:00,,,2020-08-18 21:06:55,2020
66,True,8,True,75,7,0,False,75,True,active,0,0,2020-08-18 20:38:01+00:00,,,2020-08-18 21:06:55,2020
67,True,13,True,76,4,0,False,76,True,active,0,0,2020-08-18 21:05:54+00:00,,,2020-08-18 21:06:55,2020
68,True,9,True,77,6,0,False,77,True,active,0,0,2020-08-18 21:02:19+00:00,,,2020-08-18 21:06:55,2020
69,True,7,True,78,11,0,False,78,True,active,1,0,2020-08-18 20:51:59+00:00,,,2020-08-18 21:06:55,2020
70,True,11,True,79,8,0,False,79,True,active,0,0,2020-08-18 20:32:10+00:00,,,2020-08-18 21:06:55,2020
71,True,8,True,80,27,0,False,80,True,active,0,0,2020-08-18 21:05:12+00:00,,,2020-08-18 21:06:55,2020
72,True,0,True,81,19,0,False,81,True,active,0,0,2020-08-18 20:44:47+00:00,,,2020-08-18 21:06:55,2020
73,True,10,True,82,4,0,False,82,True,active,1,0,2020-08-18 20:30:42+00:00,,,2020-08-18 21:06:55,2020
74,True,3,True,84,12,0,False,84,True,active,0,0,2020-08-18 21:03:36+00:00,,,2020-08-18 21:06:55,2020
75,True,9,True,85,10,0,False,85,True,active,0,0,2020-08-18 20:56:26+00:00,,,2020-08-18 21:06:55,2020
76,True,15,True,86,4,0,False,86,True,active,0,0,2020-08-18 21:00:10+00:00,,,2020-08-18 21:06:55,2020
77,True,8,True,87,7,0,False,87,True,active,0,0,2020-08-18 21:06:31+00:00,,,2020-08-18 21:06:55,2020
78,True,10,True,89,9,0,False,89,True,active,0,0,2020-08-18 20:39:43+00:00,,,2020-08-18 21:06:55,2020
79,True,13,True,90,6,0,False,90,True,active,0,0,2020-08-18 21:06:35+00:00,,,2020-08-18 21:06:55,2020
80,True,8,True,91,10,0,False,91,True,active,1,0,2020-08-18 21:03:37+00:00,,,2020-08-18 21:06:55,2020
81,True,3,True,92,15,0,False,92,True,active,1,0,2020-08-18 21:03:01+00:00,,,2020-08-18 21:06:55,2020
82,True,0,True,93,13,0,False,93,True,active,2,0,2020-08-18 20:42:02+00:00,,,2020-08-18 21:06:55,2020
83,True,8,True,94,3,0,False,94,True,active,0,0,2020-08-18 21:00:03+00:00,,,2020-08-18 21:06:55,2020
84,True,9,True,95,3,0,False,95,True,active,3,0,2020-08-18 20:52:05+00:00,,,2020-08-18 21:06:55,2020
85,True,6,True,96,13,0,False,96,True,active,0,0,2020-08-18 20:52:34+00:00,,,2020-08-18 21:06:55,2020
86,True,10,True,97,7,0,False,97,True,active,2,0,2020-08-18 21:05:36+00:00,,,2020-08-18 21:06:55,2020
87,True,18,True,98,5,0,False,98,True,active,0,0,2020-08-18 20:55:18+00:00,,,2020-08-18 21:06:55,2020
88,True,3,True,99,11,0,False,99,True,active,1,0,2020-08-18 20:27:07+00:00,,,2020-08-18 21:06:55,2020
89,True,16,True,100,9,0,True,100,True,active,0,0,2020-08-18 20:55:43+00:00,,,2020-08-18 21:06:55,2020
90,True,8,True,101,7,0,False,101,True,active,0,0,2020-08-18 20:23:10+00:00,,,2020-08-18 21:06:55,2020
91,True,11,True,102,4,0,False,102,True,active,0,0,2020-08-18 20:21:34+00:00,,,2020-08-18 21:06:55,2020
92,True,13,True,103,2,0,False,103,True,active,0,0,2020-08-18 20:53:48+00:00,,,2020-08-18 21:06:55,2020
93,True,18,True,104,1,0,False,104,True,active,0,0,2020-08-18 21:00:55+00:00,,,2020-08-18 21:06:55,2020
94,True,14,True,105,5,0,False,105,True,active,0,0,2020-08-18 21:06:29+00:00,,,2020-08-18 21:06:55,2020
95,True,7,True,106,8,0,False,106,True,active,0,0,2020-08-18 20:26:10+00:00,,,2020-08-18 21:06:55,2020
96,True,7,True,107,10,0,False,107,True,active,2,0,2020-08-18 21:05:14+00:00,,,2020-08-18 21:06:55,2020
97,True,5,True,108,12,0,False,108,True,active,0,0,2020-08-18 20:49:34+00:00,,,2020-08-18 21:06:55,2020
98,True,29,True,109,5,0,False,109,True,active,1,0,2020-08-18 19:32:03+00:00,,,2020-08-18 21:06:55,2020
99,True,9,True,110,6,0,False,110,True,active,0,0,2020-08-18 20:52:43+00:00,,,2020-08-18 21:06:55,2020
100,True,13,True,111,2,0,False,111,True,active,0,0,2020-08-18 18:57:14+00:00,,,2020-08-18 21:06:55,2020
101,True,5,True,112,10,0,False,112,True,active,0,0,2020-08-18 20:22:52+00:00,,,2020-08-18 21:06:55,2020
102,True,7,True,113,7,0,False,113,True,active,1,0,2020-08-18 20:56:41+00:00,,,2020-08-18 21:06:55,2020
103,True,15,True,114,0,0,False,114,True,active,0,0,2020-08-18 20:43:36+00:00,,,2020-08-18 21:06:55,2020
104,True,6,True,115,13,0,False,115,True,active,0,0,2020-08-18 20:45:13+00:00,,,2020-08-18 21:06:55,2020
105,True,16,True,116,7,0,False,116,True,active,0,0,2020-08-18 21:00:10+00:00,,,2020-08-18 21:06:55,2020
106,True,12,True,117,7,0,False,117,True,active,0,0,2020-08-18 20:50:49+00:00,,,2020-08-18 21:06:55,2020
107,True,7,True,118,11,0,False,118,True,active,1,0,2020-08-18 20:54:49+00:00,,,2020-08-18 21:06:55,2020
108,True,11,True,119,3,0,False,119,True,active,1,0,2020-08-18 21:01:55+00:00,,,2020-08-18 21:06:55,2020
109,True,7,True,120,7,0,False,120,True,active,1,0,2020-08-18 21:06:40+00:00,,,2020-08-18 21:06:55,2020
110,True,6,True,121,10,0,False,121,True,active,1,0,2020-08-18 21:04:03+00:00,,,2020-08-18 21:06:55,2020
111,True,6,True,122,9,0,False,122,True,active,0,0,2020-08-18 21:06:41+00:00,,,2020-08-18 21:06:55,2020
112,True,13,True,124,2,0,False,124,True,active,0,0,2020-08-18 19:45:49+00:00,,,2020-08-18 21:06:55,2020
113,True,10,True,125,4,1,False,125,True,active,0,0,2020-08-18 21:04:39+00:00,,,2020-08-18 21:06:55,2020
114,True,4,True,126,10,0,False,126,True,active,1,0,2020-08-18 20:18:03+00:00,,,2020-08-18 21:06:55,2020
115,True,4,True,128,15,0,False,128,True,active,0,0,2020-08-18 20:11:26+00:00,,,2020-08-18 21:06:55,2020
116,True,5,True,129,14,0,False,129,True,active,0,0,2020-08-18 21:02:03+00:00,,,2020-08-18 21:06:55,2020
117,True,3,True,130,12,0,False,130,True,active,0,0,2020-08-18 18:23:23+00:00,,,2020-08-18 21:06:55,2020
118,True,14,True,131,4,0,False,131,True,active,0,0,2020-08-18 20:43:53+00:00,,,2020-08-18 21:06:55,2020
119,True,8,True,133,13,0,False,133,True,active,2,0,2020-08-18 19:28:45+00:00,,,2020-08-18 21:06:55,2020
120,True,15,True,135,2,0,False,135,True,active,0,0,2020-08-18 20:00:20+00:00,,,2020-08-18 21:06:55,2020
121,True,14,True,136,4,0,False,136,True,active,1,0,2020-08-18 19:54:02+00:00,,,2020-08-18 21:06:55,2020
122,True,6,True,137,9,0,False,137,True,active,0,0,2020-08-18 19:25:26+00:00,,,2020-08-18 21:06:55,2020
123,True,8,True,138,5,0,False,138,True,active,2,0,2020-08-18 19:40:31+00:00,,,2020-08-18 21:06:55,2020
124,True,15,True,139,4,0,False,139,True,active,0,0,2020-08-18 20:53:10+00:00,,,2020-08-18 21:06:55,2020
125,True,10,True,140,7,0,False,140,True,active,0,0,2020-08-18 21:03:11+00:00,,,2020-08-18 21:06:55,2020
126,True,9,True,141,6,0,False,141,True,active,0,0,2020-08-18 21:00:13+00:00,,,2020-08-18 21:06:55,2020
127,True,5,True,142,18,0,False,142,True,active,0,0,2020-08-18 20:41:37+00:00,,,2020-08-18 21:06:55,2020
128,True,17,True,143,5,0,False,143,True,active,1,0,2020-08-18 20:52:32+00:00,,,2020-08-18 21:06:55,2020
129,True,4,True,144,15,0,False,144,True,active,0,0,2020-08-18 21:05:39+00:00,,,2020-08-18 21:06:55,2020
130,True,1,True,145,17,0,False,145,True,active,1,0,2020-08-18 20:02:58+00:00,,,2020-08-18 21:06:55,2020
131,True,6,True,146,10,0,False,146,True,active,3,0,2020-08-18 20:26:19+00:00,,,2020-08-18 21:06:55,2020
132,True,7,True,149,10,0,True,149,True,active,1,0,2020-08-18 21:05:19+00:00,,,2020-08-18 21:06:55,2020
133,True,8,True,150,10,0,False,150,True,active,1,0,2020-08-18 21:05:51+00:00,,,2020-08-18 21:06:55,2020
134,True,6,True,151,13,0,False,151,True,active,0,0,2020-08-18 21:05:27+00:00,,,2020-08-18 21:06:55,2020
135,True,3,True,152,12,0,True,152,True,active,0,0,2020-08-18 21:00:18+00:00,,,2020-08-18 21:06:55,2020
