,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,3,active,0,3,True,0,2020-08-01 03:22:32+00:00,True,0,True,15,False,,,2020-08-01 08:23:45,2020
1,1,4,active,0,4,True,0,2020-08-01 06:26:02+00:00,True,0,True,18,False,,,2020-08-01 08:23:45,2020
2,6,5,active,0,5,True,0,2020-08-01 06:17:08+00:00,True,0,True,9,False,,,2020-08-01 08:23:45,2020
3,6,6,active,0,6,True,0,2020-08-01 08:03:45+00:00,True,0,True,9,False,,,2020-08-01 08:23:45,2020
4,4,7,active,0,7,True,0,2020-08-01 04:29:25+00:00,True,0,True,11,False,,,2020-08-01 08:23:45,2020
5,12,8,active,0,8,True,2,2020-08-01 08:01:58+00:00,True,0,True,5,False,,,2020-08-01 08:23:45,2020
6,14,9,active,0,9,True,0,2020-08-01 08:08:28+00:00,True,0,True,1,False,,,2020-08-01 08:23:45,2020
7,3,10,active,0,10,True,1,2020-08-01 08:18:35+00:00,True,0,True,7,False,,,2020-08-01 08:23:45,2020
8,1,11,active,0,11,True,1,2020-08-01 06:17:05+00:00,True,0,True,13,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'valet_revision': 75, 'off_dock_count': 20, 'off_dock_capacity': 50, 'dock_blocked_count': 0}",2020-08-01 08:23:45,2020
9,0,12,active,0,12,True,2,2020-08-01 06:36:54+00:00,True,0,True,16,True,,,2020-08-01 08:23:45,2020
10,7,13,active,0,13,True,0,2020-08-01 04:32:14+00:00,True,0,True,12,False,,,2020-08-01 08:23:45,2020
11,0,14,active,0,14,True,0,2020-08-01 04:49:20+00:00,True,0,True,25,False,,,2020-08-01 08:23:45,2020
12,14,15,active,0,15,True,1,2020-08-01 04:09:16+00:00,True,0,True,0,False,,,2020-08-01 08:23:45,2020
13,16,16,active,0,16,True,2,2020-08-01 08:00:20+00:00,True,0,True,1,True,,,2020-08-01 08:23:45,2020
14,3,17,active,0,17,True,0,2020-08-01 08:17:59+00:00,True,0,True,12,False,,,2020-08-01 08:23:45,2020
15,14,19,active,0,19,True,0,2020-08-01 06:07:46+00:00,True,0,True,1,False,,,2020-08-01 08:23:45,2020
16,1,20,active,0,20,True,0,2020-08-01 07:55:38+00:00,True,0,True,22,True,,,2020-08-01 08:23:45,2020
17,2,21,active,0,21,True,0,2020-08-01 07:08:36+00:00,True,0,True,16,True,,,2020-08-01 08:23:45,2020
18,13,22,active,0,22,True,2,2020-08-01 06:29:05+00:00,True,0,True,32,True,,,2020-08-01 08:23:45,2020
19,5,23,active,0,23,True,1,2020-08-01 06:50:58+00:00,True,0,True,15,True,,,2020-08-01 08:23:45,2020
20,2,24,active,0,24,True,0,2020-08-01 05:31:24+00:00,True,0,True,17,False,,,2020-08-01 08:23:45,2020
21,12,25,active,0,25,True,1,2020-08-01 08:12:56+00:00,True,0,True,2,False,,,2020-08-01 08:23:45,2020
22,8,26,active,0,26,True,0,2020-08-01 08:01:49+00:00,True,0,True,7,False,,,2020-08-01 08:23:45,2020
23,15,27,active,0,27,True,2,2020-08-01 08:03:55+00:00,True,0,True,6,False,,,2020-08-01 08:23:45,2020
24,7,29,active,0,29,True,0,2020-08-01 03:29:31+00:00,True,0,True,8,False,,,2020-08-01 08:23:45,2020
25,7,30,active,0,30,True,1,2020-08-01 08:06:49+00:00,True,0,True,7,False,,,2020-08-01 08:23:45,2020
26,10,31,active,0,31,True,0,2020-08-01 05:46:49+00:00,True,0,True,9,True,,,2020-08-01 08:23:45,2020
27,1,32,active,0,32,True,3,2020-08-01 08:22:25+00:00,True,0,True,11,False,,,2020-08-01 08:23:45,2020
28,18,33,active,0,33,True,0,2020-08-01 05:30:31+00:00,True,0,True,9,False,,,2020-08-01 08:23:45,2020
29,2,35,active,0,35,True,2,2020-08-01 08:18:12+00:00,True,0,True,19,False,,,2020-08-01 08:23:45,2020
30,0,36,active,0,36,True,0,2020-08-01 05:09:09+00:00,True,0,True,33,True,,,2020-08-01 08:23:45,2020
31,2,37,active,0,37,True,0,2020-08-01 02:07:20+00:00,True,0,True,13,True,,,2020-08-01 08:23:45,2020
32,20,39,active,0,39,True,1,2020-08-01 06:49:25+00:00,True,0,True,2,False,,,2020-08-01 08:23:45,2020
33,17,40,active,0,40,True,1,2020-08-01 06:38:13+00:00,True,0,True,1,False,,,2020-08-01 08:23:45,2020
34,24,41,active,0,41,True,1,2020-08-01 07:54:56+00:00,True,0,True,2,True,,,2020-08-01 08:23:45,2020
35,19,42,active,0,42,True,0,2020-08-01 05:23:11+00:00,True,0,True,4,False,,,2020-08-01 08:23:45,2020
36,0,43,active,0,43,True,4,2020-08-01 06:55:57+00:00,True,0,True,11,True,,,2020-08-01 08:23:45,2020
37,0,44,active,0,44,True,0,2020-08-01 04:10:27+00:00,True,0,True,23,False,,,2020-08-01 08:23:45,2020
38,15,46,active,0,46,True,0,2020-08-01 08:02:42+00:00,True,0,True,4,False,,,2020-08-01 08:23:45,2020
39,13,47,active,0,47,True,0,2020-08-01 07:53:33+00:00,True,0,True,6,True,,,2020-08-01 08:23:45,2020
40,4,48,active,0,48,True,0,2020-08-01 08:23:02+00:00,True,0,True,15,False,,,2020-08-01 08:23:45,2020
41,3,49,active,0,49,True,0,2020-08-01 07:00:23+00:00,True,0,True,15,False,,,2020-08-01 08:23:45,2020
42,1,50,active,0,50,True,0,2020-08-01 06:20:08+00:00,True,0,True,14,True,,,2020-08-01 08:23:45,2020
43,7,51,active,0,51,True,1,2020-08-01 08:03:14+00:00,True,0,True,7,False,,,2020-08-01 08:23:45,2020
