,is_returning,num_bikes_available,num_bikes_disabled,is_renting,is_installed,num_ebikes_available,legacy_id,last_reported,station_id,num_docks_available,num_docks_disabled,eightd_has_available_keys,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
209,True,6,0,True,True,0,271,2020-08-05 15:50:22+00:00,271,9,0,False,active,,,2020-08-05 16:22:10,2020
210,True,5,0,True,True,0,272,2020-08-05 12:22:08+00:00,272,14,0,False,active,,,2020-08-05 16:22:10,2020
211,True,21,1,True,True,0,273,2020-08-05 16:11:52+00:00,273,18,0,False,active,,,2020-08-05 16:22:10,2020
212,True,6,0,True,True,0,279,2020-08-05 15:11:25+00:00,279,13,0,False,active,,,2020-08-05 16:22:10,2020
213,True,6,0,True,True,0,280,2020-08-05 14:11:20+00:00,280,13,0,False,active,,,2020-08-05 16:22:10,2020
214,True,8,0,True,True,0,282,2020-08-05 15:19:47+00:00,282,7,0,False,active,,,2020-08-05 16:22:10,2020
215,True,6,0,True,True,0,296,2020-08-05 15:59:02+00:00,296,17,0,False,active,,,2020-08-05 16:22:10,2020
216,True,16,0,True,True,0,318,2020-08-05 16:18:47+00:00,318,3,0,False,active,,,2020-08-05 16:22:10,2020
217,True,15,0,True,True,0,319,2020-08-05 14:24:33+00:00,319,10,0,False,active,,,2020-08-05 16:22:10,2020
218,True,6,0,True,True,0,327,2020-08-05 16:21:16+00:00,327,9,0,False,active,,,2020-08-05 16:22:10,2020
219,True,7,0,True,True,0,328,2020-08-05 16:06:55+00:00,328,8,0,False,active,,,2020-08-05 16:22:10,2020
220,True,7,1,True,True,0,329,2020-08-05 15:35:05+00:00,329,7,0,False,active,,,2020-08-05 16:22:10,2020
221,True,7,0,True,True,0,330,2020-08-05 15:44:35+00:00,330,8,0,False,active,,,2020-08-05 16:22:10,2020
222,True,3,0,True,True,0,331,2020-08-05 16:07:55+00:00,331,12,0,False,active,,,2020-08-05 16:22:10,2020
223,True,7,0,True,True,0,332,2020-08-05 16:16:53+00:00,332,8,0,False,active,,,2020-08-05 16:22:10,2020
224,True,19,0,True,True,0,333,2020-08-05 16:19:32+00:00,333,6,0,False,active,,,2020-08-05 16:22:10,2020
225,True,8,1,True,True,0,334,2020-08-05 15:51:59+00:00,334,10,0,False,active,,,2020-08-05 16:22:10,2020
226,True,8,1,True,True,0,335,2020-08-05 16:01:04+00:00,335,10,0,False,active,,,2020-08-05 16:22:10,2020
227,True,12,0,True,True,0,336,2020-08-05 14:40:56+00:00,336,3,0,False,active,,,2020-08-05 16:22:10,2020
228,True,12,0,True,True,0,337,2020-08-05 11:41:14+00:00,337,3,0,False,active,,,2020-08-05 16:22:10,2020
229,True,1,0,True,True,0,338,2020-08-05 16:12:04+00:00,338,14,0,False,active,,,2020-08-05 16:22:10,2020
230,True,11,0,True,True,0,339,2020-08-05 14:44:20+00:00,339,4,0,False,active,,,2020-08-05 16:22:10,2020
231,True,16,0,True,True,0,340,2020-08-04 17:02:48+00:00,340,3,0,False,active,,,2020-08-05 16:22:10,2020
232,True,5,0,True,True,0,341,2020-08-05 16:04:27+00:00,341,10,0,True,active,,,2020-08-05 16:22:10,2020
233,True,5,0,True,True,0,342,2020-08-05 16:20:37+00:00,342,10,0,False,active,,,2020-08-05 16:22:10,2020
234,True,6,0,True,True,0,343,2020-08-04 19:00:47+00:00,343,9,0,False,active,,,2020-08-05 16:22:10,2020
235,True,0,0,True,True,0,344,2020-08-05 14:56:38+00:00,344,19,0,False,active,,,2020-08-05 16:22:10,2020
236,True,10,0,True,True,0,345,2020-08-05 15:48:21+00:00,345,9,0,False,active,,,2020-08-05 16:22:10,2020
237,True,1,0,True,True,0,346,2020-08-05 13:33:04+00:00,346,14,0,False,active,,,2020-08-05 16:22:10,2020
238,True,9,0,True,True,0,347,2020-08-05 13:46:26+00:00,347,6,0,False,active,,,2020-08-05 16:22:10,2020
239,True,14,0,True,True,0,348,2020-08-05 15:58:45+00:00,348,1,0,False,active,,,2020-08-05 16:22:10,2020
240,True,8,0,True,True,0,349,2020-08-05 15:39:46+00:00,349,9,0,True,active,,,2020-08-05 16:22:10,2020
241,True,6,0,True,True,0,350,2020-08-05 10:33:31+00:00,350,11,0,False,active,,,2020-08-05 16:22:10,2020
242,True,7,0,True,True,0,351,2020-08-05 15:07:38+00:00,351,8,0,False,active,,,2020-08-05 16:22:10,2020
243,True,3,0,True,True,0,352,2020-08-05 16:04:34+00:00,352,12,0,False,active,,,2020-08-05 16:22:10,2020
244,True,8,0,True,True,0,353,2020-08-05 08:57:37+00:00,353,7,0,True,active,,,2020-08-05 16:22:10,2020
245,True,1,0,True,True,0,354,2020-08-05 15:44:35+00:00,354,14,0,False,active,,,2020-08-05 16:22:10,2020
246,True,13,0,True,True,0,355,2020-08-05 12:20:03+00:00,355,4,0,False,active,,,2020-08-05 16:22:10,2020
247,True,17,1,True,True,0,356,2020-08-05 16:07:34+00:00,356,5,0,False,active,,,2020-08-05 16:22:10,2020
248,True,5,0,True,True,0,357,2020-08-05 16:07:10+00:00,357,10,0,False,active,,,2020-08-05 16:22:10,2020
249,True,11,0,True,True,0,358,2020-08-05 15:15:05+00:00,358,8,0,False,active,,,2020-08-05 16:22:10,2020
250,True,13,0,True,True,0,359,2020-08-05 16:16:51+00:00,359,2,0,False,active,,,2020-08-05 16:22:10,2020
251,True,1,1,True,True,0,360,2020-08-05 16:05:06+00:00,360,13,0,False,active,,,2020-08-05 16:22:10,2020
252,True,6,0,True,True,0,361,2020-08-05 16:15:05+00:00,361,13,0,False,active,,,2020-08-05 16:22:10,2020
253,True,18,0,True,True,0,362,2020-08-05 16:04:37+00:00,362,1,0,False,active,,,2020-08-05 16:22:10,2020
254,True,10,0,True,True,0,363,2020-08-05 16:19:21+00:00,363,9,0,False,active,,,2020-08-05 16:22:10,2020
255,True,1,0,True,True,0,364,2020-08-05 16:19:45+00:00,364,18,0,False,active,,,2020-08-05 16:22:10,2020
256,True,15,1,True,True,0,365,2020-08-05 15:49:56+00:00,365,3,0,False,active,,,2020-08-05 16:22:10,2020
257,True,1,0,True,True,0,366,2020-08-05 16:10:10+00:00,366,14,0,False,active,,,2020-08-05 16:22:10,2020
258,True,13,0,True,True,0,367,2020-08-05 16:01:07+00:00,367,6,0,False,active,,,2020-08-05 16:22:10,2020
259,True,3,1,True,True,0,368,2020-08-05 13:51:48+00:00,368,11,0,False,active,,,2020-08-05 16:22:10,2020
260,True,1,0,True,True,0,369,2020-08-05 16:00:29+00:00,369,14,0,False,active,,,2020-08-05 16:22:10,2020
261,True,7,0,True,True,0,370,2020-08-05 16:14:14+00:00,370,12,0,False,active,,,2020-08-05 16:22:10,2020
262,True,13,0,True,True,0,371,2020-08-04 16:52:53+00:00,371,6,0,False,active,,,2020-08-05 16:22:10,2020
263,True,11,0,True,True,0,372,2020-08-05 16:18:27+00:00,372,8,0,False,active,,,2020-08-05 16:22:10,2020
264,True,12,0,True,True,0,373,2020-08-05 08:51:45+00:00,373,3,0,False,active,,,2020-08-05 16:22:10,2020
265,True,14,0,True,True,0,374,2020-08-05 16:18:43+00:00,374,5,0,False,active,,,2020-08-05 16:22:10,2020
266,True,1,0,True,True,0,376,2020-08-05 16:19:22+00:00,376,14,0,False,active,,,2020-08-05 16:22:10,2020
267,True,0,1,True,True,0,377,2020-08-05 15:36:42+00:00,377,18,0,False,active,,,2020-08-05 16:22:10,2020
268,True,3,0,True,True,0,378,2020-08-05 15:56:34+00:00,378,16,0,False,active,,,2020-08-05 16:22:10,2020
269,True,0,0,True,True,0,379,2020-08-05 15:59:00+00:00,379,15,0,False,active,,,2020-08-05 16:22:10,2020
270,True,15,1,True,True,0,380,2020-08-05 16:13:25+00:00,380,2,0,False,active,,,2020-08-05 16:22:10,2020
271,True,8,1,True,True,0,381,2020-08-05 16:11:49+00:00,381,10,0,False,active,,,2020-08-05 16:22:10,2020
272,True,16,0,True,True,0,384,2020-08-05 16:19:18+00:00,384,3,0,True,active,,,2020-08-05 16:22:10,2020
273,True,13,1,True,True,0,385,2020-08-05 14:18:48+00:00,385,0,1,False,active,,,2020-08-05 16:22:10,2020
274,True,8,0,True,True,0,386,2020-08-05 16:08:31+00:00,386,11,0,False,active,,,2020-08-05 16:22:10,2020
275,True,9,1,True,True,0,387,2020-08-05 13:44:52+00:00,387,5,0,False,active,,,2020-08-05 16:22:10,2020
276,True,3,0,True,True,0,388,2020-08-05 08:55:53+00:00,388,8,0,False,active,,,2020-08-05 16:22:10,2020
277,True,11,0,True,True,0,389,2020-08-04 23:38:22+00:00,389,3,0,False,active,,,2020-08-05 16:22:10,2020
278,True,12,0,True,True,0,390,2020-08-05 14:37:29+00:00,390,3,0,False,active,,,2020-08-05 16:22:10,2020
279,True,14,0,True,True,0,391,2020-08-05 13:38:52+00:00,391,1,0,False,active,,,2020-08-05 16:22:10,2020
280,True,8,0,True,True,0,392,2020-08-05 14:55:36+00:00,392,7,0,False,active,,,2020-08-05 16:22:10,2020
281,True,5,0,True,True,0,393,2020-08-05 14:35:51+00:00,393,10,0,False,active,,,2020-08-05 16:22:10,2020
282,True,2,0,True,True,0,394,2020-08-05 01:25:03+00:00,394,12,0,False,active,,,2020-08-05 16:22:10,2020
283,True,8,0,True,True,0,395,2020-08-05 16:10:28+00:00,395,7,0,False,active,,,2020-08-05 16:22:10,2020
284,True,12,0,True,True,0,396,2020-08-04 08:56:09+00:00,396,3,0,False,active,,,2020-08-05 16:22:10,2020
285,True,4,0,True,True,0,397,2020-08-05 13:09:45+00:00,397,11,0,False,active,,,2020-08-05 16:22:10,2020
286,True,4,0,True,True,0,398,2020-08-05 16:21:05+00:00,398,15,0,False,active,,,2020-08-05 16:22:10,2020
287,True,13,0,True,True,0,399,2020-08-05 15:17:57+00:00,399,2,0,False,active,,,2020-08-05 16:22:10,2020
288,True,5,1,True,True,0,400,2020-08-05 16:12:10+00:00,400,21,0,False,active,,,2020-08-05 16:22:10,2020
289,True,9,0,True,True,0,401,2020-08-05 14:27:14+00:00,401,6,0,False,active,,,2020-08-05 16:22:10,2020
