,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,4,0,11,0,True,True,3,True,active,2020-07-31 13:56:51+00:00,0,3,True,,,2020-07-31 14:10:50,2020
1,8,0,11,0,True,False,4,True,active,2020-07-31 14:02:22+00:00,0,4,True,,,2020-07-31 14:10:50,2020
2,2,0,13,0,True,False,5,True,active,2020-07-31 14:04:16+00:00,0,5,True,,,2020-07-31 14:10:50,2020
3,12,0,3,0,True,False,6,True,active,2020-07-31 14:07:11+00:00,0,6,True,,,2020-07-31 14:10:50,2020
4,12,0,2,0,True,False,7,True,active,2020-07-31 13:52:47+00:00,1,7,True,,,2020-07-31 14:10:50,2020
5,5,0,12,0,True,False,8,True,active,2020-07-31 14:08:58+00:00,2,8,True,,,2020-07-31 14:10:50,2020
6,13,0,2,0,True,False,9,True,active,2020-07-31 13:57:46+00:00,0,9,True,,,2020-07-31 14:10:50,2020
7,9,0,2,0,True,False,10,True,active,2020-07-31 13:46:57+00:00,0,10,True,,,2020-07-31 14:10:50,2020
8,11,0,4,0,True,False,11,True,active,2020-07-31 14:10:11+00:00,0,11,True,"{'dock_blocked_count': 0, 'off_dock_count': 60, 'active': True, 'valet_revision': 75, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 14:10:50,2020
9,3,0,13,0,True,True,12,True,active,2020-07-31 14:05:59+00:00,2,12,True,,,2020-07-31 14:10:50,2020
10,13,0,6,0,True,False,13,True,active,2020-07-31 13:49:08+00:00,0,13,True,,,2020-07-31 14:10:50,2020
11,14,0,11,0,True,False,14,True,active,2020-07-31 13:55:16+00:00,0,14,True,,,2020-07-31 14:10:50,2020
12,9,0,4,0,True,False,15,True,active,2020-07-31 14:09:42+00:00,2,15,True,,,2020-07-31 14:10:50,2020
13,3,0,15,0,True,True,16,True,active,2020-07-31 13:56:28+00:00,1,16,True,,,2020-07-31 14:10:50,2020
14,9,0,6,0,True,False,17,True,active,2020-07-31 13:59:14+00:00,0,17,True,,,2020-07-31 14:10:50,2020
15,6,0,9,0,True,False,19,True,active,2020-07-31 13:51:43+00:00,0,19,True,,,2020-07-31 14:10:50,2020
16,14,0,9,0,True,True,20,True,active,2020-07-31 14:06:21+00:00,0,20,True,,,2020-07-31 14:10:50,2020
17,9,0,9,0,True,True,21,True,active,2020-07-31 14:03:37+00:00,0,21,True,,,2020-07-31 14:10:50,2020
18,9,0,37,0,True,True,22,True,active,2020-07-31 13:47:46+00:00,1,22,True,,,2020-07-31 14:10:50,2020
19,9,0,12,0,True,True,23,True,active,2020-07-31 14:07:52+00:00,0,23,True,,,2020-07-31 14:10:50,2020
20,10,0,9,0,True,False,24,True,active,2020-07-31 13:55:29+00:00,0,24,True,,,2020-07-31 14:10:50,2020
21,10,0,4,0,True,False,25,True,active,2020-07-31 14:09:46+00:00,1,25,True,,,2020-07-31 14:10:50,2020
