,station_status,num_ebikes_available,is_returning,num_docks_disabled,legacy_id,is_renting,num_bikes_disabled,last_reported,eightd_has_available_keys,station_id,is_installed,num_bikes_available,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,active,0,True,0,3,True,0,2020-08-05 21:56:24+00:00,True,3,True,12,3,,,2020-08-05 22:09:55,2020
1,active,0,True,0,4,True,0,2020-08-05 21:49:26+00:00,False,4,True,3,16,,,2020-08-05 22:09:55,2020
2,active,0,True,0,5,True,0,2020-08-05 22:01:21+00:00,False,5,True,2,13,,,2020-08-05 22:09:55,2020
3,active,0,True,0,6,True,1,2020-08-05 22:07:46+00:00,False,6,True,2,12,,,2020-08-05 22:09:55,2020
4,active,0,True,0,7,True,0,2020-08-05 21:46:48+00:00,False,7,True,11,4,,,2020-08-05 22:09:55,2020
5,active,0,True,0,8,True,0,2020-08-05 21:50:27+00:00,False,8,True,3,16,,,2020-08-05 22:09:55,2020
6,active,0,True,0,9,True,0,2020-08-05 21:49:01+00:00,False,9,True,12,3,,,2020-08-05 22:09:55,2020
7,active,0,True,0,10,True,0,2020-08-05 22:06:30+00:00,False,10,True,3,8,,,2020-08-05 22:09:55,2020
8,active,0,True,0,11,True,1,2020-08-05 22:08:43+00:00,False,11,True,9,5,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'off_dock_capacity': 50, 'region': 'BOS', 'dock_blocked_count': 0, 'off_dock_count': 3, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 79}",2020-08-05 22:09:55,2020
9,active,0,True,0,12,True,0,2020-08-05 22:07:41+00:00,True,12,True,5,13,,,2020-08-05 22:09:55,2020
10,active,0,True,0,13,True,0,2020-08-05 22:04:48+00:00,False,13,True,1,18,,,2020-08-05 22:09:55,2020
11,active,0,True,0,14,True,1,2020-08-05 22:08:47+00:00,False,14,True,1,23,,,2020-08-05 22:09:55,2020
12,active,0,True,0,15,True,0,2020-08-05 21:56:15+00:00,False,15,True,11,4,,,2020-08-05 22:09:55,2020
13,active,0,True,0,16,True,0,2020-08-05 21:55:43+00:00,True,16,True,4,15,,,2020-08-05 22:09:55,2020
14,active,0,True,0,17,True,0,2020-08-05 22:01:13+00:00,False,17,True,2,13,,,2020-08-05 22:09:55,2020
15,active,0,True,0,19,True,0,2020-08-05 21:59:59+00:00,False,19,True,3,12,,,2020-08-05 22:09:55,2020
16,active,0,True,0,20,True,1,2020-08-05 22:01:27+00:00,True,20,True,21,1,,,2020-08-05 22:09:55,2020
17,active,0,True,0,21,True,1,2020-08-05 22:07:38+00:00,True,21,True,12,5,,,2020-08-05 22:09:55,2020
18,active,0,True,0,22,True,2,2020-08-05 22:00:40+00:00,True,22,True,11,34,,,2020-08-05 22:09:55,2020
19,active,0,True,0,23,True,0,2020-08-05 21:57:51+00:00,True,23,True,9,12,,,2020-08-05 22:09:55,2020
20,active,0,True,0,24,True,0,2020-08-05 22:00:30+00:00,False,24,True,3,16,,,2020-08-05 22:09:55,2020
21,active,0,True,0,25,True,0,2020-08-05 22:04:31+00:00,False,25,True,3,12,,,2020-08-05 22:09:55,2020
22,active,0,True,0,26,True,1,2020-08-05 22:02:27+00:00,False,26,True,3,11,,,2020-08-05 22:09:55,2020
23,active,0,True,0,27,True,1,2020-08-05 22:08:32+00:00,False,27,True,10,12,,,2020-08-05 22:09:55,2020
24,active,0,True,0,29,True,1,2020-08-05 21:48:44+00:00,False,29,True,8,6,,,2020-08-05 22:09:55,2020
25,active,0,True,0,30,True,0,2020-08-05 22:02:31+00:00,False,30,True,2,13,,,2020-08-05 22:09:55,2020
26,active,0,True,0,31,True,0,2020-08-05 21:50:54+00:00,True,31,True,2,17,,,2020-08-05 22:09:55,2020
27,active,0,True,0,32,True,0,2020-08-05 22:06:08+00:00,False,32,True,10,5,,,2020-08-05 22:09:55,2020
28,active,0,True,0,33,True,0,2020-08-05 22:09:18+00:00,False,33,True,18,9,,,2020-08-05 22:09:55,2020
29,active,0,True,0,35,True,1,2020-08-05 22:08:12+00:00,False,35,True,6,16,,,2020-08-05 22:09:55,2020
30,active,0,True,0,36,True,0,2020-08-05 22:06:11+00:00,True,36,True,20,13,,,2020-08-05 22:09:55,2020
31,active,0,True,0,37,True,0,2020-08-05 22:03:02+00:00,True,37,True,13,2,,,2020-08-05 22:09:55,2020
32,active,0,True,0,39,True,1,2020-08-05 22:01:27+00:00,False,39,True,0,22,,,2020-08-05 22:09:55,2020
33,active,0,True,0,40,True,1,2020-08-05 22:09:50+00:00,False,40,True,1,17,,,2020-08-05 22:09:55,2020
34,active,0,True,0,41,True,0,2020-08-05 22:00:28+00:00,True,41,True,4,23,,,2020-08-05 22:09:55,2020
35,active,0,True,0,42,True,2,2020-08-05 22:09:36+00:00,False,42,True,17,4,,,2020-08-05 22:09:55,2020
36,active,0,True,0,43,True,0,2020-08-05 22:03:53+00:00,True,43,True,4,11,,,2020-08-05 22:09:55,2020
37,active,0,True,0,44,True,0,2020-08-05 22:08:18+00:00,False,44,True,13,10,,,2020-08-05 22:09:55,2020
38,active,0,True,0,46,True,1,2020-08-05 22:06:47+00:00,False,46,True,12,6,,,2020-08-05 22:09:55,2020
39,active,0,True,0,47,True,0,2020-08-05 22:07:25+00:00,True,47,True,17,2,,,2020-08-05 22:09:55,2020
40,active,0,True,0,48,True,0,2020-08-05 22:00:35+00:00,False,48,True,0,19,,,2020-08-05 22:09:55,2020
41,active,0,True,0,49,True,0,2020-08-05 21:36:16+00:00,False,49,True,14,4,,,2020-08-05 22:09:55,2020
42,active,0,True,0,50,True,1,2020-08-05 21:59:58+00:00,True,50,True,8,6,,,2020-08-05 22:09:55,2020
43,active,0,True,0,51,True,0,2020-08-05 21:55:55+00:00,False,51,True,5,10,,,2020-08-05 22:09:55,2020
44,active,0,True,0,52,True,0,2020-08-05 22:09:37+00:00,True,52,True,15,8,,,2020-08-05 22:09:55,2020
45,active,0,True,0,53,True,1,2020-08-05 22:08:10+00:00,False,53,True,12,6,,,2020-08-05 22:09:55,2020
46,active,0,True,0,54,True,0,2020-08-05 22:08:11+00:00,False,54,True,10,5,,,2020-08-05 22:09:55,2020
47,active,0,True,0,55,True,1,2020-08-05 21:59:56+00:00,False,55,True,10,4,,,2020-08-05 22:09:55,2020
48,active,0,True,0,56,True,0,2020-08-05 21:56:19+00:00,True,56,True,4,14,,,2020-08-05 22:09:55,2020
49,active,0,True,0,57,True,1,2020-08-05 22:04:41+00:00,True,57,True,4,9,,,2020-08-05 22:09:55,2020
50,active,0,True,0,58,True,0,2020-08-05 22:08:40+00:00,True,58,True,7,12,,,2020-08-05 22:09:55,2020
51,active,0,True,0,59,True,0,2020-08-05 21:43:53+00:00,True,59,True,6,13,,,2020-08-05 22:09:55,2020
52,active,0,True,0,60,True,1,2020-08-05 22:09:46+00:00,False,60,True,10,8,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'off_dock_capacity': 40, 'region': 'BOS', 'dock_blocked_count': 0, 'off_dock_count': 3, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 67}",2020-08-05 22:09:55,2020
53,active,0,True,0,61,True,1,2020-08-05 22:09:51+00:00,False,61,True,11,7,,,2020-08-05 22:09:55,2020
54,active,0,True,0,63,True,0,2020-08-05 21:25:12+00:00,False,63,True,7,8,,,2020-08-05 22:09:55,2020
55,active,0,True,0,64,True,0,2020-08-05 21:52:02+00:00,False,64,True,8,11,,,2020-08-05 22:09:55,2020
56,active,0,True,0,65,True,1,2020-08-05 22:02:38+00:00,False,65,True,4,18,,,2020-08-05 22:09:55,2020
57,active,0,True,0,66,True,0,2020-08-05 22:04:21+00:00,False,66,True,5,10,,,2020-08-05 22:09:55,2020
58,active,0,True,0,67,True,1,2020-08-05 22:09:35+00:00,True,67,True,6,20,,,2020-08-05 22:09:55,2020
59,active,0,True,0,68,True,0,2020-08-05 22:06:10+00:00,True,68,True,18,1,,,2020-08-05 22:09:55,2020
60,active,0,True,0,69,True,0,2020-08-05 22:05:09+00:00,True,69,True,10,9,,,2020-08-05 22:09:55,2020
61,active,0,True,0,70,True,0,2020-08-05 22:05:16+00:00,False,70,True,18,5,,,2020-08-05 22:09:55,2020
62,active,0,True,0,71,True,0,2020-08-05 21:52:05+00:00,False,71,True,18,5,,,2020-08-05 22:09:55,2020
63,active,0,True,0,72,True,0,2020-08-05 21:51:31+00:00,False,72,True,7,16,,,2020-08-05 22:09:55,2020
64,active,0,True,0,73,True,0,2020-08-05 22:09:01+00:00,False,73,True,9,6,,,2020-08-05 22:09:55,2020
65,active,0,True,0,74,True,0,2020-08-05 22:00:48+00:00,True,74,True,19,0,,,2020-08-05 22:09:55,2020
66,active,0,True,0,75,True,0,2020-08-05 22:02:02+00:00,False,75,True,3,12,,,2020-08-05 22:09:55,2020
67,active,0,True,0,76,True,0,2020-08-05 22:05:31+00:00,False,76,True,9,8,,,2020-08-05 22:09:55,2020
68,active,0,True,0,77,True,0,2020-08-05 22:09:47+00:00,False,77,True,6,9,,,2020-08-05 22:09:55,2020
69,active,0,True,0,78,True,0,2020-08-05 21:46:42+00:00,False,78,True,19,0,,,2020-08-05 22:09:55,2020
