,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,5,3,0,True,True,True,3,2020-07-28 21:45:15+00:00,True,0,0,10,active,,,2020-07-28 21:53:45,2020
1,10,4,0,False,True,True,4,2020-07-28 21:45:15+00:00,True,0,0,9,active,,,2020-07-28 21:53:45,2020
2,11,5,0,False,True,True,5,2020-07-28 21:38:32+00:00,True,0,0,4,active,,,2020-07-28 21:53:45,2020
3,7,6,0,False,True,True,6,2020-07-28 21:49:13+00:00,True,0,0,8,active,,,2020-07-28 21:53:45,2020
4,0,7,0,False,True,True,7,2020-07-28 21:23:25+00:00,True,0,0,15,active,,,2020-07-28 21:53:45,2020
5,2,8,0,False,True,True,8,2020-07-28 21:40:04+00:00,True,1,0,16,active,,,2020-07-28 21:53:45,2020
6,10,9,0,False,True,True,9,2020-07-28 21:47:24+00:00,True,1,0,4,active,,,2020-07-28 21:53:45,2020
7,8,10,0,False,True,True,10,2020-07-28 21:44:12+00:00,True,1,0,2,active,,,2020-07-28 21:53:45,2020
8,9,11,0,False,True,True,11,2020-07-28 21:51:23+00:00,True,2,0,4,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'valet_revision': 69, 'region': 'BOS', 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 30}",2020-07-28 21:53:45,2020
9,10,12,0,True,True,True,12,2020-07-28 21:48:10+00:00,True,0,0,8,active,,,2020-07-28 21:53:45,2020
10,0,13,0,False,True,True,13,2020-07-28 21:29:19+00:00,True,0,0,19,active,,,2020-07-28 21:53:45,2020
11,8,14,0,False,True,True,14,2020-07-28 21:35:01+00:00,True,0,0,17,active,,,2020-07-28 21:53:45,2020
12,10,15,0,False,True,True,15,2020-07-28 21:39:40+00:00,True,0,0,5,active,,,2020-07-28 21:53:45,2020
13,11,16,0,True,True,True,16,2020-07-28 21:35:23+00:00,True,2,0,6,active,,,2020-07-28 21:53:45,2020
14,7,17,0,False,True,True,17,2020-07-28 21:09:56+00:00,True,0,0,8,active,,,2020-07-28 21:53:45,2020
15,3,19,0,False,True,True,19,2020-07-28 21:49:16+00:00,True,0,0,12,active,,,2020-07-28 21:53:45,2020
16,10,20,0,True,True,True,20,2020-07-28 21:51:38+00:00,True,0,0,13,active,,,2020-07-28 21:53:45,2020
17,6,21,0,True,True,True,21,2020-07-28 21:40:03+00:00,True,2,0,10,active,,,2020-07-28 21:53:45,2020
18,2,22,0,False,True,True,22,2020-07-28 21:44:59+00:00,True,0,0,45,active,,,2020-07-28 21:53:45,2020
19,8,23,0,True,True,True,23,2020-07-28 21:46:46+00:00,True,2,0,11,active,,,2020-07-28 21:53:45,2020
20,11,24,0,False,True,True,24,2020-07-28 21:47:16+00:00,True,0,0,8,active,,,2020-07-28 21:53:45,2020
21,14,25,0,False,True,True,25,2020-07-28 21:48:33+00:00,True,0,0,1,active,,,2020-07-28 21:53:45,2020
22,13,26,0,False,True,True,26,2020-07-28 21:49:45+00:00,True,0,0,2,active,,,2020-07-28 21:53:45,2020
23,10,27,0,False,True,True,27,2020-07-28 21:52:40+00:00,True,0,0,13,active,,,2020-07-28 21:53:45,2020
24,12,29,0,False,True,True,29,2020-07-28 18:55:47+00:00,True,1,0,2,active,,,2020-07-28 21:53:45,2020
25,6,30,0,False,True,True,30,2020-07-28 21:46:54+00:00,True,0,0,9,active,,,2020-07-28 21:53:45,2020
26,6,31,0,True,True,True,31,2020-07-28 21:38:43+00:00,True,1,0,12,active,,,2020-07-28 21:53:45,2020
27,2,32,0,False,True,True,32,2020-07-28 21:47:16+00:00,True,0,0,13,active,,,2020-07-28 21:53:45,2020
28,4,33,0,False,True,True,33,2020-07-28 21:48:43+00:00,True,2,0,21,active,,,2020-07-28 21:53:45,2020
29,3,35,0,False,True,True,35,2020-07-28 21:36:22+00:00,True,1,0,19,active,,,2020-07-28 21:53:45,2020
30,22,36,0,True,True,True,36,2020-07-28 21:24:35+00:00,True,1,0,10,active,,,2020-07-28 21:53:45,2020
31,1,37,0,True,True,True,37,2020-07-28 20:55:56+00:00,True,0,0,14,active,,,2020-07-28 21:53:45,2020
32,0,39,0,False,True,True,39,2020-07-28 21:50:48+00:00,True,1,0,22,active,,,2020-07-28 21:53:45,2020
33,11,40,0,False,True,True,40,2020-07-28 21:53:25+00:00,True,0,0,8,active,,,2020-07-28 21:53:45,2020
34,8,41,0,True,True,True,41,2020-07-28 21:51:40+00:00,True,1,0,18,active,,,2020-07-28 21:53:45,2020
35,16,42,0,False,True,True,42,2020-07-28 21:41:22+00:00,True,0,0,7,active,,,2020-07-28 21:53:45,2020
36,3,43,0,True,True,True,43,2020-07-28 21:50:09+00:00,True,0,0,12,active,,,2020-07-28 21:53:45,2020
37,8,44,0,False,True,True,44,2020-07-28 21:26:52+00:00,True,0,0,15,active,,,2020-07-28 21:53:45,2020
