,num_docks_available,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_installed,is_renting,legacy_id,num_docks_disabled,is_returning,last_reported,num_bikes_disabled,station_status,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,5,10,True,0,True,True,3,0,True,2020-07-31 19:45:20+00:00,0,active,3,,,2020-07-31 20:18:30,2020
1,14,5,False,0,True,True,4,0,True,2020-07-31 19:53:23+00:00,0,active,4,,,2020-07-31 20:18:30,2020
2,12,3,False,0,True,True,5,0,True,2020-07-31 20:15:03+00:00,0,active,5,,,2020-07-31 20:18:30,2020
3,11,4,False,0,True,True,6,0,True,2020-07-31 20:14:58+00:00,0,active,6,,,2020-07-31 20:18:30,2020
4,1,13,False,0,True,True,7,0,True,2020-07-31 19:55:46+00:00,1,active,7,,,2020-07-31 20:18:30,2020
5,12,5,False,0,True,True,8,0,True,2020-07-31 19:54:36+00:00,2,active,8,,,2020-07-31 20:18:30,2020
6,4,11,False,0,True,True,9,0,True,2020-07-31 20:14:12+00:00,0,active,9,,,2020-07-31 20:18:30,2020
7,0,11,False,0,True,True,10,0,True,2020-07-31 18:57:16+00:00,0,active,10,,,2020-07-31 20:18:30,2020
8,5,10,False,0,True,True,11,0,True,2020-07-31 20:18:13+00:00,0,active,11,"{'active': True, 'off_dock_capacity': 50, 'off_dock_count': 52, 'dock_blocked_count': 0, 'valet_revision': 75, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 20:18:30,2020
9,13,3,True,0,True,True,12,0,True,2020-07-31 20:16:11+00:00,2,active,12,,,2020-07-31 20:18:30,2020
10,16,3,False,0,True,True,13,0,True,2020-07-31 20:16:24+00:00,0,active,13,,,2020-07-31 20:18:30,2020
11,5,19,False,0,True,True,14,0,True,2020-07-31 20:12:54+00:00,1,active,14,,,2020-07-31 20:18:30,2020
12,8,6,False,0,True,True,15,0,True,2020-07-31 19:49:56+00:00,1,active,15,,,2020-07-31 20:18:30,2020
13,11,7,True,0,True,True,16,0,True,2020-07-31 20:11:27+00:00,1,active,16,,,2020-07-31 20:18:30,2020
14,2,13,False,0,True,True,17,0,True,2020-07-31 20:13:37+00:00,0,active,17,,,2020-07-31 20:18:30,2020
15,13,2,False,0,True,True,19,0,True,2020-07-31 20:16:32+00:00,0,active,19,,,2020-07-31 20:18:30,2020
16,10,13,True,0,True,True,20,0,True,2020-07-31 20:11:05+00:00,0,active,20,,,2020-07-31 20:18:30,2020
17,12,6,True,0,True,True,21,0,True,2020-07-31 20:07:59+00:00,0,active,21,,,2020-07-31 20:18:30,2020
18,39,7,True,0,True,True,22,0,True,2020-07-31 19:58:11+00:00,1,active,22,,,2020-07-31 20:18:30,2020
19,4,17,True,0,True,True,23,0,True,2020-07-31 20:03:37+00:00,0,active,23,,,2020-07-31 20:18:30,2020
20,7,12,False,0,True,True,24,0,True,2020-07-31 20:07:29+00:00,0,active,24,,,2020-07-31 20:18:30,2020
21,9,4,False,0,True,True,25,0,True,2020-07-31 20:03:26+00:00,2,active,25,,,2020-07-31 20:18:30,2020
22,5,9,False,0,True,True,26,0,True,2020-07-31 20:13:29+00:00,1,active,26,,,2020-07-31 20:18:30,2020
23,12,9,False,0,True,True,27,0,True,2020-07-31 20:17:37+00:00,2,active,27,,,2020-07-31 20:18:30,2020
24,7,8,False,0,True,True,29,0,True,2020-07-31 16:37:02+00:00,0,active,29,,,2020-07-31 20:18:30,2020
25,8,6,False,0,True,True,30,0,True,2020-07-31 20:14:01+00:00,1,active,30,,,2020-07-31 20:18:30,2020
26,1,18,True,0,True,True,31,0,True,2020-07-31 20:12:04+00:00,0,active,31,,,2020-07-31 20:18:30,2020
27,1,12,False,0,True,True,32,0,True,2020-07-31 20:13:44+00:00,2,active,32,,,2020-07-31 20:18:30,2020
28,1,26,False,0,True,True,33,0,True,2020-07-31 20:07:16+00:00,0,active,33,,,2020-07-31 20:18:30,2020
29,16,6,False,0,True,True,35,0,True,2020-07-31 20:18:20+00:00,1,active,35,,,2020-07-31 20:18:30,2020
30,27,6,True,0,True,True,36,0,True,2020-07-31 20:15:37+00:00,0,active,36,,,2020-07-31 20:18:30,2020
31,15,0,True,0,True,True,37,0,True,2020-07-31 17:59:24+00:00,0,active,37,,,2020-07-31 20:18:30,2020
32,9,13,False,0,True,True,39,0,True,2020-07-31 20:13:45+00:00,1,active,39,,,2020-07-31 20:18:30,2020
33,14,4,False,0,True,True,40,0,True,2020-07-31 20:17:23+00:00,1,active,40,,,2020-07-31 20:18:30,2020
34,20,6,True,0,True,True,41,0,True,2020-07-31 20:17:20+00:00,1,active,41,,,2020-07-31 20:18:30,2020
35,10,12,False,0,True,True,42,0,True,2020-07-31 20:03:37+00:00,1,active,42,,,2020-07-31 20:18:30,2020
36,12,3,True,0,True,True,43,0,True,2020-07-31 20:17:59+00:00,0,active,43,,,2020-07-31 20:18:30,2020
37,10,13,False,0,True,True,44,0,True,2020-07-31 20:11:52+00:00,0,active,44,,,2020-07-31 20:18:30,2020
38,18,1,False,0,True,True,46,0,True,2020-07-31 20:16:53+00:00,0,active,46,,,2020-07-31 20:18:30,2020
39,8,11,True,0,True,True,47,0,True,2020-07-31 20:18:13+00:00,0,active,47,,,2020-07-31 20:18:30,2020
40,7,11,False,0,True,True,48,0,True,2020-07-31 19:52:19+00:00,1,active,48,,,2020-07-31 20:18:30,2020
41,16,2,False,0,True,True,49,0,True,2020-07-31 19:56:25+00:00,0,active,49,,,2020-07-31 20:18:30,2020
42,10,4,True,0,True,True,50,0,True,2020-07-31 20:01:18+00:00,1,active,50,,,2020-07-31 20:18:30,2020
43,9,5,False,0,True,True,51,0,True,2020-07-31 20:14:56+00:00,1,active,51,,,2020-07-31 20:18:30,2020
44,10,12,True,0,True,True,52,0,True,2020-07-31 20:15:46+00:00,1,active,52,,,2020-07-31 20:18:30,2020
45,16,2,False,0,True,True,53,0,True,2020-07-31 20:07:12+00:00,1,active,53,,,2020-07-31 20:18:30,2020
46,13,2,False,0,True,True,54,0,True,2020-07-31 20:17:15+00:00,0,active,54,,,2020-07-31 20:18:30,2020
47,13,2,False,0,True,True,55,0,True,2020-07-31 20:15:37+00:00,0,active,55,,,2020-07-31 20:18:30,2020
48,11,7,True,0,True,True,56,0,True,2020-07-31 19:09:49+00:00,0,active,56,,,2020-07-31 20:18:30,2020
