,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,active,True,False,0,13,296,True,10,296,0,2020-08-03 13:55:58+00:00,0,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],,2020-08-03 14:10:35,2020
1,True,active,True,True,0,14,3,True,1,3,0,2020-08-03 13:58:48+00:00,0,,,2020-08-03 14:10:35,2020
2,True,active,True,False,0,4,4,True,15,4,0,2020-08-03 14:04:45+00:00,0,,,2020-08-03 14:10:35,2020
3,True,active,True,False,0,3,5,True,12,5,0,2020-08-03 14:04:42+00:00,0,,,2020-08-03 14:10:35,2020
4,True,active,True,False,0,12,6,True,3,6,0,2020-08-03 13:50:43+00:00,0,,,2020-08-03 14:10:35,2020
5,True,active,True,False,0,13,7,True,1,7,0,2020-08-03 13:12:14+00:00,1,,,2020-08-03 14:10:35,2020
6,True,active,True,False,0,8,8,True,11,8,0,2020-08-03 13:42:24+00:00,0,,,2020-08-03 14:10:35,2020
7,True,active,True,False,0,9,9,True,6,9,0,2020-08-03 13:52:18+00:00,0,,,2020-08-03 14:10:35,2020
8,True,active,True,False,0,4,10,True,6,10,0,2020-08-03 14:09:24+00:00,1,,,2020-08-03 14:10:35,2020
9,True,active,True,False,0,4,11,True,9,11,0,2020-08-03 14:08:05+00:00,2,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'active': True, 'off_dock_count': 80, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'valet_revision': 77}",2020-08-03 14:10:35,2020
10,True,active,True,True,0,8,12,True,10,12,0,2020-08-03 14:08:21+00:00,0,,,2020-08-03 14:10:35,2020
11,True,active,True,False,0,19,13,True,0,13,0,2020-08-03 13:57:58+00:00,0,,,2020-08-03 14:10:35,2020
12,True,active,True,False,0,22,14,True,0,14,0,2020-08-03 13:46:27+00:00,3,,,2020-08-03 14:10:35,2020
13,True,active,True,False,0,7,15,True,8,15,0,2020-08-03 13:46:34+00:00,0,,,2020-08-03 14:10:35,2020
14,True,active,True,True,0,1,16,True,18,16,0,2020-08-03 13:57:28+00:00,0,,,2020-08-03 14:10:35,2020
15,True,active,True,False,0,10,17,True,4,17,0,2020-08-03 14:10:24+00:00,1,,,2020-08-03 14:10:35,2020
16,True,active,True,False,0,3,19,True,12,19,0,2020-08-03 14:01:02+00:00,0,,,2020-08-03 14:10:35,2020
17,True,active,True,True,0,12,20,True,10,20,0,2020-08-03 13:50:02+00:00,1,,,2020-08-03 14:10:35,2020
18,True,active,True,True,0,2,21,True,16,21,0,2020-08-03 13:48:50+00:00,0,,,2020-08-03 14:10:35,2020
19,True,active,True,True,0,21,22,True,26,22,0,2020-08-03 13:36:43+00:00,0,,,2020-08-03 14:10:35,2020
20,True,active,True,True,0,4,23,True,16,23,0,2020-08-03 14:09:35+00:00,1,,,2020-08-03 14:10:35,2020
21,True,active,True,False,0,5,24,True,13,24,0,2020-08-03 13:07:03+00:00,1,,,2020-08-03 14:10:35,2020
22,True,active,True,False,0,0,25,True,13,25,0,2020-08-03 13:54:11+00:00,2,,,2020-08-03 14:10:35,2020
23,True,active,True,False,0,3,26,True,12,26,0,2020-08-03 14:09:17+00:00,0,,,2020-08-03 14:10:35,2020
24,True,active,True,False,0,14,27,True,8,27,0,2020-08-03 13:38:35+00:00,1,,,2020-08-03 14:10:35,2020
25,True,active,True,False,0,7,29,True,8,29,0,2020-08-03 13:50:55+00:00,0,,,2020-08-03 14:10:35,2020
26,True,active,True,False,0,11,30,True,1,30,0,2020-08-03 13:37:42+00:00,3,,,2020-08-03 14:10:35,2020
