,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,data_read_timestamp,year_station_last_reported
0,3,3,0,0,12,0,True,True,True,2020-03-12 01:54:13+00:00,True,2020-03-12 07:59:06,2020
1,4,19,0,0,0,0,True,True,True,2020-03-12 06:05:43+00:00,False,2020-03-12 07:59:06,2020
2,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
3,6,3,0,0,12,0,True,True,True,2020-03-12 07:57:43+00:00,False,2020-03-12 07:59:06,2020
4,7,8,0,0,7,0,True,True,True,2020-03-12 01:31:30+00:00,False,2020-03-12 07:59:06,2020
5,8,10,0,0,9,0,True,True,True,2020-03-12 06:48:48+00:00,False,2020-03-12 07:59:06,2020
6,9,6,0,1,8,0,True,True,True,2020-03-12 05:02:27+00:00,False,2020-03-12 07:59:06,2020
7,10,2,0,0,9,0,True,True,True,2020-03-12 06:04:09+00:00,False,2020-03-12 07:59:06,2020
8,11,1,0,0,14,0,True,True,True,2020-03-12 02:07:19+00:00,False,2020-03-12 07:59:06,2020
9,12,9,0,0,9,0,True,True,True,2020-03-12 06:32:20+00:00,True,2020-03-12 07:59:06,2020
10,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
11,14,1,0,0,24,0,True,True,True,2020-03-12 07:06:55+00:00,False,2020-03-12 07:59:06,2020
12,15,11,0,0,4,0,True,True,True,2020-03-11 22:53:24+00:00,False,2020-03-12 07:59:06,2020
13,16,2,0,0,17,0,True,True,True,2020-03-12 03:34:57+00:00,True,2020-03-12 07:59:06,2020
14,17,3,0,0,12,0,True,True,True,2020-03-12 03:20:05+00:00,False,2020-03-12 07:59:06,2020
15,19,4,0,1,10,0,True,True,True,2020-03-12 04:36:31+00:00,False,2020-03-12 07:59:06,2020
16,20,18,0,0,5,0,True,True,True,2020-03-12 02:45:28+00:00,True,2020-03-12 07:59:06,2020
17,21,1,0,0,17,0,True,True,True,2020-03-12 02:53:11+00:00,True,2020-03-12 07:59:06,2020
18,22,24,0,1,22,0,True,True,True,2020-03-12 05:25:03+00:00,True,2020-03-12 07:59:06,2020
19,23,11,0,0,10,0,True,True,True,2020-03-12 03:56:40+00:00,True,2020-03-12 07:59:06,2020
20,24,18,0,0,1,0,True,True,True,2020-03-12 02:38:38+00:00,False,2020-03-12 07:59:06,2020
21,25,15,0,0,0,0,True,True,True,2020-03-12 02:31:05+00:00,False,2020-03-12 07:59:06,2020
22,26,10,0,2,3,0,True,True,True,2020-03-12 02:18:02+00:00,False,2020-03-12 07:59:06,2020
23,27,7,0,0,16,0,True,True,True,2020-03-12 06:29:11+00:00,False,2020-03-12 07:59:06,2020
24,29,2,0,0,13,0,True,True,True,2020-03-11 23:03:39+00:00,False,2020-03-12 07:59:06,2020
25,30,0,0,0,15,0,True,True,True,2020-03-12 03:26:20+00:00,False,2020-03-12 07:59:06,2020
26,31,0,0,2,17,0,True,True,True,2020-03-11 23:10:15+00:00,False,2020-03-12 07:59:06,2020
27,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
28,33,11,0,2,14,0,True,True,True,2020-03-12 03:53:42+00:00,True,2020-03-12 07:59:06,2020
29,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00,False,2020-03-12 07:59:06,2019
30,36,2,0,0,31,0,True,True,True,2020-03-12 03:13:37+00:00,True,2020-03-12 07:59:06,2020
31,37,2,0,1,12,0,True,True,True,2020-03-12 02:48:16+00:00,True,2020-03-12 07:59:06,2020
32,39,2,0,0,21,0,True,True,True,2020-03-12 01:36:52+00:00,False,2020-03-12 07:59:06,2020
33,40,13,0,0,6,0,True,True,True,2020-03-12 04:45:06+00:00,False,2020-03-12 07:59:06,2020
34,41,23,0,0,4,0,True,True,True,2020-03-12 05:57:40+00:00,True,2020-03-12 07:59:06,2020
35,42,18,0,2,3,0,True,True,True,2020-03-12 01:27:47+00:00,False,2020-03-12 07:59:06,2020
36,43,7,0,0,8,0,True,True,True,2020-03-12 00:15:43+00:00,False,2020-03-12 07:59:06,2020
37,44,12,0,0,11,0,True,True,True,2020-03-12 01:33:46+00:00,False,2020-03-12 07:59:06,2020
38,46,15,0,0,4,0,True,True,True,2020-03-12 07:08:29+00:00,False,2020-03-12 07:59:06,2020
39,47,13,0,1,5,0,True,True,True,2020-03-12 02:21:57+00:00,True,2020-03-12 07:59:06,2020
40,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00,False,2020-03-12 07:59:06,2020
41,49,7,0,0,11,0,True,True,True,2020-03-12 03:06:15+00:00,False,2020-03-12 07:59:06,2020
42,50,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,2020-03-12 07:59:06,1970
43,51,5,0,0,10,0,True,True,True,2020-03-12 04:14:36+00:00,False,2020-03-12 07:59:06,2020
44,52,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,2020-03-12 07:59:06,1970
45,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00,False,2020-03-12 07:59:06,2020
46,54,6,0,0,9,0,True,True,True,2020-03-12 05:14:43+00:00,False,2020-03-12 07:59:06,2020
47,55,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
48,56,4,0,0,14,0,True,True,True,2020-03-12 00:40:30+00:00,False,2020-03-12 07:59:06,2020
49,57,13,0,0,1,0,True,True,True,2020-03-12 02:07:59+00:00,True,2020-03-12 07:59:06,2020
50,58,9,0,0,10,0,True,True,True,2020-03-12 05:10:06+00:00,True,2020-03-12 07:59:06,2020
51,59,5,0,0,14,0,True,True,True,2020-03-12 02:51:32+00:00,True,2020-03-12 07:59:06,2020
52,60,5,0,0,14,0,True,True,True,2020-03-12 04:21:31+00:00,False,2020-03-12 07:59:06,2020
53,61,0,0,0,3,0,False,False,False,2020-03-04 20:12:26+00:00,False,2020-03-12 07:59:06,2020
54,63,13,0,0,2,0,True,True,True,2020-03-12 00:27:06+00:00,False,2020-03-12 07:59:06,2020
55,64,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
56,65,6,0,1,16,0,True,True,True,2020-03-11 23:03:28+00:00,False,2020-03-12 07:59:06,2020
57,66,13,0,2,0,0,True,True,True,2020-03-12 01:25:07+00:00,False,2020-03-12 07:59:06,2020
58,67,1,0,0,26,0,True,True,True,2020-03-12 07:05:50+00:00,True,2020-03-12 07:59:06,2020
59,68,18,0,0,1,0,True,True,True,2020-03-12 05:53:09+00:00,True,2020-03-12 07:59:06,2020
60,69,8,0,0,11,0,True,True,True,2020-03-12 07:42:51+00:00,True,2020-03-12 07:59:06,2020
61,70,1,0,0,22,0,True,True,True,2020-03-12 03:59:07+00:00,False,2020-03-12 07:59:06,2020
62,71,6,0,0,17,0,True,True,True,2020-03-12 03:46:59+00:00,False,2020-03-12 07:59:06,2020
63,72,9,0,0,14,0,True,True,True,2020-03-12 00:48:04+00:00,False,2020-03-12 07:59:06,2020
64,73,0,0,0,15,0,True,True,True,2020-03-12 02:02:23+00:00,False,2020-03-12 07:59:06,2020
65,74,0,0,1,18,0,True,True,True,2020-03-12 06:30:43+00:00,True,2020-03-12 07:59:06,2020
66,75,15,0,0,0,0,True,True,True,2020-03-12 02:34:28+00:00,False,2020-03-12 07:59:06,2020
67,76,16,0,0,1,0,True,True,True,2020-03-12 03:51:53+00:00,False,2020-03-12 07:59:06,2020
68,77,7,0,0,8,0,True,True,True,2020-03-12 06:15:03+00:00,False,2020-03-12 07:59:06,2020
69,78,16,0,1,2,0,True,True,True,2020-03-12 02:57:57+00:00,False,2020-03-12 07:59:06,2020
70,79,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
71,80,11,0,0,24,0,True,True,True,2020-03-12 07:51:13+00:00,False,2020-03-12 07:59:06,2020
72,81,13,0,0,6,0,True,True,True,2020-03-12 04:02:39+00:00,False,2020-03-12 07:59:06,2020
73,82,11,0,0,4,0,True,True,True,2020-03-12 02:38:33+00:00,False,2020-03-12 07:59:06,2020
74,84,3,0,0,12,0,True,True,True,2020-03-12 02:57:03+00:00,False,2020-03-12 07:59:06,2020
75,85,0,0,0,19,0,True,True,True,2020-03-12 01:11:31+00:00,False,2020-03-12 07:59:06,2020
76,86,17,0,0,2,0,True,True,True,2020-03-12 02:31:43+00:00,False,2020-03-12 07:59:06,2020
77,87,15,0,0,0,0,True,True,True,2020-03-12 03:24:43+00:00,False,2020-03-12 07:59:06,2020
78,89,0,0,0,19,0,True,True,True,2020-03-12 03:07:43+00:00,False,2020-03-12 07:59:06,2020
79,90,17,0,0,2,0,True,True,True,2020-03-12 06:15:34+00:00,False,2020-03-12 07:59:06,2020
80,91,1,0,1,17,0,True,True,True,2020-03-12 07:00:16+00:00,False,2020-03-12 07:59:06,2020
81,92,3,0,0,16,0,True,True,True,2020-03-11 22:42:20+00:00,False,2020-03-12 07:59:06,2020
82,93,14,0,1,0,0,True,True,True,2020-03-11 23:33:18+00:00,False,2020-03-12 07:59:06,2020
83,94,9,0,0,2,0,True,True,True,2020-03-12 01:20:21+00:00,False,2020-03-12 07:59:06,2020
84,95,15,0,0,0,0,True,True,True,2020-03-12 03:41:52+00:00,False,2020-03-12 07:59:06,2020
85,96,2,0,0,17,0,True,True,True,2020-03-12 04:21:19+00:00,False,2020-03-12 07:59:06,2020
86,97,8,0,0,11,0,True,True,True,2020-03-12 05:23:20+00:00,False,2020-03-12 07:59:06,2020
87,98,15,0,0,8,0,True,True,True,2020-03-12 02:44:02+00:00,True,2020-03-12 07:59:06,2020
88,99,12,0,0,3,0,True,True,True,2020-03-12 05:02:34+00:00,False,2020-03-12 07:59:06,2020
89,100,4,0,0,21,0,True,True,True,2020-03-12 07:34:19+00:00,True,2020-03-12 07:59:06,2020
90,101,6,0,0,9,0,True,True,True,2020-03-12 03:55:37+00:00,False,2020-03-12 07:59:06,2020
91,102,15,0,0,0,0,True,True,True,2020-03-12 04:02:10+00:00,False,2020-03-12 07:59:06,2020
92,103,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
93,104,9,0,0,10,0,True,True,True,2020-03-12 06:36:22+00:00,False,2020-03-12 07:59:06,2020
94,105,19,0,0,0,0,True,True,True,2020-03-12 02:33:27+00:00,False,2020-03-12 07:59:06,2020
95,106,0,0,0,3,0,False,False,False,2019-11-19 16:56:13+00:00,False,2020-03-12 07:59:06,2019
96,107,0,0,1,18,0,True,True,True,2020-03-12 04:48:45+00:00,False,2020-03-12 07:59:06,2020
97,108,0,0,0,17,0,True,True,True,2020-03-12 02:56:19+00:00,False,2020-03-12 07:59:06,2020
98,109,34,0,0,1,0,True,True,True,2020-03-12 01:23:10+00:00,False,2020-03-12 07:59:06,2020
99,110,0,0,0,15,0,True,True,True,2020-03-12 04:26:06+00:00,False,2020-03-12 07:59:06,2020
100,111,10,0,0,5,0,True,True,True,2020-03-12 01:45:43+00:00,False,2020-03-12 07:59:06,2020
101,112,8,0,0,7,0,True,True,True,2020-03-11 02:00:28+00:00,False,2020-03-12 07:59:06,2020
102,113,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
103,114,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
104,115,19,0,0,0,0,True,True,True,2020-03-12 04:06:23+00:00,False,2020-03-12 07:59:06,2020
105,116,17,0,1,5,0,True,True,True,2020-03-12 06:24:35+00:00,False,2020-03-12 07:59:06,2020
106,117,3,0,0,16,0,True,True,True,2020-03-12 00:40:58+00:00,False,2020-03-12 07:59:06,2020
107,118,15,0,1,3,0,True,True,True,2020-03-12 01:57:57+00:00,False,2020-03-12 07:59:06,2020
108,119,14,0,1,0,0,True,True,True,2020-03-12 03:51:13+00:00,False,2020-03-12 07:59:06,2020
109,120,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
110,121,16,0,0,1,0,True,True,True,2020-03-12 03:38:43+00:00,False,2020-03-12 07:59:06,2020
111,122,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
112,124,11,0,0,4,0,True,True,True,2020-03-12 02:49:32+00:00,False,2020-03-12 07:59:06,2020
113,125,15,0,0,0,0,True,True,True,2020-03-12 03:33:46+00:00,False,2020-03-12 07:59:06,2020
114,126,2,0,0,13,0,True,True,True,2020-03-11 21:19:30+00:00,False,2020-03-12 07:59:06,2020
115,128,0,0,0,19,0,False,False,False,2019-11-07 14:52:43+00:00,False,2020-03-12 07:59:06,2019
116,129,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
117,130,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
118,131,18,0,0,0,0,True,True,True,2020-03-12 02:57:33+00:00,True,2020-03-12 07:59:06,2020
119,133,22,0,0,1,0,True,True,True,2020-03-12 03:50:59+00:00,False,2020-03-12 07:59:06,2020
120,134,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-12 07:59:06,1970
121,135,10,0,0,7,0,True,True,True,2020-03-11 21:48:43+00:00,False,2020-03-12 07:59:06,2020
122,136,5,0,1,13,0,True,True,True,2020-03-12 00:21:25+00:00,False,2020-03-12 07:59:06,2020
123,137,5,0,1,9,0,True,True,True,2020-03-12 01:25:18+00:00,False,2020-03-12 07:59:06,2020
124,138,11,0,2,2,0,True,True,True,2020-03-12 03:59:25+00:00,False,2020-03-12 07:59:06,2020
125,139,19,0,0,0,0,True,True,True,2020-03-12 03:06:42+00:00,False,2020-03-12 07:59:06,2020
126,140,6,0,0,11,0,True,True,True,2020-03-11 21:43:30+00:00,False,2020-03-12 07:59:06,2020
127,141,10,0,0,5,0,True,True,True,2020-03-12 03:03:29+00:00,False,2020-03-12 07:59:06,2020
128,142,7,0,0,16,0,True,True,True,2020-03-12 00:55:58+00:00,False,2020-03-12 07:59:06,2020
129,143,6,0,0,17,0,True,True,True,2020-03-12 05:03:36+00:00,False,2020-03-12 07:59:06,2020
130,144,1,0,0,18,0,True,True,True,2020-03-12 02:43:54+00:00,False,2020-03-12 07:59:06,2020
131,145,8,0,1,10,0,True,True,True,2020-03-12 01:15:33+00:00,False,2020-03-12 07:59:06,2020
132,146,10,0,0,9,0,True,True,True,2020-03-11 22:59:49+00:00,False,2020-03-12 07:59:06,2020
133,149,6,0,0,12,0,True,True,True,2020-03-12 06:45:55+00:00,True,2020-03-12 07:59:06,2020
134,150,10,0,0,9,0,True,True,True,2020-03-11 23:38:02+00:00,False,2020-03-12 07:59:06,2020
