,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
45,True,2020-08-11 09:49:15+00:00,0,1,5,active,True,True,0,53,False,53,13,2020-08-11 10:02:20,2020
46,True,2020-08-11 08:03:08+00:00,0,0,2,active,True,True,0,54,False,54,13,2020-08-11 10:02:20,2020
47,True,2020-08-11 05:09:15+00:00,0,1,9,active,False,False,0,55,False,55,5,2020-08-11 10:02:20,2020
48,True,2020-08-11 08:21:25+00:00,0,1,7,active,True,True,0,56,True,56,10,2020-08-11 10:02:20,2020
49,True,2020-08-11 09:54:23+00:00,0,0,9,active,True,True,0,57,True,57,5,2020-08-11 10:02:20,2020
50,True,2020-08-11 08:52:36+00:00,0,1,10,active,True,True,0,58,True,58,8,2020-08-11 10:02:20,2020
51,True,2020-08-11 09:12:36+00:00,0,0,5,active,True,True,0,59,True,59,14,2020-08-11 10:02:20,2020
52,True,2020-08-11 09:57:35+00:00,0,0,7,active,True,True,0,60,False,60,12,2020-08-11 10:02:20,2020
53,True,2020-08-11 09:59:41+00:00,0,1,3,active,True,True,0,61,False,61,15,2020-08-11 10:02:20,2020
54,True,2020-08-11 08:17:02+00:00,0,3,4,active,True,True,0,63,False,63,8,2020-08-11 10:02:20,2020
55,True,2020-08-11 08:33:14+00:00,0,0,3,active,True,True,0,64,False,64,16,2020-08-11 10:02:20,2020
56,True,2020-08-11 09:47:25+00:00,0,0,4,active,True,True,0,65,False,65,19,2020-08-11 10:02:20,2020
57,True,2020-08-11 08:54:02+00:00,0,0,13,active,True,True,0,66,False,66,2,2020-08-11 10:02:20,2020
58,True,2020-08-11 06:02:02+00:00,0,0,3,active,True,True,0,67,True,67,24,2020-08-11 10:02:20,2020
59,True,2020-08-11 09:28:47+00:00,0,0,9,active,True,True,0,68,True,68,10,2020-08-11 10:02:20,2020
60,True,2020-08-11 08:58:08+00:00,0,1,7,active,True,True,0,69,True,69,11,2020-08-11 10:02:20,2020
61,True,2020-08-11 09:48:51+00:00,0,0,19,active,True,True,0,70,False,70,4,2020-08-11 10:02:20,2020
62,True,2020-08-11 08:11:35+00:00,0,0,21,active,True,True,0,71,False,71,2,2020-08-11 10:02:20,2020
63,True,2020-08-11 08:56:27+00:00,0,0,0,active,True,True,0,72,False,72,23,2020-08-11 10:02:20,2020
64,True,2020-08-11 08:51:28+00:00,0,0,0,active,True,True,0,73,False,73,15,2020-08-11 10:02:20,2020
65,True,2020-08-11 08:46:28+00:00,0,0,2,active,True,True,0,74,True,74,17,2020-08-11 10:02:20,2020
66,True,2020-08-11 08:02:56+00:00,0,0,3,active,True,True,0,75,False,75,12,2020-08-11 10:02:20,2020
67,True,2020-08-11 09:37:50+00:00,0,0,6,active,True,True,0,76,False,76,11,2020-08-11 10:02:20,2020
68,True,2020-08-11 08:06:37+00:00,0,1,5,active,True,True,0,77,False,77,9,2020-08-11 10:02:20,2020
69,True,2020-08-11 08:52:42+00:00,0,0,2,active,True,True,0,78,False,78,17,2020-08-11 10:02:20,2020
70,True,2020-08-11 08:02:17+00:00,0,3,14,active,True,True,0,79,False,79,2,2020-08-11 10:02:20,2020
71,True,2020-08-11 08:56:38+00:00,0,0,2,active,True,True,0,80,False,80,33,2020-08-11 10:02:20,2020
72,True,2020-08-11 09:24:13+00:00,0,0,6,active,True,True,0,81,False,81,13,2020-08-11 10:02:20,2020
73,True,2020-08-11 08:06:19+00:00,0,0,1,active,True,True,0,82,False,82,14,2020-08-11 10:02:20,2020
74,True,2020-08-11 08:26:25+00:00,0,1,4,active,True,True,0,84,False,84,10,2020-08-11 10:02:20,2020
75,True,2020-08-11 08:56:55+00:00,0,0,0,active,True,True,0,85,False,85,19,2020-08-11 10:02:20,2020
76,True,2020-08-11 09:07:16+00:00,0,0,6,active,True,True,0,86,False,86,13,2020-08-11 10:02:20,2020
77,True,2020-08-11 08:47:32+00:00,0,0,12,active,True,True,0,87,False,87,3,2020-08-11 10:02:20,2020
78,True,2020-08-11 08:32:53+00:00,0,1,6,active,True,True,0,89,False,89,12,2020-08-11 10:02:20,2020
79,True,2020-08-11 08:32:14+00:00,0,1,17,active,True,True,0,90,False,90,1,2020-08-11 10:02:20,2020
80,True,2020-08-11 08:36:32+00:00,0,0,3,active,True,True,0,91,False,91,16,2020-08-11 10:02:20,2020
81,True,2020-08-11 08:02:20+00:00,0,0,9,active,True,True,0,92,False,92,10,2020-08-11 10:02:20,2020
82,True,2020-08-11 08:54:19+00:00,0,1,13,active,True,True,0,93,False,93,1,2020-08-11 10:02:20,2020
83,True,2020-08-11 08:48:16+00:00,0,0,3,active,True,True,0,94,False,94,8,2020-08-11 10:02:20,2020
84,True,2020-08-11 08:41:46+00:00,0,0,8,active,True,True,0,95,False,95,7,2020-08-11 10:02:20,2020
85,True,2020-08-11 09:24:31+00:00,0,0,17,active,True,True,0,96,False,96,2,2020-08-11 10:02:20,2020
86,True,2020-08-11 09:55:58+00:00,0,0,15,active,True,True,0,97,False,97,4,2020-08-11 10:02:20,2020
87,True,2020-08-11 09:43:55+00:00,0,0,7,active,True,True,0,98,False,98,16,2020-08-11 10:02:20,2020
88,True,2020-08-11 08:33:10+00:00,0,0,9,active,True,True,0,99,False,99,6,2020-08-11 10:02:20,2020
89,True,2020-08-11 09:56:05+00:00,0,0,13,active,True,True,0,100,True,100,12,2020-08-11 10:02:20,2020
90,True,2020-08-11 09:41:07+00:00,0,0,15,active,True,True,0,101,False,101,0,2020-08-11 10:02:20,2020
91,True,2020-08-11 08:41:27+00:00,0,0,3,active,True,True,0,102,False,102,12,2020-08-11 10:02:20,2020
92,True,2020-08-11 08:53:16+00:00,0,0,12,active,True,True,0,103,False,103,3,2020-08-11 10:02:20,2020
93,True,2020-08-11 08:52:48+00:00,0,0,8,active,True,True,0,104,False,104,11,2020-08-11 10:02:20,2020
94,True,2020-08-11 09:39:15+00:00,0,1,9,active,True,True,0,105,False,105,9,2020-08-11 10:02:20,2020
95,True,2020-08-11 09:59:10+00:00,0,1,4,active,True,True,0,106,False,106,10,2020-08-11 10:02:20,2020
96,True,2020-08-11 08:51:33+00:00,0,0,5,active,True,True,0,107,False,107,14,2020-08-11 10:02:20,2020
97,True,2020-08-11 09:37:28+00:00,0,0,2,active,True,True,0,108,False,108,15,2020-08-11 10:02:20,2020
98,True,2020-08-11 08:58:07+00:00,0,1,8,active,True,True,0,109,False,109,26,2020-08-11 10:02:20,2020
99,True,2020-08-11 08:07:28+00:00,0,0,4,active,True,True,0,110,False,110,11,2020-08-11 10:02:20,2020
100,True,2020-08-11 08:12:18+00:00,0,0,7,active,True,True,0,111,False,111,8,2020-08-11 10:02:20,2020
101,True,2020-08-11 08:56:44+00:00,0,0,10,active,True,True,0,112,False,112,5,2020-08-11 10:02:20,2020
102,True,2020-08-11 09:36:56+00:00,0,1,12,active,True,True,0,113,False,113,2,2020-08-11 10:02:20,2020
103,True,2020-08-11 08:57:14+00:00,0,0,3,active,True,True,0,114,False,114,12,2020-08-11 10:02:20,2020
104,True,2020-08-11 08:11:18+00:00,0,0,16,active,True,True,0,115,False,115,3,2020-08-11 10:02:20,2020
105,True,2020-08-11 08:11:57+00:00,0,0,17,active,True,True,0,116,False,116,6,2020-08-11 10:02:20,2020
106,True,2020-08-11 10:00:34+00:00,0,0,12,active,True,True,0,117,False,117,7,2020-08-11 10:02:20,2020
107,True,2020-08-11 08:43:09+00:00,0,1,18,active,True,True,0,118,False,118,0,2020-08-11 10:02:20,2020
108,True,2020-08-11 09:09:55+00:00,0,0,0,active,True,True,0,119,False,119,15,2020-08-11 10:02:20,2020
109,True,2020-08-11 08:55:46+00:00,0,1,10,active,True,True,0,120,False,120,4,2020-08-11 10:02:20,2020
110,True,2020-08-11 09:27:21+00:00,0,0,6,active,True,True,0,121,False,121,11,2020-08-11 10:02:20,2020
111,True,2020-08-11 08:56:21+00:00,0,0,4,active,True,True,0,122,False,122,11,2020-08-11 10:02:20,2020
112,True,2020-08-11 08:13:07+00:00,0,0,11,active,True,True,0,124,False,124,4,2020-08-11 10:02:20,2020
113,True,2020-08-11 08:13:00+00:00,0,0,6,active,True,True,0,125,False,125,9,2020-08-11 10:02:20,2020
114,True,2020-08-11 08:58:07+00:00,0,0,6,active,True,True,0,126,False,126,9,2020-08-11 10:02:20,2020
115,True,2020-08-11 09:54:43+00:00,0,0,11,active,True,True,0,128,False,128,8,2020-08-11 10:02:20,2020
116,True,2020-08-11 02:38:45+00:00,0,0,12,active,True,True,0,129,False,129,7,2020-08-11 10:02:20,2020
117,True,2020-08-11 08:36:18+00:00,0,0,12,active,True,True,0,130,False,130,3,2020-08-11 10:02:20,2020
118,True,2020-08-11 08:42:40+00:00,0,0,17,active,True,True,0,131,False,131,1,2020-08-11 10:02:20,2020
119,True,2020-08-11 02:10:17+00:00,0,1,18,active,True,True,0,133,False,133,4,2020-08-11 10:02:20,2020
120,True,2020-08-11 09:51:43+00:00,0,1,5,active,True,True,0,135,False,135,11,2020-08-11 10:02:20,2020
121,True,2020-08-11 08:51:38+00:00,0,1,6,active,True,True,0,136,False,136,12,2020-08-11 10:02:20,2020
122,True,2020-08-11 08:56:38+00:00,0,0,12,active,True,True,0,137,False,137,3,2020-08-11 10:02:20,2020
123,True,2020-08-11 08:58:41+00:00,0,2,13,active,True,True,0,138,False,138,0,2020-08-11 10:02:20,2020
124,True,2020-08-11 09:46:20+00:00,0,1,6,active,True,True,0,139,False,139,12,2020-08-11 10:02:20,2020
125,True,2020-08-11 09:40:20+00:00,0,0,12,active,True,True,0,140,False,140,5,2020-08-11 10:02:20,2020
126,True,2020-08-11 08:51:24+00:00,0,0,8,active,True,True,0,141,False,141,7,2020-08-11 10:02:20,2020
127,True,2020-08-11 08:43:04+00:00,0,0,17,active,True,True,0,142,False,142,6,2020-08-11 10:02:20,2020
128,True,2020-08-11 08:16:35+00:00,0,0,18,active,True,True,0,143,False,143,5,2020-08-11 10:02:20,2020
129,True,2020-08-11 08:53:04+00:00,0,0,14,active,True,True,0,144,False,144,5,2020-08-11 10:02:20,2020
130,True,2020-08-11 08:52:17+00:00,0,0,17,active,True,True,0,145,False,145,2,2020-08-11 10:02:20,2020
131,True,2020-08-11 10:01:54+00:00,0,2,3,active,True,True,0,146,False,146,14,2020-08-11 10:02:20,2020
132,True,2020-08-11 08:53:11+00:00,0,0,15,active,True,True,0,149,True,149,3,2020-08-11 10:02:20,2020
