,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
52,True,0,active,False,2,60,2020-08-18 22:47:33+00:00,60,15,True,True,0,2,2020-08-18 22:49:10,2020
53,True,0,active,False,8,61,2020-08-18 22:48:43+00:00,61,11,True,True,0,0,2020-08-18 22:49:10,2020
54,True,0,active,False,1,63,2020-08-18 22:38:11+00:00,63,14,True,True,0,0,2020-08-18 22:49:10,2020
55,True,0,active,False,11,64,2020-08-18 22:19:36+00:00,64,8,True,True,0,0,2020-08-18 22:49:10,2020
56,True,0,active,False,23,65,2020-08-18 22:07:36+00:00,65,0,True,True,0,0,2020-08-18 22:49:10,2020
57,True,0,active,False,12,66,2020-08-18 22:34:27+00:00,66,2,True,True,0,1,2020-08-18 22:49:10,2020
58,True,0,active,True,15,67,2020-08-18 22:48:05+00:00,67,12,True,True,0,0,2020-08-18 22:49:10,2020
59,True,0,active,True,3,68,2020-08-18 22:47:26+00:00,68,16,True,True,0,0,2020-08-18 22:49:10,2020
60,True,0,active,True,4,69,2020-08-18 22:46:42+00:00,69,15,True,True,0,0,2020-08-18 22:49:10,2020
61,True,0,active,False,18,70,2020-08-18 22:26:42+00:00,70,5,True,True,0,0,2020-08-18 22:49:10,2020
62,True,0,active,False,11,71,2020-08-18 22:47:01+00:00,71,12,True,True,0,0,2020-08-18 22:49:10,2020
63,True,0,active,False,5,72,2020-08-18 22:47:27+00:00,72,18,True,True,0,0,2020-08-18 22:49:10,2020
64,True,0,active,False,2,73,2020-08-18 22:40:58+00:00,73,10,True,True,0,3,2020-08-18 22:49:10,2020
65,True,0,active,True,1,74,2020-08-18 22:48:36+00:00,74,17,True,True,0,1,2020-08-18 22:49:10,2020
66,True,0,active,False,4,75,2020-08-18 22:36:18+00:00,75,11,True,True,0,0,2020-08-18 22:49:10,2020
67,True,0,active,False,13,76,2020-08-18 22:49:07+00:00,76,4,True,True,0,0,2020-08-18 22:49:10,2020
68,True,0,active,False,7,77,2020-08-18 21:39:23+00:00,77,8,True,True,0,0,2020-08-18 22:49:10,2020
69,True,0,active,False,7,78,2020-08-18 22:29:09+00:00,78,11,True,True,0,1,2020-08-18 22:49:10,2020
70,True,0,active,False,5,79,2020-08-18 22:37:38+00:00,79,14,True,True,0,0,2020-08-18 22:49:10,2020
71,True,0,active,False,25,80,2020-08-18 22:47:01+00:00,80,9,True,True,0,1,2020-08-18 22:49:10,2020
72,True,0,active,False,4,81,2020-08-18 22:45:34+00:00,81,14,True,True,0,1,2020-08-18 22:49:10,2020
73,True,0,active,False,10,82,2020-08-18 21:49:53+00:00,82,4,True,True,0,1,2020-08-18 22:49:10,2020
74,True,0,active,False,4,84,2020-08-18 22:46:04+00:00,84,11,True,True,0,0,2020-08-18 22:49:10,2020
75,True,0,active,False,19,85,2020-08-18 22:29:24+00:00,85,0,True,True,0,0,2020-08-18 22:49:10,2020
76,True,0,active,False,15,86,2020-08-18 22:37:19+00:00,86,3,True,True,0,1,2020-08-18 22:49:10,2020
77,True,0,active,False,6,87,2020-08-18 22:46:02+00:00,87,9,True,True,0,0,2020-08-18 22:49:10,2020
78,True,0,active,False,8,89,2020-08-18 22:36:23+00:00,89,11,True,True,0,0,2020-08-18 22:49:10,2020
79,True,0,active,False,9,90,2020-08-18 22:46:27+00:00,90,9,True,True,0,1,2020-08-18 22:49:10,2020
80,True,0,active,False,18,91,2020-08-18 22:47:51+00:00,91,0,True,True,0,1,2020-08-18 22:49:10,2020
81,True,0,active,False,3,92,2020-08-18 21:43:52+00:00,92,15,True,True,0,1,2020-08-18 22:49:10,2020
82,True,0,active,False,2,93,2020-08-18 22:40:01+00:00,93,11,True,True,0,2,2020-08-18 22:49:10,2020
83,True,0,active,False,8,94,2020-08-18 22:47:04+00:00,94,3,True,True,0,0,2020-08-18 22:49:10,2020
84,True,0,active,False,10,95,2020-08-18 22:40:45+00:00,95,1,True,True,0,4,2020-08-18 22:49:10,2020
85,True,0,active,False,17,96,2020-08-18 22:43:25+00:00,96,2,True,True,0,0,2020-08-18 22:49:10,2020
