,eightd_has_available_keys,is_renting,station_status,num_docks_available,num_docks_disabled,is_installed,station_id,last_reported,num_ebikes_available,is_returning,legacy_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,False,True,active,14,0,True,3,2020-08-13 23:09:00+00:00,0,True,3,1,0,,,2020-08-13 23:10:30,2020
1,False,True,active,3,0,True,4,2020-08-13 22:52:52+00:00,0,True,4,0,16,,,2020-08-13 23:10:30,2020
2,False,True,active,11,0,True,5,2020-08-13 23:09:22+00:00,0,True,5,0,4,,,2020-08-13 23:10:30,2020
3,False,True,active,13,0,True,6,2020-08-13 23:01:23+00:00,0,True,6,1,1,,,2020-08-13 23:10:30,2020
4,False,True,active,13,0,True,7,2020-08-13 23:07:28+00:00,0,True,7,0,2,,,2020-08-13 23:10:30,2020
5,False,True,active,14,0,True,8,2020-08-13 22:54:30+00:00,0,True,8,0,5,,,2020-08-13 23:10:30,2020
6,False,True,active,10,0,True,9,2020-08-13 23:03:32+00:00,0,True,9,1,4,,,2020-08-13 23:10:30,2020
7,False,True,active,5,0,True,10,2020-08-13 23:03:01+00:00,0,True,10,2,4,,,2020-08-13 23:10:30,2020
8,False,True,active,15,0,True,11,2020-08-13 22:54:02+00:00,0,True,11,0,0,"{'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_count': 0, 'region': 'BOS', 'off_dock_capacity': 50, 'valet_revision': 87}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 23:10:30,2020
9,True,True,active,6,0,True,12,2020-08-13 23:08:44+00:00,0,True,12,0,12,,,2020-08-13 23:10:30,2020
10,False,True,active,11,0,True,13,2020-08-13 23:09:29+00:00,0,True,13,0,8,,,2020-08-13 23:10:30,2020
11,False,True,active,25,0,True,14,2020-08-13 22:50:22+00:00,0,True,14,0,0,,,2020-08-13 23:10:30,2020
12,False,True,active,3,0,True,15,2020-08-13 23:10:08+00:00,0,True,15,0,12,,,2020-08-13 23:10:30,2020
13,True,True,active,1,0,True,16,2020-08-13 22:51:46+00:00,0,True,16,0,18,,,2020-08-13 23:10:30,2020
14,False,True,active,10,0,True,17,2020-08-13 23:01:58+00:00,0,True,17,1,4,,,2020-08-13 23:10:30,2020
15,False,True,active,14,0,True,19,2020-08-13 23:05:18+00:00,0,True,19,1,0,,,2020-08-13 23:10:30,2020
16,True,True,active,6,0,True,20,2020-08-13 23:09:22+00:00,0,True,20,1,16,,,2020-08-13 23:10:30,2020
17,True,True,active,16,0,True,21,2020-08-13 23:09:02+00:00,0,True,21,0,2,,,2020-08-13 23:10:30,2020
18,True,True,active,39,0,True,22,2020-08-13 23:09:28+00:00,0,True,22,0,8,,,2020-08-13 23:10:30,2020
19,False,True,active,21,0,True,23,2020-08-13 22:30:30+00:00,0,True,23,0,0,,,2020-08-13 23:10:30,2020
20,False,True,active,5,0,True,24,2020-08-13 23:08:54+00:00,0,True,24,1,13,,,2020-08-13 23:10:30,2020
21,False,True,active,5,0,True,25,2020-08-13 22:59:35+00:00,0,True,25,0,10,,,2020-08-13 23:10:30,2020
22,False,True,active,6,0,True,26,2020-08-13 23:08:45+00:00,0,True,26,1,8,,,2020-08-13 23:10:30,2020
23,False,True,active,11,0,True,27,2020-08-13 22:55:02+00:00,0,True,27,1,11,,,2020-08-13 23:10:30,2020
