,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,station_status,num_docks_disabled,num_docks_available,is_returning,station_id,legacy_id,is_installed,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-06 20:08:02+00:00,False,0,8,active,0,7,True,3,3,True,0,True,,,2020-08-06 20:10:20,2020
1,2020-08-06 19:56:06+00:00,False,1,14,active,0,4,True,4,4,True,0,True,,,2020-08-06 20:10:20,2020
2,2020-08-06 20:09:16+00:00,False,1,2,active,0,12,True,5,5,True,0,True,,,2020-08-06 20:10:20,2020
3,2020-08-06 20:09:02+00:00,False,2,7,active,0,6,True,6,6,True,0,True,,,2020-08-06 20:10:20,2020
4,2020-08-06 19:40:16+00:00,False,0,8,active,0,7,True,7,7,True,0,True,,,2020-08-06 20:10:20,2020
5,2020-08-06 19:53:53+00:00,False,0,1,active,0,18,True,8,8,True,0,True,,,2020-08-06 20:10:20,2020
6,2020-08-06 19:47:59+00:00,False,1,11,active,0,3,True,9,9,True,0,True,,,2020-08-06 20:10:20,2020
7,2020-08-06 19:51:37+00:00,False,0,6,active,0,5,True,10,10,True,0,True,,,2020-08-06 20:10:20,2020
8,2020-08-06 20:09:04+00:00,False,1,2,active,0,12,True,11,11,True,0,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 48, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 79, 'dock_blocked_count': 0}",2020-08-06 20:10:20,2020
9,2020-08-06 20:06:50+00:00,True,0,17,active,0,1,True,12,12,True,0,True,,,2020-08-06 20:10:20,2020
10,2020-08-06 20:07:53+00:00,False,0,10,active,0,9,True,13,13,True,0,True,,,2020-08-06 20:10:20,2020
11,2020-08-06 20:10:05+00:00,False,2,15,active,0,8,True,14,14,True,0,True,,,2020-08-06 20:10:20,2020
12,2020-08-06 19:45:39+00:00,False,1,4,active,0,10,True,15,15,True,0,True,,,2020-08-06 20:10:20,2020
13,2020-08-06 20:06:55+00:00,True,0,5,active,0,14,True,16,16,True,0,True,,,2020-08-06 20:10:20,2020
14,2020-08-06 20:08:03+00:00,False,0,6,active,0,9,True,17,17,True,0,True,,,2020-08-06 20:10:20,2020
15,2020-08-06 18:25:48+00:00,False,0,0,active,0,15,True,19,19,True,0,True,,,2020-08-06 20:10:20,2020
16,2020-08-06 20:08:41+00:00,True,0,10,active,0,13,True,20,20,True,0,True,,,2020-08-06 20:10:20,2020
