,is_renting,is_returning,num_docks_disabled,is_installed,num_bikes_available,last_reported,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,eightd_has_available_keys,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,0,True,2,2020-08-08 02:44:35+00:00,active,0,3,0,False,13,3,,,2020-08-08 03:19:20,2020
1,True,True,0,True,10,2020-08-08 03:08:22+00:00,active,0,4,1,False,8,4,,,2020-08-08 03:19:20,2020
2,True,True,0,True,8,2020-08-08 03:10:41+00:00,active,0,5,1,False,6,5,,,2020-08-08 03:19:20,2020
3,True,True,0,True,6,2020-08-08 03:16:54+00:00,active,0,6,1,False,8,6,,,2020-08-08 03:19:20,2020
4,True,True,0,True,8,2020-08-08 02:49:43+00:00,active,0,7,0,False,7,7,,,2020-08-08 03:19:20,2020
5,True,True,0,True,13,2020-08-08 03:01:31+00:00,active,0,8,0,False,6,8,,,2020-08-08 03:19:20,2020
6,True,True,0,True,7,2020-08-08 01:42:16+00:00,active,0,9,2,False,6,9,,,2020-08-08 03:19:20,2020
7,True,True,0,True,2,2020-08-08 01:48:56+00:00,active,0,10,1,False,8,10,,,2020-08-08 03:19:20,2020
8,True,True,0,True,1,2020-08-08 02:48:06+00:00,active,0,11,1,False,13,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_count': 2, 'active': True, 'region': 'BOS', 'valet_revision': 81, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",2020-08-08 03:19:20,2020
9,True,True,0,True,1,2020-08-08 03:11:12+00:00,active,0,12,0,True,17,12,,,2020-08-08 03:19:20,2020
10,True,True,0,True,3,2020-08-08 03:15:58+00:00,active,0,13,0,False,16,13,,,2020-08-08 03:19:20,2020
11,True,True,0,True,0,2020-08-08 02:37:37+00:00,active,0,14,0,False,25,14,,,2020-08-08 03:19:20,2020
12,True,True,0,True,12,2020-08-08 00:59:32+00:00,active,0,15,1,False,2,15,,,2020-08-08 03:19:20,2020
13,True,True,0,True,15,2020-08-08 03:02:30+00:00,active,0,16,0,True,4,16,,,2020-08-08 03:19:20,2020
14,True,True,0,True,1,2020-08-08 02:57:28+00:00,active,0,17,1,False,13,17,,,2020-08-08 03:19:20,2020
15,True,True,0,True,13,2020-08-08 02:07:56+00:00,active,0,19,1,False,1,19,,,2020-08-08 03:19:20,2020
16,True,True,1,True,0,2020-08-08 03:13:52+00:00,active,0,20,1,True,21,20,,,2020-08-08 03:19:20,2020
17,True,True,0,True,6,2020-08-08 03:00:58+00:00,active,0,21,1,True,11,21,,,2020-08-08 03:19:20,2020
18,True,True,0,True,15,2020-08-08 02:50:08+00:00,active,0,22,0,True,32,22,,,2020-08-08 03:19:20,2020
19,True,True,0,True,4,2020-08-08 03:03:04+00:00,active,0,23,0,False,17,23,,,2020-08-08 03:19:20,2020
20,True,True,0,True,15,2020-08-08 03:17:44+00:00,active,0,24,0,False,4,24,,,2020-08-08 03:19:20,2020
21,True,True,0,True,13,2020-08-08 03:10:30+00:00,active,0,25,0,False,2,25,,,2020-08-08 03:19:20,2020
22,True,True,0,True,13,2020-08-08 02:57:33+00:00,active,0,26,1,False,1,26,,,2020-08-08 03:19:20,2020
