,station_id,num_bikes_available,is_renting,station_status,num_bikes_disabled,num_ebikes_available,num_docks_available,is_installed,is_returning,legacy_id,num_docks_disabled,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
45,53,18,True,active,1,0,0,True,True,53,0,2020-08-12 23:47:04+00:00,False,2020-08-12 23:50:55,2020
46,54,5,True,active,0,0,10,True,True,54,0,2020-08-12 23:47:40+00:00,False,2020-08-12 23:50:55,2020
47,55,10,True,active,0,0,5,True,True,55,0,2020-08-12 23:47:33+00:00,False,2020-08-12 23:50:55,2020
48,56,4,True,active,1,0,13,True,True,56,0,2020-08-12 23:39:12+00:00,True,2020-08-12 23:50:55,2020
49,57,11,True,active,1,0,2,True,True,57,0,2020-08-12 23:43:07+00:00,True,2020-08-12 23:50:55,2020
50,58,16,True,active,1,0,2,True,True,58,0,2020-08-12 23:50:16+00:00,True,2020-08-12 23:50:55,2020
51,59,2,True,active,0,0,17,True,True,59,0,2020-08-12 23:28:42+00:00,True,2020-08-12 23:50:55,2020
52,60,13,True,active,0,0,6,True,True,60,0,2020-08-12 23:49:29+00:00,False,2020-08-12 23:50:55,2020
53,61,5,True,active,0,0,14,True,True,61,0,2020-08-12 23:46:27+00:00,False,2020-08-12 23:50:55,2020
54,63,4,True,active,0,0,11,True,True,63,0,2020-08-12 23:39:28+00:00,False,2020-08-12 23:50:55,2020
55,64,14,True,active,0,0,5,True,True,64,0,2020-08-12 23:45:25+00:00,False,2020-08-12 23:50:55,2020
56,65,0,True,active,0,0,23,True,True,65,0,2020-08-12 22:07:17+00:00,False,2020-08-12 23:50:55,2020
57,66,11,True,active,1,0,3,True,True,66,0,2020-08-12 23:47:13+00:00,False,2020-08-12 23:50:55,2020
58,67,3,True,active,0,0,24,True,True,67,0,2020-08-12 23:50:40+00:00,True,2020-08-12 23:50:55,2020
59,68,12,True,active,3,0,4,True,True,68,0,2020-08-12 23:50:42+00:00,True,2020-08-12 23:50:55,2020
60,69,4,True,active,0,0,15,True,True,69,0,2020-08-12 23:43:18+00:00,True,2020-08-12 23:50:55,2020
61,70,19,True,active,0,0,4,True,True,70,0,2020-08-12 23:36:15+00:00,False,2020-08-12 23:50:55,2020
62,71,23,True,active,0,0,0,True,True,71,0,2020-08-12 23:41:36+00:00,False,2020-08-12 23:50:55,2020
63,72,9,True,active,0,0,14,True,True,72,0,2020-08-12 23:44:19+00:00,False,2020-08-12 23:50:55,2020
64,73,1,True,active,1,0,13,True,True,73,0,2020-08-12 23:50:02+00:00,False,2020-08-12 23:50:55,2020
65,74,18,True,active,1,0,0,True,True,74,0,2020-08-12 23:39:00+00:00,True,2020-08-12 23:50:55,2020
66,75,11,True,active,0,0,4,True,True,75,0,2020-08-12 23:46:21+00:00,False,2020-08-12 23:50:55,2020
67,76,11,True,active,0,0,6,True,True,76,0,2020-08-12 23:48:04+00:00,False,2020-08-12 23:50:55,2020
68,77,10,True,active,1,0,4,True,True,77,0,2020-08-12 23:09:02+00:00,False,2020-08-12 23:50:55,2020
69,78,16,True,active,0,0,3,True,True,78,0,2020-08-12 23:42:45+00:00,False,2020-08-12 23:50:55,2020
70,79,9,True,active,3,0,7,True,True,79,0,2020-08-12 23:47:09+00:00,False,2020-08-12 23:50:55,2020
71,80,3,True,active,0,0,32,True,True,80,0,2020-08-12 23:50:34+00:00,False,2020-08-12 23:50:55,2020
72,81,11,True,active,1,0,7,True,True,81,0,2020-08-12 23:50:34+00:00,False,2020-08-12 23:50:55,2020
73,82,4,True,active,0,0,11,True,True,82,0,2020-08-12 23:44:32+00:00,False,2020-08-12 23:50:55,2020
74,84,4,True,active,0,0,11,True,True,84,0,2020-08-12 23:37:29+00:00,False,2020-08-12 23:50:55,2020
75,85,2,True,active,0,0,17,True,True,85,0,2020-08-12 23:25:30+00:00,False,2020-08-12 23:50:55,2020
76,86,6,True,active,0,0,13,True,True,86,0,2020-08-12 23:49:06+00:00,False,2020-08-12 23:50:55,2020
77,87,14,True,active,0,0,1,True,True,87,0,2020-08-12 23:50:12+00:00,False,2020-08-12 23:50:55,2020
78,89,14,True,active,0,0,5,True,True,89,0,2020-08-12 23:20:36+00:00,False,2020-08-12 23:50:55,2020
79,90,7,True,active,0,0,12,True,True,90,0,2020-08-12 23:48:58+00:00,False,2020-08-12 23:50:55,2020
80,91,2,True,active,0,0,17,True,True,91,0,2020-08-12 23:26:08+00:00,False,2020-08-12 23:50:55,2020
81,92,8,True,active,1,0,10,True,True,92,0,2020-08-12 21:04:15+00:00,False,2020-08-12 23:50:55,2020
82,93,11,True,active,2,0,2,True,True,93,0,2020-08-12 23:47:12+00:00,False,2020-08-12 23:50:55,2020
83,94,4,True,active,0,0,7,True,True,94,0,2020-08-12 23:00:28+00:00,False,2020-08-12 23:50:55,2020
84,95,7,True,active,0,0,8,True,True,95,0,2020-08-12 23:48:52+00:00,False,2020-08-12 23:50:55,2020
85,96,16,True,active,0,0,3,True,True,96,0,2020-08-12 23:47:30+00:00,False,2020-08-12 23:50:55,2020
86,97,15,True,active,1,0,3,True,True,97,0,2020-08-12 23:48:33+00:00,False,2020-08-12 23:50:55,2020
87,98,11,True,active,1,0,11,True,True,98,0,2020-08-12 23:44:00+00:00,False,2020-08-12 23:50:55,2020
88,99,5,True,active,1,0,9,True,True,99,0,2020-08-12 23:07:39+00:00,False,2020-08-12 23:50:55,2020
89,100,24,True,active,0,0,1,True,True,100,0,2020-08-12 23:46:08+00:00,True,2020-08-12 23:50:55,2020
90,101,12,True,active,0,0,3,True,True,101,0,2020-08-12 23:13:52+00:00,False,2020-08-12 23:50:55,2020
91,102,2,True,active,0,0,13,True,True,102,0,2020-08-12 23:45:27+00:00,False,2020-08-12 23:50:55,2020
92,103,4,True,active,0,0,11,True,True,103,0,2020-08-12 23:44:33+00:00,False,2020-08-12 23:50:55,2020
93,104,10,True,active,0,0,9,True,True,104,0,2020-08-12 23:31:33+00:00,False,2020-08-12 23:50:55,2020
94,105,17,True,active,1,0,1,True,True,105,0,2020-08-12 23:46:24+00:00,False,2020-08-12 23:50:55,2020
95,106,2,True,active,1,0,12,True,True,106,0,2020-08-12 23:24:22+00:00,False,2020-08-12 23:50:55,2020
96,107,2,True,active,0,0,17,True,True,107,0,2020-08-12 23:45:41+00:00,False,2020-08-12 23:50:55,2020
97,108,5,True,active,0,0,12,True,True,108,0,2020-08-12 23:18:46+00:00,False,2020-08-12 23:50:55,2020
98,109,9,True,active,0,0,26,True,True,109,0,2020-08-12 23:49:44+00:00,False,2020-08-12 23:50:55,2020
