,num_ebikes_available,is_returning,station_id,station_status,legacy_id,num_bikes_available,is_installed,is_renting,last_reported,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,True,56,active,56,8,True,True,2020-08-18 17:25:36+00:00,False,0,9,1,,,2020-08-18 19:04:20,2020
49,0,True,57,active,57,3,True,True,2020-08-18 18:34:32+00:00,True,0,11,0,,,2020-08-18 19:04:20,2020
50,0,True,58,active,58,3,True,True,2020-08-18 19:02:53+00:00,True,0,14,2,,,2020-08-18 19:04:20,2020
51,0,True,59,active,59,5,True,True,2020-08-18 18:49:50+00:00,True,0,14,0,,,2020-08-18 19:04:20,2020
52,0,True,60,active,60,2,True,True,2020-08-18 19:03:01+00:00,False,0,17,0,,,2020-08-18 19:04:20,2020
53,0,True,61,active,61,3,True,True,2020-08-18 18:51:35+00:00,False,0,16,0,,,2020-08-18 19:04:20,2020
54,0,True,63,active,63,13,True,True,2020-08-18 17:10:01+00:00,False,0,2,0,,,2020-08-18 19:04:20,2020
55,0,True,64,active,64,16,True,True,2020-08-18 18:55:16+00:00,False,0,3,0,,,2020-08-18 19:04:20,2020
56,0,True,65,active,65,4,True,True,2020-08-18 18:55:23+00:00,False,0,19,0,,,2020-08-18 19:04:20,2020
57,0,True,66,active,66,1,True,True,2020-08-18 18:54:50+00:00,False,0,13,1,,,2020-08-18 19:04:20,2020
58,0,True,67,active,67,20,True,True,2020-08-18 18:57:04+00:00,True,0,6,1,,,2020-08-18 19:04:20,2020
59,0,True,68,active,68,15,True,True,2020-08-18 19:04:17+00:00,True,0,4,0,,,2020-08-18 19:04:20,2020
60,0,True,69,active,69,15,True,True,2020-08-18 18:56:57+00:00,True,0,4,0,,,2020-08-18 19:04:20,2020
61,0,True,70,active,70,18,True,True,2020-08-18 18:59:34+00:00,False,0,5,0,,,2020-08-18 19:04:20,2020
62,0,True,71,active,71,9,True,True,2020-08-18 18:57:42+00:00,False,0,14,0,,,2020-08-18 19:04:20,2020
63,0,True,72,active,72,17,True,True,2020-08-18 18:46:51+00:00,False,0,6,0,,,2020-08-18 19:04:20,2020
64,0,True,73,active,73,7,True,True,2020-08-18 18:51:26+00:00,False,0,6,2,,,2020-08-18 19:04:20,2020
65,0,True,74,active,74,16,True,True,2020-08-18 19:01:03+00:00,True,0,2,1,,,2020-08-18 19:04:20,2020
66,0,True,75,active,75,6,True,True,2020-08-18 18:48:17+00:00,False,0,8,1,,,2020-08-18 19:04:20,2020
67,0,True,76,active,76,5,True,True,2020-08-18 18:57:23+00:00,False,0,12,0,,,2020-08-18 19:04:20,2020
