,is_renting,eightd_has_available_keys,num_bikes_disabled,station_id,last_reported,num_bikes_available,num_docks_disabled,num_docks_available,num_ebikes_available,is_returning,station_status,legacy_id,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,True,False,0,3,2020-08-11 00:32:56+00:00,0,0,15,0,True,active,3,True,2020-08-11 01:11:25,2020
1,True,False,0,4,2020-08-11 00:08:57+00:00,10,0,9,0,True,active,4,True,2020-08-11 01:11:25,2020
2,True,False,0,5,2020-08-11 01:08:19+00:00,7,0,8,0,True,active,5,True,2020-08-11 01:11:25,2020
3,True,False,2,6,2020-08-11 01:07:39+00:00,5,0,8,0,True,active,6,True,2020-08-11 01:11:25,2020
4,True,False,0,7,2020-08-11 00:30:51+00:00,12,0,3,0,True,active,7,True,2020-08-11 01:11:25,2020
5,True,False,2,8,2020-08-11 01:09:31+00:00,16,0,1,0,True,active,8,True,2020-08-11 01:11:25,2020
6,True,False,0,9,2020-08-11 00:50:01+00:00,14,0,1,0,True,active,9,True,2020-08-11 01:11:25,2020
7,True,False,0,10,2020-08-11 00:59:26+00:00,5,0,6,0,True,active,10,True,2020-08-11 01:11:25,2020
8,True,False,0,11,2020-08-11 00:31:25+00:00,0,0,15,0,True,active,11,True,2020-08-11 01:11:25,2020
9,True,True,1,12,2020-08-11 01:11:16+00:00,9,0,8,0,True,active,12,True,2020-08-11 01:11:25,2020
10,True,False,0,13,2020-08-10 23:33:24+00:00,1,0,18,0,True,active,13,True,2020-08-11 01:11:25,2020
11,True,False,0,14,2020-08-11 00:57:46+00:00,1,0,24,0,True,active,14,True,2020-08-11 01:11:25,2020
12,True,False,0,15,2020-08-10 23:44:01+00:00,15,0,0,0,True,active,15,True,2020-08-11 01:11:25,2020
13,True,True,0,16,2020-08-11 00:20:11+00:00,7,0,12,0,True,active,16,True,2020-08-11 01:11:25,2020
14,True,False,1,17,2020-08-10 23:41:06+00:00,3,0,11,0,True,active,17,True,2020-08-11 01:11:25,2020
15,True,False,0,19,2020-08-11 00:54:07+00:00,11,0,4,0,True,active,19,True,2020-08-11 01:11:25,2020
16,True,True,3,20,2020-08-11 01:02:58+00:00,5,0,15,0,True,active,20,True,2020-08-11 01:11:25,2020
17,True,True,0,21,2020-08-11 00:50:05+00:00,8,0,10,0,True,active,21,True,2020-08-11 01:11:25,2020
18,True,True,2,22,2020-08-11 01:09:22+00:00,9,0,36,0,True,active,22,True,2020-08-11 01:11:25,2020
19,True,False,1,23,2020-08-11 00:51:13+00:00,0,0,20,0,True,active,23,True,2020-08-11 01:11:25,2020
20,True,False,1,24,2020-08-11 00:50:42+00:00,2,0,16,0,True,active,24,True,2020-08-11 01:11:25,2020
21,True,False,2,25,2020-08-11 00:41:51+00:00,8,0,5,0,True,active,25,True,2020-08-11 01:11:25,2020
