,last_reported,is_renting,eightd_has_available_keys,num_bikes_available,num_docks_available,num_bikes_disabled,legacy_id,num_ebikes_available,is_installed,station_id,num_docks_disabled,station_status,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,2020-08-06 00:22:03+00:00,True,False,13,5,0,49,0,True,49,0,active,True,,,2020-08-06 00:22:45,2020
42,2020-08-06 00:20:28+00:00,True,True,11,3,1,50,0,True,50,0,active,True,,,2020-08-06 00:22:45,2020
43,2020-08-06 00:06:13+00:00,True,False,7,8,0,51,0,True,51,0,active,True,,,2020-08-06 00:22:45,2020
44,2020-08-06 00:19:03+00:00,True,True,17,6,0,52,0,True,52,0,active,True,,,2020-08-06 00:22:45,2020
45,2020-08-06 00:21:55+00:00,True,False,14,3,2,53,0,True,53,0,active,True,,,2020-08-06 00:22:45,2020
46,2020-08-06 00:20:59+00:00,True,False,6,9,0,54,0,True,54,0,active,True,,,2020-08-06 00:22:45,2020
47,2020-08-05 23:52:18+00:00,True,False,9,5,1,55,0,True,55,0,active,True,,,2020-08-06 00:22:45,2020
48,2020-08-06 00:00:36+00:00,True,True,7,11,0,56,0,True,56,0,active,True,,,2020-08-06 00:22:45,2020
49,2020-08-06 00:12:19+00:00,True,True,7,6,1,57,0,True,57,0,active,True,,,2020-08-06 00:22:45,2020
50,2020-08-06 00:21:38+00:00,True,True,16,3,0,58,0,True,58,0,active,True,,,2020-08-06 00:22:45,2020
51,2020-08-06 00:21:14+00:00,True,True,4,15,0,59,0,True,59,0,active,True,,,2020-08-06 00:22:45,2020
52,2020-08-06 00:22:27+00:00,True,False,5,12,2,60,0,True,60,0,active,True,,,2020-08-06 00:22:45,2020
53,2020-08-06 00:22:01+00:00,True,False,7,11,1,61,0,True,61,0,active,True,,,2020-08-06 00:22:45,2020
54,2020-08-05 23:58:55+00:00,True,False,5,10,0,63,0,True,63,0,active,True,,,2020-08-06 00:22:45,2020
55,2020-08-06 00:15:35+00:00,True,False,7,12,0,64,0,True,64,0,active,True,,,2020-08-06 00:22:45,2020
56,2020-08-05 22:32:27+00:00,True,False,5,17,1,65,0,True,65,0,active,True,,,2020-08-06 00:22:45,2020
57,2020-08-06 00:11:51+00:00,True,False,7,8,0,66,0,True,66,0,active,True,,,2020-08-06 00:22:45,2020
58,2020-08-06 00:21:48+00:00,True,True,1,26,0,67,0,True,67,0,active,True,,,2020-08-06 00:22:45,2020
59,2020-08-06 00:20:25+00:00,True,True,10,8,1,68,0,True,68,0,active,True,,,2020-08-06 00:22:45,2020
60,2020-08-06 00:08:52+00:00,True,True,9,8,2,69,0,True,69,0,active,True,,,2020-08-06 00:22:45,2020
61,2020-08-06 00:21:29+00:00,True,False,19,4,0,70,0,True,70,0,active,True,,,2020-08-06 00:22:45,2020
62,2020-08-05 23:45:39+00:00,True,False,20,3,0,71,0,True,71,0,active,True,,,2020-08-06 00:22:45,2020
63,2020-08-06 00:10:03+00:00,True,False,5,18,0,72,0,True,72,0,active,True,,,2020-08-06 00:22:45,2020
64,2020-08-06 00:20:00+00:00,True,False,4,11,0,73,0,True,73,0,active,True,,,2020-08-06 00:22:45,2020
65,2020-08-06 00:17:32+00:00,True,True,19,0,0,74,0,True,74,0,active,True,,,2020-08-06 00:22:45,2020
66,2020-08-06 00:13:18+00:00,True,False,9,6,0,75,0,True,75,0,active,True,,,2020-08-06 00:22:45,2020
67,2020-08-06 00:17:26+00:00,True,False,7,9,1,76,0,True,76,0,active,True,,,2020-08-06 00:22:45,2020
68,2020-08-05 23:58:02+00:00,True,False,10,5,0,77,0,True,77,0,active,True,,,2020-08-06 00:22:45,2020
69,2020-08-06 00:19:13+00:00,True,False,13,5,1,78,0,True,78,0,active,True,,,2020-08-06 00:22:45,2020
70,2020-08-06 00:19:09+00:00,True,False,9,10,0,79,0,True,79,0,active,True,,,2020-08-06 00:22:45,2020
71,2020-08-05 23:55:22+00:00,True,False,0,35,0,80,0,True,80,0,active,True,,,2020-08-06 00:22:45,2020
72,2020-08-06 00:14:00+00:00,True,False,3,16,0,81,0,True,81,0,active,True,,,2020-08-06 00:22:45,2020
73,2020-08-05 23:58:09+00:00,True,False,6,7,2,82,0,True,82,0,active,True,,,2020-08-06 00:22:45,2020
74,2020-08-06 00:18:53+00:00,True,False,9,5,1,84,0,True,84,0,active,True,,,2020-08-06 00:22:45,2020
75,2020-08-06 00:01:50+00:00,True,False,1,18,0,85,0,True,85,0,active,True,,,2020-08-06 00:22:45,2020
76,2020-08-06 00:21:21+00:00,True,False,9,9,1,86,0,True,86,0,active,True,,,2020-08-06 00:22:45,2020
77,2020-08-06 00:20:30+00:00,True,False,10,5,0,87,0,True,87,0,active,True,,,2020-08-06 00:22:45,2020
78,2020-08-06 00:14:43+00:00,True,False,10,9,0,89,0,True,89,0,active,True,,,2020-08-06 00:22:45,2020
79,2020-08-06 00:16:32+00:00,True,False,9,10,0,90,0,True,90,0,active,True,,,2020-08-06 00:22:45,2020
80,2020-08-06 00:13:55+00:00,True,False,2,17,0,91,0,True,91,0,active,True,,,2020-08-06 00:22:45,2020
81,2020-08-06 00:04:06+00:00,True,False,10,8,1,92,0,True,92,0,active,True,,,2020-08-06 00:22:45,2020
82,2020-08-05 23:51:50+00:00,True,False,8,6,1,93,0,True,93,0,active,True,,,2020-08-06 00:22:45,2020
83,2020-08-06 00:17:46+00:00,True,False,0,11,0,94,0,True,94,0,active,True,,,2020-08-06 00:22:45,2020
84,2020-08-05 23:50:40+00:00,True,False,8,7,0,95,0,True,95,0,active,True,,,2020-08-06 00:22:45,2020
85,2020-08-06 00:01:26+00:00,True,False,11,8,0,96,0,True,96,0,active,True,,,2020-08-06 00:22:45,2020
86,2020-08-06 00:09:28+00:00,True,False,10,8,1,97,0,True,97,0,active,True,,,2020-08-06 00:22:45,2020
87,2020-08-06 00:21:02+00:00,True,False,16,5,2,98,0,True,98,0,active,True,,,2020-08-06 00:22:45,2020
88,2020-08-06 00:02:52+00:00,True,False,12,3,0,99,0,True,99,0,active,True,,,2020-08-06 00:22:45,2020
89,2020-08-06 00:17:35+00:00,True,True,21,3,1,100,0,True,100,0,active,True,,,2020-08-06 00:22:45,2020
90,2020-08-05 23:56:48+00:00,True,False,13,2,0,101,0,True,101,0,active,True,,,2020-08-06 00:22:45,2020
91,2020-08-06 00:02:19+00:00,True,False,12,3,0,102,0,True,102,0,active,True,,,2020-08-06 00:22:45,2020
92,2020-08-05 23:27:37+00:00,True,False,4,11,0,103,0,True,103,0,active,True,,,2020-08-06 00:22:45,2020
93,2020-08-06 00:18:02+00:00,True,False,5,14,0,104,0,True,104,0,active,True,,,2020-08-06 00:22:45,2020
94,2020-08-06 00:18:04+00:00,True,False,16,2,1,105,0,True,105,0,active,True,,,2020-08-06 00:22:45,2020
95,2020-08-05 23:53:02+00:00,True,False,4,11,0,106,0,True,106,0,active,True,,,2020-08-06 00:22:45,2020
96,2020-08-06 00:16:52+00:00,True,False,0,18,1,107,0,True,107,0,active,True,,,2020-08-06 00:22:45,2020
97,2020-08-06 00:09:45+00:00,True,False,8,9,0,108,0,True,108,0,active,True,,,2020-08-06 00:22:45,2020
98,2020-08-06 00:04:49+00:00,True,False,10,25,0,109,0,True,109,0,active,True,,,2020-08-06 00:22:45,2020
