,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,is_installed,num_bikes_available,is_renting,eightd_has_available_keys,station_id,station_status,num_docks_available,num_docks_disabled,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-11 22:13:01+00:00,0,1,3,True,1,True,False,3,active,13,0,True,,,2020-08-11 22:16:05,2020
1,2020-08-11 21:59:27+00:00,0,0,4,True,9,True,False,4,active,10,0,True,,,2020-08-11 22:16:05,2020
2,2020-08-11 22:14:38+00:00,0,0,5,True,6,True,False,5,active,9,0,True,,,2020-08-11 22:16:05,2020
3,2020-08-11 22:15:41+00:00,0,3,6,True,4,True,False,6,active,8,0,True,,,2020-08-11 22:16:05,2020
4,2020-08-11 22:03:27+00:00,0,0,7,True,9,True,False,7,active,6,0,True,,,2020-08-11 22:16:05,2020
5,2020-08-11 21:46:55+00:00,0,0,8,True,5,True,False,8,active,14,0,True,,,2020-08-11 22:16:05,2020
6,2020-08-11 22:05:45+00:00,0,0,9,True,9,True,False,9,active,6,0,True,,,2020-08-11 22:16:05,2020
7,2020-08-11 22:04:31+00:00,0,0,10,True,7,True,False,10,active,4,0,True,,,2020-08-11 22:16:05,2020
8,2020-08-11 22:15:23+00:00,0,0,11,True,5,True,False,11,active,10,0,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 83, 'off_dock_count': 1, 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",2020-08-11 22:16:05,2020
9,2020-08-11 22:10:02+00:00,0,0,12,True,18,True,True,12,active,0,0,True,,,2020-08-11 22:16:05,2020
10,2020-08-11 22:13:25+00:00,0,0,13,True,1,True,False,13,active,18,0,True,,,2020-08-11 22:16:05,2020
11,2020-08-11 21:55:39+00:00,0,0,14,True,1,True,False,14,active,24,0,True,,,2020-08-11 22:16:05,2020
12,2020-08-11 22:14:45+00:00,0,0,15,True,9,True,False,15,active,6,0,True,,,2020-08-11 22:16:05,2020
13,2020-08-11 21:52:24+00:00,0,1,16,True,13,True,True,16,active,5,0,True,,,2020-08-11 22:16:05,2020
14,2020-08-11 21:50:27+00:00,0,1,17,True,10,True,False,17,active,4,0,True,,,2020-08-11 22:16:05,2020
15,2020-08-11 22:12:00+00:00,0,0,19,True,3,True,False,19,active,12,0,True,,,2020-08-11 22:16:05,2020
16,2020-08-11 22:11:51+00:00,0,0,20,True,8,True,True,20,active,15,0,True,,,2020-08-11 22:16:05,2020
17,2020-08-11 22:04:49+00:00,0,0,21,True,3,True,True,21,active,15,0,True,,,2020-08-11 22:16:05,2020
18,2020-08-11 22:15:26+00:00,0,0,22,True,7,True,True,22,active,40,0,True,,,2020-08-11 22:16:05,2020
19,2020-08-11 22:15:49+00:00,0,0,23,True,7,True,False,23,active,14,0,True,,,2020-08-11 22:16:05,2020
20,2020-08-11 22:15:32+00:00,0,2,24,True,5,True,False,24,active,12,0,True,,,2020-08-11 22:16:05,2020
21,2020-08-11 22:11:52+00:00,0,1,25,True,5,True,False,25,active,9,0,True,,,2020-08-11 22:16:05,2020
22,2020-08-11 22:01:10+00:00,0,1,26,True,7,True,False,26,active,7,0,True,,,2020-08-11 22:16:05,2020
23,2020-08-11 22:14:27+00:00,0,1,27,True,18,True,False,27,active,4,0,True,,,2020-08-11 22:16:05,2020
24,2020-08-11 21:10:53+00:00,0,0,29,True,13,True,False,29,active,2,0,True,,,2020-08-11 22:16:05,2020
25,2020-08-11 22:15:03+00:00,0,0,30,True,1,True,False,30,active,14,0,True,,,2020-08-11 22:16:05,2020
26,2020-08-11 22:11:45+00:00,0,0,31,True,2,True,True,31,active,17,0,True,,,2020-08-11 22:16:05,2020
27,2020-08-11 22:12:49+00:00,0,0,32,True,1,True,False,32,active,14,0,True,,,2020-08-11 22:16:05,2020
28,2020-08-11 22:12:56+00:00,0,0,33,True,8,True,False,33,active,19,0,True,,,2020-08-11 22:16:05,2020
29,2020-08-11 22:02:39+00:00,0,0,35,True,13,True,False,35,active,10,0,True,,,2020-08-11 22:16:05,2020
30,2020-08-11 22:08:11+00:00,0,0,36,True,16,True,True,36,active,17,0,True,,,2020-08-11 22:16:05,2020
31,2020-08-11 21:52:27+00:00,0,0,37,True,1,True,True,37,active,14,0,True,,,2020-08-11 22:16:05,2020
32,2020-08-11 22:11:10+00:00,0,0,39,True,13,True,False,39,active,10,0,True,,,2020-08-11 22:16:05,2020
33,2020-08-11 22:12:49+00:00,0,1,40,True,2,True,False,40,active,16,0,True,,,2020-08-11 22:16:05,2020
34,2020-08-11 22:15:52+00:00,0,0,41,True,15,True,True,41,active,12,0,True,,,2020-08-11 22:16:05,2020
35,2020-08-11 22:15:13+00:00,0,1,42,True,11,True,False,42,active,11,0,True,,,2020-08-11 22:16:05,2020
36,2020-08-11 21:10:27+00:00,0,0,43,True,8,True,True,43,active,7,0,True,,,2020-08-11 22:16:05,2020
37,2020-08-11 21:21:55+00:00,0,0,44,True,3,True,False,44,active,20,0,True,,,2020-08-11 22:16:05,2020
38,2020-08-11 22:12:43+00:00,0,1,46,True,14,True,False,46,active,4,0,True,,,2020-08-11 22:16:05,2020
39,2020-08-11 22:13:47+00:00,0,0,47,True,9,True,True,47,active,10,0,True,,,2020-08-11 22:16:05,2020
40,2020-08-11 22:14:47+00:00,0,1,48,True,1,True,False,48,active,17,0,True,,,2020-08-11 22:16:05,2020
41,2020-08-11 21:09:14+00:00,0,0,49,True,13,True,False,49,active,5,0,True,,,2020-08-11 22:16:05,2020
42,2020-08-11 22:02:53+00:00,0,0,50,True,4,True,True,50,active,11,0,True,,,2020-08-11 22:16:05,2020
43,2020-08-11 22:12:12+00:00,0,0,51,True,5,True,False,51,active,10,0,True,,,2020-08-11 22:16:05,2020
44,2020-08-11 22:15:35+00:00,0,0,52,True,14,True,True,52,active,9,0,True,,,2020-08-11 22:16:05,2020
45,2020-08-11 22:11:52+00:00,0,1,53,True,12,True,False,53,active,6,0,True,,,2020-08-11 22:16:05,2020
46,2020-08-11 22:09:08+00:00,0,0,54,True,2,True,False,54,active,13,0,True,,,2020-08-11 22:16:05,2020
47,2020-08-11 22:15:50+00:00,0,1,55,True,8,True,False,55,active,6,0,True,,,2020-08-11 22:16:05,2020
48,2020-08-11 22:12:25+00:00,0,0,56,True,6,True,True,56,active,12,0,True,,,2020-08-11 22:16:05,2020
49,2020-08-11 22:00:02+00:00,0,0,57,True,12,True,True,57,active,2,0,True,,,2020-08-11 22:16:05,2020
50,2020-08-11 22:11:49+00:00,0,2,58,True,17,True,True,58,active,0,0,True,,,2020-08-11 22:16:05,2020
51,2020-08-11 22:02:06+00:00,0,0,59,True,3,True,True,59,active,16,0,True,,,2020-08-11 22:16:05,2020
