,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,True,0,0,3,True,1,3,2020-08-09 00:54:01+00:00,14,True,active,0,False,2020-08-09 01:00:30,2020
1,True,0,0,4,True,7,4,2020-08-09 00:40:28+00:00,12,True,active,0,False,2020-08-09 01:00:30,2020
2,True,0,0,5,True,3,5,2020-08-09 00:59:59+00:00,12,True,active,0,False,2020-08-09 01:00:30,2020
3,True,1,0,6,True,3,6,2020-08-09 00:58:06+00:00,11,True,active,0,False,2020-08-09 01:00:30,2020
4,True,0,0,7,True,1,7,2020-08-09 00:30:44+00:00,14,True,active,0,False,2020-08-09 01:00:30,2020
5,True,0,0,8,True,16,8,2020-08-09 00:49:00+00:00,3,True,active,0,False,2020-08-09 01:00:30,2020
6,True,2,0,9,True,2,9,2020-08-09 00:33:32+00:00,11,True,active,0,False,2020-08-09 01:00:30,2020
7,True,1,0,10,True,6,10,2020-08-09 00:59:12+00:00,4,True,active,0,False,2020-08-09 01:00:30,2020
8,True,1,0,11,True,6,11,2020-08-09 00:33:58+00:00,8,True,active,0,False,2020-08-09 01:00:30,2020
9,True,0,0,12,True,5,12,2020-08-09 00:58:36+00:00,13,True,active,0,True,2020-08-09 01:00:30,2020
10,True,0,0,13,True,4,13,2020-08-09 00:44:45+00:00,15,True,active,0,False,2020-08-09 01:00:30,2020
11,True,0,0,14,True,1,14,2020-08-09 00:34:42+00:00,24,True,active,0,False,2020-08-09 01:00:30,2020
12,True,0,0,15,True,8,15,2020-08-09 00:55:45+00:00,7,True,active,0,False,2020-08-09 01:00:30,2020
13,True,0,0,16,True,6,16,2020-08-09 00:25:08+00:00,13,True,active,0,True,2020-08-09 01:00:30,2020
14,True,1,0,17,True,3,17,2020-08-09 01:00:09+00:00,11,True,active,0,False,2020-08-09 01:00:30,2020
15,True,1,0,19,True,3,19,2020-08-09 00:39:04+00:00,11,True,active,0,False,2020-08-09 01:00:30,2020
16,True,0,0,20,True,1,20,2020-08-09 00:41:20+00:00,22,True,active,0,True,2020-08-09 01:00:30,2020
17,True,0,0,21,True,14,21,2020-08-09 00:36:46+00:00,4,True,active,0,True,2020-08-09 01:00:30,2020
18,True,0,0,22,True,8,22,2020-08-09 00:52:01+00:00,39,True,active,0,True,2020-08-09 01:00:30,2020
19,True,1,0,23,True,12,23,2020-08-09 00:59:39+00:00,8,True,active,0,False,2020-08-09 01:00:30,2020
20,True,2,0,24,True,11,24,2020-08-09 00:54:29+00:00,6,True,active,0,False,2020-08-09 01:00:30,2020
21,True,0,0,25,True,7,25,2020-08-09 00:10:24+00:00,8,True,active,0,False,2020-08-09 01:00:30,2020
22,True,0,0,26,True,9,26,2020-08-09 00:54:31+00:00,6,True,active,0,False,2020-08-09 01:00:30,2020
23,True,0,0,27,True,3,27,2020-08-09 00:56:28+00:00,20,True,active,0,False,2020-08-09 01:00:30,2020
24,True,2,0,29,True,3,29,2020-08-09 00:38:57+00:00,10,True,active,0,False,2020-08-09 01:00:30,2020
25,True,0,0,30,True,8,30,2020-08-09 00:59:41+00:00,7,True,active,0,False,2020-08-09 01:00:30,2020
26,True,0,0,31,True,8,31,2020-08-08 23:50:34+00:00,11,True,active,0,False,2020-08-09 01:00:30,2020
