,station_id,is_installed,num_docks_available,is_renting,is_returning,last_reported,num_bikes_available,num_docks_disabled,legacy_id,num_bikes_disabled,eightd_has_available_keys,station_status,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,60,True,13,True,True,2020-08-19 00:54:53+00:00,4,0,60,2,False,active,0,2020-08-19 01:01:45,2020
53,61,True,8,True,True,2020-08-19 01:01:38+00:00,11,0,61,0,False,active,0,2020-08-19 01:01:45,2020
54,63,True,0,True,True,2020-08-19 00:24:41+00:00,15,0,63,0,False,active,0,2020-08-19 01:01:45,2020
55,64,True,9,True,True,2020-08-19 01:00:21+00:00,9,0,64,1,False,active,0,2020-08-19 01:01:45,2020
56,65,True,23,True,True,2020-08-18 22:07:36+00:00,0,0,65,0,False,active,0,2020-08-19 01:01:45,2020
57,66,True,3,True,True,2020-08-19 00:58:31+00:00,11,0,66,1,False,active,0,2020-08-19 01:01:45,2020
58,67,True,24,True,True,2020-08-19 00:49:31+00:00,3,0,67,0,True,active,0,2020-08-19 01:01:45,2020
59,68,True,4,True,True,2020-08-19 00:53:49+00:00,15,0,68,0,True,active,0,2020-08-19 01:01:45,2020
60,69,True,4,True,True,2020-08-19 00:31:47+00:00,15,0,69,0,True,active,0,2020-08-19 01:01:45,2020
61,70,True,16,True,True,2020-08-19 00:49:23+00:00,7,0,70,0,False,active,0,2020-08-19 01:01:45,2020
62,71,True,6,True,True,2020-08-19 00:17:41+00:00,17,0,71,0,False,active,0,2020-08-19 01:01:45,2020
63,72,True,8,True,True,2020-08-19 00:24:32+00:00,15,0,72,0,False,active,0,2020-08-19 01:01:45,2020
64,73,True,6,True,True,2020-08-19 00:55:59+00:00,6,0,73,3,False,active,0,2020-08-19 01:01:45,2020
65,74,True,6,True,True,2020-08-19 00:52:30+00:00,12,0,74,1,True,active,0,2020-08-19 01:01:45,2020
66,75,True,10,True,True,2020-08-19 00:51:14+00:00,4,0,75,1,False,active,0,2020-08-19 01:01:45,2020
67,76,True,1,True,True,2020-08-19 00:57:04+00:00,16,0,76,0,False,active,0,2020-08-19 01:01:45,2020
68,77,True,7,True,True,2020-08-19 00:25:17+00:00,8,0,77,0,False,active,0,2020-08-19 01:01:45,2020
69,78,True,9,True,True,2020-08-19 00:46:23+00:00,10,0,78,0,False,active,0,2020-08-19 01:01:45,2020
70,79,True,1,True,True,2020-08-19 00:49:17+00:00,16,0,79,2,False,active,0,2020-08-19 01:01:45,2020
71,80,True,35,True,True,2020-08-19 00:45:02+00:00,0,0,80,0,False,active,0,2020-08-19 01:01:45,2020
72,81,True,8,True,True,2020-08-19 00:58:03+00:00,9,0,81,2,False,active,0,2020-08-19 01:01:45,2020
73,82,True,5,True,True,2020-08-19 00:39:06+00:00,9,0,82,1,False,active,0,2020-08-19 01:01:45,2020
