,num_bikes_disabled,num_bikes_available,legacy_id,last_reported,is_returning,num_ebikes_available,is_renting,num_docks_available,station_status,station_id,is_installed,eightd_has_available_keys,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,7,56,2020-08-20 22:49:10+00:00,True,0,True,11,active,56,True,False,0,,,2020-08-20 22:52:45,2020
49,0,0,57,2020-08-20 22:44:34+00:00,True,0,True,14,active,57,True,True,0,,,2020-08-20 22:52:45,2020
50,1,10,58,2020-08-20 22:52:30+00:00,True,0,True,8,active,58,True,True,0,,,2020-08-20 22:52:45,2020
51,0,9,59,2020-08-20 22:51:32+00:00,True,0,True,10,active,59,True,True,0,,,2020-08-20 22:52:45,2020
52,0,11,60,2020-08-20 22:51:59+00:00,True,0,True,8,active,60,True,False,0,"{'dock_blocked_count': 0, 'valet_revision': 87, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'region': 'BOS', 'off_dock_count': 14}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 22:52:45,2020
53,0,19,61,2020-08-20 22:47:05+00:00,True,0,True,0,active,61,True,False,0,,,2020-08-20 22:52:45,2020
54,0,4,63,2020-08-20 22:43:49+00:00,True,0,True,11,active,63,True,False,0,,,2020-08-20 22:52:45,2020
55,0,13,64,2020-08-20 22:46:28+00:00,True,0,True,6,active,64,True,False,0,,,2020-08-20 22:52:45,2020
56,1,5,65,2020-08-20 22:02:00+00:00,True,0,True,17,active,65,True,False,0,,,2020-08-20 22:52:45,2020
57,0,3,66,2020-08-20 22:51:01+00:00,True,0,True,12,active,66,True,False,0,,,2020-08-20 22:52:45,2020
58,3,12,67,2020-08-20 22:46:14+00:00,True,0,True,12,active,67,True,True,0,,,2020-08-20 22:52:45,2020
59,0,15,68,2020-08-20 22:49:46+00:00,True,0,True,4,active,68,True,True,0,,,2020-08-20 22:52:45,2020
60,0,12,69,2020-08-20 22:44:00+00:00,True,0,True,7,active,69,True,True,0,,,2020-08-20 22:52:45,2020
61,0,17,70,2020-08-20 22:41:23+00:00,True,0,True,6,active,70,True,False,0,,,2020-08-20 22:52:45,2020
62,2,14,71,2020-08-20 22:51:19+00:00,True,0,True,7,active,71,True,False,0,,,2020-08-20 22:52:45,2020
63,0,6,72,2020-08-20 22:51:35+00:00,True,0,True,17,active,72,True,False,0,,,2020-08-20 22:52:45,2020
64,0,10,73,2020-08-20 22:51:32+00:00,True,0,True,5,active,73,True,False,0,,,2020-08-20 22:52:45,2020
65,2,8,74,2020-08-20 22:52:07+00:00,True,0,True,9,active,74,True,True,0,,,2020-08-20 22:52:45,2020
66,1,0,75,2020-08-20 22:30:03+00:00,True,0,True,14,active,75,True,False,0,,,2020-08-20 22:52:45,2020
67,2,9,76,2020-08-20 22:50:47+00:00,True,0,True,6,active,76,True,False,0,,,2020-08-20 22:52:45,2020
68,0,2,77,2020-08-20 22:29:03+00:00,True,0,True,13,active,77,True,False,0,,,2020-08-20 22:52:45,2020
69,0,16,78,2020-08-20 22:44:10+00:00,True,0,True,3,active,78,True,False,0,,,2020-08-20 22:52:45,2020
70,2,7,79,2020-08-20 22:46:52+00:00,True,0,True,10,active,79,True,False,0,,,2020-08-20 22:52:45,2020
71,0,5,80,2020-08-20 22:45:42+00:00,True,0,True,30,active,80,True,False,0,,,2020-08-20 22:52:45,2020
72,0,13,81,2020-08-20 22:48:45+00:00,True,0,True,6,active,81,True,False,0,,,2020-08-20 22:52:45,2020
73,1,3,82,2020-08-20 22:22:22+00:00,True,0,True,11,active,82,True,False,0,,,2020-08-20 22:52:45,2020
74,1,5,84,2020-08-20 22:47:51+00:00,True,0,True,9,active,84,True,False,0,,,2020-08-20 22:52:45,2020
75,0,0,85,2020-08-20 22:29:05+00:00,True,0,True,19,active,85,True,False,0,,,2020-08-20 22:52:45,2020
76,0,3,86,2020-08-20 22:47:07+00:00,True,0,True,16,active,86,True,False,0,,,2020-08-20 22:52:45,2020
77,1,5,87,2020-08-20 22:49:43+00:00,True,0,True,9,active,87,True,False,0,,,2020-08-20 22:52:45,2020
78,0,10,89,2020-08-20 22:52:34+00:00,True,0,True,9,active,89,True,False,0,,,2020-08-20 22:52:45,2020
79,0,9,90,2020-08-20 22:51:33+00:00,True,0,True,10,active,90,True,False,0,,,2020-08-20 22:52:45,2020
80,0,6,91,2020-08-20 22:52:22+00:00,True,0,True,13,active,91,True,False,0,,,2020-08-20 22:52:45,2020
81,1,9,92,2020-08-20 21:45:43+00:00,True,0,True,9,active,92,True,False,0,,,2020-08-20 22:52:45,2020
