,station_status,legacy_id,num_ebikes_available,is_renting,num_bikes_disabled,station_id,num_bikes_available,num_docks_available,is_returning,is_installed,eightd_has_available_keys,num_docks_disabled,last_reported,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
50,active,58,0,True,0,58,2,17,True,True,True,0,2020-07-31 05:01:29+00:00,,,2020-07-31 07:53:25,2020
51,active,59,0,True,0,59,12,7,True,True,True,0,2020-07-31 04:39:51+00:00,,,2020-07-31 07:53:25,2020
52,active,60,0,True,0,60,15,4,True,True,False,0,2020-07-31 06:37:08+00:00,"{'region': 'BOS', 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'active': True, 'off_dock_count': 2}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 07:53:25,2020
53,active,61,0,True,0,61,0,19,True,True,False,0,2020-07-31 06:21:52+00:00,,,2020-07-31 07:53:25,2020
54,active,63,0,True,0,63,11,4,True,True,False,0,2020-07-31 03:00:04+00:00,,,2020-07-31 07:53:25,2020
55,active,64,0,True,1,64,8,10,True,True,False,0,2020-07-31 05:06:52+00:00,,,2020-07-31 07:53:25,2020
56,active,65,0,True,1,65,5,17,True,True,False,0,2020-07-31 06:49:17+00:00,,,2020-07-31 07:53:25,2020
57,active,66,0,True,0,66,15,0,True,True,False,0,2020-07-31 06:19:48+00:00,,,2020-07-31 07:53:25,2020
58,active,67,0,True,1,67,3,23,True,True,True,0,2020-07-31 06:40:05+00:00,,,2020-07-31 07:53:25,2020
59,active,68,0,True,1,68,11,7,True,True,True,0,2020-07-31 04:43:58+00:00,,,2020-07-31 07:53:25,2020
60,active,69,0,True,2,69,12,5,True,True,True,0,2020-07-31 04:07:06+00:00,,,2020-07-31 07:53:25,2020
61,active,70,0,True,0,70,14,9,True,True,False,0,2020-07-31 04:10:47+00:00,,,2020-07-31 07:53:25,2020
62,active,71,0,True,0,71,23,0,True,True,False,0,2020-07-31 04:09:48+00:00,,,2020-07-31 07:53:25,2020
63,active,72,0,True,0,72,1,22,True,True,False,0,2020-07-31 04:14:48+00:00,,,2020-07-31 07:53:25,2020
64,active,73,0,True,0,73,8,7,True,True,False,0,2020-07-31 04:10:11+00:00,,,2020-07-31 07:53:25,2020
65,active,74,0,True,0,74,3,16,True,True,True,0,2020-07-31 04:18:52+00:00,,,2020-07-31 07:53:25,2020
66,active,75,0,True,0,75,4,11,True,True,False,0,2020-07-31 04:51:26+00:00,,,2020-07-31 07:53:25,2020
67,active,76,0,True,0,76,13,4,True,True,False,0,2020-07-31 05:25:51+00:00,,,2020-07-31 07:53:25,2020
68,active,77,0,True,0,77,8,7,True,True,False,0,2020-07-31 02:46:05+00:00,,,2020-07-31 07:53:25,2020
69,active,78,0,True,1,78,14,4,True,True,False,0,2020-07-31 07:25:57+00:00,,,2020-07-31 07:53:25,2020
