,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp,year
0,3,0,0,0,15,0,True,True,True,2020-03-10 23:22:52+00:00,2020
1,4,19,0,0,0,0,True,True,True,2020-03-11 02:06:30+00:00,2020
2,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
3,6,8,0,0,7,0,True,True,True,2020-03-11 02:55:03+00:00,2020
4,7,11,0,0,4,0,True,True,True,2020-03-11 02:36:59+00:00,2020
5,8,13,0,0,6,0,True,True,True,2020-03-11 02:35:00+00:00,2020
6,9,8,0,0,7,0,True,True,True,2020-03-11 02:19:36+00:00,2020
7,10,1,0,2,8,0,True,True,True,2020-03-11 03:00:40+00:00,2020
8,11,1,0,0,14,0,True,True,True,2020-03-11 02:49:39+00:00,2020
9,12,8,0,1,9,0,True,True,True,2020-03-11 02:43:05+00:00,2020
10,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
11,14,0,0,0,25,0,True,True,True,2020-03-11 02:52:32+00:00,2020
12,15,9,0,2,4,0,True,True,True,2020-03-11 02:54:29+00:00,2020
13,16,1,0,0,18,0,True,True,True,2020-03-11 02:33:40+00:00,2020
14,17,3,0,0,12,0,True,True,True,2020-03-11 03:00:00+00:00,2020
15,19,0,0,2,13,0,True,True,True,2020-03-11 02:52:07+00:00,2020
16,20,15,0,1,7,0,True,True,True,2020-03-11 01:07:05+00:00,2020
17,21,0,0,0,18,0,True,True,True,2020-03-11 01:22:51+00:00,2020
18,22,18,0,0,29,0,True,True,True,2020-03-11 02:54:32+00:00,2020
19,23,1,0,0,20,0,True,True,True,2020-03-11 03:04:32+00:00,2020
20,24,0,0,1,18,0,True,True,True,2020-03-10 23:58:52+00:00,2020
21,25,14,0,1,0,0,True,True,True,2020-03-11 00:18:16+00:00,2020
22,26,14,0,0,1,0,True,True,True,2020-03-11 01:56:48+00:00,2020
23,27,22,0,1,0,0,True,True,True,2020-03-11 01:53:27+00:00,2020
24,29,1,0,0,14,0,True,True,True,2020-03-11 01:49:31+00:00,2020
25,30,0,0,0,15,0,True,True,True,2020-03-10 23:57:08+00:00,2020
26,31,3,0,0,16,0,True,True,True,2020-03-10 23:06:24+00:00,2020
27,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
28,33,8,0,0,19,0,True,True,True,2020-03-11 03:02:43+00:00,2020
29,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00,2019
30,36,0,0,1,32,0,True,True,True,2020-03-11 01:05:40+00:00,2020
31,37,7,0,0,8,0,True,True,True,2020-03-11 01:30:53+00:00,2020
32,39,22,0,1,0,0,True,True,True,2020-03-11 02:30:19+00:00,2020
33,40,14,0,0,5,0,True,True,True,2020-03-11 02:50:55+00:00,2020
34,41,25,0,2,0,0,True,True,True,2020-03-11 01:11:56+00:00,2020
35,42,10,0,3,10,0,True,True,True,2020-03-11 01:07:43+00:00,2020
36,43,0,0,0,15,0,True,True,True,2020-03-11 00:11:16+00:00,2020
37,44,9,0,0,14,0,True,True,True,2020-03-11 00:41:57+00:00,2020
38,46,15,0,0,4,0,True,True,True,2020-03-11 03:03:04+00:00,2020
39,47,17,0,0,2,0,True,True,True,2020-03-11 02:16:33+00:00,2020
40,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00,2020
41,49,6,0,1,11,0,True,True,True,2020-03-11 02:49:10+00:00,2020
42,50,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
43,51,9,0,0,6,0,True,True,True,2020-03-11 01:12:57+00:00,2020
44,52,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
45,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00,2020
46,54,0,0,0,15,0,True,True,True,2020-03-11 02:09:39+00:00,2020
47,55,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,1970
48,56,3,0,0,15,0,True,True,True,2020-03-11 00:24:37+00:00,2020
49,57,13,0,0,1,0,True,True,True,2020-03-11 01:27:13+00:00,2020
50,58,9,0,2,8,0,True,True,True,2020-03-11 02:44:59+00:00,2020
51,59,1,0,1,17,0,True,True,True,2020-03-11 00:55:56+00:00,2020
