,last_reported,is_returning,num_bikes_disabled,station_id,is_renting,num_docks_disabled,num_ebikes_available,is_installed,num_bikes_available,station_status,num_docks_available,eightd_has_available_keys,legacy_id,timestamp_of_data_read_request,year_station_last_reported
45,2020-08-05 05:06:12+00:00,True,0,53,True,0,0,True,14,active,5,False,53,2020-08-05 06:08:10,2020
46,2020-08-05 05:23:18+00:00,True,0,54,True,0,0,True,12,active,3,False,54,2020-08-05 06:08:10,2020
47,2020-08-05 05:57:19+00:00,True,0,55,True,0,0,True,13,active,2,False,55,2020-08-05 06:08:10,2020
48,2020-08-05 03:25:12+00:00,True,0,56,True,0,0,True,10,active,8,True,56,2020-08-05 06:08:10,2020
49,2020-08-05 04:37:30+00:00,True,1,57,True,0,0,True,5,active,8,True,57,2020-08-05 06:08:10,2020
50,2020-08-05 04:41:31+00:00,True,0,58,True,0,0,True,7,active,12,True,58,2020-08-05 06:08:10,2020
51,2020-08-05 03:58:16+00:00,True,0,59,True,0,0,True,4,active,15,True,59,2020-08-05 06:08:10,2020
52,2020-08-05 02:36:19+00:00,True,1,60,True,0,0,True,7,active,11,False,60,2020-08-05 06:08:10,2020
53,2020-08-05 05:48:29+00:00,True,0,61,True,0,0,True,2,active,17,False,61,2020-08-05 06:08:10,2020
54,2020-08-04 23:07:50+00:00,True,0,63,True,0,0,True,5,active,10,False,63,2020-08-05 06:08:10,2020
55,2020-08-04 23:41:56+00:00,True,0,64,True,0,0,True,9,active,10,False,64,2020-08-05 06:08:10,2020
56,2020-08-05 02:07:24+00:00,True,1,65,True,0,0,True,5,active,17,False,65,2020-08-05 06:08:10,2020
57,2020-08-05 06:03:22+00:00,True,0,66,True,0,0,True,8,active,7,False,66,2020-08-05 06:08:10,2020
58,2020-08-05 05:44:18+00:00,True,0,67,True,0,0,True,3,active,24,True,67,2020-08-05 06:08:10,2020
59,2020-08-05 04:28:13+00:00,True,0,68,True,0,0,True,4,active,15,True,68,2020-08-05 06:08:10,2020
60,2020-08-05 05:13:50+00:00,True,0,69,True,0,0,True,15,active,4,True,69,2020-08-05 06:08:10,2020
61,2020-08-05 03:39:38+00:00,True,0,70,True,0,0,True,21,active,2,False,70,2020-08-05 06:08:10,2020
62,2020-08-05 00:48:57+00:00,True,0,71,True,0,0,True,20,active,3,False,71,2020-08-05 06:08:10,2020
63,2020-08-05 04:18:44+00:00,True,0,72,True,0,0,True,4,active,19,False,72,2020-08-05 06:08:10,2020
64,2020-08-05 03:35:03+00:00,True,0,73,True,0,0,True,3,active,12,False,73,2020-08-05 06:08:10,2020
65,2020-08-05 04:51:15+00:00,True,0,74,True,0,0,True,8,active,11,True,74,2020-08-05 06:08:10,2020
66,2020-08-05 03:04:28+00:00,True,0,75,True,0,0,True,4,active,11,False,75,2020-08-05 06:08:10,2020
67,2020-08-05 03:30:19+00:00,True,0,76,True,0,0,True,10,active,7,False,76,2020-08-05 06:08:10,2020
68,2020-08-05 04:08:38+00:00,True,0,77,True,0,0,True,8,active,7,False,77,2020-08-05 06:08:10,2020
69,2020-08-05 03:38:57+00:00,True,0,78,True,0,0,True,16,active,3,False,78,2020-08-05 06:08:10,2020
70,2020-08-05 03:39:22+00:00,True,0,79,True,0,0,True,15,active,4,False,79,2020-08-05 06:08:10,2020
71,2020-08-05 01:38:15+00:00,True,0,80,True,0,0,True,0,active,35,False,80,2020-08-05 06:08:10,2020
72,2020-08-05 05:38:11+00:00,True,0,81,True,0,0,True,12,active,7,False,81,2020-08-05 06:08:10,2020
73,2020-08-05 01:48:06+00:00,True,1,82,True,0,0,True,10,active,4,False,82,2020-08-05 06:08:10,2020
74,2020-08-05 05:40:11+00:00,True,0,84,True,0,0,True,7,active,8,False,84,2020-08-05 06:08:10,2020
75,2020-08-05 02:35:51+00:00,True,0,85,True,0,0,True,2,active,17,False,85,2020-08-05 06:08:10,2020
76,2020-08-05 04:43:12+00:00,True,0,86,True,0,0,True,6,active,13,False,86,2020-08-05 06:08:10,2020
77,2020-08-05 03:40:43+00:00,True,0,87,True,0,0,True,10,active,5,False,87,2020-08-05 06:08:10,2020
78,2020-08-05 02:42:39+00:00,True,0,89,True,0,0,True,18,active,1,False,89,2020-08-05 06:08:10,2020
79,2020-08-05 06:04:54+00:00,True,0,90,True,0,0,True,17,active,2,False,90,2020-08-05 06:08:10,2020
80,2020-08-05 03:06:04+00:00,True,0,91,True,0,0,True,4,active,15,False,91,2020-08-05 06:08:10,2020
81,2020-08-04 17:12:55+00:00,True,0,92,True,0,0,True,15,active,4,False,92,2020-08-05 06:08:10,2020
82,2020-08-04 21:18:51+00:00,True,1,93,True,0,0,True,11,active,3,False,93,2020-08-05 06:08:10,2020
83,2020-08-05 04:54:31+00:00,True,0,94,True,0,0,True,4,active,7,False,94,2020-08-05 06:08:10,2020
84,2020-08-05 04:30:46+00:00,True,0,95,True,0,0,True,11,active,4,False,95,2020-08-05 06:08:10,2020
85,2020-08-05 02:51:31+00:00,True,0,96,True,0,0,True,17,active,2,False,96,2020-08-05 06:08:10,2020
86,2020-08-05 03:51:42+00:00,True,0,97,True,0,0,True,13,active,6,False,97,2020-08-05 06:08:10,2020
87,2020-08-04 23:24:11+00:00,True,0,98,True,0,0,True,15,active,8,False,98,2020-08-05 06:08:10,2020
88,2020-08-05 04:38:02+00:00,True,0,99,True,0,0,True,7,active,8,False,99,2020-08-05 06:08:10,2020
89,2020-08-05 02:43:38+00:00,True,1,100,True,0,0,True,17,active,7,True,100,2020-08-05 06:08:10,2020
90,2020-08-05 00:32:54+00:00,True,0,101,True,0,0,True,15,active,0,False,101,2020-08-05 06:08:10,2020
91,2020-08-05 03:57:12+00:00,True,1,102,True,0,0,True,12,active,2,False,102,2020-08-05 06:08:10,2020
92,2020-08-05 03:20:14+00:00,True,1,103,True,0,0,True,6,active,8,False,103,2020-08-05 06:08:10,2020
93,2020-08-05 03:28:31+00:00,True,0,104,True,0,0,True,6,active,13,False,104,2020-08-05 06:08:10,2020
94,2020-08-05 02:38:52+00:00,True,1,105,True,0,0,True,7,active,11,False,105,2020-08-05 06:08:10,2020
95,2020-08-05 02:48:11+00:00,True,0,106,True,0,0,True,4,active,11,False,106,2020-08-05 06:08:10,2020
96,2020-08-05 01:10:45+00:00,True,0,107,True,0,0,True,0,active,19,False,107,2020-08-05 06:08:10,2020
97,2020-08-05 04:31:18+00:00,True,1,108,True,0,0,True,5,active,11,False,108,2020-08-05 06:08:10,2020
98,2020-08-05 05:14:10+00:00,True,1,109,True,0,0,True,10,active,24,False,109,2020-08-05 06:08:10,2020
99,2020-08-05 02:49:19+00:00,True,0,110,True,0,0,True,8,active,7,False,110,2020-08-05 06:08:10,2020
100,2020-08-05 02:50:17+00:00,True,0,111,True,0,0,True,4,active,11,False,111,2020-08-05 06:08:10,2020
101,2020-08-05 00:45:28+00:00,True,0,112,True,0,0,True,9,active,6,False,112,2020-08-05 06:08:10,2020
102,2020-08-04 23:32:16+00:00,True,1,113,True,0,0,True,14,active,0,False,113,2020-08-05 06:08:10,2020
103,2020-08-05 02:41:04+00:00,True,0,114,True,0,0,True,10,active,5,False,114,2020-08-05 06:08:10,2020
104,2020-08-05 05:41:10+00:00,True,0,115,True,0,0,True,18,active,1,False,115,2020-08-05 06:08:10,2020
105,2020-08-05 04:24:27+00:00,True,0,116,True,0,0,True,21,active,2,False,116,2020-08-05 06:08:10,2020
106,2020-08-05 03:33:14+00:00,True,0,117,True,0,0,True,8,active,11,False,117,2020-08-05 06:08:10,2020
107,2020-08-05 02:34:12+00:00,True,0,118,True,0,0,True,16,active,3,False,118,2020-08-05 06:08:10,2020
108,2020-08-05 03:34:53+00:00,True,1,119,True,0,0,True,0,active,14,False,119,2020-08-05 06:08:10,2020
109,2020-08-05 03:49:33+00:00,True,0,120,True,0,0,True,7,active,8,False,120,2020-08-05 06:08:10,2020
110,2020-08-05 05:06:55+00:00,True,0,121,True,0,0,True,3,active,14,False,121,2020-08-05 06:08:10,2020
111,2020-08-05 05:29:01+00:00,True,0,122,True,0,0,True,2,active,13,False,122,2020-08-05 06:08:10,2020
112,2020-08-04 21:00:19+00:00,True,0,124,True,0,0,True,1,active,14,False,124,2020-08-05 06:08:10,2020
113,2020-08-05 01:50:42+00:00,True,0,125,True,0,0,True,3,active,12,False,125,2020-08-05 06:08:10,2020
114,2020-08-05 04:28:16+00:00,True,1,126,True,0,0,True,1,active,13,False,126,2020-08-05 06:08:10,2020
115,2020-08-05 01:20:29+00:00,True,0,128,True,0,0,True,16,active,3,False,128,2020-08-05 06:08:10,2020
116,2020-08-04 22:37:04+00:00,True,0,129,True,0,0,True,17,active,2,False,129,2020-08-05 06:08:10,2020
117,2020-08-05 01:49:34+00:00,True,0,130,True,0,0,True,12,active,3,False,130,2020-08-05 06:08:10,2020
118,2020-08-05 04:53:57+00:00,True,0,131,True,0,0,True,15,active,3,False,131,2020-08-05 06:08:10,2020
119,2020-08-05 02:22:48+00:00,True,1,133,True,0,0,True,14,active,8,False,133,2020-08-05 06:08:10,2020
120,2020-08-05 00:23:42+00:00,True,0,135,True,0,0,True,11,active,6,False,135,2020-08-05 06:08:10,2020
121,2020-08-05 00:59:53+00:00,True,1,136,True,0,0,True,8,active,10,False,136,2020-08-05 06:08:10,2020
122,2020-08-05 01:17:55+00:00,True,0,137,True,0,0,True,7,active,8,False,137,2020-08-05 06:08:10,2020
123,2020-08-05 01:24:17+00:00,True,1,138,True,0,0,True,9,active,5,False,138,2020-08-05 06:08:10,2020
124,2020-08-05 04:43:22+00:00,True,0,139,True,0,0,True,12,active,7,False,139,2020-08-05 06:08:10,2020
125,2020-08-05 01:30:09+00:00,True,0,140,True,0,0,True,16,active,1,False,140,2020-08-05 06:08:10,2020
126,2020-08-05 03:15:11+00:00,True,2,141,True,0,0,True,3,active,10,False,141,2020-08-05 06:08:10,2020
127,2020-08-04 23:38:23+00:00,True,2,142,True,0,0,True,10,active,11,False,142,2020-08-05 06:08:10,2020
128,2020-08-05 06:03:37+00:00,True,0,143,True,0,0,True,15,active,8,False,143,2020-08-05 06:08:10,2020
129,2020-08-05 02:36:27+00:00,True,0,144,True,0,0,True,2,active,17,False,144,2020-08-05 06:08:10,2020
130,2020-08-05 02:56:12+00:00,True,0,145,True,0,0,True,19,active,0,False,145,2020-08-05 06:08:10,2020
131,2020-08-05 01:13:12+00:00,True,2,146,True,0,0,True,9,active,8,False,146,2020-08-05 06:08:10,2020
132,2020-08-05 03:06:52+00:00,True,0,149,True,0,0,True,4,active,14,True,149,2020-08-05 06:08:10,2020
133,2020-08-05 00:47:33+00:00,True,0,150,True,0,0,True,3,active,16,False,150,2020-08-05 06:08:10,2020
134,2020-08-05 03:37:50+00:00,True,0,151,True,0,0,True,4,active,15,False,151,2020-08-05 06:08:10,2020
135,2020-08-05 00:47:51+00:00,True,0,152,True,0,0,True,12,active,3,True,152,2020-08-05 06:08:10,2020
136,2020-08-05 02:44:20+00:00,True,0,156,True,0,0,True,6,active,9,False,156,2020-08-05 06:08:10,2020
137,2020-08-05 02:07:51+00:00,True,2,157,True,0,0,True,5,active,8,False,157,2020-08-05 06:08:10,2020
138,2020-08-05 04:06:41+00:00,True,1,159,True,0,0,True,8,active,6,False,159,2020-08-05 06:08:10,2020
139,2020-08-05 00:38:43+00:00,True,0,160,True,0,0,True,0,active,14,True,160,2020-08-05 06:08:10,2020
140,2020-08-05 05:30:30+00:00,True,0,161,True,0,0,True,15,active,8,True,161,2020-08-05 06:08:10,2020
141,2020-08-05 05:50:46+00:00,True,1,162,True,0,0,True,4,active,10,False,162,2020-08-05 06:08:10,2020
142,2020-08-05 03:45:28+00:00,True,0,163,True,0,0,True,5,active,14,True,163,2020-08-05 06:08:10,2020
143,2020-08-05 05:19:36+00:00,True,2,167,True,0,0,True,13,active,0,False,167,2020-08-05 06:08:10,2020
144,2020-08-04 21:44:42+00:00,True,0,169,True,0,0,True,16,active,3,False,169,2020-08-05 06:08:10,2020
145,2020-08-05 00:41:34+00:00,True,0,170,True,0,0,True,1,active,13,True,170,2020-08-05 06:08:10,2020
