,is_installed,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,num_docks_available,num_bikes_available,eightd_has_available_keys,station_id,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
152,True,active,2020-08-13 13:21:56+00:00,178,0,0,True,0,10,9,False,178,True,,,2020-08-13 13:27:55,2020
153,True,active,2020-08-13 13:22:55+00:00,179,0,0,True,0,10,15,False,179,True,,,2020-08-13 13:27:55,2020
154,True,active,2020-08-13 11:28:01+00:00,180,0,0,True,0,7,12,False,180,True,,,2020-08-13 13:27:55,2020
155,True,active,2020-08-13 12:42:00+00:00,181,0,0,True,0,13,6,False,181,True,,,2020-08-13 13:27:55,2020
156,True,active,2020-08-13 12:58:52+00:00,182,0,0,True,0,16,3,True,182,True,,,2020-08-13 13:27:55,2020
157,True,active,2020-08-13 12:53:56+00:00,183,0,1,True,0,17,1,False,183,True,,,2020-08-13 13:27:55,2020
158,True,active,2020-08-13 13:23:21+00:00,184,0,0,True,0,4,15,False,184,True,,,2020-08-13 13:27:55,2020
159,True,active,2020-08-13 13:26:39+00:00,185,0,0,True,0,15,0,False,185,True,,,2020-08-13 13:27:55,2020
160,True,active,2020-08-13 13:23:20+00:00,186,0,0,True,0,10,5,True,186,True,,,2020-08-13 13:27:55,2020
161,True,active,2020-08-13 12:54:47+00:00,187,0,0,True,0,9,6,False,187,True,,,2020-08-13 13:27:55,2020
162,True,active,2020-08-13 12:33:10+00:00,188,0,1,True,0,1,13,False,188,True,,,2020-08-13 13:27:55,2020
163,True,active,2020-08-13 13:21:20+00:00,189,0,1,True,0,20,2,True,189,True,,,2020-08-13 13:27:55,2020
164,True,active,2020-08-13 13:24:44+00:00,190,0,2,True,0,32,3,True,190,True,,,2020-08-13 13:27:55,2020
165,True,active,2020-08-13 12:56:29+00:00,191,0,0,True,0,9,6,False,191,True,,,2020-08-13 13:27:55,2020
166,True,active,2020-08-13 13:19:19+00:00,192,0,0,True,0,5,14,False,192,True,,,2020-08-13 13:27:55,2020
167,True,active,2020-08-13 13:18:48+00:00,193,0,0,True,0,15,0,True,193,True,,,2020-08-13 13:27:55,2020
168,True,active,2020-08-13 13:21:48+00:00,194,0,0,True,0,18,1,False,194,True,,,2020-08-13 13:27:55,2020
169,True,active,2020-08-13 13:25:32+00:00,195,0,0,True,0,15,8,False,195,True,,,2020-08-13 13:27:55,2020
170,True,active,2020-08-13 12:23:47+00:00,196,0,0,True,0,9,1,True,196,True,,,2020-08-13 13:27:55,2020
171,True,active,2020-08-13 03:23:40+00:00,197,0,1,True,0,9,5,False,197,True,,,2020-08-13 13:27:55,2020
172,True,active,2020-08-13 09:42:43+00:00,199,0,0,True,0,12,3,False,199,True,,,2020-08-13 13:27:55,2020
173,True,active,2020-08-13 13:22:52+00:00,200,0,1,True,0,4,14,False,200,True,,,2020-08-13 13:27:55,2020
174,True,active,2020-08-13 03:24:32+00:00,201,0,0,True,0,15,0,False,201,True,,,2020-08-13 13:27:55,2020
175,True,active,2020-08-13 03:24:58+00:00,202,0,0,True,0,10,5,False,202,True,,,2020-08-13 13:27:55,2020
176,True,active,2020-08-13 03:23:40+00:00,203,0,0,True,0,14,1,False,203,True,,,2020-08-13 13:27:55,2020
177,True,active,2020-08-13 04:10:02+00:00,204,0,1,True,0,14,0,False,204,True,,,2020-08-13 13:27:55,2020
178,True,active,2020-08-13 12:19:03+00:00,205,0,0,True,0,14,1,False,205,True,,,2020-08-13 13:27:55,2020
179,True,active,2020-08-13 13:21:49+00:00,206,0,1,True,0,10,12,True,206,True,,,2020-08-13 13:27:55,2020
180,True,active,2020-08-13 13:08:39+00:00,208,0,0,True,0,8,7,True,208,True,,,2020-08-13 13:27:55,2020
181,True,active,2020-08-13 11:56:39+00:00,209,0,0,True,0,8,7,False,209,True,,,2020-08-13 13:27:55,2020
182,True,active,2020-08-13 04:34:35+00:00,210,0,0,True,0,12,3,False,210,True,,,2020-08-13 13:27:55,2020
183,True,active,2020-08-13 12:51:32+00:00,211,0,0,True,0,15,4,False,211,True,,,2020-08-13 13:27:55,2020
184,True,active,2020-08-13 13:03:24+00:00,212,0,0,True,0,1,32,False,212,True,,,2020-08-13 13:27:55,2020
185,True,active,2020-08-13 03:28:10+00:00,213,0,0,True,0,13,3,True,213,True,,,2020-08-13 13:27:55,2020
186,True,active,2020-08-13 13:19:16+00:00,214,0,0,True,0,14,1,False,214,True,,,2020-08-13 13:27:55,2020
187,True,active,2020-08-13 10:44:35+00:00,215,0,0,True,0,10,5,False,215,True,,,2020-08-13 13:27:55,2020
188,True,active,2020-08-13 04:04:19+00:00,216,0,1,True,0,0,18,False,216,True,,,2020-08-13 13:27:55,2020
189,True,active,2020-08-13 13:08:47+00:00,217,0,0,True,0,10,9,False,217,True,,,2020-08-13 13:27:55,2020
190,True,active,2020-08-13 13:22:45+00:00,218,0,0,True,0,13,2,False,218,True,,,2020-08-13 13:27:55,2020
191,True,active,2020-08-13 11:05:56+00:00,219,0,1,True,0,7,7,False,219,True,,,2020-08-13 13:27:55,2020
192,True,active,2020-08-13 12:49:48+00:00,221,0,0,True,0,10,9,False,221,True,,,2020-08-13 13:27:55,2020
193,True,active,2020-08-13 13:23:58+00:00,222,0,0,True,0,10,4,True,222,True,,,2020-08-13 13:27:55,2020
194,True,active,2020-08-13 13:25:28+00:00,224,0,2,True,0,3,12,False,224,True,,,2020-08-13 13:27:55,2020
195,True,active,2020-08-13 13:07:22+00:00,225,0,0,True,0,8,11,False,225,True,,,2020-08-13 13:27:55,2020
196,True,active,2020-08-13 13:22:56+00:00,226,0,0,True,0,14,1,False,226,True,,,2020-08-13 13:27:55,2020
197,True,active,2020-08-13 13:18:30+00:00,227,0,3,True,0,6,10,False,227,True,,,2020-08-13 13:27:55,2020
198,True,active,2020-08-13 12:39:21+00:00,228,0,1,True,0,10,8,False,228,True,,,2020-08-13 13:27:55,2020
199,True,active,2020-08-13 03:23:26+00:00,232,0,0,True,0,4,7,False,232,True,,,2020-08-13 13:27:55,2020
200,True,active,2020-08-12 18:16:55+00:00,233,0,0,False,0,9,6,False,233,False,,,2020-08-13 13:27:55,2020
201,True,active,2020-08-13 13:27:32+00:00,234,0,0,True,0,13,2,False,234,True,,,2020-08-13 13:27:55,2020
202,True,active,2020-08-13 03:23:39+00:00,235,0,0,True,0,5,10,False,235,True,,,2020-08-13 13:27:55,2020
203,True,active,2020-08-13 13:16:34+00:00,236,0,0,True,0,2,13,False,236,True,,,2020-08-13 13:27:55,2020
204,True,active,2020-08-13 13:23:51+00:00,239,0,0,True,0,6,9,False,239,True,,,2020-08-13 13:27:55,2020
205,True,active,2020-08-13 12:33:28+00:00,255,0,0,True,0,5,10,False,255,True,,,2020-08-13 13:27:55,2020
206,True,active,2020-08-13 12:17:43+00:00,258,0,0,True,0,4,11,False,258,True,,,2020-08-13 13:27:55,2020
207,True,active,2020-08-13 13:03:23+00:00,259,0,0,True,0,2,13,False,259,True,,,2020-08-13 13:27:55,2020
208,True,active,2020-08-12 20:35:39+00:00,260,0,0,False,0,3,12,False,260,False,,,2020-08-13 13:27:55,2020
209,True,active,2020-08-13 09:08:25+00:00,271,0,0,True,0,11,4,False,271,True,,,2020-08-13 13:27:55,2020
210,True,active,2020-08-13 06:47:02+00:00,272,0,1,True,0,13,5,False,272,True,,,2020-08-13 13:27:55,2020
211,True,active,2020-08-13 13:23:37+00:00,273,0,0,True,0,26,14,False,273,True,,,2020-08-13 13:27:55,2020
212,True,active,2020-08-13 13:01:00+00:00,279,0,0,True,0,1,18,False,279,True,,,2020-08-13 13:27:55,2020
