,eightd_has_available_keys,is_renting,station_status,num_docks_available,num_docks_disabled,is_installed,station_id,last_reported,num_ebikes_available,is_returning,legacy_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,False,True,active,14,0,True,3,2020-08-13 23:47:40+00:00,0,True,3,1,0,,,2020-08-14 00:22:10,2020
1,False,True,active,4,0,True,4,2020-08-13 23:34:26+00:00,0,True,4,0,15,,,2020-08-14 00:22:10,2020
2,False,True,active,13,0,True,5,2020-08-14 00:16:21+00:00,0,True,5,0,2,,,2020-08-14 00:22:10,2020
3,False,True,active,13,0,True,6,2020-08-14 00:16:43+00:00,0,True,6,1,1,,,2020-08-14 00:22:10,2020
4,False,True,active,10,0,True,7,2020-08-14 00:10:31+00:00,0,True,7,0,5,,,2020-08-14 00:22:10,2020
5,False,True,active,10,0,True,8,2020-08-14 00:17:08+00:00,0,True,8,0,9,,,2020-08-14 00:22:10,2020
6,False,True,active,4,0,True,9,2020-08-14 00:20:49+00:00,0,True,9,1,10,,,2020-08-14 00:22:10,2020
7,False,True,active,7,0,True,10,2020-08-14 00:13:36+00:00,0,True,10,1,3,,,2020-08-14 00:22:10,2020
8,False,True,active,15,0,True,11,2020-08-14 00:16:56+00:00,0,True,11,0,0,"{'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_count': 0, 'region': 'BOS', 'off_dock_capacity': 50, 'valet_revision': 87}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-14 00:22:10,2020
9,True,True,active,6,0,True,12,2020-08-14 00:13:39+00:00,0,True,12,0,12,,,2020-08-14 00:22:10,2020
10,False,True,active,17,0,True,13,2020-08-13 23:46:52+00:00,0,True,13,0,2,,,2020-08-14 00:22:10,2020
11,False,True,active,25,0,True,14,2020-08-13 23:54:25+00:00,0,True,14,0,0,,,2020-08-14 00:22:10,2020
12,False,True,active,0,0,True,15,2020-08-13 23:37:16+00:00,0,True,15,0,15,,,2020-08-14 00:22:10,2020
13,True,True,active,2,0,True,16,2020-08-14 00:03:52+00:00,0,True,16,0,17,,,2020-08-14 00:22:10,2020
14,False,True,active,10,0,True,17,2020-08-14 00:01:49+00:00,0,True,17,1,4,,,2020-08-14 00:22:10,2020
15,False,True,active,15,0,True,19,2020-08-13 23:58:23+00:00,0,True,19,0,0,,,2020-08-14 00:22:10,2020
16,True,True,active,14,0,True,20,2020-08-14 00:06:20+00:00,0,True,20,1,8,,,2020-08-14 00:22:10,2020
17,True,True,active,14,0,True,21,2020-08-14 00:08:00+00:00,0,True,21,0,4,,,2020-08-14 00:22:10,2020
18,True,True,active,42,0,True,22,2020-08-13 23:51:44+00:00,0,True,22,0,5,,,2020-08-14 00:22:10,2020
19,False,True,active,18,0,True,23,2020-08-13 23:37:38+00:00,0,True,23,0,3,,,2020-08-14 00:22:10,2020
20,False,True,active,3,0,True,24,2020-08-14 00:18:03+00:00,0,True,24,1,15,,,2020-08-14 00:22:10,2020
21,False,True,active,0,0,True,25,2020-08-14 00:17:43+00:00,0,True,25,0,15,,,2020-08-14 00:22:10,2020
22,False,True,active,4,0,True,26,2020-08-14 00:17:31+00:00,0,True,26,1,10,,,2020-08-14 00:22:10,2020
23,False,True,active,11,0,True,27,2020-08-14 00:08:27+00:00,0,True,27,0,12,,,2020-08-14 00:22:10,2020
24,False,True,active,10,0,True,29,2020-08-13 22:23:51+00:00,0,True,29,0,5,,,2020-08-14 00:22:10,2020
25,False,True,active,9,0,True,30,2020-08-14 00:18:11+00:00,0,True,30,1,5,,,2020-08-14 00:22:10,2020
26,True,True,active,13,0,True,31,2020-08-13 23:47:53+00:00,0,True,31,0,6,,,2020-08-14 00:22:10,2020
27,False,True,active,15,0,True,32,2020-08-14 00:16:25+00:00,0,True,32,0,0,,,2020-08-14 00:22:10,2020
28,False,True,active,16,0,True,33,2020-08-14 00:01:31+00:00,0,True,33,0,11,,,2020-08-14 00:22:10,2020
29,False,True,active,16,0,True,35,2020-08-13 23:56:47+00:00,0,True,35,0,7,,,2020-08-14 00:22:10,2020
30,True,True,active,32,0,True,36,2020-08-14 00:21:12+00:00,0,True,36,0,1,,,2020-08-14 00:22:10,2020
31,True,True,active,13,0,True,37,2020-08-13 21:53:32+00:00,0,True,37,0,2,,,2020-08-14 00:22:10,2020
32,False,True,active,11,0,True,39,2020-08-14 00:20:20+00:00,0,True,39,0,12,,,2020-08-14 00:22:10,2020
33,False,True,active,10,0,True,40,2020-08-14 00:14:12+00:00,0,True,40,0,9,,,2020-08-14 00:22:10,2020
34,True,True,active,11,0,True,41,2020-08-14 00:21:48+00:00,0,True,41,0,16,,,2020-08-14 00:22:10,2020
35,False,True,active,16,0,True,42,2020-08-14 00:18:02+00:00,0,True,42,2,5,,,2020-08-14 00:22:10,2020
36,True,True,active,7,0,True,43,2020-08-13 23:01:23+00:00,0,True,43,1,7,,,2020-08-14 00:22:10,2020
37,False,True,active,22,0,True,44,2020-08-14 00:12:55+00:00,0,True,44,0,1,,,2020-08-14 00:22:10,2020
38,False,True,active,17,0,True,46,2020-08-14 00:21:12+00:00,0,True,46,0,2,,,2020-08-14 00:22:10,2020
39,True,True,active,14,0,True,47,2020-08-14 00:12:36+00:00,0,True,47,3,2,,,2020-08-14 00:22:10,2020
