,last_reported,num_ebikes_available,is_returning,legacy_id,station_status,num_docks_available,station_id,num_docks_disabled,num_bikes_available,is_installed,eightd_has_available_keys,num_bikes_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,2020-08-01 06:47:50+00:00,0,True,56,active,7,56,0,11,True,True,0,True,,,2020-08-01 06:51:50,2020
49,2020-08-01 05:15:33+00:00,0,True,57,active,2,57,0,12,True,True,0,True,,,2020-08-01 06:51:50,2020
50,2020-08-01 06:29:39+00:00,0,True,58,active,15,58,0,4,True,True,0,True,,,2020-08-01 06:51:50,2020
51,2020-08-01 03:18:33+00:00,0,True,59,active,11,59,0,8,True,False,0,True,,,2020-08-01 06:51:50,2020
52,2020-08-01 06:27:45+00:00,0,True,60,active,9,60,0,8,True,False,2,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 2, 'valet_revision': 63, 'active': True}",2020-08-01 06:51:50,2020
53,2020-08-01 06:42:41+00:00,0,True,61,active,18,61,0,1,True,False,0,True,,,2020-08-01 06:51:50,2020
54,2020-08-01 03:12:05+00:00,0,True,63,active,12,63,0,3,True,False,0,True,,,2020-08-01 06:51:50,2020
55,2020-08-01 04:40:06+00:00,0,True,64,active,17,64,0,1,True,False,1,True,,,2020-08-01 06:51:50,2020
56,2020-08-01 04:17:10+00:00,0,True,65,active,2,65,0,21,True,False,0,True,,,2020-08-01 06:51:50,2020
57,2020-08-01 04:59:25+00:00,0,True,66,active,0,66,0,14,True,False,1,True,,,2020-08-01 06:51:50,2020
58,2020-08-01 06:26:21+00:00,0,True,67,active,17,67,0,7,True,True,3,True,,,2020-08-01 06:51:50,2020
59,2020-08-01 06:14:18+00:00,0,True,68,active,5,68,0,13,True,True,1,True,,,2020-08-01 06:51:50,2020
60,2020-08-01 05:13:31+00:00,0,True,69,active,0,69,0,19,True,True,0,True,,,2020-08-01 06:51:50,2020
61,2020-08-01 03:52:53+00:00,0,True,70,active,1,70,0,21,True,False,1,True,,,2020-08-01 06:51:50,2020
62,2020-08-01 03:32:55+00:00,0,True,71,active,4,71,0,19,True,False,0,True,,,2020-08-01 06:51:50,2020
63,2020-08-01 04:53:46+00:00,0,True,72,active,22,72,0,1,True,False,0,True,,,2020-08-01 06:51:50,2020
64,2020-08-01 06:39:06+00:00,0,True,73,active,9,73,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
65,2020-08-01 06:16:01+00:00,0,True,74,active,10,74,0,8,True,True,1,True,,,2020-08-01 06:51:50,2020
66,2020-08-01 06:44:40+00:00,0,True,75,active,12,75,0,3,True,False,0,True,,,2020-08-01 06:51:50,2020
67,2020-08-01 06:13:36+00:00,0,True,76,active,2,76,0,15,True,False,0,True,,,2020-08-01 06:51:50,2020
68,2020-08-01 05:10:46+00:00,0,True,77,active,7,77,0,8,True,False,0,True,,,2020-08-01 06:51:50,2020
69,2020-08-01 04:52:34+00:00,0,True,78,active,2,78,0,15,True,False,2,True,,,2020-08-01 06:51:50,2020
70,2020-08-01 04:58:27+00:00,0,True,79,active,2,79,0,17,True,False,0,True,,,2020-08-01 06:51:50,2020
71,2020-08-01 03:00:45+00:00,0,True,80,active,33,80,0,0,True,False,2,True,,,2020-08-01 06:51:50,2020
72,2020-08-01 05:52:26+00:00,0,True,81,active,16,81,0,0,True,False,3,True,,,2020-08-01 06:51:50,2020
73,2020-08-01 03:48:14+00:00,0,True,82,active,8,82,0,7,True,False,0,True,,,2020-08-01 06:51:50,2020
74,2020-08-01 06:29:56+00:00,0,True,84,active,11,84,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
75,2020-08-01 00:16:04+00:00,0,True,85,active,19,85,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
76,2020-08-01 06:11:01+00:00,0,True,86,active,9,86,0,10,True,False,0,True,,,2020-08-01 06:51:50,2020
77,2020-08-01 05:46:03+00:00,0,True,87,active,1,87,0,13,True,False,1,True,,,2020-08-01 06:51:50,2020
78,2020-08-01 06:33:38+00:00,0,True,89,active,1,89,0,18,True,False,0,True,,,2020-08-01 06:51:50,2020
79,2020-08-01 06:21:27+00:00,0,True,90,active,12,90,0,7,True,False,0,True,,,2020-08-01 06:51:50,2020
80,2020-08-01 05:56:48+00:00,0,True,91,active,15,91,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
81,2020-07-31 23:47:39+00:00,0,True,92,active,7,92,0,12,True,False,0,True,,,2020-08-01 06:51:50,2020
82,2020-08-01 03:49:38+00:00,0,True,93,active,0,93,0,12,True,False,3,True,,,2020-08-01 06:51:50,2020
83,2020-08-01 06:05:32+00:00,0,True,94,active,1,94,0,10,True,False,0,True,,,2020-08-01 06:51:50,2020
84,2020-08-01 06:12:47+00:00,0,True,95,active,10,95,0,4,True,False,1,True,,,2020-08-01 06:51:50,2020
85,2020-08-01 04:39:08+00:00,0,True,96,active,14,96,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
86,2020-08-01 06:33:13+00:00,0,True,97,active,14,97,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
87,2020-08-01 05:20:28+00:00,0,True,98,active,13,98,0,8,True,False,1,True,,,2020-08-01 06:51:50,2020
