,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
52,True,12,0,2,5,2020-08-19 00:40:36+00:00,60,0,True,active,True,60,False,2020-08-19 00:41:25,2020
53,True,3,0,0,16,2020-08-19 00:38:59+00:00,61,0,True,active,True,61,False,2020-08-19 00:41:25,2020
54,True,0,0,0,15,2020-08-19 00:24:41+00:00,63,0,True,active,True,63,False,2020-08-19 00:41:25,2020
55,True,8,0,1,10,2020-08-19 00:05:11+00:00,64,0,True,active,True,64,False,2020-08-19 00:41:25,2020
56,True,23,0,0,0,2020-08-18 22:07:36+00:00,65,0,True,active,True,65,False,2020-08-19 00:41:25,2020
57,True,1,0,1,13,2020-08-19 00:28:27+00:00,66,0,True,active,True,66,False,2020-08-19 00:41:25,2020
58,True,22,0,0,5,2020-08-19 00:41:06+00:00,67,0,True,active,True,67,True,2020-08-19 00:41:25,2020
59,True,5,0,0,14,2020-08-19 00:38:43+00:00,68,0,True,active,True,68,True,2020-08-19 00:41:25,2020
60,True,4,0,0,15,2020-08-19 00:31:47+00:00,69,0,True,active,True,69,True,2020-08-19 00:41:25,2020
61,True,13,0,0,10,2020-08-19 00:40:23+00:00,70,0,True,active,True,70,False,2020-08-19 00:41:25,2020
62,True,6,0,0,17,2020-08-19 00:17:41+00:00,71,0,True,active,True,71,False,2020-08-19 00:41:25,2020
63,True,8,0,0,15,2020-08-19 00:24:32+00:00,72,0,True,active,True,72,False,2020-08-19 00:41:25,2020
64,True,1,0,2,12,2020-08-19 00:33:01+00:00,73,0,True,active,True,73,False,2020-08-19 00:41:25,2020
65,True,10,0,1,8,2020-08-19 00:40:37+00:00,74,0,True,active,True,74,True,2020-08-19 00:41:25,2020
66,True,9,0,1,5,2020-08-19 00:10:58+00:00,75,0,True,active,True,75,False,2020-08-19 00:41:25,2020
67,True,2,0,0,15,2020-08-19 00:35:41+00:00,76,0,True,active,True,76,False,2020-08-19 00:41:25,2020
68,True,7,0,0,8,2020-08-19 00:25:17+00:00,77,0,True,active,True,77,False,2020-08-19 00:41:25,2020
69,True,9,0,0,10,2020-08-19 00:29:18+00:00,78,0,True,active,True,78,False,2020-08-19 00:41:25,2020
70,True,3,0,2,14,2020-08-19 00:18:07+00:00,79,0,True,active,True,79,False,2020-08-19 00:41:25,2020
71,True,34,0,0,1,2020-08-19 00:22:10+00:00,80,0,True,active,True,80,False,2020-08-19 00:41:25,2020
72,True,8,0,2,9,2020-08-19 00:41:02+00:00,81,0,True,active,True,81,False,2020-08-19 00:41:25,2020
