,station_status,num_bikes_available,station_id,num_docks_available,is_installed,is_returning,legacy_id,is_renting,last_reported,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
52,active,7,60,10,True,True,60,True,2020-08-19 00:31:00+00:00,False,0,0,2,2020-08-19 00:31:05,2020
53,active,15,61,4,True,True,61,True,2020-08-19 00:30:31+00:00,False,0,0,0,2020-08-19 00:31:05,2020
54,active,15,63,0,True,True,63,True,2020-08-19 00:24:41+00:00,False,0,0,0,2020-08-19 00:31:05,2020
55,active,10,64,8,True,True,64,True,2020-08-19 00:05:11+00:00,False,0,0,1,2020-08-19 00:31:05,2020
56,active,0,65,23,True,True,65,True,2020-08-18 22:07:36+00:00,False,0,0,0,2020-08-19 00:31:05,2020
57,active,13,66,1,True,True,66,True,2020-08-19 00:28:27+00:00,False,0,0,1,2020-08-19 00:31:05,2020
58,active,5,67,21,True,True,67,True,2020-08-19 00:28:48+00:00,True,0,0,1,2020-08-19 00:31:05,2020
59,active,10,68,9,True,True,68,True,2020-08-19 00:30:47+00:00,True,0,0,0,2020-08-19 00:31:05,2020
60,active,16,69,3,True,True,69,True,2020-08-19 00:03:28+00:00,True,0,0,0,2020-08-19 00:31:05,2020
61,active,11,70,12,True,True,70,True,2020-08-19 00:28:09+00:00,False,0,0,0,2020-08-19 00:31:05,2020
62,active,17,71,6,True,True,71,True,2020-08-19 00:17:41+00:00,False,0,0,0,2020-08-19 00:31:05,2020
63,active,15,72,8,True,True,72,True,2020-08-19 00:24:32+00:00,False,0,0,0,2020-08-19 00:31:05,2020
64,active,10,73,2,True,True,73,True,2020-08-19 00:12:13+00:00,False,0,0,3,2020-08-19 00:31:05,2020
65,active,9,74,9,True,True,74,True,2020-08-19 00:28:11+00:00,True,0,0,1,2020-08-19 00:31:05,2020
66,active,5,75,9,True,True,75,True,2020-08-19 00:10:58+00:00,False,0,0,1,2020-08-19 00:31:05,2020
67,active,14,76,3,True,True,76,True,2020-08-19 00:30:13+00:00,False,0,0,0,2020-08-19 00:31:05,2020
68,active,8,77,7,True,True,77,True,2020-08-19 00:25:17+00:00,False,0,0,0,2020-08-19 00:31:05,2020
69,active,10,78,9,True,True,78,True,2020-08-19 00:29:18+00:00,False,0,0,0,2020-08-19 00:31:05,2020
70,active,14,79,3,True,True,79,True,2020-08-19 00:18:07+00:00,False,0,0,2,2020-08-19 00:31:05,2020
71,active,1,80,34,True,True,80,True,2020-08-19 00:22:10+00:00,False,0,0,0,2020-08-19 00:31:05,2020
72,active,12,81,6,True,True,81,True,2020-08-19 00:25:07+00:00,False,0,0,1,2020-08-19 00:31:05,2020
73,active,10,82,4,True,True,82,True,2020-08-19 00:27:03+00:00,False,0,0,1,2020-08-19 00:31:05,2020
74,active,5,84,9,True,True,84,True,2020-08-19 00:14:50+00:00,False,0,0,1,2020-08-19 00:31:05,2020
75,active,1,85,18,True,True,85,True,2020-08-19 00:22:07+00:00,False,0,0,0,2020-08-19 00:31:05,2020
76,active,2,86,17,True,True,86,True,2020-08-19 00:14:57+00:00,False,0,0,0,2020-08-19 00:31:05,2020
77,active,15,87,0,True,True,87,True,2020-08-19 00:17:34+00:00,False,0,0,0,2020-08-19 00:31:05,2020
78,active,7,89,12,True,True,89,True,2020-08-19 00:28:30+00:00,False,0,0,0,2020-08-19 00:31:05,2020
79,active,13,90,6,True,True,90,True,2020-08-19 00:20:41+00:00,False,0,0,0,2020-08-19 00:31:05,2020
80,active,1,91,17,True,True,91,True,2020-08-19 00:26:59+00:00,False,0,0,1,2020-08-19 00:31:05,2020
81,active,18,92,0,True,True,92,True,2020-08-19 00:24:51+00:00,False,0,0,1,2020-08-19 00:31:05,2020
82,active,9,93,4,True,True,93,True,2020-08-18 23:59:11+00:00,False,0,0,2,2020-08-19 00:31:05,2020
83,active,1,94,10,True,True,94,True,2020-08-19 00:15:24+00:00,False,0,0,0,2020-08-19 00:31:05,2020
84,active,2,95,10,True,True,95,True,2020-08-18 23:57:28+00:00,False,0,0,3,2020-08-19 00:31:05,2020
85,active,5,96,14,True,True,96,True,2020-08-19 00:26:10+00:00,False,0,0,0,2020-08-19 00:31:05,2020
86,active,2,97,15,True,True,97,True,2020-08-19 00:28:20+00:00,False,0,0,2,2020-08-19 00:31:05,2020
87,active,6,98,17,True,True,98,True,2020-08-18 23:59:00+00:00,False,0,0,0,2020-08-19 00:31:05,2020
88,active,9,99,4,True,True,99,True,2020-08-19 00:18:03+00:00,False,0,0,2,2020-08-19 00:31:05,2020
89,active,11,100,13,True,True,100,True,2020-08-19 00:09:51+00:00,True,0,0,1,2020-08-19 00:31:05,2020
90,active,7,101,8,True,True,101,True,2020-08-18 23:47:51+00:00,False,0,0,0,2020-08-19 00:31:05,2020
91,active,5,102,10,True,True,102,True,2020-08-19 00:30:43+00:00,False,0,0,0,2020-08-19 00:31:05,2020
92,active,12,103,3,True,True,103,True,2020-08-19 00:27:18+00:00,False,0,0,0,2020-08-19 00:31:05,2020
93,active,5,104,14,True,True,104,True,2020-08-19 00:03:47+00:00,False,0,0,0,2020-08-19 00:31:05,2020
94,active,9,105,10,True,True,105,True,2020-08-19 00:14:45+00:00,False,0,0,0,2020-08-19 00:31:05,2020
95,active,8,106,7,True,True,106,True,2020-08-18 20:26:10+00:00,False,0,0,0,2020-08-19 00:31:05,2020
96,active,1,107,16,True,True,107,True,2020-08-19 00:22:19+00:00,False,0,0,2,2020-08-19 00:31:05,2020
97,active,7,108,10,True,True,108,True,2020-08-18 23:33:25+00:00,False,0,0,0,2020-08-19 00:31:05,2020
98,active,2,109,31,True,True,109,True,2020-08-18 22:32:39+00:00,False,0,0,2,2020-08-19 00:31:05,2020
99,active,1,110,14,True,True,110,True,2020-08-19 00:24:08+00:00,False,0,0,0,2020-08-19 00:31:05,2020
100,active,2,111,13,True,True,111,True,2020-08-18 22:49:12+00:00,False,0,0,0,2020-08-19 00:31:05,2020
101,active,8,112,7,True,True,112,True,2020-08-18 23:58:32+00:00,False,0,0,0,2020-08-19 00:31:05,2020
102,active,4,113,10,True,True,113,True,2020-08-19 00:15:59+00:00,False,0,0,1,2020-08-19 00:31:05,2020
103,active,3,114,12,True,True,114,True,2020-08-18 23:58:23+00:00,False,0,0,0,2020-08-19 00:31:05,2020
104,active,16,115,3,True,True,115,True,2020-08-19 00:30:43+00:00,False,0,0,0,2020-08-19 00:31:05,2020
105,active,4,116,19,True,True,116,True,2020-08-19 00:29:48+00:00,False,0,0,0,2020-08-19 00:31:05,2020
106,active,4,117,14,True,True,117,True,2020-08-18 23:39:21+00:00,False,0,0,1,2020-08-19 00:31:05,2020
107,active,13,118,5,True,True,118,True,2020-08-18 23:31:39+00:00,False,0,0,1,2020-08-19 00:31:05,2020
108,active,5,119,9,True,True,119,True,2020-08-19 00:12:49+00:00,False,0,0,1,2020-08-19 00:31:05,2020
109,active,15,120,0,True,True,120,True,2020-08-19 00:10:43+00:00,False,0,0,0,2020-08-19 00:31:05,2020
110,active,2,121,13,True,True,121,True,2020-08-18 23:44:58+00:00,False,0,0,2,2020-08-19 00:31:05,2020
111,active,1,122,14,True,True,122,True,2020-08-19 00:07:29+00:00,False,0,0,0,2020-08-19 00:31:05,2020
112,active,1,124,14,True,True,124,True,2020-08-18 21:10:49+00:00,False,0,0,0,2020-08-19 00:31:05,2020
113,active,7,125,6,True,True,125,True,2020-08-19 00:21:25+00:00,False,0,1,1,2020-08-19 00:31:05,2020
114,active,12,126,2,True,True,126,True,2020-08-19 00:26:53+00:00,False,0,0,1,2020-08-19 00:31:05,2020
115,active,19,128,0,True,True,128,True,2020-08-18 22:48:31+00:00,False,0,0,0,2020-08-19 00:31:05,2020
116,active,15,129,4,True,True,129,True,2020-08-18 23:11:17+00:00,False,0,0,0,2020-08-19 00:31:05,2020
117,active,15,130,0,True,True,130,True,2020-08-18 23:40:12+00:00,False,0,0,0,2020-08-19 00:31:05,2020
118,active,11,131,7,True,True,131,True,2020-08-19 00:20:23+00:00,False,0,0,0,2020-08-19 00:31:05,2020
119,active,19,133,2,True,True,133,True,2020-08-18 23:32:09+00:00,False,0,0,2,2020-08-19 00:31:05,2020
120,active,3,135,14,True,True,135,True,2020-08-19 00:10:38+00:00,False,0,0,0,2020-08-19 00:31:05,2020
121,active,0,136,18,True,True,136,True,2020-08-18 23:02:05+00:00,False,0,0,1,2020-08-19 00:31:05,2020
122,active,12,137,3,True,True,137,True,2020-08-19 00:26:23+00:00,False,0,0,0,2020-08-19 00:31:05,2020
123,active,10,138,4,True,True,138,True,2020-08-19 00:09:47+00:00,False,0,0,1,2020-08-19 00:31:05,2020
124,active,8,139,11,True,True,139,True,2020-08-19 00:11:09+00:00,False,0,0,0,2020-08-19 00:31:05,2020
125,active,9,140,8,True,True,140,True,2020-08-19 00:11:24+00:00,False,0,0,0,2020-08-19 00:31:05,2020
126,active,5,141,10,True,True,141,True,2020-08-18 23:55:33+00:00,False,0,0,0,2020-08-19 00:31:05,2020
127,active,18,142,5,True,True,142,True,2020-08-19 00:28:15+00:00,False,0,0,0,2020-08-19 00:31:05,2020
128,active,6,143,16,True,True,143,True,2020-08-19 00:18:07+00:00,False,0,0,1,2020-08-19 00:31:05,2020
129,active,19,144,0,True,True,144,True,2020-08-19 00:08:04+00:00,False,0,0,0,2020-08-19 00:31:05,2020
130,active,13,145,5,True,True,145,True,2020-08-18 23:36:42+00:00,False,0,0,1,2020-08-19 00:31:05,2020
131,active,13,146,5,True,True,146,True,2020-08-19 00:29:18+00:00,False,0,0,1,2020-08-19 00:31:05,2020
132,active,15,149,2,True,True,149,True,2020-08-19 00:30:06+00:00,True,0,0,1,2020-08-19 00:31:05,2020
133,active,13,150,5,True,True,150,True,2020-08-19 00:17:10+00:00,False,0,0,1,2020-08-19 00:31:05,2020
134,active,18,151,1,True,True,151,True,2020-08-18 23:26:49+00:00,False,0,0,0,2020-08-19 00:31:05,2020
135,active,11,152,4,True,True,152,True,2020-08-19 00:28:49+00:00,True,0,0,0,2020-08-19 00:31:05,2020
136,active,4,156,10,True,True,156,True,2020-08-19 00:08:30+00:00,False,0,0,1,2020-08-19 00:31:05,2020
137,active,11,157,2,True,True,157,True,2020-08-19 00:09:46+00:00,False,0,0,2,2020-08-19 00:31:05,2020
138,active,1,159,14,True,True,159,True,2020-08-18 23:45:32+00:00,False,0,0,0,2020-08-19 00:31:05,2020
139,active,0,160,14,True,True,160,True,2020-08-18 23:42:01+00:00,True,0,0,0,2020-08-19 00:31:05,2020
140,active,17,161,5,True,True,161,True,2020-08-19 00:29:09+00:00,True,0,0,1,2020-08-19 00:31:05,2020
141,active,7,162,8,True,True,162,True,2020-08-19 00:12:49+00:00,False,0,0,0,2020-08-19 00:31:05,2020
142,active,2,163,17,True,True,163,True,2020-08-19 00:24:06+00:00,True,0,0,0,2020-08-19 00:31:05,2020
143,active,5,167,10,True,True,167,True,2020-08-19 00:03:18+00:00,False,0,0,0,2020-08-19 00:31:05,2020
144,active,2,169,17,True,True,169,True,2020-08-19 00:16:59+00:00,False,0,0,0,2020-08-19 00:31:05,2020
145,active,0,170,14,True,True,170,True,2020-08-18 22:24:55+00:00,True,0,0,0,2020-08-19 00:31:05,2020
146,active,3,171,20,True,True,171,True,2020-08-19 00:23:19+00:00,True,0,0,0,2020-08-19 00:31:05,2020
147,active,8,173,6,True,True,173,True,2020-08-19 00:20:54+00:00,True,0,0,0,2020-08-19 00:31:05,2020
148,active,3,174,12,True,True,174,True,2020-08-19 00:18:38+00:00,False,0,0,0,2020-08-19 00:31:05,2020
149,active,6,175,10,True,True,175,True,2020-08-19 00:19:14+00:00,True,0,0,1,2020-08-19 00:31:05,2020
150,active,12,176,3,True,True,176,True,2020-08-19 00:20:54+00:00,False,0,0,0,2020-08-19 00:31:05,2020
151,active,16,177,3,True,True,177,True,2020-08-19 00:29:29+00:00,False,0,0,0,2020-08-19 00:31:05,2020
152,active,8,178,11,True,True,178,True,2020-08-19 00:31:01+00:00,False,0,0,0,2020-08-19 00:31:05,2020
153,active,17,179,8,True,True,179,True,2020-08-19 00:30:18+00:00,False,0,0,0,2020-08-19 00:31:05,2020
154,active,9,180,10,True,True,180,True,2020-08-18 23:42:35+00:00,False,0,0,0,2020-08-19 00:31:05,2020
155,active,10,181,9,True,True,181,True,2020-08-18 23:58:26+00:00,False,0,0,0,2020-08-19 00:31:05,2020
156,active,4,182,15,True,True,182,True,2020-08-18 23:55:10+00:00,True,0,0,0,2020-08-19 00:31:05,2020
157,active,8,183,11,True,True,183,True,2020-08-19 00:06:14+00:00,False,0,0,0,2020-08-19 00:31:05,2020
158,active,8,184,11,True,True,184,True,2020-08-19 00:19:31+00:00,False,0,0,0,2020-08-19 00:31:05,2020
159,active,3,185,11,True,True,185,True,2020-08-18 23:57:19+00:00,False,0,0,1,2020-08-19 00:31:05,2020
160,active,0,186,15,True,True,186,True,2020-08-18 23:46:20+00:00,True,0,0,0,2020-08-19 00:31:05,2020
161,active,9,187,6,True,True,187,True,2020-08-18 23:50:19+00:00,False,0,0,0,2020-08-19 00:31:05,2020
162,active,13,188,2,True,True,188,True,2020-08-19 00:29:38+00:00,False,0,0,0,2020-08-19 00:31:05,2020
163,active,13,189,10,True,True,189,True,2020-08-19 00:21:10+00:00,True,0,0,0,2020-08-19 00:31:05,2020
164,active,24,190,11,True,True,190,True,2020-08-19 00:18:53+00:00,True,0,0,2,2020-08-19 00:31:05,2020
165,active,3,191,12,True,True,191,True,2020-08-18 23:41:27+00:00,False,0,0,0,2020-08-19 00:31:05,2020
166,active,0,192,19,True,True,192,True,2020-08-18 23:56:26+00:00,False,0,0,0,2020-08-19 00:31:05,2020
167,active,1,193,14,True,True,193,True,2020-08-18 23:44:24+00:00,True,0,0,0,2020-08-19 00:31:05,2020
168,active,1,194,15,True,True,194,True,2020-08-19 00:17:32+00:00,False,0,0,3,2020-08-19 00:31:05,2020
169,active,9,195,13,True,True,195,True,2020-08-19 00:08:28+00:00,False,0,0,1,2020-08-19 00:31:05,2020
170,active,0,196,10,True,True,196,True,2020-08-18 21:20:25+00:00,False,0,0,0,2020-08-19 00:31:05,2020
171,active,8,197,6,True,True,197,True,2020-08-19 00:16:49+00:00,False,0,0,1,2020-08-19 00:31:05,2020
172,active,10,199,5,True,True,199,True,2020-08-18 23:59:53+00:00,False,0,0,0,2020-08-19 00:31:05,2020
173,active,17,200,2,True,True,200,True,2020-08-19 00:07:45+00:00,False,0,0,0,2020-08-19 00:31:05,2020
174,active,4,201,11,True,True,201,True,2020-08-18 22:29:02+00:00,False,0,0,0,2020-08-19 00:31:05,2020
175,active,2,202,13,True,True,202,True,2020-08-18 23:32:32+00:00,False,0,0,0,2020-08-19 00:31:05,2020
176,active,6,203,8,True,True,203,True,2020-08-18 22:44:51+00:00,False,0,0,1,2020-08-19 00:31:05,2020
177,active,1,204,14,True,True,204,True,2020-08-19 00:14:31+00:00,False,0,0,0,2020-08-19 00:31:05,2020
