,station_status,num_docks_available,num_bikes_available,last_reported,num_docks_disabled,legacy_id,num_bikes_disabled,is_installed,is_returning,num_ebikes_available,eightd_has_available_keys,is_renting,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
76,active,10,9,2020-07-30 13:47:10+00:00,0,86,0,True,True,0,False,True,86,,,2020-07-30 13:51:15,2020
77,active,10,4,2020-07-30 13:51:01+00:00,0,87,1,True,True,0,False,True,87,,,2020-07-30 13:51:15,2020
78,active,3,16,2020-07-30 13:16:56+00:00,0,89,0,True,True,0,False,True,89,,,2020-07-30 13:51:15,2020
79,active,8,9,2020-07-30 12:41:18+00:00,0,90,2,True,True,0,False,True,90,,,2020-07-30 13:51:15,2020
80,active,7,10,2020-07-30 13:43:11+00:00,0,91,2,True,True,0,False,True,91,,,2020-07-30 13:51:15,2020
81,active,7,11,2020-07-30 12:41:43+00:00,0,92,1,True,True,0,False,True,92,,,2020-07-30 13:51:15,2020
82,active,8,4,2020-07-30 12:38:38+00:00,0,93,3,True,True,0,False,True,93,,,2020-07-30 13:51:15,2020
83,active,5,6,2020-07-30 13:50:58+00:00,0,94,0,True,True,0,False,True,94,,,2020-07-30 13:51:15,2020
84,active,3,11,2020-07-30 13:42:19+00:00,0,95,1,True,True,0,False,True,95,,,2020-07-30 13:51:15,2020
85,active,15,4,2020-07-30 13:39:37+00:00,0,96,0,True,True,0,False,True,96,,,2020-07-30 13:51:15,2020
86,active,16,2,2020-07-30 13:33:16+00:00,0,97,1,True,True,0,False,True,97,,,2020-07-30 13:51:15,2020
87,active,20,2,2020-07-30 13:49:30+00:00,0,98,0,True,True,0,False,True,98,,,2020-07-30 13:51:15,2020
88,active,4,11,2020-07-30 13:08:02+00:00,0,99,0,True,True,0,False,True,99,,,2020-07-30 13:51:15,2020
89,active,9,14,2020-07-30 13:49:37+00:00,0,100,2,True,True,0,True,True,100,,,2020-07-30 13:51:15,2020
90,active,15,0,2020-07-30 13:25:45+00:00,0,101,0,True,True,0,False,True,101,,,2020-07-30 13:51:15,2020
91,active,6,9,2020-07-30 12:19:59+00:00,0,102,0,True,True,0,False,True,102,,,2020-07-30 13:51:15,2020
92,active,12,2,2020-07-30 13:32:16+00:00,0,103,1,True,True,0,False,True,103,,,2020-07-30 13:51:15,2020
93,active,5,13,2020-07-30 13:49:12+00:00,0,104,1,True,True,0,False,True,104,,,2020-07-30 13:51:15,2020
94,active,8,11,2020-07-30 13:50:46+00:00,0,105,0,True,True,0,False,True,105,,,2020-07-30 13:51:15,2020
95,active,8,7,2020-07-30 12:55:09+00:00,0,106,0,True,True,0,False,True,106,,,2020-07-30 13:51:15,2020
96,active,0,19,2020-07-30 13:26:01+00:00,0,107,0,True,True,0,False,True,107,,,2020-07-30 13:51:15,2020
97,active,3,14,2020-07-30 13:48:15+00:00,0,108,0,True,True,0,False,True,108,,,2020-07-30 13:51:15,2020
98,active,8,25,2020-07-30 12:06:03+00:00,0,109,2,True,True,0,False,True,109,,,2020-07-30 13:51:15,2020
99,active,7,8,2020-07-30 13:41:08+00:00,0,110,0,True,True,0,False,True,110,,,2020-07-30 13:51:15,2020
100,active,11,4,2020-07-30 12:17:01+00:00,0,111,0,True,True,0,False,True,111,,,2020-07-30 13:51:15,2020
101,active,7,8,2020-07-30 13:35:05+00:00,0,112,0,True,True,0,False,True,112,,,2020-07-30 13:51:15,2020
102,active,4,11,2020-07-30 12:50:24+00:00,0,113,0,True,True,0,False,True,113,,,2020-07-30 13:51:15,2020
103,active,13,2,2020-07-30 13:27:43+00:00,0,114,0,True,True,0,False,True,114,,,2020-07-30 13:51:15,2020
104,active,10,9,2020-07-30 13:40:21+00:00,0,115,0,True,True,0,False,True,115,,,2020-07-30 13:51:15,2020
105,active,16,7,2020-07-30 13:43:14+00:00,0,116,0,True,True,0,False,True,116,,,2020-07-30 13:51:15,2020
106,active,0,19,2020-07-30 13:25:46+00:00,0,117,0,True,True,0,False,True,117,,,2020-07-30 13:51:15,2020
107,active,14,5,2020-07-30 12:33:13+00:00,0,118,0,True,True,0,False,True,118,,,2020-07-30 13:51:15,2020
108,active,10,5,2020-07-30 13:41:27+00:00,0,119,0,True,True,0,False,True,119,,,2020-07-30 13:51:15,2020
109,active,9,5,2020-07-30 13:48:33+00:00,0,120,1,True,True,0,False,True,120,,,2020-07-30 13:51:15,2020
110,active,14,2,2020-07-30 13:40:03+00:00,0,121,1,True,True,0,False,True,121,,,2020-07-30 13:51:15,2020
111,active,14,1,2020-07-30 13:05:25+00:00,0,122,0,True,True,0,False,True,122,,,2020-07-30 13:51:15,2020
112,active,10,5,2020-07-30 01:11:26+00:00,0,124,0,True,True,0,False,True,124,,,2020-07-30 13:51:15,2020
113,active,13,2,2020-07-30 13:28:33+00:00,0,125,0,True,True,0,False,True,125,,,2020-07-30 13:51:15,2020
114,active,15,0,2020-07-30 13:35:07+00:00,0,126,0,True,True,0,False,True,126,,,2020-07-30 13:51:15,2020
115,active,2,16,2020-07-30 13:43:29+00:00,0,128,1,True,True,0,False,True,128,,,2020-07-30 13:51:15,2020
116,active,12,7,2020-07-30 13:31:04+00:00,0,129,0,True,True,0,False,True,129,,,2020-07-30 13:51:15,2020
117,active,5,10,2020-07-30 08:51:09+00:00,0,130,0,True,True,0,False,True,130,,,2020-07-30 13:51:15,2020
118,active,1,15,2020-07-30 13:47:42+00:00,0,131,2,True,True,0,False,True,131,,,2020-07-30 13:51:15,2020
