,valet,is_installed,num_bikes_disabled,num_docks_available,is_renting,eightd_active_station_services,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
144,,True,1,5,True,,0,9,167,True,2020-08-01 23:12:16+00:00,active,167,0,False,2020-08-01 23:12:35,2020
145,,True,0,10,True,,0,9,169,True,2020-08-01 22:34:23+00:00,active,169,0,False,2020-08-01 23:12:35,2020
146,,True,0,11,True,,0,3,170,True,2020-08-01 22:46:46+00:00,active,170,0,True,2020-08-01 23:12:35,2020
147,,True,0,14,True,,0,9,171,True,2020-08-01 22:43:31+00:00,active,171,0,True,2020-08-01 23:12:35,2020
148,,True,0,5,True,,0,9,173,True,2020-08-01 23:08:00+00:00,active,173,0,True,2020-08-01 23:12:35,2020
149,,True,0,7,True,,0,8,174,True,2020-08-01 23:06:07+00:00,active,174,0,False,2020-08-01 23:12:35,2020
150,,True,1,8,True,,0,8,175,True,2020-08-01 23:05:48+00:00,active,175,0,True,2020-08-01 23:12:35,2020
151,,True,0,13,True,,0,2,176,True,2020-08-01 22:44:04+00:00,active,176,0,False,2020-08-01 23:12:35,2020
152,,True,1,3,True,,0,15,177,True,2020-08-01 23:05:53+00:00,active,177,0,False,2020-08-01 23:12:35,2020
153,,True,0,14,True,,0,5,178,True,2020-08-01 23:09:01+00:00,active,178,0,False,2020-08-01 23:12:35,2020
154,,True,1,18,True,,0,6,179,True,2020-08-01 22:59:02+00:00,active,179,0,False,2020-08-01 23:12:35,2020
155,,True,0,12,True,,0,7,180,True,2020-08-01 22:57:56+00:00,active,180,0,False,2020-08-01 23:12:35,2020
156,,True,2,10,True,,0,7,181,True,2020-08-01 23:06:41+00:00,active,181,0,False,2020-08-01 23:12:35,2020
157,,True,2,16,True,,0,1,182,True,2020-08-01 23:03:21+00:00,active,182,0,True,2020-08-01 23:12:35,2020
158,,True,0,11,True,,0,8,183,True,2020-08-01 22:55:34+00:00,active,183,0,False,2020-08-01 23:12:35,2020
159,,True,0,13,True,,0,6,184,True,2020-08-01 23:12:12+00:00,active,184,0,False,2020-08-01 23:12:35,2020
160,,True,0,14,True,,0,1,185,True,2020-08-01 23:12:04+00:00,active,185,0,False,2020-08-01 23:12:35,2020
161,,True,1,0,True,,0,14,186,True,2020-08-01 22:55:29+00:00,active,186,0,True,2020-08-01 23:12:35,2020
162,,True,0,2,True,,0,13,187,True,2020-08-01 23:03:14+00:00,active,187,0,False,2020-08-01 23:12:35,2020
