,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,15,3,0,True,True,active,0,True,False,2020-08-13 05:29:06+00:00,3,0,0,2020-08-13 08:11:45,2020
1,0,4,19,True,True,active,0,True,False,2020-08-13 03:53:52+00:00,4,0,0,2020-08-13 08:11:45,2020
2,10,5,5,True,True,active,0,True,False,2020-08-13 04:57:56+00:00,5,0,0,2020-08-13 08:11:45,2020
3,12,6,2,True,True,active,0,True,False,2020-08-13 04:51:58+00:00,6,1,0,2020-08-13 08:11:45,2020
4,15,7,0,True,True,active,0,True,False,2020-08-13 04:04:59+00:00,7,0,0,2020-08-13 08:11:45,2020
5,3,8,16,True,True,active,0,True,False,2020-08-13 06:21:21+00:00,8,0,0,2020-08-13 08:11:45,2020
6,0,9,14,True,True,active,0,True,False,2020-08-13 03:58:51+00:00,9,1,0,2020-08-13 08:11:45,2020
7,8,10,3,True,True,active,0,True,False,2020-08-13 03:15:42+00:00,10,0,0,2020-08-13 08:11:45,2020
8,3,11,10,True,True,active,0,True,False,2020-08-13 06:32:25+00:00,11,2,0,2020-08-13 08:11:45,2020
9,5,12,13,True,True,active,0,True,True,2020-08-13 05:49:18+00:00,12,0,0,2020-08-13 08:11:45,2020
10,16,13,3,True,True,active,0,True,False,2020-08-13 04:34:37+00:00,13,0,0,2020-08-13 08:11:45,2020
11,25,14,0,True,True,active,0,True,False,2020-08-13 04:17:08+00:00,14,0,0,2020-08-13 08:11:45,2020
12,2,15,13,True,True,active,0,True,False,2020-08-13 03:58:02+00:00,15,0,0,2020-08-13 08:11:45,2020
13,6,16,13,True,True,active,0,True,True,2020-08-13 07:05:12+00:00,16,0,0,2020-08-13 08:11:45,2020
14,12,17,2,True,True,active,0,True,False,2020-08-13 06:14:24+00:00,17,1,0,2020-08-13 08:11:45,2020
15,7,19,7,True,True,active,0,True,False,2020-08-13 06:52:54+00:00,19,1,0,2020-08-13 08:11:45,2020
16,9,20,14,True,True,active,0,True,True,2020-08-13 04:18:40+00:00,20,0,0,2020-08-13 08:11:45,2020
17,10,21,8,True,True,active,0,True,True,2020-08-13 05:45:26+00:00,21,0,0,2020-08-13 08:11:45,2020
18,47,22,0,True,True,active,0,True,True,2020-08-13 07:57:27+00:00,22,0,0,2020-08-13 08:11:45,2020
19,21,23,0,True,True,active,0,True,False,2020-08-13 03:17:16+00:00,23,0,0,2020-08-13 08:11:45,2020
20,8,24,10,True,True,active,0,True,False,2020-08-13 07:17:50+00:00,24,1,0,2020-08-13 08:11:45,2020
21,1,25,13,True,True,active,0,True,False,2020-08-13 05:42:12+00:00,25,1,0,2020-08-13 08:11:45,2020
22,2,26,13,True,True,active,0,True,False,2020-08-13 06:11:09+00:00,26,0,0,2020-08-13 08:11:45,2020
23,1,27,21,True,True,active,0,True,False,2020-08-13 05:15:08+00:00,27,1,0,2020-08-13 08:11:45,2020
24,8,29,7,True,True,active,0,True,False,2020-08-13 03:16:26+00:00,29,0,0,2020-08-13 08:11:45,2020
25,8,30,6,True,True,active,0,True,False,2020-08-13 05:58:42+00:00,30,1,0,2020-08-13 08:11:45,2020
