,num_bikes_available,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,2,2020-08-01 04:39:36+00:00,True,49,0,active,0,0,49,True,True,False,16,,,2020-08-01 05:09:55,2020
42,0,2020-08-01 02:07:44+00:00,True,50,0,active,0,0,50,True,True,True,15,,,2020-08-01 05:09:55,2020
43,5,2020-08-01 04:08:30+00:00,True,51,1,active,0,0,51,True,True,False,9,,,2020-08-01 05:09:55,2020
44,1,2020-08-01 04:25:45+00:00,True,52,2,active,0,0,52,True,True,True,20,,,2020-08-01 05:09:55,2020
45,12,2020-08-01 05:05:01+00:00,True,53,2,active,0,0,53,True,True,False,5,,,2020-08-01 05:09:55,2020
46,11,2020-08-01 04:34:28+00:00,True,54,0,active,0,0,54,True,True,False,4,,,2020-08-01 05:09:55,2020
47,1,2020-08-01 04:14:49+00:00,True,55,1,active,0,0,55,True,True,False,13,,,2020-08-01 05:09:55,2020
48,10,2020-08-01 02:55:40+00:00,True,56,0,active,0,0,56,True,True,True,8,,,2020-08-01 05:09:55,2020
49,11,2020-08-01 04:51:21+00:00,True,57,0,active,0,0,57,True,True,True,3,,,2020-08-01 05:09:55,2020
50,3,2020-08-01 05:07:05+00:00,True,58,0,active,0,0,58,True,True,True,16,,,2020-08-01 05:09:55,2020
51,8,2020-08-01 03:18:33+00:00,True,59,0,active,0,0,59,True,True,False,11,,,2020-08-01 05:09:55,2020
52,7,2020-08-01 04:41:50+00:00,True,60,2,active,0,0,60,True,True,False,10,"{'off_dock_capacity': 40, 'valet_revision': 63, 'off_dock_count': 2, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 05:09:55,2020
53,4,2020-08-01 05:00:39+00:00,True,61,0,active,0,0,61,True,True,False,15,,,2020-08-01 05:09:55,2020
54,3,2020-08-01 03:12:05+00:00,True,63,0,active,0,0,63,True,True,False,12,,,2020-08-01 05:09:55,2020
55,1,2020-08-01 04:40:06+00:00,True,64,1,active,0,0,64,True,True,False,17,,,2020-08-01 05:09:55,2020
56,21,2020-08-01 04:17:10+00:00,True,65,0,active,0,0,65,True,True,False,2,,,2020-08-01 05:09:55,2020
57,14,2020-08-01 04:59:25+00:00,True,66,1,active,0,0,66,True,True,False,0,,,2020-08-01 05:09:55,2020
58,8,2020-08-01 05:08:11+00:00,True,67,2,active,0,0,67,True,True,True,17,,,2020-08-01 05:09:55,2020
59,12,2020-08-01 05:03:38+00:00,True,68,1,active,0,0,68,True,True,True,6,,,2020-08-01 05:09:55,2020
60,17,2020-08-01 04:48:35+00:00,True,69,0,active,0,0,69,True,True,True,2,,,2020-08-01 05:09:55,2020
61,21,2020-08-01 03:52:53+00:00,True,70,1,active,0,0,70,True,True,False,1,,,2020-08-01 05:09:55,2020
62,19,2020-08-01 03:32:55+00:00,True,71,0,active,0,0,71,True,True,False,4,,,2020-08-01 05:09:55,2020
63,1,2020-08-01 04:53:46+00:00,True,72,0,active,0,0,72,True,True,False,22,,,2020-08-01 05:09:55,2020
64,7,2020-08-01 04:36:20+00:00,True,73,0,active,0,0,73,True,True,False,8,,,2020-08-01 05:09:55,2020
65,3,2020-08-01 05:09:10+00:00,True,74,1,active,0,0,74,True,True,True,15,,,2020-08-01 05:09:55,2020
66,0,2020-08-01 04:17:31+00:00,True,75,0,active,0,0,75,True,True,False,15,,,2020-08-01 05:09:55,2020
67,13,2020-08-01 04:59:43+00:00,True,76,1,active,0,0,76,True,True,False,3,,,2020-08-01 05:09:55,2020
