,is_installed,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,last_reported,eightd_has_available_keys,is_renting,station_status,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,10,3,3,0,0,True,0,2020-08-06 00:54:40+00:00,False,True,active,5,,,2020-08-06 01:13:50,2020
1,True,13,4,4,0,0,True,0,2020-08-06 01:06:28+00:00,False,True,active,6,,,2020-08-06 01:13:50,2020
2,True,2,5,5,0,0,True,0,2020-08-06 01:07:40+00:00,False,True,active,13,,,2020-08-06 01:13:50,2020
3,True,3,6,6,0,1,True,0,2020-08-06 01:10:56+00:00,False,True,active,11,,,2020-08-06 01:13:50,2020
4,True,6,7,7,0,0,True,0,2020-08-06 00:37:16+00:00,False,True,active,9,,,2020-08-06 01:13:50,2020
5,True,5,8,8,0,0,True,0,2020-08-06 00:57:43+00:00,False,True,active,14,,,2020-08-06 01:13:50,2020
6,True,11,9,9,0,0,True,0,2020-08-06 00:53:05+00:00,False,True,active,4,,,2020-08-06 01:13:50,2020
7,True,2,10,10,0,0,True,0,2020-08-06 00:59:37+00:00,False,True,active,9,,,2020-08-06 01:13:50,2020
8,True,0,11,11,0,0,True,0,2020-08-06 00:43:32+00:00,False,True,active,15,"{'off_dock_count': 3, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'region': 'BOS', 'active': True, 'valet_revision': 79, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-06 01:13:50,2020
9,True,10,12,12,0,0,True,0,2020-08-06 01:07:27+00:00,True,True,active,8,,,2020-08-06 01:13:50,2020
10,True,1,13,13,0,0,True,0,2020-08-06 01:11:39+00:00,False,True,active,18,,,2020-08-06 01:13:50,2020
11,True,0,14,14,0,1,True,0,2020-08-06 01:11:30+00:00,False,True,active,24,,,2020-08-06 01:13:50,2020
12,True,11,15,15,0,0,True,0,2020-08-06 01:01:57+00:00,False,True,active,4,,,2020-08-06 01:13:50,2020
13,True,3,16,16,0,0,True,0,2020-08-06 00:43:38+00:00,True,True,active,16,,,2020-08-06 01:13:50,2020
14,True,7,17,17,0,0,True,0,2020-08-06 00:47:22+00:00,False,True,active,8,,,2020-08-06 01:13:50,2020
15,True,3,19,19,0,0,True,0,2020-08-06 01:08:26+00:00,False,True,active,12,,,2020-08-06 01:13:50,2020
16,True,2,20,20,0,1,True,0,2020-08-06 01:04:53+00:00,True,True,active,20,,,2020-08-06 01:13:50,2020
17,True,3,21,21,0,1,True,0,2020-08-06 01:03:24+00:00,True,True,active,14,,,2020-08-06 01:13:50,2020
