,legacy_id,num_bikes_available,num_bikes_disabled,is_returning,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_id,station_status,num_ebikes_available,last_reported,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,56,6,0,True,0,True,True,False,56,active,0,2020-08-20 21:02:34+00:00,12,,,2020-08-20 21:51:25,2020
49,57,1,0,True,0,True,True,True,57,active,0,2020-08-20 21:47:37+00:00,13,,,2020-08-20 21:51:25,2020
50,58,4,1,True,0,True,True,True,58,active,0,2020-08-20 21:51:07+00:00,14,,,2020-08-20 21:51:25,2020
51,59,12,0,True,0,True,True,True,59,active,0,2020-08-20 21:51:19+00:00,7,,,2020-08-20 21:51:25,2020
52,60,13,1,True,0,True,True,False,60,active,0,2020-08-20 21:50:17+00:00,5,"{'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'active': True, 'off_dock_count': 26, 'valet_revision': 87}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 21:51:25,2020
53,61,15,0,True,0,True,True,False,61,active,0,2020-08-20 21:49:16+00:00,4,,,2020-08-20 21:51:25,2020
54,63,3,0,True,0,True,True,False,63,active,0,2020-08-20 21:32:58+00:00,12,,,2020-08-20 21:51:25,2020
55,64,8,0,True,0,True,True,False,64,active,0,2020-08-20 21:42:21+00:00,11,,,2020-08-20 21:51:25,2020
56,65,5,0,True,0,True,True,False,65,active,0,2020-08-20 21:41:59+00:00,18,,,2020-08-20 21:51:25,2020
57,66,4,0,True,0,True,True,False,66,active,0,2020-08-20 21:48:51+00:00,11,,,2020-08-20 21:51:25,2020
58,67,16,0,True,0,True,True,True,67,active,0,2020-08-20 21:49:07+00:00,11,,,2020-08-20 21:51:25,2020
59,68,16,1,True,0,True,True,True,68,active,0,2020-08-20 21:50:44+00:00,2,,,2020-08-20 21:51:25,2020
60,69,8,0,True,0,True,True,True,69,active,0,2020-08-20 21:49:31+00:00,11,,,2020-08-20 21:51:25,2020
61,70,16,0,True,0,True,True,False,70,active,0,2020-08-20 21:48:14+00:00,7,,,2020-08-20 21:51:25,2020
62,71,17,1,True,0,True,True,False,71,active,0,2020-08-20 21:46:17+00:00,5,,,2020-08-20 21:51:25,2020
63,72,11,0,True,0,True,True,False,72,active,0,2020-08-20 21:39:30+00:00,12,,,2020-08-20 21:51:25,2020
64,73,1,1,True,0,True,True,False,73,active,0,2020-08-20 21:45:46+00:00,13,,,2020-08-20 21:51:25,2020
65,74,1,1,True,0,True,True,True,74,active,0,2020-08-20 21:44:38+00:00,17,,,2020-08-20 21:51:25,2020
66,75,1,0,True,0,True,True,False,75,active,0,2020-08-20 20:44:37+00:00,14,,,2020-08-20 21:51:25,2020
67,76,3,1,True,0,True,True,False,76,active,0,2020-08-20 21:46:21+00:00,13,,,2020-08-20 21:51:25,2020
68,77,4,0,True,0,True,True,False,77,active,0,2020-08-20 21:44:41+00:00,11,,,2020-08-20 21:51:25,2020
69,78,14,0,True,0,True,True,False,78,active,0,2020-08-20 21:41:49+00:00,5,,,2020-08-20 21:51:25,2020
70,79,5,1,True,0,True,True,False,79,active,0,2020-08-20 21:51:05+00:00,13,,,2020-08-20 21:51:25,2020
71,80,21,1,True,0,True,True,False,80,active,0,2020-08-20 21:49:13+00:00,13,,,2020-08-20 21:51:25,2020
72,81,4,0,True,0,True,True,False,81,active,0,2020-08-20 21:39:56+00:00,15,,,2020-08-20 21:51:25,2020
73,82,3,0,True,0,True,True,False,82,active,0,2020-08-20 19:31:29+00:00,12,,,2020-08-20 21:51:25,2020
74,84,6,0,True,0,True,True,False,84,active,0,2020-08-20 21:44:17+00:00,9,,,2020-08-20 21:51:25,2020
75,85,1,0,True,0,True,True,False,85,active,0,2020-08-20 21:41:21+00:00,18,,,2020-08-20 21:51:25,2020
76,86,5,0,True,0,True,True,False,86,active,0,2020-08-20 21:45:30+00:00,14,,,2020-08-20 21:51:25,2020
77,87,0,1,True,0,True,True,False,87,active,0,2020-08-20 21:47:08+00:00,14,,,2020-08-20 21:51:25,2020
78,89,8,0,True,0,True,True,False,89,active,0,2020-08-20 21:41:44+00:00,11,,,2020-08-20 21:51:25,2020
79,90,5,0,True,0,True,True,False,90,active,0,2020-08-20 21:40:18+00:00,14,,,2020-08-20 21:51:25,2020
