,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_renting,last_reported,num_docks_available,eightd_has_available_keys,is_returning,legacy_id,station_id,is_installed,num_ebikes_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,6,0,0,True,2020-08-20 21:02:34+00:00,12,False,True,56,56,True,0,active,,,2020-08-20 21:41:15,2020
49,1,0,0,True,2020-08-20 21:25:58+00:00,13,True,True,57,57,True,0,active,,,2020-08-20 21:41:15,2020
50,4,1,0,True,2020-08-20 21:41:00+00:00,14,True,True,58,58,True,0,active,,,2020-08-20 21:41:15,2020
51,14,0,0,True,2020-08-20 21:26:42+00:00,5,True,True,59,59,True,0,active,,,2020-08-20 21:41:15,2020
52,13,1,0,True,2020-08-20 21:40:59+00:00,5,False,True,60,60,True,0,active,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_capacity': 40, 'valet_revision': 87, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_count': 26}",2020-08-20 21:41:15,2020
53,13,0,0,True,2020-08-20 21:35:32+00:00,6,False,True,61,61,True,0,active,,,2020-08-20 21:41:15,2020
54,3,0,0,True,2020-08-20 21:32:58+00:00,12,False,True,63,63,True,0,active,,,2020-08-20 21:41:15,2020
55,11,0,0,True,2020-08-20 21:40:43+00:00,8,False,True,64,64,True,0,active,,,2020-08-20 21:41:15,2020
56,6,0,0,True,2020-08-20 20:50:22+00:00,17,False,True,65,65,True,0,active,,,2020-08-20 21:41:15,2020
57,3,0,0,True,2020-08-20 21:17:21+00:00,12,False,True,66,66,True,0,active,,,2020-08-20 21:41:15,2020
58,15,0,0,True,2020-08-20 21:40:40+00:00,12,True,True,67,67,True,0,active,,,2020-08-20 21:41:15,2020
59,12,0,0,True,2020-08-20 21:40:06+00:00,7,True,True,68,68,True,0,active,,,2020-08-20 21:41:15,2020
60,10,0,0,True,2020-08-20 21:38:12+00:00,9,True,True,69,69,True,0,active,,,2020-08-20 21:41:15,2020
61,16,0,0,True,2020-08-20 21:21:01+00:00,7,False,True,70,70,True,0,active,,,2020-08-20 21:41:15,2020
62,18,1,0,True,2020-08-20 21:41:03+00:00,4,False,True,71,71,True,0,active,,,2020-08-20 21:41:15,2020
63,11,0,0,True,2020-08-20 21:39:30+00:00,12,False,True,72,72,True,0,active,,,2020-08-20 21:41:15,2020
64,2,0,0,True,2020-08-20 21:32:26+00:00,13,False,True,73,73,True,0,active,,,2020-08-20 21:41:15,2020
65,4,0,0,True,2020-08-20 21:40:27+00:00,15,True,True,74,74,True,0,active,,,2020-08-20 21:41:15,2020
66,1,0,0,True,2020-08-20 20:44:37+00:00,14,False,True,75,75,True,0,active,,,2020-08-20 21:41:15,2020
