,legacy_id,num_docks_available,is_installed,last_reported,station_id,num_bikes_disabled,num_docks_disabled,is_renting,is_returning,eightd_has_available_keys,num_bikes_available,station_status,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,15,True,2020-08-06 02:04:58+00:00,3,0,0,True,True,False,0,active,0,,,2020-08-06 05:31:55,2020
1,4,1,True,2020-08-06 05:11:38+00:00,4,0,0,True,True,False,18,active,0,,,2020-08-06 05:31:55,2020
2,5,4,True,2020-08-06 04:42:37+00:00,5,0,0,True,True,False,11,active,0,,,2020-08-06 05:31:55,2020
3,6,5,True,2020-08-06 05:23:29+00:00,6,1,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
4,7,13,True,2020-08-06 03:00:25+00:00,7,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
5,8,6,True,2020-08-06 05:16:46+00:00,8,0,0,True,True,False,13,active,0,,,2020-08-06 05:31:55,2020
6,9,1,True,2020-08-06 04:24:42+00:00,9,0,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
7,10,9,True,2020-08-06 05:23:02+00:00,10,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
8,11,14,True,2020-08-06 04:34:12+00:00,11,0,0,True,True,False,1,active,0,"{'off_dock_count': 3, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'valet_revision': 79}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-06 05:31:55,2020
9,12,5,True,2020-08-06 04:07:22+00:00,12,0,0,True,True,True,13,active,0,,,2020-08-06 05:31:55,2020
10,13,16,True,2020-08-06 04:06:34+00:00,13,0,0,True,True,False,3,active,0,,,2020-08-06 05:31:55,2020
11,14,25,True,2020-08-06 02:38:23+00:00,14,0,0,True,True,False,0,active,0,,,2020-08-06 05:31:55,2020
12,15,5,True,2020-08-06 04:21:34+00:00,15,0,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
13,16,16,True,2020-08-06 03:02:36+00:00,16,0,0,True,True,True,3,active,0,,,2020-08-06 05:31:55,2020
14,17,13,True,2020-08-06 04:14:29+00:00,17,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
15,19,9,True,2020-08-06 03:36:27+00:00,19,0,0,True,True,False,6,active,0,,,2020-08-06 05:31:55,2020
16,20,16,True,2020-08-06 05:24:37+00:00,20,0,0,True,True,True,7,active,0,,,2020-08-06 05:31:55,2020
17,21,15,True,2020-08-06 05:22:16+00:00,21,0,0,True,True,True,3,active,0,,,2020-08-06 05:31:55,2020
18,22,42,True,2020-08-06 04:51:16+00:00,22,2,0,True,True,True,3,active,0,,,2020-08-06 05:31:55,2020
19,23,10,True,2020-08-06 03:39:01+00:00,23,0,0,True,True,True,11,active,0,,,2020-08-06 05:31:55,2020
20,24,9,True,2020-08-06 05:09:46+00:00,24,0,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
21,25,7,True,2020-08-06 02:16:54+00:00,25,0,0,True,True,False,8,active,0,,,2020-08-06 05:31:55,2020
