,num_ebikes_available,station_status,num_docks_disabled,is_installed,num_bikes_available,station_id,legacy_id,num_bikes_disabled,num_docks_available,is_returning,eightd_has_available_keys,is_renting,last_reported,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,active,0,True,11,56,56,0,7,True,True,True,2020-07-30 14:21:15+00:00,,,2020-07-30 15:13:00,2020
49,0,active,0,True,4,57,57,0,10,True,True,True,2020-07-30 14:57:53+00:00,,,2020-07-30 15:13:00,2020
50,0,active,0,True,12,58,58,0,7,True,True,True,2020-07-30 15:10:28+00:00,,,2020-07-30 15:13:00,2020
51,0,active,0,True,9,59,59,0,10,True,True,True,2020-07-30 15:06:45+00:00,,,2020-07-30 15:13:00,2020
52,0,active,0,True,6,60,60,0,13,True,False,True,2020-07-30 15:12:37+00:00,"{'valet_revision': 63, 'region': 'BOS', 'active': True, 'off_dock_count': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'dock_blocked_count': 0}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 15:13:00,2020
53,0,active,0,True,8,61,61,0,11,True,False,True,2020-07-30 15:07:04+00:00,,,2020-07-30 15:13:00,2020
54,0,active,0,True,14,63,63,0,1,True,False,True,2020-07-30 12:36:54+00:00,,,2020-07-30 15:13:00,2020
55,0,active,0,True,7,64,64,2,10,True,False,True,2020-07-30 14:42:39+00:00,,,2020-07-30 15:13:00,2020
56,0,active,0,True,10,65,65,0,13,True,False,True,2020-07-30 12:59:16+00:00,,,2020-07-30 15:13:00,2020
57,0,active,0,True,0,66,66,0,15,True,False,True,2020-07-30 14:35:43+00:00,,,2020-07-30 15:13:00,2020
58,0,active,0,True,14,67,67,0,13,True,True,True,2020-07-30 15:10:20+00:00,,,2020-07-30 15:13:00,2020
59,0,active,0,True,5,68,68,2,12,True,True,True,2020-07-30 15:12:16+00:00,,,2020-07-30 15:13:00,2020
60,0,active,0,True,5,69,69,0,14,True,True,True,2020-07-30 15:03:22+00:00,,,2020-07-30 15:13:00,2020
61,0,active,0,True,1,70,70,0,22,True,False,True,2020-07-30 15:06:26+00:00,,,2020-07-30 15:13:00,2020
62,0,active,0,True,19,71,71,0,4,True,False,True,2020-07-30 15:10:41+00:00,,,2020-07-30 15:13:00,2020
63,0,active,0,True,6,72,72,0,17,True,False,True,2020-07-30 15:12:56+00:00,,,2020-07-30 15:13:00,2020
64,0,active,0,True,11,73,73,1,3,True,False,True,2020-07-30 15:02:31+00:00,,,2020-07-30 15:13:00,2020
65,0,active,0,True,13,74,74,1,5,True,True,True,2020-07-30 15:09:45+00:00,,,2020-07-30 15:13:00,2020
66,0,active,0,True,8,75,75,0,7,True,False,True,2020-07-30 15:10:53+00:00,,,2020-07-30 15:13:00,2020
67,0,active,0,True,1,76,76,0,16,True,False,True,2020-07-30 15:09:20+00:00,,,2020-07-30 15:13:00,2020
68,0,active,0,True,5,77,77,1,9,True,False,True,2020-07-30 14:29:11+00:00,,,2020-07-30 15:13:00,2020
69,0,active,0,True,16,78,78,0,3,True,False,True,2020-07-30 15:10:33+00:00,,,2020-07-30 15:13:00,2020
70,0,active,0,True,3,79,79,0,16,True,False,True,2020-07-30 14:37:59+00:00,,,2020-07-30 15:13:00,2020
71,0,active,0,True,33,80,80,1,1,True,False,True,2020-07-30 15:03:37+00:00,,,2020-07-30 15:13:00,2020
72,0,active,0,True,8,81,81,0,11,True,False,True,2020-07-30 15:06:09+00:00,,,2020-07-30 15:13:00,2020
73,0,active,0,True,5,82,82,0,10,True,False,True,2020-07-30 13:49:33+00:00,,,2020-07-30 15:13:00,2020
74,0,active,0,True,10,84,84,0,5,True,False,True,2020-07-30 15:11:41+00:00,,,2020-07-30 15:13:00,2020
75,0,active,0,True,18,85,85,0,1,True,False,True,2020-07-30 14:29:43+00:00,,,2020-07-30 15:13:00,2020
76,0,active,0,True,8,86,86,0,11,True,False,True,2020-07-30 15:06:26+00:00,,,2020-07-30 15:13:00,2020
77,0,active,0,True,4,87,87,1,10,True,False,True,2020-07-30 15:11:13+00:00,,,2020-07-30 15:13:00,2020
78,0,active,0,True,15,89,89,0,4,True,False,True,2020-07-30 15:07:40+00:00,,,2020-07-30 15:13:00,2020
79,0,active,0,True,8,90,90,1,10,True,False,True,2020-07-30 15:11:26+00:00,,,2020-07-30 15:13:00,2020
80,0,active,0,True,10,91,91,3,6,True,False,True,2020-07-30 15:08:25+00:00,,,2020-07-30 15:13:00,2020
81,0,active,0,True,11,92,92,1,7,True,False,True,2020-07-30 12:41:43+00:00,,,2020-07-30 15:13:00,2020
82,0,active,0,True,4,93,93,3,8,True,False,True,2020-07-30 12:38:38+00:00,,,2020-07-30 15:13:00,2020
83,0,active,0,True,4,94,94,0,7,True,False,True,2020-07-30 14:20:38+00:00,,,2020-07-30 15:13:00,2020
84,0,active,0,True,12,95,95,1,2,True,False,True,2020-07-30 14:49:46+00:00,,,2020-07-30 15:13:00,2020
85,0,active,0,True,3,96,96,0,16,True,False,True,2020-07-30 14:47:50+00:00,,,2020-07-30 15:13:00,2020
86,0,active,0,True,2,97,97,1,16,True,False,True,2020-07-30 15:11:30+00:00,,,2020-07-30 15:13:00,2020
87,0,active,0,True,0,98,98,0,22,True,False,True,2020-07-30 14:48:56+00:00,,,2020-07-30 15:13:00,2020
88,0,active,0,True,9,99,99,0,6,True,False,True,2020-07-30 14:19:15+00:00,,,2020-07-30 15:13:00,2020
89,0,active,0,True,13,100,100,2,10,True,True,True,2020-07-30 15:06:10+00:00,,,2020-07-30 15:13:00,2020
90,0,active,0,True,0,101,101,0,15,True,False,True,2020-07-30 13:25:45+00:00,,,2020-07-30 15:13:00,2020
91,0,active,0,True,8,102,102,0,7,True,False,True,2020-07-30 14:24:32+00:00,,,2020-07-30 15:13:00,2020
92,0,active,0,True,0,103,103,1,14,True,False,True,2020-07-30 14:35:51+00:00,,,2020-07-30 15:13:00,2020
93,0,active,0,True,12,104,104,1,6,True,False,True,2020-07-30 14:08:55+00:00,,,2020-07-30 15:13:00,2020
94,0,active,0,True,8,105,105,0,11,True,False,True,2020-07-30 15:10:45+00:00,,,2020-07-30 15:13:00,2020
95,0,active,0,True,7,106,106,0,8,True,False,True,2020-07-30 12:55:09+00:00,,,2020-07-30 15:13:00,2020
96,0,active,0,True,14,107,107,0,5,True,False,True,2020-07-30 15:12:25+00:00,,,2020-07-30 15:13:00,2020
97,0,active,0,True,12,108,108,0,5,True,False,True,2020-07-30 15:00:02+00:00,,,2020-07-30 15:13:00,2020
98,0,active,0,True,26,109,109,2,7,True,False,True,2020-07-30 14:43:54+00:00,,,2020-07-30 15:13:00,2020
99,0,active,0,True,10,110,110,0,5,True,False,True,2020-07-30 15:11:50+00:00,,,2020-07-30 15:13:00,2020
100,0,active,0,True,3,111,111,0,12,True,False,True,2020-07-30 14:21:30+00:00,,,2020-07-30 15:13:00,2020
101,0,active,0,True,8,112,112,0,7,True,False,True,2020-07-30 13:35:05+00:00,,,2020-07-30 15:13:00,2020
102,0,active,0,True,13,113,113,0,2,True,False,True,2020-07-30 15:12:39+00:00,,,2020-07-30 15:13:00,2020
103,0,active,0,True,2,114,114,0,13,True,False,True,2020-07-30 13:27:43+00:00,,,2020-07-30 15:13:00,2020
104,0,active,0,True,9,115,115,0,10,True,False,True,2020-07-30 13:40:21+00:00,,,2020-07-30 15:13:00,2020
105,0,active,0,True,5,116,116,0,18,True,False,True,2020-07-30 14:37:28+00:00,,,2020-07-30 15:13:00,2020
106,0,active,0,True,19,117,117,0,0,True,False,True,2020-07-30 13:25:46+00:00,,,2020-07-30 15:13:00,2020
107,0,active,0,True,5,118,118,0,14,True,False,True,2020-07-30 12:33:13+00:00,,,2020-07-30 15:13:00,2020
108,0,active,0,True,7,119,119,0,8,True,False,True,2020-07-30 14:55:21+00:00,,,2020-07-30 15:13:00,2020
109,0,active,0,True,4,120,120,1,10,True,False,True,2020-07-30 15:08:42+00:00,,,2020-07-30 15:13:00,2020
110,0,active,0,True,1,121,121,2,14,True,False,True,2020-07-30 14:03:16+00:00,,,2020-07-30 15:13:00,2020
111,0,active,0,True,1,122,122,0,14,True,False,True,2020-07-30 13:05:25+00:00,,,2020-07-30 15:13:00,2020
112,0,active,0,True,5,124,124,0,10,True,False,True,2020-07-30 01:11:26+00:00,,,2020-07-30 15:13:00,2020
113,0,active,0,True,2,125,125,0,13,True,False,True,2020-07-30 13:28:33+00:00,,,2020-07-30 15:13:00,2020
114,0,active,0,True,1,126,126,0,14,True,False,True,2020-07-30 13:51:56+00:00,,,2020-07-30 15:13:00,2020
115,0,active,0,True,15,128,128,1,3,True,False,True,2020-07-30 14:38:39+00:00,,,2020-07-30 15:13:00,2020
116,0,active,0,True,6,129,129,0,13,True,False,True,2020-07-30 13:51:41+00:00,,,2020-07-30 15:13:00,2020
