,num_bikes_available,num_docks_disabled,legacy_id,last_reported,eightd_has_available_keys,station_id,num_docks_available,is_returning,is_installed,station_status,num_ebikes_available,is_renting,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,13,0,3,2020-08-18 17:31:54+00:00,False,3,2,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
1,2,0,4,2020-08-18 17:29:23+00:00,False,4,17,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
2,3,0,5,2020-08-18 17:34:38+00:00,False,5,10,True,True,active,0,True,2,,,2020-08-18 17:42:15,2020
3,9,0,6,2020-08-18 17:38:42+00:00,False,6,5,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
4,3,0,7,2020-08-18 16:51:51+00:00,False,7,11,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
5,0,0,8,2020-08-18 17:38:51+00:00,False,8,16,True,True,active,0,True,3,,,2020-08-18 17:42:15,2020
6,2,0,9,2020-08-18 17:24:40+00:00,False,9,12,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
7,8,0,10,2020-08-18 17:21:17+00:00,False,10,3,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
8,14,0,11,2020-08-18 17:33:03+00:00,False,11,1,True,True,active,0,True,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'active': True, 'off_dock_count': 61, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 91, 'region': 'BOS', 'dock_blocked_count': 0}",2020-08-18 17:42:15,2020
9,9,0,12,2020-08-18 17:22:14+00:00,True,12,9,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
10,8,0,13,2020-08-18 17:30:53+00:00,False,13,11,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
11,19,0,14,2020-08-18 17:41:41+00:00,False,14,3,True,True,active,0,True,3,,,2020-08-18 17:42:15,2020
12,11,0,15,2020-08-18 17:22:59+00:00,False,15,4,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
13,1,0,16,2020-08-18 17:41:20+00:00,True,16,18,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
14,0,0,17,2020-08-18 17:25:55+00:00,False,17,15,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
15,0,0,19,2020-08-18 17:40:20+00:00,False,19,15,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
16,20,0,20,2020-08-18 17:35:33+00:00,True,20,3,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
17,9,0,21,2020-08-18 17:41:40+00:00,True,21,9,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
18,7,0,22,2020-08-18 17:26:18+00:00,True,22,39,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
19,11,0,23,2020-08-18 17:38:51+00:00,False,23,10,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
20,10,0,24,2020-08-18 17:25:22+00:00,False,24,8,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
21,0,0,25,2020-08-18 17:12:54+00:00,False,25,15,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
22,5,0,26,2020-08-18 17:27:08+00:00,False,26,10,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
23,14,0,27,2020-08-18 17:00:39+00:00,False,27,6,True,True,active,0,True,3,,,2020-08-18 17:42:15,2020
24,7,0,29,2020-08-18 14:09:47+00:00,False,29,7,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
25,13,0,30,2020-08-18 17:36:41+00:00,False,30,1,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
26,4,0,31,2020-08-18 17:24:17+00:00,True,31,15,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
27,9,0,32,2020-08-18 17:36:25+00:00,False,32,6,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
28,16,0,33,2020-08-18 17:34:42+00:00,False,33,11,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
29,21,0,35,2020-08-18 17:40:10+00:00,False,35,2,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
30,23,0,36,2020-08-18 17:37:09+00:00,True,36,10,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
31,14,0,37,2020-08-18 17:41:11+00:00,True,37,1,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
32,7,0,39,2020-08-18 17:34:25+00:00,False,39,15,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
33,17,0,40,2020-08-18 17:33:53+00:00,False,40,2,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
34,9,0,41,2020-08-18 17:36:53+00:00,True,41,17,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
35,13,0,42,2020-08-18 17:35:11+00:00,False,42,10,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
36,9,0,43,2020-08-18 16:47:55+00:00,True,43,5,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
37,22,0,44,2020-08-18 17:07:17+00:00,False,44,1,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
38,2,0,46,2020-08-18 17:13:29+00:00,False,46,17,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
39,1,0,47,2020-08-18 17:34:53+00:00,True,47,18,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
40,8,0,48,2020-08-18 17:34:47+00:00,False,48,11,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
41,6,0,49,2020-08-18 17:38:43+00:00,False,49,12,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
42,14,0,50,2020-08-18 17:33:45+00:00,True,50,1,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
43,4,0,51,2020-08-18 16:12:13+00:00,False,51,11,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
44,2,0,52,2020-08-18 17:37:33+00:00,True,52,20,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
45,4,0,53,2020-08-18 17:27:41+00:00,False,53,15,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
46,9,0,54,2020-08-18 17:05:36+00:00,False,54,5,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
47,2,0,55,2020-08-18 17:40:08+00:00,False,55,13,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
48,8,0,56,2020-08-18 17:25:36+00:00,False,56,9,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
49,5,0,57,2020-08-18 17:14:00+00:00,True,57,9,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
50,1,0,58,2020-08-18 17:07:35+00:00,True,58,16,True,True,active,0,True,2,,,2020-08-18 17:42:15,2020
51,4,0,59,2020-08-18 17:41:25+00:00,True,59,15,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
52,1,0,60,2020-08-18 17:41:31+00:00,False,60,18,True,True,active,0,True,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'active': True, 'off_dock_count': 36, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 81, 'region': 'BOS', 'dock_blocked_count': 0}",2020-08-18 17:42:15,2020
53,8,0,61,2020-08-18 17:36:12+00:00,False,61,11,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
54,13,0,63,2020-08-18 17:10:01+00:00,False,63,2,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
55,12,0,64,2020-08-18 17:36:54+00:00,False,64,7,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
56,3,0,65,2020-08-18 14:51:46+00:00,False,65,20,True,True,active,0,True,0,,,2020-08-18 17:42:15,2020
57,1,0,66,2020-08-18 17:18:15+00:00,False,66,13,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
58,25,0,67,2020-08-18 17:34:34+00:00,True,67,1,True,True,active,0,True,1,,,2020-08-18 17:42:15,2020
