,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,valet,num_docks_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,13,296,active,0,296,True,0,2020-08-01 22:02:21+00:00,True,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,True,"{'region': 'BOS', 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'active': True, 'valet_revision': 3, 'off_dock_count': 18, 'off_dock_capacity': 0, 'dock_blocked_count': 0}",10,False,2020-08-01 22:11:15,2020
1,0,3,active,0,3,True,0,2020-08-01 21:48:00+00:00,True,,0,True,,15,True,2020-08-01 22:11:15,2020
2,0,4,active,0,4,True,0,2020-08-01 21:01:21+00:00,True,,0,True,,19,False,2020-08-01 22:11:15,2020
3,3,5,active,0,5,True,0,2020-08-01 22:05:12+00:00,True,,0,True,,12,False,2020-08-01 22:11:15,2020
4,0,6,active,0,6,True,0,2020-08-01 22:10:12+00:00,True,,0,True,,15,False,2020-08-01 22:11:15,2020
5,14,7,active,0,7,True,0,2020-08-01 22:09:28+00:00,True,,0,True,,1,False,2020-08-01 22:11:15,2020
6,6,8,active,0,8,True,2,2020-08-01 21:58:13+00:00,True,,0,True,,11,False,2020-08-01 22:11:15,2020
7,5,9,active,0,9,True,0,2020-08-01 22:06:01+00:00,True,,0,True,,10,False,2020-08-01 22:11:15,2020
8,1,10,active,0,10,True,1,2020-08-01 22:00:01+00:00,True,,0,True,,9,False,2020-08-01 22:11:15,2020
9,4,11,active,0,11,True,2,2020-08-01 22:10:49+00:00,True,,0,True,,9,False,2020-08-01 22:11:15,2020
10,6,12,active,0,12,True,2,2020-08-01 21:57:06+00:00,True,,0,True,,10,True,2020-08-01 22:11:15,2020
11,14,13,active,0,13,True,0,2020-08-01 21:50:29+00:00,True,,0,True,,5,False,2020-08-01 22:11:15,2020
12,6,14,active,0,14,True,1,2020-08-01 22:08:59+00:00,True,,0,True,,18,False,2020-08-01 22:11:15,2020
13,3,15,active,0,15,True,1,2020-08-01 22:10:40+00:00,True,,0,True,,11,False,2020-08-01 22:11:15,2020
14,12,16,active,0,16,True,1,2020-08-01 21:58:57+00:00,True,,0,True,,6,True,2020-08-01 22:11:15,2020
15,2,17,active,0,17,True,0,2020-08-01 22:06:44+00:00,True,,0,True,,13,False,2020-08-01 22:11:15,2020
16,6,19,active,0,19,True,0,2020-08-01 21:59:03+00:00,True,,0,True,,9,False,2020-08-01 22:11:15,2020
17,6,20,active,0,20,True,0,2020-08-01 21:52:25+00:00,True,,0,True,,17,True,2020-08-01 22:11:15,2020
18,4,21,active,0,21,True,0,2020-08-01 22:09:07+00:00,True,,0,True,,14,True,2020-08-01 22:11:15,2020
19,9,22,active,0,22,True,2,2020-08-01 22:09:49+00:00,True,,0,True,,36,True,2020-08-01 22:11:15,2020
20,2,23,active,0,23,True,0,2020-08-01 21:47:43+00:00,True,,0,True,,19,True,2020-08-01 22:11:15,2020
21,8,24,active,0,24,True,1,2020-08-01 22:11:06+00:00,True,,0,True,,10,False,2020-08-01 22:11:15,2020
22,3,25,active,0,25,True,1,2020-08-01 21:43:39+00:00,True,,0,True,,11,False,2020-08-01 22:11:15,2020
23,6,26,active,0,26,True,0,2020-08-01 22:09:21+00:00,True,,0,True,,9,False,2020-08-01 22:11:15,2020
24,2,27,active,0,27,True,4,2020-08-01 21:51:08+00:00,True,,0,True,,17,False,2020-08-01 22:11:15,2020
25,7,29,active,0,29,True,0,2020-08-01 17:57:42+00:00,True,,0,True,,8,False,2020-08-01 22:11:15,2020
