,num_docks_available,num_ebikes_available,num_docks_disabled,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,is_renting,is_returning,station_status,legacy_id,station_id,is_installed,last_reported,timestamp_of_data_read_request,year_station_last_reported
0,9,0,0,5,False,1,True,True,active,3,3,True,2020-08-12 21:14:48+00:00,2020-08-12 21:17:50,2020
1,7,0,0,12,False,0,True,True,active,4,4,True,2020-08-12 21:13:18+00:00,2020-08-12 21:17:50,2020
2,3,0,0,12,False,0,True,True,active,5,5,True,2020-08-12 21:16:21+00:00,2020-08-12 21:17:50,2020
3,8,0,0,5,False,2,True,True,active,6,6,True,2020-08-12 21:15:01+00:00,2020-08-12 21:17:50,2020
4,5,0,0,9,False,1,True,True,active,7,7,True,2020-08-12 20:54:15+00:00,2020-08-12 21:17:50,2020
5,9,0,0,10,False,0,True,True,active,8,8,True,2020-08-12 21:05:28+00:00,2020-08-12 21:17:50,2020
6,6,0,0,8,False,1,True,True,active,9,9,True,2020-08-12 21:16:56+00:00,2020-08-12 21:17:50,2020
7,7,0,0,4,False,0,True,True,active,10,10,True,2020-08-12 21:17:35+00:00,2020-08-12 21:17:50,2020
8,8,0,0,6,False,1,True,True,active,11,11,True,2020-08-12 21:14:24+00:00,2020-08-12 21:17:50,2020
9,3,0,0,15,True,0,True,True,active,12,12,True,2020-08-12 21:14:26+00:00,2020-08-12 21:17:50,2020
10,9,0,0,9,False,1,True,True,active,13,13,True,2020-08-12 21:16:50+00:00,2020-08-12 21:17:50,2020
11,13,0,0,11,False,1,True,True,active,14,14,True,2020-08-12 21:15:44+00:00,2020-08-12 21:17:50,2020
12,0,0,0,14,False,1,True,True,active,15,15,True,2020-08-12 20:34:13+00:00,2020-08-12 21:17:50,2020
13,13,0,0,6,True,0,True,True,active,16,16,True,2020-08-12 20:49:53+00:00,2020-08-12 21:17:50,2020
14,10,0,0,4,False,1,True,True,active,17,17,True,2020-08-12 20:33:22+00:00,2020-08-12 21:17:50,2020
15,10,0,0,5,False,0,True,True,active,19,19,True,2020-08-12 21:06:30+00:00,2020-08-12 21:17:50,2020
16,6,0,0,17,True,0,True,True,active,20,20,True,2020-08-12 21:09:19+00:00,2020-08-12 21:17:50,2020
17,6,0,0,12,True,0,True,True,active,21,21,True,2020-08-12 21:12:42+00:00,2020-08-12 21:17:50,2020
18,33,0,0,14,True,0,True,True,active,22,22,True,2020-08-12 21:16:43+00:00,2020-08-12 21:17:50,2020
19,11,0,0,10,False,0,True,True,active,23,23,True,2020-08-12 21:08:41+00:00,2020-08-12 21:17:50,2020
20,12,0,0,6,False,1,True,True,active,24,24,True,2020-08-12 20:30:31+00:00,2020-08-12 21:17:50,2020
21,9,0,0,5,False,1,True,True,active,25,25,True,2020-08-12 21:05:17+00:00,2020-08-12 21:17:50,2020
22,5,0,0,10,False,0,True,True,active,26,26,True,2020-08-12 21:13:57+00:00,2020-08-12 21:17:50,2020
23,6,0,0,16,False,1,True,True,active,27,27,True,2020-08-12 21:17:07+00:00,2020-08-12 21:17:50,2020
24,5,0,0,10,False,0,True,True,active,29,29,True,2020-08-12 20:26:37+00:00,2020-08-12 21:17:50,2020
25,6,0,0,9,False,0,True,True,active,30,30,True,2020-08-12 21:12:31+00:00,2020-08-12 21:17:50,2020
26,14,0,0,5,True,0,True,True,active,31,31,True,2020-08-12 20:49:13+00:00,2020-08-12 21:17:50,2020
27,3,0,0,12,False,0,True,True,active,32,32,True,2020-08-12 21:12:56+00:00,2020-08-12 21:17:50,2020
28,18,0,0,8,False,1,True,True,active,33,33,True,2020-08-12 21:09:13+00:00,2020-08-12 21:17:50,2020
