,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,3,0,True,True,True,3,2020-07-28 23:47:26+00:00,True,0,0,15,active,,,2020-07-28 23:56:15,2020
1,18,4,0,False,True,True,4,2020-07-28 23:56:06+00:00,True,0,0,1,active,,,2020-07-28 23:56:15,2020
2,10,5,0,False,True,True,5,2020-07-28 23:40:56+00:00,True,0,0,5,active,,,2020-07-28 23:56:15,2020
3,0,6,0,False,True,True,6,2020-07-28 23:41:06+00:00,True,0,0,15,active,,,2020-07-28 23:56:15,2020
4,1,7,0,False,True,True,7,2020-07-28 23:55:21+00:00,True,0,0,14,active,,,2020-07-28 23:56:15,2020
5,8,8,0,False,True,True,8,2020-07-28 23:48:26+00:00,True,1,0,10,active,,,2020-07-28 23:56:15,2020
6,7,9,0,False,True,True,9,2020-07-28 23:51:03+00:00,True,1,0,7,active,,,2020-07-28 23:56:15,2020
7,5,10,0,False,True,True,10,2020-07-28 23:18:59+00:00,True,0,0,6,active,,,2020-07-28 23:56:15,2020
8,1,11,0,False,True,True,11,2020-07-28 23:55:03+00:00,True,2,0,12,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'valet_revision': 69, 'region': 'BOS', 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 29}",2020-07-28 23:56:15,2020
9,11,12,0,True,True,True,12,2020-07-28 23:50:06+00:00,True,0,0,7,active,,,2020-07-28 23:56:15,2020
10,0,13,0,False,True,True,13,2020-07-28 23:19:44+00:00,True,0,0,19,active,,,2020-07-28 23:56:15,2020
11,0,14,0,False,True,True,14,2020-07-28 23:28:32+00:00,True,0,0,25,active,,,2020-07-28 23:56:15,2020
12,10,15,0,False,True,True,15,2020-07-28 23:45:44+00:00,True,0,0,5,active,,,2020-07-28 23:56:15,2020
13,10,16,0,True,True,True,16,2020-07-28 23:46:35+00:00,True,2,0,7,active,,,2020-07-28 23:56:15,2020
14,5,17,0,False,True,True,17,2020-07-28 23:46:34+00:00,True,1,0,9,active,,,2020-07-28 23:56:15,2020
15,4,19,0,False,True,True,19,2020-07-28 23:42:46+00:00,True,0,0,11,active,,,2020-07-28 23:56:15,2020
16,19,20,0,True,True,True,20,2020-07-28 23:44:17+00:00,True,0,0,4,active,,,2020-07-28 23:56:15,2020
17,7,21,0,True,True,True,21,2020-07-28 23:54:37+00:00,True,2,0,9,active,,,2020-07-28 23:56:15,2020
18,4,22,0,False,True,True,22,2020-07-28 23:55:27+00:00,True,0,0,43,active,,,2020-07-28 23:56:15,2020
19,2,23,0,True,True,True,23,2020-07-28 23:52:54+00:00,True,3,0,16,active,,,2020-07-28 23:56:15,2020
20,11,24,0,False,True,True,24,2020-07-28 23:28:52+00:00,True,0,0,8,active,,,2020-07-28 23:56:15,2020
21,11,25,0,False,True,True,25,2020-07-28 23:42:30+00:00,True,0,0,4,active,,,2020-07-28 23:56:15,2020
