,station_id,legacy_id,station_status,last_reported,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,is_renting,is_installed,timestamp_of_data_read_request,year_station_last_reported
52,60,60,active,2020-08-18 23:49:28+00:00,4,True,2,13,0,False,0,True,True,2020-08-18 23:50:20,2020
53,61,61,active,2020-08-18 23:44:08+00:00,4,True,1,14,0,False,0,True,True,2020-08-18 23:50:20,2020
54,63,63,active,2020-08-18 22:58:17+00:00,1,True,0,14,0,False,0,True,True,2020-08-18 23:50:20,2020
55,64,64,active,2020-08-18 23:09:25+00:00,12,True,1,6,0,False,0,True,True,2020-08-18 23:50:20,2020
56,65,65,active,2020-08-18 22:07:36+00:00,23,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
57,66,66,active,2020-08-18 23:47:16+00:00,7,True,1,7,0,False,0,True,True,2020-08-18 23:50:20,2020
58,67,67,active,2020-08-18 23:47:29+00:00,24,True,0,3,0,True,0,True,True,2020-08-18 23:50:20,2020
59,68,68,active,2020-08-18 23:46:47+00:00,1,True,1,17,0,True,0,True,True,2020-08-18 23:50:20,2020
60,69,69,active,2020-08-18 23:39:13+00:00,4,True,0,15,0,True,0,True,True,2020-08-18 23:50:20,2020
61,70,70,active,2020-08-18 23:27:56+00:00,13,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
62,71,71,active,2020-08-18 23:48:06+00:00,3,True,0,20,0,False,0,True,True,2020-08-18 23:50:20,2020
63,72,72,active,2020-08-18 23:35:58+00:00,7,True,0,16,0,False,0,True,True,2020-08-18 23:50:20,2020
64,73,73,active,2020-08-18 23:08:55+00:00,0,True,3,12,0,False,0,True,True,2020-08-18 23:50:20,2020
65,74,74,active,2020-08-18 23:49:43+00:00,12,True,1,6,0,True,0,True,True,2020-08-18 23:50:20,2020
66,75,75,active,2020-08-18 23:36:45+00:00,5,True,1,9,0,False,0,True,True,2020-08-18 23:50:20,2020
67,76,76,active,2020-08-18 23:50:11+00:00,5,True,0,12,0,False,0,True,True,2020-08-18 23:50:20,2020
68,77,77,active,2020-08-18 23:49:53+00:00,8,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
69,78,78,active,2020-08-18 23:40:07+00:00,8,True,1,10,0,False,0,True,True,2020-08-18 23:50:20,2020
70,79,79,active,2020-08-18 23:42:15+00:00,2,True,2,15,0,False,0,True,True,2020-08-18 23:50:20,2020
71,80,80,active,2020-08-18 23:41:55+00:00,35,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
72,81,81,active,2020-08-18 23:43:07+00:00,5,True,1,13,0,False,0,True,True,2020-08-18 23:50:20,2020
73,82,82,active,2020-08-18 23:41:07+00:00,8,True,1,6,0,False,0,True,True,2020-08-18 23:50:20,2020
74,84,84,active,2020-08-18 23:48:24+00:00,7,True,1,7,0,False,0,True,True,2020-08-18 23:50:20,2020
75,85,85,active,2020-08-18 23:41:53+00:00,19,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
76,86,86,active,2020-08-18 23:45:47+00:00,18,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
77,87,87,active,2020-08-18 23:47:53+00:00,2,True,0,13,0,False,0,True,True,2020-08-18 23:50:20,2020
78,89,89,active,2020-08-18 22:36:23+00:00,8,True,0,11,0,False,0,True,True,2020-08-18 23:50:20,2020
79,90,90,active,2020-08-18 23:48:44+00:00,5,True,0,14,0,False,0,True,True,2020-08-18 23:50:20,2020
80,91,91,active,2020-08-18 23:43:00+00:00,16,True,1,2,0,False,0,True,True,2020-08-18 23:50:20,2020
81,92,92,active,2020-08-18 23:43:39+00:00,3,True,1,15,0,False,0,True,True,2020-08-18 23:50:20,2020
82,93,93,active,2020-08-18 23:22:24+00:00,3,True,2,10,0,False,0,True,True,2020-08-18 23:50:20,2020
83,94,94,active,2020-08-18 23:48:28+00:00,10,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
84,95,95,active,2020-08-18 23:24:44+00:00,11,True,3,1,0,False,0,True,True,2020-08-18 23:50:20,2020
85,96,96,active,2020-08-18 23:45:18+00:00,16,True,0,3,0,False,0,True,True,2020-08-18 23:50:20,2020
86,97,97,active,2020-08-18 23:49:55+00:00,11,True,2,6,0,False,0,True,True,2020-08-18 23:50:20,2020
87,98,98,active,2020-08-18 23:43:14+00:00,19,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
88,99,99,active,2020-08-18 23:11:31+00:00,0,True,2,13,0,False,0,True,True,2020-08-18 23:50:20,2020
89,100,100,active,2020-08-18 23:44:25+00:00,15,True,0,10,0,True,0,True,True,2020-08-18 23:50:20,2020
