,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
66,True,True,True,False,75,0,0,2020-08-11 10:26:48+00:00,active,13,0,2,75,,,2020-08-11 11:24:05,2020
67,True,True,True,False,76,0,0,2020-08-11 11:09:03+00:00,active,8,0,9,76,,,2020-08-11 11:24:05,2020
68,True,True,True,False,77,0,0,2020-08-11 11:11:31+00:00,active,12,1,2,77,,,2020-08-11 11:24:05,2020
69,True,True,True,False,78,0,0,2020-08-11 08:52:42+00:00,active,17,0,2,78,,,2020-08-11 11:24:05,2020
70,True,True,True,False,79,0,0,2020-08-11 11:02:20+00:00,active,4,2,13,79,,,2020-08-11 11:24:05,2020
71,True,True,True,False,80,0,0,2020-08-11 11:09:30+00:00,active,28,0,7,80,,,2020-08-11 11:24:05,2020
72,True,True,True,False,81,0,0,2020-08-11 11:03:14+00:00,active,13,0,6,81,,,2020-08-11 11:24:05,2020
73,True,True,True,False,82,0,0,2020-08-11 11:17:03+00:00,active,14,0,1,82,,,2020-08-11 11:24:05,2020
74,True,True,True,False,84,0,0,2020-08-11 10:24:17+00:00,active,9,1,5,84,,,2020-08-11 11:24:05,2020
75,True,True,True,False,85,0,0,2020-08-11 10:52:53+00:00,active,15,0,4,85,,,2020-08-11 11:24:05,2020
76,True,True,True,False,86,0,0,2020-08-11 11:05:06+00:00,active,14,0,5,86,,,2020-08-11 11:24:05,2020
77,True,True,True,False,87,0,0,2020-08-11 11:16:18+00:00,active,6,0,9,87,,,2020-08-11 11:24:05,2020
78,True,True,True,False,89,0,0,2020-08-11 11:12:02+00:00,active,13,1,5,89,,,2020-08-11 11:24:05,2020
79,True,True,True,False,90,0,0,2020-08-11 11:15:24+00:00,active,4,0,15,90,,,2020-08-11 11:24:05,2020
80,True,True,True,False,91,0,0,2020-08-11 11:12:47+00:00,active,19,0,0,91,,,2020-08-11 11:24:05,2020
81,True,True,True,False,92,0,0,2020-08-11 08:02:20+00:00,active,10,0,9,92,,,2020-08-11 11:24:05,2020
82,True,True,True,False,93,0,0,2020-08-11 08:54:19+00:00,active,1,1,13,93,,,2020-08-11 11:24:05,2020
83,True,True,True,False,94,0,0,2020-08-11 10:39:12+00:00,active,10,0,1,94,,,2020-08-11 11:24:05,2020
84,True,True,True,False,95,0,0,2020-08-11 11:15:00+00:00,active,9,1,5,95,,,2020-08-11 11:24:05,2020
85,True,True,True,False,96,0,0,2020-08-11 11:03:25+00:00,active,3,0,16,96,,,2020-08-11 11:24:05,2020
86,True,True,True,False,97,0,0,2020-08-11 09:55:58+00:00,active,4,0,15,97,,,2020-08-11 11:24:05,2020
87,True,True,True,False,98,0,0,2020-08-11 10:57:03+00:00,active,15,0,8,98,,,2020-08-11 11:24:05,2020
88,True,True,True,False,99,0,0,2020-08-11 10:43:55+00:00,active,9,0,6,99,,,2020-08-11 11:24:05,2020
89,True,True,True,True,100,0,0,2020-08-11 09:56:05+00:00,active,12,0,13,100,,,2020-08-11 11:24:05,2020
90,True,True,True,False,101,0,0,2020-08-11 09:41:07+00:00,active,0,0,15,101,,,2020-08-11 11:24:05,2020
91,True,True,True,False,102,0,0,2020-08-11 10:36:46+00:00,active,13,0,2,102,,,2020-08-11 11:24:05,2020
92,True,True,True,False,103,0,0,2020-08-11 11:20:48+00:00,active,6,0,9,103,,,2020-08-11 11:24:05,2020
93,True,True,True,False,104,0,0,2020-08-11 08:52:48+00:00,active,11,0,8,104,,,2020-08-11 11:24:05,2020
94,True,True,True,False,105,0,0,2020-08-11 10:59:05+00:00,active,11,1,7,105,,,2020-08-11 11:24:05,2020
95,True,True,True,False,106,0,0,2020-08-11 09:59:10+00:00,active,10,1,4,106,,,2020-08-11 11:24:05,2020
96,True,True,True,False,107,0,0,2020-08-11 11:01:13+00:00,active,9,0,10,107,,,2020-08-11 11:24:05,2020
97,True,True,True,False,108,0,0,2020-08-11 09:37:28+00:00,active,15,0,2,108,,,2020-08-11 11:24:05,2020
98,True,True,True,False,109,0,0,2020-08-11 08:58:07+00:00,active,26,1,8,109,,,2020-08-11 11:24:05,2020
99,True,True,True,False,110,0,0,2020-08-11 08:07:28+00:00,active,11,0,4,110,,,2020-08-11 11:24:05,2020
