,num_docks_available,num_docks_disabled,last_reported,num_ebikes_available,station_id,station_status,is_renting,num_bikes_disabled,is_installed,legacy_id,num_bikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
152,18,0,2020-07-29 23:06:12+00:00,0,178,active,True,1,True,178,0,True,False,,,2020-07-29 23:21:10,2020
153,8,0,2020-07-29 23:18:27+00:00,0,179,active,True,0,True,179,17,True,False,,,2020-07-29 23:21:10,2020
154,14,0,2020-07-29 22:58:38+00:00,0,180,active,True,0,True,180,5,True,False,,,2020-07-29 23:21:10,2020
155,12,0,2020-07-29 22:40:39+00:00,0,181,active,True,0,True,181,7,True,False,,,2020-07-29 23:21:10,2020
156,13,0,2020-07-29 22:26:22+00:00,0,182,active,True,0,True,182,6,True,True,,,2020-07-29 23:21:10,2020
157,13,0,2020-07-29 22:53:56+00:00,0,183,active,True,0,True,183,6,True,False,,,2020-07-29 23:21:10,2020
158,6,0,2020-07-29 23:15:40+00:00,0,184,active,True,0,True,184,13,True,False,,,2020-07-29 23:21:10,2020
159,10,0,2020-07-29 23:12:14+00:00,0,185,active,True,1,True,185,4,True,False,,,2020-07-29 23:21:10,2020
160,2,0,2020-07-29 23:10:46+00:00,0,186,active,True,1,True,186,12,True,True,,,2020-07-29 23:21:10,2020
161,9,0,2020-07-29 23:00:08+00:00,0,187,active,True,0,True,187,6,True,False,,,2020-07-29 23:21:10,2020
162,5,0,2020-07-29 23:16:37+00:00,0,188,active,True,0,True,188,10,True,False,,,2020-07-29 23:21:10,2020
163,18,0,2020-07-29 23:18:44+00:00,0,189,active,True,0,True,189,5,True,True,,,2020-07-29 23:21:10,2020
164,16,0,2020-07-29 23:17:29+00:00,0,190,active,True,1,True,190,20,True,True,,,2020-07-29 23:21:10,2020
165,14,0,2020-07-29 22:50:15+00:00,0,191,active,True,0,True,191,1,True,False,,,2020-07-29 23:21:10,2020
166,18,0,2020-07-29 22:45:38+00:00,0,192,active,True,0,True,192,1,True,False,,,2020-07-29 23:21:10,2020
167,0,0,2020-07-29 21:52:54+00:00,0,193,active,True,0,True,193,15,True,True,,,2020-07-29 23:21:10,2020
168,5,0,2020-07-29 18:11:48+00:00,0,194,active,True,0,True,194,14,True,False,,,2020-07-29 23:21:10,2020
169,12,0,2020-07-29 22:57:43+00:00,0,195,active,True,2,True,195,9,True,False,,,2020-07-29 23:21:10,2020
170,10,0,2020-07-29 22:21:59+00:00,0,196,active,True,0,True,196,0,True,True,,,2020-07-29 23:21:10,2020
171,11,0,2020-07-29 23:16:20+00:00,0,197,active,True,1,True,197,3,True,False,,,2020-07-29 23:21:10,2020
172,8,0,2020-07-29 16:57:39+00:00,0,199,active,True,0,True,199,7,True,False,,,2020-07-29 23:21:10,2020
173,5,0,2020-07-29 23:06:34+00:00,0,200,active,True,0,True,200,14,True,False,,,2020-07-29 23:21:10,2020
174,15,0,2020-07-29 12:09:09+00:00,0,201,active,True,0,True,201,0,True,False,,,2020-07-29 23:21:10,2020
175,9,0,2020-07-29 23:08:24+00:00,0,202,active,True,1,True,202,5,True,False,,,2020-07-29 23:21:10,2020
176,12,0,2020-07-29 20:08:28+00:00,0,203,active,True,0,True,203,3,True,False,,,2020-07-29 23:21:10,2020
177,14,0,2020-07-29 22:19:57+00:00,0,204,active,True,0,True,204,1,True,False,,,2020-07-29 23:21:10,2020
178,10,0,2020-07-29 18:59:24+00:00,0,205,active,True,1,True,205,4,True,False,,,2020-07-29 23:21:10,2020
