,station_id,last_reported,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,legacy_id,station_status,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-05 01:13:16+00:00,0,True,True,0,True,0,True,9,3,active,6,2020-08-05 01:22:30,2020
1,4,2020-08-05 01:12:51+00:00,0,False,True,1,True,0,True,9,4,active,9,2020-08-05 01:22:30,2020
2,5,2020-08-05 01:12:40+00:00,0,False,True,0,True,0,True,6,5,active,9,2020-08-05 01:22:30,2020
3,6,2020-08-05 00:57:14+00:00,0,False,True,1,True,0,True,14,6,active,0,2020-08-05 01:22:30,2020
4,7,2020-08-05 00:33:47+00:00,0,False,True,1,True,0,True,9,7,active,5,2020-08-05 01:22:30,2020
5,8,2020-08-05 00:49:58+00:00,0,False,True,0,True,0,True,12,8,active,7,2020-08-05 01:22:30,2020
6,9,2020-08-05 00:15:10+00:00,0,False,True,0,True,0,True,9,9,active,6,2020-08-05 01:22:30,2020
7,10,2020-08-05 00:16:42+00:00,0,False,True,0,True,0,True,7,10,active,4,2020-08-05 01:22:30,2020
8,11,2020-08-05 00:19:57+00:00,0,False,True,0,True,0,True,15,11,active,0,2020-08-05 01:22:30,2020
9,12,2020-08-05 01:02:16+00:00,0,True,True,0,True,0,True,10,12,active,8,2020-08-05 01:22:30,2020
10,13,2020-08-05 00:13:57+00:00,0,False,True,0,True,0,True,19,13,active,0,2020-08-05 01:22:30,2020
11,14,2020-08-05 00:52:49+00:00,0,False,True,0,True,0,True,25,14,active,0,2020-08-05 01:22:30,2020
12,15,2020-08-05 01:16:22+00:00,0,False,True,0,True,0,True,8,15,active,7,2020-08-05 01:22:30,2020
13,16,2020-08-05 01:02:47+00:00,0,True,True,0,True,0,True,9,16,active,10,2020-08-05 01:22:30,2020
14,17,2020-08-05 00:46:36+00:00,0,False,True,2,True,0,True,11,17,active,2,2020-08-05 01:22:30,2020
15,19,2020-08-05 00:05:32+00:00,0,False,True,0,True,0,True,2,19,active,13,2020-08-05 01:22:30,2020
16,20,2020-08-04 23:05:06+00:00,0,True,True,1,True,0,True,10,20,active,12,2020-08-05 01:22:30,2020
17,21,2020-08-05 01:19:10+00:00,0,True,True,1,True,0,True,13,21,active,4,2020-08-05 01:22:30,2020
18,22,2020-08-05 00:54:41+00:00,0,True,True,1,True,0,True,42,22,active,4,2020-08-05 01:22:30,2020
19,23,2020-08-05 01:12:29+00:00,0,True,True,2,True,0,True,17,23,active,2,2020-08-05 01:22:30,2020
20,24,2020-08-05 00:13:09+00:00,0,False,True,1,True,0,True,11,24,active,7,2020-08-05 01:22:30,2020
21,25,2020-08-05 00:13:35+00:00,0,False,True,0,True,0,True,7,25,active,8,2020-08-05 01:22:30,2020
22,26,2020-08-05 00:57:18+00:00,0,False,True,2,True,0,True,6,26,active,7,2020-08-05 01:22:30,2020
23,27,2020-08-05 01:12:48+00:00,0,False,True,0,True,0,True,5,27,active,18,2020-08-05 01:22:30,2020
24,29,2020-08-04 20:06:14+00:00,0,False,True,0,True,0,True,5,29,active,10,2020-08-05 01:22:30,2020
