,last_reported,legacy_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,num_ebikes_available,station_status,station_id,is_renting,is_returning,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
145,2020-08-21 17:10:44+00:00,170,0,0,7,True,0,active,170,True,True,7,True,,,2020-08-21 17:23:25,2020
146,2020-08-21 16:32:18+00:00,171,0,0,13,True,0,active,171,True,True,10,True,,,2020-08-21 17:23:25,2020
147,2020-08-21 16:45:36+00:00,173,0,0,5,True,0,active,173,True,True,9,True,,,2020-08-21 17:23:25,2020
148,2020-08-21 17:14:54+00:00,174,0,0,8,False,0,active,174,True,True,7,True,,,2020-08-21 17:23:25,2020
149,2020-08-21 17:21:09+00:00,175,0,0,10,True,0,active,175,True,True,7,True,,,2020-08-21 17:23:25,2020
150,2020-08-21 17:10:27+00:00,176,0,0,5,False,0,active,176,True,True,10,True,,,2020-08-21 17:23:25,2020
151,2020-08-21 17:20:31+00:00,177,0,2,14,False,0,active,177,True,True,3,True,,,2020-08-21 17:23:25,2020
152,2020-08-21 17:22:44+00:00,178,0,0,17,False,0,active,178,True,True,2,True,,,2020-08-21 17:23:25,2020
153,2020-08-21 17:07:01+00:00,179,0,0,10,False,0,active,179,True,True,15,True,,,2020-08-21 17:23:25,2020
154,2020-08-21 16:33:33+00:00,180,0,0,5,False,0,active,180,True,True,14,True,,,2020-08-21 17:23:25,2020
155,2020-08-21 16:09:10+00:00,181,0,0,18,False,0,active,181,True,True,1,True,,,2020-08-21 17:23:25,2020
156,2020-08-21 16:31:39+00:00,182,0,0,14,True,0,active,182,True,True,5,True,,,2020-08-21 17:23:25,2020
157,2020-08-21 17:01:05+00:00,183,0,0,14,False,0,active,183,True,True,5,True,,,2020-08-21 17:23:25,2020
158,2020-08-21 16:40:02+00:00,184,0,0,17,False,0,active,184,True,True,2,True,,,2020-08-21 17:23:25,2020
159,2020-08-21 17:11:47+00:00,185,0,0,12,False,0,active,185,True,True,3,True,,,2020-08-21 17:23:25,2020
160,2020-08-21 17:16:53+00:00,186,0,0,13,True,0,active,186,True,True,2,True,,,2020-08-21 17:23:25,2020
161,2020-08-21 16:59:39+00:00,187,0,1,12,False,0,active,187,True,True,2,True,,,2020-08-21 17:23:25,2020
162,2020-08-21 17:16:11+00:00,188,0,0,6,False,0,active,188,True,True,9,True,,,2020-08-21 17:23:25,2020
163,2020-08-21 16:55:07+00:00,189,0,1,7,True,0,active,189,True,True,15,True,,,2020-08-21 17:23:25,2020
164,2020-08-21 17:23:13+00:00,190,0,0,24,True,0,active,190,True,True,13,True,,,2020-08-21 17:23:25,2020
165,2020-08-21 16:12:45+00:00,191,0,0,14,False,0,active,191,True,True,1,True,,,2020-08-21 17:23:25,2020
166,2020-08-21 16:28:24+00:00,192,0,0,3,False,0,active,192,True,True,16,True,,,2020-08-21 17:23:25,2020
167,2020-08-21 14:36:31+00:00,193,0,0,12,True,0,active,193,True,True,3,True,,,2020-08-21 17:23:25,2020
168,2020-08-21 16:47:59+00:00,194,0,0,17,False,0,active,194,True,True,2,True,,,2020-08-21 17:23:25,2020
169,2020-08-21 17:01:03+00:00,195,0,0,20,False,0,active,195,True,True,3,True,,,2020-08-21 17:23:25,2020
170,2020-08-21 13:55:16+00:00,196,0,0,8,False,0,active,196,True,True,2,True,,,2020-08-21 17:23:25,2020
171,2020-08-21 16:45:36+00:00,197,0,0,8,False,0,active,197,True,True,7,True,,,2020-08-21 17:23:25,2020
172,2020-08-21 16:00:45+00:00,199,0,0,7,False,0,active,199,True,True,8,True,,,2020-08-21 17:23:25,2020
173,2020-08-21 16:59:31+00:00,200,0,0,5,False,0,active,200,True,True,14,True,,,2020-08-21 17:23:25,2020
174,2020-08-21 12:22:54+00:00,201,0,0,13,False,0,active,201,True,True,2,True,,,2020-08-21 17:23:25,2020
175,2020-08-21 14:21:31+00:00,202,0,0,13,False,0,active,202,True,True,2,True,,,2020-08-21 17:23:25,2020
