,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,num_docks_available,is_installed,num_bikes_disabled,last_reported,num_ebikes_available,is_renting,is_returning,station_id,station_status,timestamp_of_data_read_request,year_station_last_reported
0,7,0,3,False,7,True,1,2020-08-12 19:52:39+00:00,0,True,True,3,active,2020-08-12 20:16:40,2020
1,11,0,4,False,8,True,0,2020-08-12 20:15:48+00:00,0,True,True,4,active,2020-08-12 20:16:40,2020
2,11,0,5,False,4,True,0,2020-08-12 20:13:47+00:00,0,True,True,5,active,2020-08-12 20:16:40,2020
3,10,0,6,False,3,True,2,2020-08-12 20:10:01+00:00,0,True,True,6,active,2020-08-12 20:16:40,2020
4,10,0,7,False,4,True,1,2020-08-12 20:16:24+00:00,0,True,True,7,active,2020-08-12 20:16:40,2020
5,7,0,8,False,12,True,0,2020-08-12 20:00:11+00:00,0,True,True,8,active,2020-08-12 20:16:40,2020
6,8,0,9,False,5,True,2,2020-08-12 19:52:29+00:00,0,True,True,9,active,2020-08-12 20:16:40,2020
7,5,0,10,False,6,True,0,2020-08-12 19:33:20+00:00,0,True,True,10,active,2020-08-12 20:16:40,2020
8,2,0,11,False,11,True,2,2020-08-12 20:16:18+00:00,0,True,True,11,active,2020-08-12 20:16:40,2020
9,16,0,12,True,2,True,0,2020-08-12 19:44:11+00:00,0,True,True,12,active,2020-08-12 20:16:40,2020
10,7,0,13,False,11,True,1,2020-08-12 20:10:39+00:00,0,True,True,13,active,2020-08-12 20:16:40,2020
11,16,0,14,False,9,True,0,2020-08-12 20:12:48+00:00,0,True,True,14,active,2020-08-12 20:16:40,2020
12,11,0,15,False,3,True,1,2020-08-12 20:14:18+00:00,0,True,True,15,active,2020-08-12 20:16:40,2020
13,6,0,16,True,13,True,0,2020-08-12 20:15:16+00:00,0,True,True,16,active,2020-08-12 20:16:40,2020
14,1,0,17,False,13,True,1,2020-08-12 20:13:59+00:00,0,True,True,17,active,2020-08-12 20:16:40,2020
15,5,0,19,False,10,True,0,2020-08-12 20:15:07+00:00,0,True,True,19,active,2020-08-12 20:16:40,2020
16,12,0,20,True,11,True,0,2020-08-12 20:15:26+00:00,0,True,True,20,active,2020-08-12 20:16:40,2020
17,14,0,21,True,4,True,0,2020-08-12 20:11:30+00:00,0,True,True,21,active,2020-08-12 20:16:40,2020
18,12,0,22,True,35,True,0,2020-08-12 20:03:22+00:00,0,True,True,22,active,2020-08-12 20:16:40,2020
19,12,0,23,False,9,True,0,2020-08-12 20:16:16+00:00,0,True,True,23,active,2020-08-12 20:16:40,2020
20,9,0,24,False,9,True,1,2020-08-12 20:15:22+00:00,0,True,True,24,active,2020-08-12 20:16:40,2020
21,1,0,25,False,13,True,1,2020-08-12 19:15:56+00:00,0,True,True,25,active,2020-08-12 20:16:40,2020
22,15,0,26,False,0,True,0,2020-08-12 19:58:25+00:00,0,True,True,26,active,2020-08-12 20:16:40,2020
23,14,0,27,False,8,True,1,2020-08-12 20:04:35+00:00,0,True,True,27,active,2020-08-12 20:16:40,2020
24,11,0,29,False,4,True,0,2020-08-12 17:50:54+00:00,0,True,True,29,active,2020-08-12 20:16:40,2020
25,12,0,30,False,3,True,0,2020-08-12 20:15:17+00:00,0,True,True,30,active,2020-08-12 20:16:40,2020
26,3,0,31,True,16,True,0,2020-08-12 20:13:09+00:00,0,True,True,31,active,2020-08-12 20:16:40,2020
27,13,0,32,False,2,True,0,2020-08-12 20:15:00+00:00,0,True,True,32,active,2020-08-12 20:16:40,2020
28,5,0,33,False,22,True,0,2020-08-12 19:44:16+00:00,0,True,True,33,active,2020-08-12 20:16:40,2020
29,22,0,35,False,1,True,0,2020-08-12 20:05:10+00:00,0,True,True,35,active,2020-08-12 20:16:40,2020
30,10,0,36,True,23,True,0,2020-08-12 19:57:34+00:00,0,True,True,36,active,2020-08-12 20:16:40,2020
31,0,0,37,True,15,True,0,2020-08-12 18:30:37+00:00,0,True,True,37,active,2020-08-12 20:16:40,2020
32,12,0,39,False,9,True,2,2020-08-12 20:08:35+00:00,0,True,True,39,active,2020-08-12 20:16:40,2020
33,8,0,40,False,10,True,1,2020-08-12 20:10:40+00:00,0,True,True,40,active,2020-08-12 20:16:40,2020
34,3,0,41,True,24,True,0,2020-08-12 20:16:29+00:00,0,True,True,41,active,2020-08-12 20:16:40,2020
