,eightd_has_available_keys,is_returning,last_reported,num_docks_available,num_ebikes_available,station_id,station_status,is_renting,legacy_id,num_docks_disabled,num_bikes_disabled,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
164,True,True,2020-07-27 17:17:28+00:00,29,0,190,active,True,190,0,2,6,True,,,2020-07-27 17:33:50,2020
165,False,True,2020-07-27 16:03:45+00:00,11,0,191,active,True,191,0,0,4,True,,,2020-07-27 17:33:50,2020
166,False,True,2020-07-27 16:52:46+00:00,9,0,192,active,True,192,0,0,10,True,,,2020-07-27 17:33:50,2020
167,True,True,2020-07-27 17:11:43+00:00,9,0,193,active,True,193,0,0,6,True,,,2020-07-27 17:33:50,2020
168,False,True,2020-07-27 16:54:05+00:00,7,0,194,active,True,194,0,0,12,True,,,2020-07-27 17:33:50,2020
169,False,True,2020-07-27 17:29:30+00:00,12,0,195,active,True,195,0,0,11,True,,,2020-07-27 17:33:50,2020
170,True,True,2020-07-27 15:01:39+00:00,9,0,196,active,True,196,0,0,1,True,,,2020-07-27 17:33:50,2020
171,False,True,2020-07-27 17:32:18+00:00,14,0,197,active,True,197,0,0,1,True,,,2020-07-27 17:33:50,2020
172,False,True,2020-07-27 09:36:27+00:00,14,0,199,active,True,199,0,0,1,True,,,2020-07-27 17:33:50,2020
173,False,True,2020-07-27 17:23:55+00:00,2,0,200,active,True,200,0,0,17,True,,,2020-07-27 17:33:50,2020
174,False,True,2020-07-27 12:13:56+00:00,13,0,201,active,True,201,0,0,2,True,,,2020-07-27 17:33:50,2020
175,False,True,2020-07-27 14:56:17+00:00,12,0,202,active,True,202,0,0,3,True,,,2020-07-27 17:33:50,2020
176,False,True,2020-07-27 17:12:16+00:00,12,0,203,active,True,203,0,0,3,True,,,2020-07-27 17:33:50,2020
177,False,True,2020-07-27 13:22:26+00:00,12,0,204,active,True,204,0,0,3,True,,,2020-07-27 17:33:50,2020
178,False,True,2020-07-27 12:18:18+00:00,10,0,205,active,True,205,0,2,3,True,,,2020-07-27 17:33:50,2020
179,True,False,2020-07-27 13:40:05+00:00,17,0,206,active,False,206,0,0,6,True,,,2020-07-27 17:33:50,2020
180,True,True,2020-07-27 17:21:57+00:00,9,0,208,active,True,208,0,0,6,True,,,2020-07-27 17:33:50,2020
181,False,True,2020-07-27 17:03:47+00:00,2,0,209,active,True,209,0,1,12,True,,,2020-07-27 17:33:50,2020
182,False,True,2020-07-27 16:47:18+00:00,11,0,210,active,True,210,0,1,3,True,,,2020-07-27 17:33:50,2020
183,False,True,2020-07-27 17:18:04+00:00,2,0,211,active,True,211,0,2,15,True,,,2020-07-27 17:33:50,2020
184,False,True,2020-07-27 16:59:43+00:00,26,0,212,active,True,212,0,2,5,True,,,2020-07-27 17:33:50,2020
185,True,True,2020-07-27 14:24:20+00:00,9,0,213,active,True,213,0,0,7,True,,,2020-07-27 17:33:50,2020
186,False,True,2020-07-27 17:28:24+00:00,9,0,214,active,True,214,0,0,6,True,,,2020-07-27 17:33:50,2020
187,False,True,2020-07-27 16:19:47+00:00,3,0,215,active,True,215,0,1,11,True,,,2020-07-27 17:33:50,2020
188,False,True,2020-07-27 14:57:14+00:00,3,0,216,active,True,216,0,0,16,True,,,2020-07-27 17:33:50,2020
189,False,True,2020-07-27 15:38:23+00:00,13,0,217,active,True,217,0,0,6,True,,,2020-07-27 17:33:50,2020
190,False,True,2020-07-27 16:24:30+00:00,14,0,218,active,True,218,0,0,1,True,,,2020-07-27 17:33:50,2020
191,False,True,2020-07-26 23:42:58+00:00,0,0,219,active,True,219,0,0,15,True,,,2020-07-27 17:33:50,2020
192,False,True,2020-07-27 17:19:06+00:00,11,0,221,active,True,221,0,0,8,True,,,2020-07-27 17:33:50,2020
193,True,True,2020-07-27 17:21:54+00:00,13,0,222,active,True,222,0,0,1,True,,,2020-07-27 17:33:50,2020
194,False,True,2020-07-27 14:22:40+00:00,10,0,224,active,True,224,0,0,7,True,,,2020-07-27 17:33:50,2020
195,False,True,2020-07-27 17:32:01+00:00,9,0,225,active,True,225,1,0,9,True,,,2020-07-27 17:33:50,2020
196,False,True,2020-07-27 16:04:56+00:00,14,0,226,active,True,226,0,0,1,True,,,2020-07-27 17:33:50,2020
197,False,True,2020-07-27 17:19:32+00:00,6,0,227,active,True,227,0,2,11,True,,,2020-07-27 17:33:50,2020
198,False,True,2020-07-27 17:02:22+00:00,7,0,228,active,True,228,0,1,11,True,,,2020-07-27 17:33:50,2020
199,False,True,2020-07-27 16:45:13+00:00,3,0,232,active,True,232,0,0,8,True,,,2020-07-27 17:33:50,2020
200,False,True,2020-07-27 17:19:02+00:00,3,0,233,active,True,233,0,0,12,True,,,2020-07-27 17:33:50,2020
201,False,True,2020-07-27 13:44:24+00:00,11,0,234,active,True,234,0,0,4,True,,,2020-07-27 17:33:50,2020
202,False,True,2020-07-27 13:24:53+00:00,1,0,235,active,True,235,0,0,14,True,,,2020-07-27 17:33:50,2020
203,False,True,2020-07-27 17:04:05+00:00,10,0,236,active,True,236,0,1,4,True,,,2020-07-27 17:33:50,2020
204,False,True,2020-07-27 17:22:59+00:00,10,0,239,active,True,239,0,0,5,True,,,2020-07-27 17:33:50,2020
205,False,True,2020-07-27 08:59:05+00:00,9,0,255,active,True,255,0,0,6,True,,,2020-07-27 17:33:50,2020
206,False,True,2020-07-27 13:51:08+00:00,8,0,258,active,True,258,0,0,7,True,,,2020-07-27 17:33:50,2020
207,False,True,2020-07-27 08:48:03+00:00,13,0,259,active,True,259,0,0,2,True,,,2020-07-27 17:33:50,2020
208,False,True,2020-07-27 13:57:03+00:00,1,0,260,active,True,260,0,0,14,True,,,2020-07-27 17:33:50,2020
209,False,True,2020-07-27 17:10:59+00:00,4,0,271,active,True,271,0,0,11,True,,,2020-07-27 17:33:50,2020
210,False,True,2020-07-27 14:35:29+00:00,15,0,272,active,True,272,0,0,4,True,,,2020-07-27 17:33:50,2020
211,False,True,2020-07-27 17:20:27+00:00,27,0,273,active,True,273,0,0,13,True,,,2020-07-27 17:33:50,2020
212,False,True,2020-07-27 17:00:21+00:00,10,0,279,active,True,279,0,0,9,True,,,2020-07-27 17:33:50,2020
213,False,True,2020-07-27 16:04:47+00:00,12,0,280,active,True,280,0,0,7,True,,,2020-07-27 17:33:50,2020
214,False,True,2020-07-27 17:31:06+00:00,3,0,282,active,True,282,0,0,12,True,,,2020-07-27 17:33:50,2020
215,False,True,2020-07-27 17:09:18+00:00,17,0,296,active,True,296,0,2,4,True,,,2020-07-27 17:33:50,2020
216,False,True,2020-07-27 16:55:15+00:00,5,0,318,active,True,318,0,0,14,True,,,2020-07-27 17:33:50,2020
217,False,True,2020-07-27 16:32:51+00:00,18,0,319,active,True,319,0,0,7,True,,,2020-07-27 17:33:50,2020
218,False,True,2020-07-27 16:09:11+00:00,6,0,327,active,True,327,0,0,9,True,,,2020-07-27 17:33:50,2020
219,False,True,2020-07-27 17:08:02+00:00,6,0,328,active,True,328,0,0,9,True,,,2020-07-27 17:33:50,2020
220,False,True,2020-07-27 17:11:20+00:00,5,0,329,active,True,329,0,0,10,True,,,2020-07-27 17:33:50,2020
221,False,True,2020-07-27 16:26:46+00:00,13,0,330,active,True,330,0,0,2,True,,,2020-07-27 17:33:50,2020
222,False,True,2020-07-27 17:11:39+00:00,1,0,331,active,True,331,0,3,11,True,,,2020-07-27 17:33:50,2020
223,False,True,2020-07-27 16:57:42+00:00,13,0,332,active,True,332,0,1,1,True,,,2020-07-27 17:33:50,2020
224,False,True,2020-07-27 13:54:09+00:00,3,0,333,active,True,333,0,0,22,True,,,2020-07-27 17:33:50,2020
225,False,True,2020-07-27 16:18:21+00:00,12,0,334,active,True,334,0,0,7,True,,,2020-07-27 17:33:50,2020
226,False,True,2020-07-27 17:00:19+00:00,9,0,335,active,True,335,0,1,9,True,,,2020-07-27 17:33:50,2020
227,False,True,2020-07-27 12:18:09+00:00,1,0,336,active,True,336,0,0,14,True,,,2020-07-27 17:33:50,2020
228,False,True,2020-07-27 17:12:43+00:00,4,0,337,active,True,337,0,0,11,True,,,2020-07-27 17:33:50,2020
229,False,True,2020-07-27 17:31:46+00:00,13,0,338,active,True,338,0,0,2,True,,,2020-07-27 17:33:50,2020
230,False,True,2020-07-27 12:16:04+00:00,0,0,339,active,True,339,0,0,15,True,,,2020-07-27 17:33:50,2020
231,False,True,2020-07-27 15:19:57+00:00,5,0,340,active,True,340,0,0,14,True,,,2020-07-27 17:33:50,2020
232,True,True,2020-07-27 14:52:03+00:00,10,0,341,active,True,341,0,0,5,True,,,2020-07-27 17:33:50,2020
233,False,True,2020-07-27 17:25:03+00:00,13,0,342,active,True,342,0,1,1,True,,,2020-07-27 17:33:50,2020
234,False,True,2020-07-27 08:47:14+00:00,10,0,343,active,True,343,0,1,4,True,,,2020-07-27 17:33:50,2020
235,False,True,2020-07-27 09:48:36+00:00,19,0,344,active,True,344,0,0,0,True,,,2020-07-27 17:33:50,2020
236,False,True,2020-07-27 17:29:41+00:00,14,0,345,active,True,345,0,2,3,True,,,2020-07-27 17:33:50,2020
237,False,True,2020-07-27 16:54:15+00:00,15,0,346,active,True,346,0,0,0,True,,,2020-07-27 17:33:50,2020
238,False,True,2020-07-27 17:18:33+00:00,10,0,347,active,True,347,0,0,5,True,,,2020-07-27 17:33:50,2020
