,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_renting,last_reported,num_docks_available,eightd_has_available_keys,is_returning,legacy_id,station_id,is_installed,num_ebikes_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,14,0,0,True,2020-08-20 22:16:59+00:00,1,False,True,3,3,True,0,active,,,2020-08-20 22:22:05,2020
1,10,0,0,True,2020-08-20 22:16:58+00:00,9,False,True,4,4,True,0,active,,,2020-08-20 22:22:05,2020
2,9,0,0,True,2020-08-20 22:20:17+00:00,6,False,True,5,5,True,0,active,,,2020-08-20 22:22:05,2020
3,1,0,0,True,2020-08-20 22:18:44+00:00,14,False,True,6,6,True,0,active,,,2020-08-20 22:22:05,2020
4,9,0,0,True,2020-08-20 22:18:24+00:00,6,False,True,7,7,True,0,active,,,2020-08-20 22:22:05,2020
5,10,0,0,True,2020-08-20 21:59:38+00:00,9,False,True,8,8,True,0,active,,,2020-08-20 22:22:05,2020
6,10,0,0,True,2020-08-20 22:17:39+00:00,5,False,True,9,9,True,0,active,,,2020-08-20 22:22:05,2020
7,2,0,0,True,2020-08-20 22:18:07+00:00,9,False,True,10,10,True,0,active,,,2020-08-20 22:22:05,2020
8,0,0,0,True,2020-08-20 22:17:51+00:00,15,False,True,11,11,True,0,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_capacity': 50, 'valet_revision': 98, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_count': 3}",2020-08-20 22:22:05,2020
9,11,2,0,True,2020-08-20 22:19:06+00:00,5,True,True,12,12,True,0,active,,,2020-08-20 22:22:05,2020
10,0,0,0,True,2020-08-20 21:35:17+00:00,19,False,True,13,13,True,0,active,,,2020-08-20 22:22:05,2020
11,11,1,0,True,2020-08-20 22:19:17+00:00,13,False,True,14,14,True,0,active,,,2020-08-20 22:22:05,2020
12,12,0,0,True,2020-08-20 21:08:01+00:00,3,False,True,15,15,True,0,active,,,2020-08-20 22:22:05,2020
13,9,0,0,True,2020-08-20 22:15:08+00:00,10,True,True,16,16,True,0,active,,,2020-08-20 22:22:05,2020
14,0,0,0,True,2020-08-20 22:18:06+00:00,15,False,True,17,17,True,0,active,,,2020-08-20 22:22:05,2020
15,2,0,0,True,2020-08-20 22:19:57+00:00,13,False,True,19,19,True,0,active,,,2020-08-20 22:22:05,2020
16,6,0,0,True,2020-08-20 22:16:13+00:00,17,True,True,20,20,True,0,active,,,2020-08-20 22:22:05,2020
17,9,0,0,True,2020-08-20 22:20:35+00:00,9,True,True,21,21,True,0,active,,,2020-08-20 22:22:05,2020
18,8,0,0,True,2020-08-20 22:21:23+00:00,39,True,True,22,22,True,0,active,,,2020-08-20 22:22:05,2020
19,1,0,0,True,2020-08-20 22:04:14+00:00,20,False,True,23,23,True,0,active,,,2020-08-20 22:22:05,2020
20,17,1,0,True,2020-08-20 22:21:49+00:00,1,False,True,24,24,True,0,active,,,2020-08-20 22:22:05,2020
21,3,1,0,True,2020-08-20 22:07:11+00:00,11,False,True,25,25,True,0,active,,,2020-08-20 22:22:05,2020
22,13,0,0,True,2020-08-20 22:21:40+00:00,2,False,True,26,26,True,0,active,,,2020-08-20 22:22:05,2020
23,6,4,0,True,2020-08-20 22:21:23+00:00,13,False,True,27,27,True,0,active,,,2020-08-20 22:22:05,2020
