,last_reported,eightd_has_available_keys,station_id,is_renting,num_docks_disabled,station_status,num_bikes_available,num_bikes_disabled,is_installed,is_returning,legacy_id,num_ebikes_available,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-19 01:58:51+00:00,False,3,True,0,active,4,0,True,True,3,0,11,2020-08-19 02:33:35,2020
1,2020-08-19 02:26:01+00:00,False,4,True,0,active,16,0,True,True,4,0,3,2020-08-19 02:33:35,2020
2,2020-08-19 02:11:03+00:00,False,5,True,0,active,5,2,True,True,5,0,8,2020-08-19 02:33:35,2020
3,2020-08-19 02:28:36+00:00,False,6,True,0,active,12,1,True,True,6,0,2,2020-08-19 02:33:35,2020
4,2020-08-19 02:29:02+00:00,False,7,True,0,active,9,1,True,True,7,0,5,2020-08-19 02:33:35,2020
5,2020-08-19 02:14:15+00:00,False,8,True,0,active,12,4,True,True,8,0,3,2020-08-19 02:33:35,2020
6,2020-08-19 02:15:51+00:00,False,9,True,0,active,2,1,True,True,9,0,12,2020-08-19 02:33:35,2020
7,2020-08-19 02:30:38+00:00,False,10,True,0,active,1,0,True,True,10,0,10,2020-08-19 02:33:35,2020
8,2020-08-19 02:15:12+00:00,False,11,True,0,active,1,0,True,True,11,0,14,2020-08-19 02:33:35,2020
9,2020-08-19 02:30:24+00:00,False,12,True,0,active,5,0,True,True,12,0,13,2020-08-19 02:33:35,2020
10,2020-08-19 02:31:23+00:00,False,13,True,0,active,2,1,True,True,13,0,16,2020-08-19 02:33:35,2020
11,2020-08-19 02:30:53+00:00,False,14,True,0,active,3,0,True,True,14,0,22,2020-08-19 02:33:35,2020
12,2020-08-19 01:23:40+00:00,False,15,True,0,active,12,1,True,True,15,0,2,2020-08-19 02:33:35,2020
13,2020-08-19 02:10:52+00:00,True,16,True,0,active,8,1,True,True,16,0,10,2020-08-19 02:33:35,2020
14,2020-08-19 00:55:02+00:00,False,17,True,0,active,5,1,True,True,17,0,9,2020-08-19 02:33:35,2020
15,2020-08-19 02:25:38+00:00,False,19,True,0,active,9,0,True,True,19,0,6,2020-08-19 02:33:35,2020
16,2020-08-19 01:27:35+00:00,True,20,True,0,active,10,0,True,True,20,0,13,2020-08-19 02:33:35,2020
17,2020-08-19 02:07:33+00:00,True,21,True,0,active,3,0,True,True,21,0,15,2020-08-19 02:33:35,2020
18,2020-08-19 02:02:48+00:00,True,22,True,0,active,6,1,True,True,22,0,40,2020-08-19 02:33:35,2020
19,2020-08-19 02:12:04+00:00,False,23,True,0,active,3,0,True,True,23,0,18,2020-08-19 02:33:35,2020
20,2020-08-19 02:25:00+00:00,False,24,True,0,active,8,1,True,True,24,0,10,2020-08-19 02:33:35,2020
21,2020-08-19 02:07:31+00:00,False,25,True,0,active,14,0,True,True,25,0,1,2020-08-19 02:33:35,2020
22,2020-08-19 02:06:30+00:00,False,26,True,0,active,12,0,True,True,26,0,3,2020-08-19 02:33:35,2020
23,2020-08-19 02:23:49+00:00,False,27,True,0,active,22,0,True,True,27,0,1,2020-08-19 02:33:35,2020
24,2020-08-18 23:25:24+00:00,False,29,True,0,active,4,1,True,True,29,0,10,2020-08-19 02:33:35,2020
25,2020-08-19 02:17:19+00:00,False,30,True,0,active,1,0,True,True,30,0,14,2020-08-19 02:33:35,2020
26,2020-08-19 02:03:22+00:00,True,31,True,0,active,0,0,True,True,31,0,19,2020-08-19 02:33:35,2020
27,2020-08-19 02:26:56+00:00,False,32,True,0,active,5,1,True,True,32,0,9,2020-08-19 02:33:35,2020
28,2020-08-19 02:18:48+00:00,False,33,True,0,active,24,1,True,True,33,0,2,2020-08-19 02:33:35,2020
29,2020-08-19 02:01:28+00:00,False,35,True,0,active,1,0,True,True,35,0,22,2020-08-19 02:33:35,2020
30,2020-08-19 00:52:28+00:00,True,36,True,0,active,20,0,True,True,36,0,13,2020-08-19 02:33:35,2020
31,2020-08-19 01:38:31+00:00,True,37,True,0,active,14,0,True,True,37,0,1,2020-08-19 02:33:35,2020
