,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_installed,is_renting,station_status,station_id,num_bikes_available,legacy_id,num_ebikes_available,is_returning,last_reported,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,False,0,13,True,True,active,49,5,49,0,True,2020-07-31 12:36:21+00:00,0,,,2020-07-31 12:49:05,2020
42,True,0,9,True,True,active,50,6,50,0,True,2020-07-31 12:24:33+00:00,0,,,2020-07-31 12:49:05,2020
43,False,1,11,True,True,active,51,3,51,0,True,2020-07-31 12:30:04+00:00,0,,,2020-07-31 12:49:05,2020
44,True,1,21,True,True,active,52,1,52,0,True,2020-07-31 12:29:49+00:00,0,,,2020-07-31 12:49:05,2020
45,False,0,19,True,True,active,53,0,53,0,True,2020-07-31 12:48:41+00:00,0,,,2020-07-31 12:49:05,2020
46,False,0,15,True,True,active,54,0,54,0,True,2020-07-31 11:42:41+00:00,0,,,2020-07-31 12:49:05,2020
47,False,0,4,True,False,active,55,11,55,0,False,2020-07-31 06:56:01+00:00,0,,,2020-07-31 12:49:05,2020
48,True,0,9,True,True,active,56,9,56,0,True,2020-07-31 10:09:02+00:00,0,,,2020-07-31 12:49:05,2020
49,True,0,4,True,True,active,57,10,57,0,True,2020-07-31 12:42:18+00:00,0,,,2020-07-31 12:49:05,2020
50,True,0,14,True,True,active,58,5,58,0,True,2020-07-31 12:46:36+00:00,0,,,2020-07-31 12:49:05,2020
51,True,0,6,True,True,active,59,13,59,0,True,2020-07-31 12:48:09+00:00,0,,,2020-07-31 12:49:05,2020
52,False,0,16,True,True,active,60,3,60,0,True,2020-07-31 12:48:07+00:00,0,"{'off_dock_capacity': 40, 'active': True, 'off_dock_count': 9, 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'valet_revision': 63}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 12:49:05,2020
53,False,0,16,True,True,active,61,3,61,0,True,2020-07-31 12:38:18+00:00,0,,,2020-07-31 12:49:05,2020
54,False,0,6,True,True,active,63,9,63,0,True,2020-07-31 11:35:43+00:00,0,,,2020-07-31 12:49:05,2020
55,False,1,6,True,True,active,64,12,64,0,True,2020-07-31 12:38:59+00:00,0,,,2020-07-31 12:49:05,2020
56,False,0,18,True,True,active,65,5,65,0,True,2020-07-31 12:02:56+00:00,0,,,2020-07-31 12:49:05,2020
57,False,0,11,True,True,active,66,4,66,0,True,2020-07-31 12:47:46+00:00,0,,,2020-07-31 12:49:05,2020
58,True,1,21,True,True,active,67,5,67,0,True,2020-07-31 12:45:29+00:00,0,,,2020-07-31 12:49:05,2020
59,True,1,8,True,True,active,68,10,68,0,True,2020-07-31 12:43:00+00:00,0,,,2020-07-31 12:49:05,2020
60,True,0,13,True,True,active,69,6,69,0,True,2020-07-31 12:47:47+00:00,0,,,2020-07-31 12:49:05,2020
61,False,0,8,True,True,active,70,15,70,0,True,2020-07-31 12:41:30+00:00,0,,,2020-07-31 12:49:05,2020
