,eightd_has_available_keys,legacy_id,last_reported,station_status,is_returning,num_docks_disabled,is_renting,num_bikes_disabled,is_installed,num_bikes_available,num_docks_available,num_ebikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,False,49,2020-08-13 23:15:46+00:00,active,True,0,True,0,True,2,16,0,49,,,2020-08-13 23:20:50,2020
42,True,50,2020-08-13 22:28:12+00:00,active,True,0,True,0,True,0,15,0,50,,,2020-08-13 23:20:50,2020
43,False,51,2020-08-13 23:16:00+00:00,active,True,0,True,0,True,5,10,0,51,,,2020-08-13 23:20:50,2020
44,True,52,2020-08-13 23:20:20+00:00,active,True,0,True,0,True,5,18,0,52,,,2020-08-13 23:20:50,2020
45,False,53,2020-08-13 23:19:01+00:00,active,True,0,True,1,True,18,0,0,53,,,2020-08-13 23:20:50,2020
46,False,54,2020-08-13 23:20:11+00:00,active,True,0,True,1,True,9,5,0,54,,,2020-08-13 23:20:50,2020
47,False,55,2020-08-13 23:20:22+00:00,active,True,0,True,1,True,11,3,0,55,,,2020-08-13 23:20:50,2020
48,True,56,2020-08-13 23:10:17+00:00,active,True,0,True,1,True,6,11,0,56,,,2020-08-13 23:20:50,2020
49,True,57,2020-08-13 23:18:26+00:00,active,True,0,True,1,True,12,1,0,57,,,2020-08-13 23:20:50,2020
50,True,58,2020-08-13 23:20:26+00:00,active,True,0,True,2,True,11,6,0,58,,,2020-08-13 23:20:50,2020
51,True,59,2020-08-13 23:16:30+00:00,active,True,0,True,0,True,14,5,0,59,,,2020-08-13 23:20:50,2020
52,False,60,2020-08-13 23:20:22+00:00,active,True,0,True,0,True,3,16,0,60,,,2020-08-13 23:20:50,2020
53,False,61,2020-08-13 23:16:59+00:00,active,True,0,True,0,True,7,12,0,61,,,2020-08-13 23:20:50,2020
54,False,63,2020-08-13 23:02:40+00:00,active,True,0,True,0,True,8,7,0,63,,,2020-08-13 23:20:50,2020
55,False,64,2020-08-13 23:19:07+00:00,active,True,0,True,2,True,13,4,0,64,,,2020-08-13 23:20:50,2020
56,False,65,2020-08-13 23:10:00+00:00,active,True,0,True,1,True,3,19,0,65,,,2020-08-13 23:20:50,2020
57,False,66,2020-08-13 23:14:48+00:00,active,True,0,True,1,True,1,13,0,66,,,2020-08-13 23:20:50,2020
58,True,67,2020-08-13 23:19:52+00:00,active,True,0,True,4,True,11,12,0,67,,,2020-08-13 23:20:50,2020
59,True,68,2020-08-13 23:16:40+00:00,active,True,0,True,1,True,16,2,0,68,,,2020-08-13 23:20:50,2020
60,True,69,2020-08-13 23:16:42+00:00,active,True,0,True,0,True,14,5,0,69,,,2020-08-13 23:20:50,2020
61,False,70,2020-08-13 23:19:41+00:00,active,True,0,True,0,True,16,7,0,70,,,2020-08-13 23:20:50,2020
62,False,71,2020-08-13 23:12:39+00:00,active,True,0,True,1,True,18,4,0,71,,,2020-08-13 23:20:50,2020
63,False,72,2020-08-13 23:13:07+00:00,active,True,0,True,0,True,18,5,0,72,,,2020-08-13 23:20:50,2020
64,False,73,2020-08-13 23:14:58+00:00,active,True,0,True,1,True,3,11,0,73,,,2020-08-13 23:20:50,2020
65,True,74,2020-08-13 23:15:51+00:00,active,True,0,True,1,True,14,4,0,74,,,2020-08-13 23:20:50,2020
66,False,75,2020-08-13 23:20:30+00:00,active,True,0,True,0,True,5,10,0,75,,,2020-08-13 23:20:50,2020
67,False,76,2020-08-13 23:17:05+00:00,active,True,0,True,1,True,1,15,0,76,,,2020-08-13 23:20:50,2020
68,False,77,2020-08-13 22:53:15+00:00,active,True,0,True,1,True,8,6,0,77,,,2020-08-13 23:20:50,2020
69,False,78,2020-08-13 23:06:00+00:00,active,True,0,True,0,True,14,5,0,78,,,2020-08-13 23:20:50,2020
70,False,79,2020-08-13 23:13:05+00:00,active,True,0,True,4,True,10,5,0,79,,,2020-08-13 23:20:50,2020
71,False,80,2020-08-13 23:16:40+00:00,active,True,0,True,1,True,0,34,0,80,,,2020-08-13 23:20:50,2020
72,False,81,2020-08-13 23:08:07+00:00,active,True,0,True,2,True,11,6,0,81,,,2020-08-13 23:20:50,2020
73,False,82,2020-08-13 23:14:03+00:00,active,True,0,True,0,True,3,12,0,82,,,2020-08-13 23:20:50,2020
74,False,84,2020-08-13 23:17:52+00:00,active,True,0,True,0,True,5,10,0,84,,,2020-08-13 23:20:50,2020
75,False,85,2020-08-13 23:17:05+00:00,active,True,0,True,0,True,0,19,0,85,,,2020-08-13 23:20:50,2020
76,False,86,2020-08-13 23:19:24+00:00,active,True,0,True,0,True,14,5,0,86,,,2020-08-13 23:20:50,2020
77,False,87,2020-08-13 23:15:35+00:00,active,True,0,True,0,True,14,1,0,87,,,2020-08-13 23:20:50,2020
78,False,89,2020-08-13 23:16:20+00:00,active,True,0,True,0,True,13,6,0,89,,,2020-08-13 23:20:50,2020
79,False,90,2020-08-13 23:09:28+00:00,active,True,0,True,1,True,16,2,0,90,,,2020-08-13 23:20:50,2020
80,False,91,2020-08-13 23:19:56+00:00,active,True,0,True,0,True,1,18,0,91,,,2020-08-13 23:20:50,2020
81,False,92,2020-08-13 22:29:42+00:00,active,True,0,True,0,True,9,10,0,92,,,2020-08-13 23:20:50,2020
82,False,93,2020-08-13 22:16:27+00:00,active,True,0,True,0,True,12,3,0,93,,,2020-08-13 23:20:50,2020
83,False,94,2020-08-13 23:10:45+00:00,active,True,0,True,0,True,1,10,0,94,,,2020-08-13 23:20:50,2020
84,False,95,2020-08-13 23:19:35+00:00,active,True,0,True,1,True,9,5,0,95,,,2020-08-13 23:20:50,2020
85,False,96,2020-08-13 23:00:57+00:00,active,True,0,True,0,True,12,7,0,96,,,2020-08-13 23:20:50,2020
86,False,97,2020-08-13 23:17:44+00:00,active,True,0,True,1,True,10,8,0,97,,,2020-08-13 23:20:50,2020
87,False,98,2020-08-13 23:18:49+00:00,active,True,0,True,0,True,6,17,0,98,,,2020-08-13 23:20:50,2020
88,False,99,2020-08-13 23:04:12+00:00,active,True,0,True,0,True,12,3,0,99,,,2020-08-13 23:20:50,2020
89,True,100,2020-08-13 23:04:11+00:00,active,True,0,True,2,True,16,7,0,100,,,2020-08-13 23:20:50,2020
90,False,101,2020-08-13 22:52:42+00:00,active,True,0,True,0,True,14,1,0,101,,,2020-08-13 23:20:50,2020
91,False,102,2020-08-13 23:12:05+00:00,active,True,0,True,0,True,10,5,0,102,,,2020-08-13 23:20:50,2020
92,False,103,2020-08-13 23:18:45+00:00,active,True,0,True,0,True,3,12,0,103,,,2020-08-13 23:20:50,2020
93,False,104,2020-08-13 23:02:38+00:00,active,True,0,True,0,True,8,11,0,104,,,2020-08-13 23:20:50,2020
94,False,105,2020-08-13 23:04:52+00:00,active,True,0,True,0,True,0,19,0,105,,,2020-08-13 23:20:50,2020
95,False,106,2020-08-13 20:48:01+00:00,active,True,0,True,1,True,1,13,0,106,,,2020-08-13 23:20:50,2020
96,False,107,2020-08-13 23:17:32+00:00,active,True,0,True,0,True,0,19,0,107,,,2020-08-13 23:20:50,2020
97,False,108,2020-08-13 23:17:46+00:00,active,True,0,True,0,True,6,11,0,108,,,2020-08-13 23:20:50,2020
98,False,109,2020-08-13 22:42:01+00:00,active,True,0,True,0,True,0,35,0,109,,,2020-08-13 23:20:50,2020
99,False,110,2020-08-13 23:08:32+00:00,active,True,0,True,0,True,3,12,0,110,,,2020-08-13 23:20:50,2020
100,False,111,2020-08-13 23:11:05+00:00,active,True,0,True,0,True,6,9,0,111,,,2020-08-13 23:20:50,2020
101,False,112,2020-08-13 23:03:36+00:00,active,True,0,True,0,True,10,5,0,112,,,2020-08-13 23:20:50,2020
102,False,113,2020-08-13 23:17:16+00:00,active,True,0,True,0,True,6,9,0,113,,,2020-08-13 23:20:50,2020
103,False,114,2020-08-13 22:59:04+00:00,active,True,0,True,1,True,1,13,0,114,,,2020-08-13 23:20:50,2020
104,False,115,2020-08-13 23:19:50+00:00,active,True,0,True,3,True,6,10,0,115,,,2020-08-13 23:20:50,2020
105,False,116,2020-08-13 23:12:01+00:00,active,True,0,True,0,True,14,9,0,116,,,2020-08-13 23:20:50,2020
106,False,117,2020-08-13 23:16:07+00:00,active,True,0,True,0,True,2,17,0,117,,,2020-08-13 23:20:50,2020
107,False,118,2020-08-13 23:19:51+00:00,active,True,0,True,1,True,11,7,0,118,,,2020-08-13 23:20:50,2020
108,False,119,2020-08-13 23:17:19+00:00,active,True,0,True,0,True,10,5,0,119,,,2020-08-13 23:20:50,2020
109,False,120,2020-08-13 23:19:40+00:00,active,True,0,True,0,True,10,5,0,120,,,2020-08-13 23:20:50,2020
110,False,121,2020-08-13 23:18:29+00:00,active,True,0,True,0,True,8,9,0,121,,,2020-08-13 23:20:50,2020
111,False,122,2020-08-13 23:02:58+00:00,active,True,0,True,0,True,7,8,0,122,,,2020-08-13 23:20:50,2020
112,False,124,2020-08-13 21:45:03+00:00,active,True,0,True,1,True,5,9,0,124,,,2020-08-13 23:20:50,2020
113,False,125,2020-08-13 23:16:34+00:00,active,True,0,True,1,True,7,7,0,125,,,2020-08-13 23:20:50,2020
114,False,126,2020-08-13 23:15:25+00:00,active,True,0,True,1,True,9,5,0,126,,,2020-08-13 23:20:50,2020
115,False,128,2020-08-13 23:20:07+00:00,active,True,0,True,0,True,8,11,0,128,,,2020-08-13 23:20:50,2020
116,False,129,2020-08-13 23:17:20+00:00,active,True,0,True,0,True,19,0,0,129,,,2020-08-13 23:20:50,2020
117,False,130,2020-08-13 23:12:37+00:00,active,True,0,True,0,True,9,6,0,130,,,2020-08-13 23:20:50,2020
118,False,131,2020-08-13 23:17:26+00:00,active,True,0,True,2,True,7,9,0,131,,,2020-08-13 23:20:50,2020
119,False,133,2020-08-13 23:16:00+00:00,active,True,0,True,1,True,7,15,0,133,,,2020-08-13 23:20:50,2020
120,False,135,2020-08-13 20:55:32+00:00,active,True,0,True,0,True,1,16,0,135,,,2020-08-13 23:20:50,2020
121,False,136,2020-08-13 22:32:56+00:00,active,True,0,True,2,True,4,13,0,136,,,2020-08-13 23:20:50,2020
122,False,137,2020-08-13 23:06:23+00:00,active,True,0,True,0,True,8,7,0,137,,,2020-08-13 23:20:50,2020
123,False,138,2020-08-13 22:59:20+00:00,active,True,0,True,2,True,9,4,0,138,,,2020-08-13 23:20:50,2020
124,False,139,2020-08-13 23:20:15+00:00,active,True,0,True,1,True,6,12,0,139,,,2020-08-13 23:20:50,2020
125,False,140,2020-08-13 23:19:25+00:00,active,True,0,True,2,True,11,4,0,140,,,2020-08-13 23:20:50,2020
126,False,141,2020-08-13 23:10:04+00:00,active,True,0,True,0,True,12,3,0,141,,,2020-08-13 23:20:50,2020
127,False,142,2020-08-13 23:19:33+00:00,active,True,0,True,1,True,11,11,0,142,,,2020-08-13 23:20:50,2020
128,False,143,2020-08-13 23:09:02+00:00,active,True,0,True,1,True,15,7,0,143,,,2020-08-13 23:20:50,2020
129,False,144,2020-08-13 22:29:37+00:00,active,True,0,True,0,True,9,10,0,144,,,2020-08-13 23:20:50,2020
130,False,145,2020-08-13 22:50:23+00:00,active,True,0,True,0,True,19,0,0,145,,,2020-08-13 23:20:50,2020
131,False,146,2020-08-13 23:20:08+00:00,active,True,0,True,1,True,14,4,0,146,,,2020-08-13 23:20:50,2020
132,True,149,2020-08-13 23:17:44+00:00,active,True,0,True,1,True,3,14,0,149,,,2020-08-13 23:20:50,2020
133,False,150,2020-08-13 23:07:47+00:00,active,True,0,True,1,True,10,8,0,150,,,2020-08-13 23:20:50,2020
134,False,151,2020-08-13 23:09:44+00:00,active,True,0,True,1,True,1,17,0,151,,,2020-08-13 23:20:50,2020
135,True,152,2020-08-13 23:13:11+00:00,active,True,0,True,0,True,11,4,0,152,,,2020-08-13 23:20:50,2020
136,False,156,2020-08-13 23:16:33+00:00,active,True,0,True,0,True,8,7,0,156,,,2020-08-13 23:20:50,2020
137,False,157,2020-08-13 23:13:38+00:00,active,True,0,True,1,True,14,0,0,157,,,2020-08-13 23:20:50,2020
138,False,159,2020-08-13 23:13:38+00:00,active,True,0,True,0,True,8,7,0,159,,,2020-08-13 23:20:50,2020
139,True,160,2020-08-13 23:20:09+00:00,active,True,0,True,0,True,10,4,0,160,,,2020-08-13 23:20:50,2020
140,True,161,2020-08-13 23:19:45+00:00,active,True,0,True,2,True,2,19,0,161,,,2020-08-13 23:20:50,2020
141,False,162,2020-08-13 21:13:06+00:00,active,True,0,True,0,True,3,12,0,162,,,2020-08-13 23:20:50,2020
142,True,163,2020-08-13 23:16:03+00:00,active,True,0,True,0,True,13,6,0,163,,,2020-08-13 23:20:50,2020
143,False,167,2020-08-13 22:56:17+00:00,active,True,0,True,0,True,3,12,0,167,,,2020-08-13 23:20:50,2020
144,False,169,2020-08-13 23:18:30+00:00,active,True,0,True,0,True,6,13,0,169,,,2020-08-13 23:20:50,2020
145,True,170,2020-08-13 23:14:48+00:00,active,True,0,True,0,True,0,14,0,170,,,2020-08-13 23:20:50,2020
146,True,171,2020-08-13 20:44:08+00:00,active,True,0,True,0,True,9,14,0,171,,,2020-08-13 23:20:50,2020
147,True,173,2020-08-13 23:14:35+00:00,active,True,0,True,0,True,12,2,0,173,,,2020-08-13 23:20:50,2020
148,False,174,2020-08-13 22:31:07+00:00,active,True,0,True,1,True,5,9,0,174,,,2020-08-13 23:20:50,2020
149,True,175,2020-08-13 22:56:25+00:00,active,True,0,True,2,True,10,5,0,175,,,2020-08-13 23:20:50,2020
150,False,176,2020-08-13 23:12:41+00:00,active,True,0,True,0,True,13,2,0,176,,,2020-08-13 23:20:50,2020
151,False,177,2020-08-13 23:12:31+00:00,active,True,0,True,1,True,2,16,0,177,,,2020-08-13 23:20:50,2020
152,False,178,2020-08-13 23:11:22+00:00,active,True,0,True,0,True,2,17,0,178,,,2020-08-13 23:20:50,2020
153,False,179,2020-08-13 23:20:24+00:00,active,True,0,True,0,True,11,14,0,179,,,2020-08-13 23:20:50,2020
154,False,180,2020-08-13 23:03:59+00:00,active,True,0,True,0,True,11,8,0,180,,,2020-08-13 23:20:50,2020
155,False,181,2020-08-13 23:10:38+00:00,active,True,0,True,0,True,10,9,0,181,,,2020-08-13 23:20:50,2020
156,True,182,2020-08-13 23:13:40+00:00,active,True,0,True,0,True,2,17,0,182,,,2020-08-13 23:20:50,2020
157,False,183,2020-08-13 23:19:47+00:00,active,True,0,True,1,True,2,16,0,183,,,2020-08-13 23:20:50,2020
158,False,184,2020-08-13 23:16:32+00:00,active,True,0,True,0,True,6,13,0,184,,,2020-08-13 23:20:50,2020
159,False,185,2020-08-13 23:12:55+00:00,active,True,0,True,0,True,6,9,0,185,,,2020-08-13 23:20:50,2020
160,True,186,2020-08-13 23:14:06+00:00,active,True,0,True,0,True,5,10,0,186,,,2020-08-13 23:20:50,2020
161,False,187,2020-08-13 23:14:49+00:00,active,True,0,True,0,True,5,10,0,187,,,2020-08-13 23:20:50,2020
162,False,188,2020-08-13 22:28:53+00:00,active,True,0,True,1,True,10,4,0,188,,,2020-08-13 23:20:50,2020
163,True,189,2020-08-13 23:01:09+00:00,active,True,0,True,0,True,0,23,0,189,,,2020-08-13 23:20:50,2020
164,True,190,2020-08-13 23:15:27+00:00,active,True,0,True,2,True,2,33,0,190,,,2020-08-13 23:20:50,2020
165,False,191,2020-08-13 21:08:37+00:00,active,True,0,True,0,True,5,10,0,191,,,2020-08-13 23:20:50,2020
166,False,192,2020-08-13 23:10:48+00:00,active,True,0,True,0,True,2,17,0,192,,,2020-08-13 23:20:50,2020
167,True,193,2020-08-13 23:16:45+00:00,active,True,0,True,1,True,3,11,0,193,,,2020-08-13 23:20:50,2020
168,False,194,2020-08-13 22:40:10+00:00,active,True,0,True,0,True,6,13,0,194,,,2020-08-13 23:20:50,2020
169,False,195,2020-08-13 22:37:38+00:00,active,True,0,True,1,True,6,16,0,195,,,2020-08-13 23:20:50,2020
170,True,196,2020-08-13 22:31:42+00:00,active,True,0,True,1,True,0,9,0,196,,,2020-08-13 23:20:50,2020
171,False,197,2020-08-13 22:15:37+00:00,active,True,0,True,1,True,2,12,0,197,,,2020-08-13 23:20:50,2020
172,False,199,2020-08-13 22:46:57+00:00,active,True,0,True,0,True,4,11,0,199,,,2020-08-13 23:20:50,2020
