,num_ebikes_available,station_id,station_status,legacy_id,num_docks_disabled,num_bikes_disabled,is_renting,is_returning,last_reported,is_installed,eightd_has_available_keys,num_bikes_available,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
170,0,196,active,196,0,1,True,True,2020-07-30 14:12:53+00:00,True,True,2,7,,,2020-07-30 17:56:20,2020
171,0,197,active,197,0,0,True,True,2020-07-30 15:09:47+00:00,True,False,0,15,,,2020-07-30 17:56:20,2020
172,0,199,active,199,0,0,True,True,2020-07-30 14:28:13+00:00,True,False,6,9,,,2020-07-30 17:56:20,2020
173,0,200,active,200,0,0,True,True,2020-07-30 17:38:06+00:00,True,False,7,12,,,2020-07-30 17:56:20,2020
174,0,201,active,201,0,0,True,True,2020-07-30 16:46:13+00:00,True,False,1,14,,,2020-07-30 17:56:20,2020
175,0,202,active,202,0,1,True,True,2020-07-30 17:30:29+00:00,True,False,4,10,,,2020-07-30 17:56:20,2020
176,0,203,active,203,0,0,True,True,2020-07-30 11:51:49+00:00,True,False,6,9,,,2020-07-30 17:56:20,2020
177,0,204,active,204,0,0,True,True,2020-07-30 08:25:15+00:00,True,False,1,14,,,2020-07-30 17:56:20,2020
178,0,205,active,205,0,0,True,True,2020-07-30 16:59:29+00:00,True,False,4,11,,,2020-07-30 17:56:20,2020
179,0,206,active,206,0,0,True,True,2020-07-30 17:12:49+00:00,True,False,15,8,,,2020-07-30 17:56:20,2020
180,0,208,active,208,0,0,True,True,2020-07-30 17:22:25+00:00,True,True,14,1,,,2020-07-30 17:56:20,2020
181,0,209,active,209,0,1,True,True,2020-07-30 08:20:08+00:00,True,False,12,2,,,2020-07-30 17:56:20,2020
182,0,210,active,210,0,0,True,True,2020-07-30 13:13:26+00:00,True,False,1,14,,,2020-07-30 17:56:20,2020
183,0,211,active,211,0,1,True,True,2020-07-30 15:39:49+00:00,True,False,14,4,,,2020-07-30 17:56:20,2020
184,0,212,active,212,0,0,True,True,2020-07-30 17:51:15+00:00,True,False,9,24,,,2020-07-30 17:56:20,2020
185,0,213,active,213,0,0,True,True,2020-07-30 16:47:32+00:00,True,True,6,10,,,2020-07-30 17:56:20,2020
186,0,214,active,214,0,0,True,True,2020-07-30 17:45:37+00:00,True,False,11,4,,,2020-07-30 17:56:20,2020
187,0,215,active,215,0,0,True,True,2020-07-30 16:39:32+00:00,True,False,11,4,,,2020-07-30 17:56:20,2020
188,0,216,active,216,0,1,True,True,2020-07-30 08:25:30+00:00,True,False,17,1,,,2020-07-30 17:56:20,2020
189,0,217,active,217,0,1,True,True,2020-07-30 17:43:54+00:00,True,False,3,15,,,2020-07-30 17:56:20,2020
190,0,218,active,218,0,0,True,True,2020-07-30 17:32:22+00:00,True,False,9,6,,,2020-07-30 17:56:20,2020
191,0,219,active,219,0,0,True,True,2020-07-30 17:38:47+00:00,True,False,10,5,,,2020-07-30 17:56:20,2020
192,0,221,active,221,0,0,True,True,2020-07-30 17:33:12+00:00,True,False,7,12,,,2020-07-30 17:56:20,2020
193,0,222,active,222,0,0,True,True,2020-07-30 17:30:58+00:00,True,True,2,12,,,2020-07-30 17:56:20,2020
194,0,224,active,224,0,0,True,True,2020-07-30 17:17:51+00:00,True,False,8,9,,,2020-07-30 17:56:20,2020
195,0,225,active,225,0,1,True,True,2020-07-30 17:54:25+00:00,True,False,7,11,,,2020-07-30 17:56:20,2020
196,0,226,active,226,0,0,True,True,2020-07-30 17:55:51+00:00,True,False,4,11,,,2020-07-30 17:56:20,2020
197,0,227,active,227,0,1,True,True,2020-07-30 17:49:17+00:00,True,False,9,9,,,2020-07-30 17:56:20,2020
198,0,228,active,228,0,0,True,True,2020-07-30 16:12:00+00:00,True,False,10,9,,,2020-07-30 17:56:20,2020
199,0,232,active,232,0,0,True,True,2020-07-30 08:11:52+00:00,True,False,4,7,,,2020-07-30 17:56:20,2020
200,0,233,active,233,0,2,True,True,2020-07-30 17:48:07+00:00,True,False,4,9,,,2020-07-30 17:56:20,2020
201,0,234,active,234,0,0,True,True,2020-07-30 16:54:25+00:00,True,False,10,5,,,2020-07-30 17:56:20,2020
202,0,235,active,235,0,0,True,True,2020-07-30 17:54:58+00:00,True,False,6,9,,,2020-07-30 17:56:20,2020
203,0,236,active,236,0,0,True,True,2020-07-30 17:24:49+00:00,True,False,14,1,,,2020-07-30 17:56:20,2020
204,0,239,active,239,0,0,True,True,2020-07-30 17:20:25+00:00,True,False,1,14,,,2020-07-30 17:56:20,2020
205,0,255,active,255,0,0,True,True,2020-07-30 01:59:20+00:00,True,False,13,2,,,2020-07-30 17:56:20,2020
206,0,258,active,258,0,0,True,True,2020-07-30 16:45:37+00:00,True,False,10,5,,,2020-07-30 17:56:20,2020
207,0,259,active,259,0,0,True,True,2020-07-30 17:16:15+00:00,True,False,0,15,,,2020-07-30 17:56:20,2020
208,0,260,active,260,0,1,True,True,2020-07-30 16:02:55+00:00,True,False,5,9,,,2020-07-30 17:56:20,2020
209,0,271,active,271,0,0,True,True,2020-07-30 17:45:28+00:00,True,False,1,14,,,2020-07-30 17:56:20,2020
210,0,272,active,272,0,2,True,True,2020-07-30 17:15:14+00:00,True,False,4,13,,,2020-07-30 17:56:20,2020
211,0,273,active,273,0,0,True,True,2020-07-30 16:45:45+00:00,True,False,26,14,,,2020-07-30 17:56:20,2020
212,0,279,active,279,0,0,True,True,2020-07-30 16:40:55+00:00,True,False,9,10,,,2020-07-30 17:56:20,2020
213,0,280,active,280,0,0,True,True,2020-07-30 16:54:25+00:00,True,False,3,16,,,2020-07-30 17:56:20,2020
214,0,282,active,282,0,1,True,True,2020-07-30 17:36:45+00:00,True,False,8,6,,,2020-07-30 17:56:20,2020
215,0,296,active,296,0,0,True,True,2020-07-30 17:21:11+00:00,True,False,11,12,,,2020-07-30 17:56:20,2020
216,0,318,active,318,0,0,True,True,2020-07-30 17:53:10+00:00,True,False,18,1,,,2020-07-30 17:56:20,2020
217,0,319,active,319,0,0,True,True,2020-07-30 16:44:54+00:00,True,False,14,11,,,2020-07-30 17:56:20,2020
218,0,327,active,327,0,0,True,True,2020-07-30 17:45:39+00:00,True,False,11,4,,,2020-07-30 17:56:20,2020
219,0,328,active,328,0,0,True,True,2020-07-30 17:35:43+00:00,True,False,6,9,,,2020-07-30 17:56:20,2020
220,0,329,active,329,0,0,True,True,2020-07-30 17:55:14+00:00,True,False,11,4,,,2020-07-30 17:56:20,2020
221,0,330,active,330,0,0,True,True,2020-07-30 17:04:41+00:00,True,False,3,12,,,2020-07-30 17:56:20,2020
222,0,331,active,331,0,2,True,True,2020-07-30 16:55:28+00:00,True,False,13,0,,,2020-07-30 17:56:20,2020
223,0,332,active,332,0,0,True,True,2020-07-30 17:23:00+00:00,True,False,1,14,,,2020-07-30 17:56:20,2020
224,0,333,active,333,0,0,True,True,2020-07-30 17:20:00+00:00,True,False,19,6,,,2020-07-30 17:56:20,2020
225,0,334,active,334,0,0,True,True,2020-07-30 16:57:09+00:00,True,False,19,0,,,2020-07-30 17:56:20,2020
