,is_returning,legacy_id,last_reported,is_renting,num_ebikes_available,station_status,station_id,eightd_has_available_keys,num_bikes_disabled,is_installed,num_docks_disabled,num_docks_available,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,True,56,2020-07-28 23:04:00+00:00,True,0,active,56,True,0,True,0,3,15,,,2020-07-28 23:35:45,2020
49,True,57,2020-07-28 23:23:12+00:00,True,0,active,57,True,0,True,0,14,0,,,2020-07-28 23:35:45,2020
50,True,58,2020-07-28 23:25:04+00:00,True,0,active,58,True,0,True,0,17,2,,,2020-07-28 23:35:45,2020
51,True,59,2020-07-28 23:23:08+00:00,True,0,active,59,True,0,True,0,19,0,,,2020-07-28 23:35:45,2020
52,True,60,2020-07-28 23:35:13+00:00,True,0,active,60,False,0,True,0,17,2,,,2020-07-28 23:35:45,2020
53,True,61,2020-07-28 23:18:58+00:00,True,0,active,61,False,0,True,0,14,5,,,2020-07-28 23:35:45,2020
54,True,63,2020-07-28 21:25:34+00:00,True,0,active,63,False,0,True,0,0,15,,,2020-07-28 23:35:45,2020
55,True,64,2020-07-28 23:34:25+00:00,True,0,active,64,False,0,True,0,13,6,,,2020-07-28 23:35:45,2020
56,True,65,2020-07-28 23:13:35+00:00,True,0,active,65,False,1,True,0,12,10,,,2020-07-28 23:35:45,2020
57,True,66,2020-07-28 23:28:44+00:00,True,0,active,66,False,0,True,0,11,4,,,2020-07-28 23:35:45,2020
58,True,67,2020-07-28 23:35:08+00:00,True,0,active,67,True,2,True,0,11,14,,,2020-07-28 23:35:45,2020
59,True,68,2020-07-28 23:35:12+00:00,True,0,active,68,True,0,True,0,12,7,,,2020-07-28 23:35:45,2020
60,True,69,2020-07-28 23:35:31+00:00,True,0,active,69,True,4,True,0,5,10,,,2020-07-28 23:35:45,2020
61,True,70,2020-07-28 23:32:48+00:00,True,0,active,70,False,0,True,0,9,14,,,2020-07-28 23:35:45,2020
62,True,71,2020-07-28 22:29:54+00:00,True,0,active,71,False,0,True,0,8,15,,,2020-07-28 23:35:45,2020
63,True,72,2020-07-28 23:33:47+00:00,True,0,active,72,False,0,True,0,9,14,,,2020-07-28 23:35:45,2020
64,True,73,2020-07-28 23:10:00+00:00,True,0,active,73,False,0,True,0,0,15,,,2020-07-28 23:35:45,2020
65,True,74,2020-07-28 23:28:43+00:00,True,0,active,74,True,0,True,0,15,4,,,2020-07-28 23:35:45,2020
66,True,75,2020-07-28 23:20:32+00:00,True,0,active,75,False,2,True,0,10,3,,,2020-07-28 23:35:45,2020
67,True,76,2020-07-28 23:34:22+00:00,True,0,active,76,False,0,True,0,8,9,,,2020-07-28 23:35:45,2020
68,True,77,2020-07-28 23:30:28+00:00,True,0,active,77,False,1,True,0,9,5,,,2020-07-28 23:35:45,2020
69,True,78,2020-07-28 23:25:42+00:00,True,0,active,78,False,0,True,0,7,12,,,2020-07-28 23:35:45,2020
70,True,79,2020-07-28 23:29:57+00:00,True,0,active,79,False,1,True,0,11,7,,,2020-07-28 23:35:45,2020
71,True,80,2020-07-28 23:30:38+00:00,True,0,active,80,False,0,True,0,25,10,,,2020-07-28 23:35:45,2020
72,True,81,2020-07-28 23:33:38+00:00,True,0,active,81,False,1,True,0,11,7,,,2020-07-28 23:35:45,2020
73,True,82,2020-07-28 23:23:21+00:00,True,0,active,82,False,0,True,0,15,0,,,2020-07-28 23:35:45,2020
74,True,84,2020-07-28 23:09:28+00:00,True,0,active,84,False,1,True,0,13,1,,,2020-07-28 23:35:45,2020
75,True,85,2020-07-28 23:24:53+00:00,True,0,active,85,False,0,True,0,19,0,,,2020-07-28 23:35:45,2020
76,True,86,2020-07-28 23:29:10+00:00,True,0,active,86,False,0,True,0,9,10,,,2020-07-28 23:35:45,2020
77,True,87,2020-07-28 23:29:01+00:00,True,0,active,87,False,0,True,0,2,13,,,2020-07-28 23:35:45,2020
78,True,89,2020-07-28 23:34:28+00:00,True,0,active,89,False,2,True,0,11,6,,,2020-07-28 23:35:45,2020
79,True,90,2020-07-28 23:04:57+00:00,True,0,active,90,False,0,True,0,5,14,,,2020-07-28 23:35:45,2020
80,True,91,2020-07-28 23:34:50+00:00,True,0,active,91,False,2,True,0,14,3,,,2020-07-28 23:35:45,2020
81,True,92,2020-07-28 23:26:20+00:00,True,0,active,92,False,1,True,0,6,12,,,2020-07-28 23:35:45,2020
82,True,93,2020-07-28 22:51:51+00:00,True,0,active,93,False,1,True,0,8,6,,,2020-07-28 23:35:45,2020
83,True,94,2020-07-28 23:24:22+00:00,True,0,active,94,False,0,True,0,2,9,,,2020-07-28 23:35:45,2020
84,True,95,2020-07-28 23:25:13+00:00,True,0,active,95,False,2,True,0,5,8,,,2020-07-28 23:35:45,2020
85,True,96,2020-07-28 23:24:25+00:00,True,0,active,96,False,0,True,0,14,5,,,2020-07-28 23:35:45,2020
86,True,97,2020-07-28 23:30:50+00:00,True,0,active,97,False,0,True,0,18,1,,,2020-07-28 23:35:45,2020
87,True,98,2020-07-28 23:35:24+00:00,True,0,active,98,False,0,True,0,0,22,,,2020-07-28 23:35:45,2020
88,True,99,2020-07-28 23:04:56+00:00,True,0,active,99,False,0,True,0,5,10,,,2020-07-28 23:35:45,2020
89,True,100,2020-07-28 23:21:25+00:00,True,0,active,100,True,2,True,0,7,16,,,2020-07-28 23:35:45,2020
90,True,101,2020-07-28 23:14:55+00:00,True,0,active,101,False,0,True,0,15,0,,,2020-07-28 23:35:45,2020
91,True,102,2020-07-28 23:18:19+00:00,True,0,active,102,False,0,True,0,12,3,,,2020-07-28 23:35:45,2020
92,True,103,2020-07-28 23:23:23+00:00,True,0,active,103,False,0,True,0,12,3,,,2020-07-28 23:35:45,2020
93,True,104,2020-07-28 23:07:56+00:00,True,0,active,104,False,1,True,0,9,9,,,2020-07-28 23:35:45,2020
94,True,105,2020-07-28 23:34:56+00:00,True,0,active,105,False,1,True,0,3,15,,,2020-07-28 23:35:45,2020
95,True,106,2020-07-28 21:23:16+00:00,True,0,active,106,False,0,True,0,4,11,,,2020-07-28 23:35:45,2020
96,True,107,2020-07-28 23:30:01+00:00,True,0,active,107,False,1,True,0,15,3,,,2020-07-28 23:35:45,2020
97,True,108,2020-07-28 23:33:15+00:00,True,0,active,108,False,0,True,0,3,14,,,2020-07-28 23:35:45,2020
98,True,109,2020-07-28 21:11:31+00:00,True,0,active,109,False,2,True,0,11,22,,,2020-07-28 23:35:45,2020
99,True,110,2020-07-28 22:40:16+00:00,True,0,active,110,False,3,True,0,11,1,,,2020-07-28 23:35:45,2020
100,True,111,2020-07-28 22:57:47+00:00,True,0,active,111,False,1,True,0,14,0,,,2020-07-28 23:35:45,2020
101,True,112,2020-07-28 23:31:07+00:00,True,0,active,112,False,0,True,0,9,6,,,2020-07-28 23:35:45,2020
102,True,113,2020-07-28 23:11:08+00:00,True,0,active,113,False,0,True,0,11,4,,,2020-07-28 23:35:45,2020
103,True,114,2020-07-28 23:30:06+00:00,True,0,active,114,False,0,True,0,12,3,,,2020-07-28 23:35:45,2020
104,True,115,2020-07-28 23:25:21+00:00,True,0,active,115,False,0,True,0,6,13,,,2020-07-28 23:35:45,2020
105,True,116,2020-07-28 23:20:30+00:00,True,0,active,116,False,0,True,0,14,9,,,2020-07-28 23:35:45,2020
106,True,117,2020-07-28 23:18:00+00:00,True,0,active,117,False,0,True,0,1,18,,,2020-07-28 23:35:45,2020
107,True,118,2020-07-28 23:17:26+00:00,True,0,active,118,False,0,True,0,7,12,,,2020-07-28 23:35:45,2020
108,True,119,2020-07-28 23:30:16+00:00,True,0,active,119,False,0,True,0,6,9,,,2020-07-28 23:35:45,2020
109,True,120,2020-07-28 23:32:57+00:00,True,0,active,120,False,0,True,0,10,5,,,2020-07-28 23:35:45,2020
110,True,121,2020-07-28 23:16:04+00:00,True,0,active,121,False,0,True,0,11,6,,,2020-07-28 23:35:45,2020
111,True,122,2020-07-28 22:59:47+00:00,True,0,active,122,False,0,True,0,4,11,,,2020-07-28 23:35:45,2020
112,True,124,2020-07-28 22:29:08+00:00,True,0,active,124,False,1,True,0,12,2,,,2020-07-28 23:35:45,2020
113,True,125,2020-07-28 23:07:37+00:00,True,0,active,125,False,0,True,0,12,3,,,2020-07-28 23:35:45,2020
114,True,126,2020-07-28 22:42:29+00:00,True,0,active,126,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
115,True,128,2020-07-28 23:35:06+00:00,True,0,active,128,False,1,True,0,1,17,,,2020-07-28 23:35:45,2020
116,True,129,2020-07-28 23:20:13+00:00,True,0,active,129,False,0,True,0,10,9,,,2020-07-28 23:35:45,2020
117,True,130,2020-07-28 22:45:44+00:00,True,0,active,130,False,0,True,0,8,7,,,2020-07-28 23:35:45,2020
118,True,131,2020-07-28 22:49:46+00:00,True,0,active,131,False,1,True,0,0,17,,,2020-07-28 23:35:45,2020
119,True,133,2020-07-28 22:44:38+00:00,True,0,active,133,False,1,True,0,9,13,,,2020-07-28 23:35:45,2020
120,True,135,2020-07-28 21:24:18+00:00,True,0,active,135,False,2,True,0,8,7,,,2020-07-28 23:35:45,2020
121,True,136,2020-07-28 23:29:36+00:00,True,0,active,136,False,2,True,0,6,11,,,2020-07-28 23:35:45,2020
122,True,137,2020-07-28 23:04:02+00:00,True,0,active,137,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
123,True,138,2020-07-28 23:26:35+00:00,True,0,active,138,False,1,True,0,7,7,,,2020-07-28 23:35:45,2020
124,True,139,2020-07-28 23:29:52+00:00,True,0,active,139,False,1,True,0,11,7,,,2020-07-28 23:35:45,2020
125,True,140,2020-07-28 23:27:01+00:00,True,0,active,140,False,2,True,0,10,5,,,2020-07-28 23:35:45,2020
126,True,141,2020-07-28 23:05:59+00:00,True,0,active,141,False,1,True,0,8,6,,,2020-07-28 23:35:45,2020
127,True,142,2020-07-28 23:08:58+00:00,True,0,active,142,False,1,True,0,2,20,,,2020-07-28 23:35:45,2020
128,True,143,2020-07-28 23:35:13+00:00,True,0,active,143,False,2,True,0,16,5,,,2020-07-28 23:35:45,2020
129,True,144,2020-07-28 23:27:26+00:00,True,0,active,144,False,0,True,0,6,13,,,2020-07-28 23:35:45,2020
130,True,145,2020-07-28 23:06:14+00:00,True,0,active,145,False,0,True,0,12,7,,,2020-07-28 23:35:45,2020
131,True,146,2020-07-28 23:33:25+00:00,True,0,active,146,False,0,True,0,11,8,,,2020-07-28 23:35:45,2020
132,True,149,2020-07-28 23:35:16+00:00,True,0,active,149,True,0,True,0,4,14,,,2020-07-28 23:35:45,2020
133,True,150,2020-07-28 23:10:02+00:00,True,0,active,150,False,0,True,0,5,14,,,2020-07-28 23:35:45,2020
134,True,151,2020-07-28 23:29:49+00:00,True,0,active,151,False,0,True,0,15,4,,,2020-07-28 23:35:45,2020
135,True,152,2020-07-28 23:21:41+00:00,True,0,active,152,True,0,True,0,4,11,,,2020-07-28 23:35:45,2020
136,True,156,2020-07-28 22:52:48+00:00,True,0,active,156,False,0,True,0,4,11,,,2020-07-28 23:35:45,2020
137,True,157,2020-07-28 23:33:02+00:00,True,0,active,157,False,3,True,0,0,12,,,2020-07-28 23:35:45,2020
138,True,159,2020-07-28 23:16:08+00:00,True,0,active,159,False,1,True,0,13,1,,,2020-07-28 23:35:45,2020
139,True,160,2020-07-28 23:01:49+00:00,True,0,active,160,True,1,True,0,6,7,,,2020-07-28 23:35:45,2020
140,True,161,2020-07-28 23:18:31+00:00,True,0,active,161,True,2,True,0,1,20,,,2020-07-28 23:35:45,2020
141,True,162,2020-07-28 22:58:07+00:00,True,0,active,162,False,0,True,0,8,7,,,2020-07-28 23:35:45,2020
142,True,163,2020-07-28 23:35:12+00:00,True,0,active,163,True,0,True,0,15,4,,,2020-07-28 23:35:45,2020
143,True,167,2020-07-28 20:55:25+00:00,True,0,active,167,False,2,True,0,6,7,,,2020-07-28 23:35:45,2020
144,True,169,2020-07-28 22:52:46+00:00,True,0,active,169,False,1,True,0,8,10,,,2020-07-28 23:35:45,2020
145,True,170,2020-07-28 21:32:52+00:00,True,0,active,170,True,0,True,0,12,2,,,2020-07-28 23:35:45,2020
146,True,171,2020-07-28 22:31:00+00:00,True,0,active,171,True,1,True,0,16,6,,,2020-07-28 23:35:45,2020
147,True,173,2020-07-28 23:10:56+00:00,True,0,active,173,True,0,True,0,9,5,,,2020-07-28 23:35:45,2020
148,True,174,2020-07-28 22:08:15+00:00,True,0,active,174,False,0,True,0,8,7,,,2020-07-28 23:35:45,2020
149,True,175,2020-07-28 23:33:53+00:00,True,0,active,175,True,0,True,0,14,3,,,2020-07-28 23:35:45,2020
150,True,176,2020-07-28 22:53:49+00:00,True,0,active,176,False,0,True,0,0,15,,,2020-07-28 23:35:45,2020
151,True,177,2020-07-28 23:31:00+00:00,True,0,active,177,False,0,True,0,13,6,,,2020-07-28 23:35:45,2020
152,True,178,2020-07-28 23:32:22+00:00,True,0,active,178,False,1,True,0,18,0,,,2020-07-28 23:35:45,2020
153,True,179,2020-07-28 23:30:00+00:00,True,0,active,179,False,0,True,0,18,7,,,2020-07-28 23:35:45,2020
154,True,180,2020-07-28 22:57:35+00:00,True,0,active,180,False,0,True,0,10,9,,,2020-07-28 23:35:45,2020
155,True,181,2020-07-28 22:29:24+00:00,True,0,active,181,False,0,True,0,11,8,,,2020-07-28 23:35:45,2020
156,True,182,2020-07-28 22:46:14+00:00,True,0,active,182,True,0,True,0,11,8,,,2020-07-28 23:35:45,2020
157,True,183,2020-07-28 23:28:58+00:00,True,0,active,183,False,0,True,0,14,5,,,2020-07-28 23:35:45,2020
158,True,184,2020-07-28 23:21:57+00:00,True,0,active,184,False,0,True,0,13,6,,,2020-07-28 23:35:45,2020
159,True,185,2020-07-28 23:27:32+00:00,True,0,active,185,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
160,True,186,2020-07-28 23:32:23+00:00,True,0,active,186,True,0,True,0,8,7,,,2020-07-28 23:35:45,2020
161,True,187,2020-07-28 23:30:28+00:00,True,0,active,187,False,0,True,0,9,6,,,2020-07-28 23:35:45,2020
162,True,188,2020-07-28 23:08:18+00:00,True,0,active,188,False,0,True,0,6,9,,,2020-07-28 23:35:45,2020
163,True,189,2020-07-28 23:30:50+00:00,True,0,active,189,True,1,True,0,18,4,,,2020-07-28 23:35:45,2020
164,True,190,2020-07-28 23:30:30+00:00,True,0,active,190,True,1,True,0,14,22,,,2020-07-28 23:35:45,2020
165,True,191,2020-07-28 22:58:09+00:00,True,0,active,191,False,0,True,0,12,3,,,2020-07-28 23:35:45,2020
