,num_bikes_available,station_id,num_ebikes_available,is_renting,num_docks_available,eightd_has_available_keys,legacy_id,is_installed,station_status,num_docks_disabled,is_returning,num_bikes_disabled,last_reported,timestamp_of_data_read_request,year_station_last_reported
52,8,60,0,True,11,False,60,True,active,0,True,0,2020-08-21 01:49:08+00:00,2020-08-21 01:59:05,2020
53,10,61,0,True,9,False,61,True,active,0,True,0,2020-08-21 01:58:49+00:00,2020-08-21 01:59:05,2020
54,6,63,0,True,9,False,63,True,active,0,True,0,2020-08-21 01:53:11+00:00,2020-08-21 01:59:05,2020
55,13,64,0,False,6,False,64,True,active,0,False,0,2020-08-20 23:52:06+00:00,2020-08-21 01:59:05,2020
56,1,65,0,True,22,False,65,True,active,0,True,0,2020-08-20 23:30:18+00:00,2020-08-21 01:59:05,2020
57,14,66,0,True,1,False,66,True,active,0,True,0,2020-08-21 01:08:04+00:00,2020-08-21 01:59:05,2020
58,5,67,0,True,22,True,67,True,active,0,True,0,2020-08-21 01:32:34+00:00,2020-08-21 01:59:05,2020
59,11,68,0,True,8,True,68,True,active,0,True,0,2020-08-21 01:56:18+00:00,2020-08-21 01:59:05,2020
60,18,69,0,True,1,True,69,True,active,0,True,0,2020-08-21 01:55:52+00:00,2020-08-21 01:59:05,2020
61,8,70,0,True,14,False,70,True,active,0,True,1,2020-08-21 01:37:35+00:00,2020-08-21 01:59:05,2020
62,17,71,0,True,5,False,71,True,active,0,True,1,2020-08-21 01:43:31+00:00,2020-08-21 01:59:05,2020
63,0,72,0,True,23,False,72,True,active,0,True,0,2020-08-21 00:12:13+00:00,2020-08-21 01:59:05,2020
64,4,73,0,True,10,False,73,True,active,0,True,1,2020-08-21 01:47:22+00:00,2020-08-21 01:59:05,2020
65,16,74,0,True,1,True,74,True,active,0,True,2,2020-08-21 01:48:03+00:00,2020-08-21 01:59:05,2020
66,6,75,0,True,9,False,75,True,active,0,True,0,2020-08-21 01:41:35+00:00,2020-08-21 01:59:05,2020
67,9,76,0,True,7,False,76,True,active,0,True,1,2020-08-21 01:53:54+00:00,2020-08-21 01:59:05,2020
68,3,77,0,True,12,False,77,True,active,0,True,0,2020-08-21 01:49:33+00:00,2020-08-21 01:59:05,2020
69,12,78,0,True,7,False,78,True,active,0,True,0,2020-08-21 01:41:25+00:00,2020-08-21 01:59:05,2020
70,11,79,0,True,7,False,79,True,active,0,True,1,2020-08-21 01:34:47+00:00,2020-08-21 01:59:05,2020
71,0,80,0,True,35,False,80,True,active,0,True,0,2020-08-21 01:50:05+00:00,2020-08-21 01:59:05,2020
72,17,81,0,True,1,False,81,True,active,0,True,1,2020-08-21 01:29:11+00:00,2020-08-21 01:59:05,2020
73,2,82,0,True,13,False,82,True,active,0,True,0,2020-08-21 01:26:25+00:00,2020-08-21 01:59:05,2020
74,8,84,0,True,7,False,84,True,active,0,True,0,2020-08-21 01:32:22+00:00,2020-08-21 01:59:05,2020
75,0,85,0,True,19,False,85,True,active,0,True,0,2020-08-20 22:29:05+00:00,2020-08-21 01:59:05,2020
76,2,86,0,True,17,False,86,True,active,0,True,0,2020-08-21 01:41:06+00:00,2020-08-21 01:59:05,2020
77,7,87,0,True,7,False,87,True,active,0,True,1,2020-08-21 01:18:36+00:00,2020-08-21 01:59:05,2020
78,10,89,0,True,9,False,89,True,active,0,True,0,2020-08-21 01:21:08+00:00,2020-08-21 01:59:05,2020
79,12,90,0,True,7,False,90,True,active,0,True,0,2020-08-21 01:22:04+00:00,2020-08-21 01:59:05,2020
80,1,91,0,True,17,False,91,True,active,0,True,1,2020-08-21 01:55:24+00:00,2020-08-21 01:59:05,2020
81,8,92,0,True,10,False,92,True,active,0,True,1,2020-08-21 00:18:38+00:00,2020-08-21 01:59:05,2020
