,num_docks_disabled,num_ebikes_available,is_renting,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,is_installed,legacy_id,last_reported,num_bikes_disabled,station_status,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,0,0,True,True,56,7,11,True,56,2020-08-06 16:13:00+00:00,0,active,True,,,2020-08-06 17:57:35,2020
49,0,0,True,True,57,6,7,True,57,2020-08-06 17:34:49+00:00,1,active,True,,,2020-08-06 17:57:35,2020
50,0,0,True,True,58,12,7,True,58,2020-08-06 17:53:33+00:00,0,active,True,,,2020-08-06 17:57:35,2020
51,0,0,True,True,59,15,2,True,59,2020-08-06 17:21:16+00:00,2,active,True,,,2020-08-06 17:57:35,2020
52,0,0,True,False,60,13,5,True,60,2020-08-06 17:50:10+00:00,1,active,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 35, 'valet_revision': 69}",2020-08-06 17:57:35,2020
53,0,0,True,False,61,16,3,True,61,2020-08-06 17:47:02+00:00,0,active,True,,,2020-08-06 17:57:35,2020
54,0,0,True,False,63,1,14,True,63,2020-08-06 17:42:45+00:00,0,active,True,,,2020-08-06 17:57:35,2020
55,0,0,True,False,64,3,15,True,64,2020-08-06 17:47:06+00:00,1,active,True,,,2020-08-06 17:57:35,2020
56,0,0,True,False,65,4,18,True,65,2020-08-06 13:09:20+00:00,1,active,True,,,2020-08-06 17:57:35,2020
57,0,0,True,False,66,4,11,True,66,2020-08-06 17:48:11+00:00,0,active,True,,,2020-08-06 17:57:35,2020
58,0,0,True,True,67,16,11,True,67,2020-08-06 17:51:04+00:00,0,active,True,,,2020-08-06 17:57:35,2020
59,0,0,True,True,68,13,6,True,68,2020-08-06 17:55:33+00:00,0,active,True,,,2020-08-06 17:57:35,2020
60,0,0,True,True,69,15,4,True,69,2020-08-06 17:57:06+00:00,0,active,True,,,2020-08-06 17:57:35,2020
61,0,0,True,False,70,22,0,True,70,2020-08-06 17:57:26+00:00,1,active,True,,,2020-08-06 17:57:35,2020
62,0,0,True,False,71,17,6,True,71,2020-08-06 17:55:19+00:00,0,active,True,,,2020-08-06 17:57:35,2020
63,0,0,True,False,72,11,12,True,72,2020-08-06 17:56:30+00:00,0,active,True,,,2020-08-06 17:57:35,2020
64,0,0,True,False,73,7,7,True,73,2020-08-06 17:39:50+00:00,1,active,True,,,2020-08-06 17:57:35,2020
65,0,0,True,True,74,8,11,True,74,2020-08-06 17:40:36+00:00,0,active,True,,,2020-08-06 17:57:35,2020
66,0,0,True,False,75,15,0,True,75,2020-08-06 17:16:22+00:00,0,active,True,,,2020-08-06 17:57:35,2020
67,0,0,True,False,76,12,5,True,76,2020-08-06 17:55:35+00:00,0,active,True,,,2020-08-06 17:57:35,2020
68,0,0,True,False,77,1,14,True,77,2020-08-06 17:54:36+00:00,0,active,True,,,2020-08-06 17:57:35,2020
69,0,0,True,False,78,11,8,True,78,2020-08-06 17:26:21+00:00,0,active,True,,,2020-08-06 17:57:35,2020
70,0,0,True,False,79,4,15,True,79,2020-08-06 17:10:56+00:00,0,active,True,,,2020-08-06 17:57:35,2020
71,0,0,True,False,80,28,7,True,80,2020-08-06 17:44:38+00:00,0,active,True,,,2020-08-06 17:57:35,2020
72,0,0,True,False,81,9,10,True,81,2020-08-06 17:52:01+00:00,0,active,True,,,2020-08-06 17:57:35,2020
73,0,0,True,False,82,4,11,True,82,2020-08-06 17:24:20+00:00,0,active,True,,,2020-08-06 17:57:35,2020
74,0,0,True,False,84,4,11,True,84,2020-08-06 17:54:47+00:00,0,active,True,,,2020-08-06 17:57:35,2020
75,0,0,True,False,85,16,3,True,85,2020-08-06 17:22:56+00:00,0,active,True,,,2020-08-06 17:57:35,2020
76,0,0,True,False,86,7,11,True,86,2020-08-06 17:20:00+00:00,1,active,True,,,2020-08-06 17:57:35,2020
77,0,0,True,False,87,11,4,True,87,2020-08-06 17:48:56+00:00,0,active,True,,,2020-08-06 17:57:35,2020
78,0,0,True,False,89,6,13,True,89,2020-08-06 17:52:04+00:00,0,active,True,,,2020-08-06 17:57:35,2020
79,0,0,True,False,90,8,11,True,90,2020-08-06 17:49:59+00:00,0,active,True,,,2020-08-06 17:57:35,2020
80,0,0,True,False,91,16,3,True,91,2020-08-06 17:39:17+00:00,0,active,True,,,2020-08-06 17:57:35,2020
81,0,0,True,False,92,11,7,True,92,2020-08-06 17:20:06+00:00,1,active,True,,,2020-08-06 17:57:35,2020
82,0,0,True,False,93,9,5,True,93,2020-08-06 17:44:16+00:00,1,active,True,,,2020-08-06 17:57:35,2020
83,0,0,True,False,94,3,8,True,94,2020-08-06 16:50:17+00:00,0,active,True,,,2020-08-06 17:57:35,2020
